STATE,COUNTY,UnempRate
01,001,5.9     
01,003,6.2     
01,005,10.6     
01,007,7.2     
01,009,6.2     
01,011,8.9     
01,013,8.6     
01,015,8.0     
01,017,6.7     
01,019,5.8     
01,021,6.3     
01,023,9.1     
01,025,12.2     
01,027,7.2     
01,029,6.6     
01,031,6.7     
01,033,8.3     
01,035,10.4     
01,037,8.8     
01,039,7.8     
01,041,6.9     
01,043,6.1     
01,045,7.1     
01,047,11.3     
01,049,6.9     
01,051,5.7     
01,053,8.0     
01,055,7.1     
01,057,7.9     
01,059,7.8     
01,061,6.7     
01,063,12.5     
01,065,9.9     
01,067,7.5     
01,069,6.8     
01,071,7.3     
01,073,6.3     
01,075,7.0     
01,077,7.2     
01,079,8.3     
01,081,5.6     
01,083,6.1     
01,085,12.9     
01,087,9.1     
01,089,6.2     
01,091,8.0     
01,093,7.9     
01,095,6.7     
01,097,7.8     
01,099,11.1     
01,101,6.9     
01,103,6.6     
01,105,12.2     
01,107,8.2     
01,109,7.4     
01,111,6.7     
01,113,6.6     
01,115,5.8     
01,117,4.5     
01,119,8.5     
01,121,7.8     
01,123,7.5     
01,125,5.9     
01,127,7.9     
01,129,9.6     
01,131,17.0     
01,133,8.6     
02,013,4.5     
02,016,4.8     
02,020,5.2     
02,050,16.1     
02,060,8.0     
02,068,10.3     
02,070,10.0     
02,090,5.8     
02,100,10.7     
02,105,15.1     
02,110,5.0     
02,122,7.8     
02,130,7.8     
02,150,5.7     
02,158,23.8     
02,164,16.3     
02,170,8.0     
02,180,12.3     
02,185,5.9     
02,188,17.0     
02,195,9.5     
02,198,13.3     
02,220,5.1     
02,230,11.9     
02,240,13.2     
02,261,9.6     
02,275,8.5     
02,282,9.9     
02,290,18.9     
04,001,15.7     
04,003,8.3     
04,005,7.1     
04,007,8.3     
04,009,7.5     
04,011,6.5     
04,012,7.6     
04,013,5.8     
04,015,8.7     
04,017,11.1     
04,019,6.0     
04,021,7.1     
04,023,12.9     
04,025,6.3     
04,027,22.9     
05,001,5.4     
05,003,9.4     
05,005,6.8     
05,007,4.7     
05,009,6.1     
05,011,8.5     
05,013,6.7     
05,015,5.2     
05,017,10.6     
05,019,7.1     
05,021,7.9     
05,023,8.4     
05,025,6.9     
05,027,7.2     
05,029,7.2     
05,031,5.5     
05,033,6.1     
05,035,7.5     
05,037,6.4     
05,039,9.4     
05,041,8.2     
05,043,8.5     
05,045,5.6     
05,047,5.7     
05,049,5.9     
05,051,6.4     
05,053,5.5     
05,055,6.4     
05,057,6.1     
05,059,5.9     
05,061,5.9     
05,063,7.9     
05,065,7.6     
05,067,9.3     
05,069,8.9     
05,071,6.6     
05,073,7.9     
05,075,7.3     
05,077,7.7     
05,079,7.2     
05,081,6.6     
05,083,6.1     
05,085,5.2     
05,087,4.9     
05,089,6.4     
05,091,5.9     
05,093,9.3     
05,095,6.8     
05,097,8.1     
05,099,6.1     
05,101,5.9     
05,103,8.1     
05,105,7.8     
05,107,9.7     
05,109,7.4     
05,111,7.0     
05,113,6.4     
05,115,6.3     
05,117,5.9     
05,119,5.6     
05,121,8.0     
05,123,8.8     
05,125,4.9     
05,127,5.1     
05,129,6.4     
05,131,5.8     
05,133,7.1     
05,135,8.6     
05,137,7.7     
05,139,7.5     
05,141,8.2     
05,143,4.4     
05,145,7.1     
05,147,7.7     
05,149,5.7     
06,001,5.8     
06,003,8.2     
06,005,8.3     
06,007,8.6     
06,009,8.0     
06,011,17.4     
06,013,6.2     
06,015,10.1     
06,017,7.0     
06,019,11.6     
06,021,10.6     
06,023,6.7     
06,025,24.0     
06,027,6.8     
06,029,10.4     
06,031,11.9     
06,033,8.9     
06,035,9.1     
06,037,8.2     
06,039,11.2     
06,041,4.3     
06,043,8.7     
06,045,7.0     
06,047,12.8     
06,049,10.2     
06,051,7.0     
06,053,9.0     
06,055,5.6     
06,057,6.5     
06,059,5.5     
06,061,6.3     
06,063,11.5     
06,065,8.2     
06,067,7.3     
06,069,9.3     
06,071,8.0     
06,073,6.4     
06,075,4.4     
06,077,10.5     
06,079,5.6     
06,081,4.2     
06,083,6.1     
06,085,5.1     
06,087,8.7     
06,089,9.6     
06,091,10.1     
06,093,11.1     
06,095,7.5     
06,097,5.6     
06,099,11.1     
06,101,12.6     
06,103,9.6     
06,105,9.4     
06,107,13.1     
06,109,8.6     
06,111,6.6     
06,113,7.5     
06,115,11.2     
08,001,5.7     
08,003,7.2     
08,005,4.9     
08,007,5.9     
08,009,2.7     
08,011,5.2     
08,013,4.1     
08,014,4.2     
08,015,4.4     
08,017,2.9     
08,019,4.6     
08,021,7.8     
08,023,9.1     
08,025,5.8     
08,027,4.6     
08,029,7.0     
08,031,4.8     
08,033,3.9     
08,035,4.0     
08,037,4.2     
08,039,4.3     
08,041,6.0     
08,043,8.2     
08,045,5.2     
08,047,4.4     
08,049,4.0     
08,051,4.0     
08,053,3.7     
08,055,10.0     
08,057,3.6     
08,059,4.5     
08,061,3.4     
08,063,3.0     
08,065,4.6     
08,067,4.2     
08,069,4.3     
08,071,7.5     
08,073,4.1     
08,075,3.8     
08,077,6.2     
08,079,4.9     
08,081,5.7     
08,083,6.1     
08,085,6.8     
08,087,4.6     
08,089,7.6     
08,091,5.7     
08,093,4.6     
08,095,3.3     
08,097,4.9     
08,099,4.7     
08,101,7.3     
08,103,5.9     
08,105,9.2     
08,107,4.2     
08,109,8.7     
08,111,5.2     
08,113,4.7     
08,115,4.6     
08,117,3.4     
08,119,5.8     
08,121,3.2     
08,123,4.5     
08,125,3.3     
09,001,6.2     
09,003,6.9     
09,005,5.9     
09,007,5.6     
09,009,7.2     
09,011,6.8     
09,013,5.6     
09,015,7.3     
10,001,6.4     
10,003,5.5     
10,005,5.8     
11,001,7.8     
12,001,5.2     
12,003,6.4     
12,005,6.3     
12,007,5.6     
12,009,7.0     
12,011,5.9     
12,013,6.9     
12,015,6.9     
12,017,8.6     
12,019,5.8     
12,021,6.0     
12,023,6.6     
12,027,7.1     
12,029,7.4     
12,031,6.7     
12,033,6.5     
12,035,7.4     
12,037,5.6     
12,039,8.2     
12,041,6.7     
12,043,7.7     
12,045,6.1     
12,047,7.6     
12,049,7.7     
12,051,11.4     
12,053,7.9     
12,055,8.4     
12,057,5.8     
12,059,7.0     
12,061,7.9     
12,063,6.6     
12,065,6.6     
12,067,5.1     
12,069,6.4     
12,071,6.0     
12,073,5.6     
12,075,6.9     
12,077,6.7     
12,079,7.2     
12,081,5.7     
12,083,7.3     
12,085,6.1     
12,086,6.9     
12,087,4.1     
12,089,6.0     
12,091,5.2     
12,093,7.4     
12,095,5.9     
12,097,6.7     
12,099,5.9     
12,101,6.7     
12,103,5.8     
12,105,7.2     
12,107,8.6     
12,109,4.7     
12,111,8.0     
12,113,5.5     
12,115,5.9     
12,117,5.7     
12,119,8.3     
12,121,6.3     
12,123,6.8     
12,125,6.0     
12,127,6.8     
12,129,5.2     
12,131,5.3     
12,133,6.7     
13,001,8.8     
13,003,7.6     
13,005,6.9     
13,007,9.1     
13,009,8.7     
13,011,6.6     
13,013,6.3     
13,015,7.1     
13,017,10.0     
13,019,8.5     
13,021,8.0     
13,023,11.2     
13,025,9.2     
13,027,7.2     
13,029,6.4     
13,031,7.3     
13,033,10.0     
13,035,7.5     
13,037,7.0     
13,039,6.6     
13,043,6.9     
13,045,8.2     
13,047,6.1     
13,049,7.3     
13,051,7.3     
13,053,9.9     
13,055,7.6     
13,057,5.5     
13,059,6.9     
13,061,11.3     
13,063,9.3     
13,065,8.4     
13,067,5.9     
13,069,8.1     
13,071,8.1     
13,073,5.8     
13,075,8.1     
13,077,6.1     
13,079,7.3     
13,081,8.9     
13,083,6.3     
13,085,6.1     
13,087,8.1     
13,089,7.2     
13,091,9.8     
13,093,9.7     
13,095,9.2     
13,097,7.4     
13,099,8.8     
13,101,5.8     
13,103,6.2     
13,105,8.6     
13,107,10.4     
13,109,6.4     
13,111,7.5     
13,113,6.1     
13,115,7.9     
13,117,5.2     
13,119,8.1     
13,121,7.1     
13,123,7.2     
13,125,8.1     
13,127,7.4     
13,129,7.3     
13,131,7.3     
13,133,8.2     
13,135,6.0     
13,137,6.9     
13,139,5.9     
13,141,11.7     
13,143,7.8     
13,145,6.0     
13,147,7.5     
13,149,7.9     
13,151,7.2     
13,153,6.8     
13,155,9.5     
13,157,5.9     
13,159,6.6     
13,161,8.1     
13,163,11.2     
13,165,10.0     
13,167,8.6     
13,169,6.3     
13,171,9.5     
13,173,8.0     
13,175,9.2     
13,177,6.2     
13,179,7.6     
13,181,8.3     
13,183,7.3     
13,185,7.2     
13,187,6.3     
13,189,10.0     
13,191,7.9     
13,193,11.7     
13,195,6.6     
13,197,7.6     
13,199,9.8     
13,201,6.4     
13,205,7.8     
13,207,6.6     
13,209,10.2     
13,211,6.6     
13,213,9.4     
13,215,8.4     
13,217,8.2     
13,219,5.1     
13,221,6.5     
13,223,6.1     
13,225,9.4     
13,227,6.6     
13,229,7.4     
13,231,7.0     
13,233,7.8     
13,235,7.8     
13,237,9.0     
13,239,8.3     
13,241,8.2     
13,243,9.7     
13,245,8.7     
13,247,7.8     
13,249,7.6     
13,251,10.0     
13,253,9.5     
13,255,9.4     
13,257,7.6     
13,259,7.5     
13,261,9.5     
13,263,7.8     
13,265,10.8     
13,267,7.0     
13,269,10.2     
13,271,9.7     
13,273,8.0     
13,275,8.7     
13,277,7.3     
13,279,9.9     
13,281,9.2     
13,283,10.5     
13,285,7.3     
13,287,7.9     
13,289,11.2     
13,291,6.5     
13,293,8.9     
13,295,7.2     
13,297,6.4     
13,299,7.9     
13,301,9.7     
13,303,8.1     
13,305,8.7     
13,307,8.6     
13,309,12.3     
13,311,6.2     
13,313,7.8     
13,315,9.1     
13,317,9.3     
13,319,8.7     
13,321,7.8     
15,001,5.5     
15,003,4.1     
15,007,4.8     
15,009,4.5     
16,001,4.2     
16,003,9.9     
16,005,4.5     
16,007,4.5     
16,009,8.1     
16,011,4.5     
16,013,4.5     
16,015,6.5     
16,017,7.1     
16,019,4.2     
16,021,6.0     
16,023,5.4     
16,025,5.4     
16,027,5.9     
16,029,4.2     
16,031,4.2     
16,033,4.7     
16,035,9.3     
16,037,6.9     
16,039,5.2     
16,041,3.4     
16,043,4.0     
16,045,5.9     
16,047,4.0     
16,049,7.4     
16,051,4.0     
16,053,4.0     
