"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"02000","Alaska","8","SA25N 1/","10","...","Total employment (number of jobs)",383301,382127,390155,394801,402575,405996,414956,422749,431661,440243,444239,443652,444061,450594,459331,461701,465130
"02000","Alaska","8","SA25N 1/","20","...","  Wage and salary employment",298940,299907,307474,313491,319676,323957,330154,335952,343478,347801,352040,351916,352718,358857,365191,366451,367291
"02000","Alaska","8","SA25N 1/","40","...","  Proprietors employment",84361,82220,82681,81310,82899,82039,84802,86797,88183,92442,92199,91736,91343,91737,94140,95250,97839
"02000","Alaska","8","SA25N 1/","50","...","    Farm proprietors employment",547,546,549,559,530,516,518,540,535,579,588,596,609,631,640,651,651
"02000","Alaska","8","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",83814,81674,82132,80751,82369,81523,84284,86257,87648,91863,91611,91140,90734,91106,93500,94599,97188
"02000","Alaska","8","SA25N 1/","70","111-112","  Farm employment",848,897,786,774,743,732,729,746,743,774,934,1092,1131,1233,1061,1078,1160
"02000","Alaska","8","SA25N 1/","80","...","  Nonfarm employment",382453,381230,389369,394027,401832,405264,414227,422003,430918,439469,443305,442560,442930,449361,458270,460623,463970
"02000","Alaska","8","SA25N 1/","90","113-814","    Private nonfarm employment",286745,286224,292688,296699,301317,304546,313547,320652,326584,334385,337581,334652,334742,340505,349336,353074,358232
"02000","Alaska","8","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",17609,16019,15001,"(D)",13414,10848,12263,12516,12344,12037,12257,11631,12092,11510,11402,12120,13007
"02000","Alaska","8","SA25N 1/","101","113","        Forestry and logging",1365,1430,1294,989,854,794,"(D)",749,619,520,471,447,"(D)","(D)",509,505,534
"02000","Alaska","8","SA25N 1/","102","114","        Fishing, hunting and trapping",15736,14130,13295,"(D)","(D)",9623,11100,11312,"(D)","(D)","(D)",10639,11095,10491,10421,11156,12024
"02000","Alaska","8","SA25N 1/","103","115","        Support activities for agriculture and forestry","(T)","(T)","(T)","(D)","(D)",431,"(D)",455,"(D)","(D)","(D)",545,"(D)","(D)",472,459,449
"02000","Alaska","8","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",12714,10868,11675,"(D)",11596,11155,10987,11628,13529,15927,17451,17006,17831,18367,21799,21263,22406
"02000","Alaska","8","SA25N 1/","201","211","        Oil and gas extraction",3334,3152,3028,3306,3062,2897,2815,2926,3206,3574,4068,4137,4224,4173,4639,4941,5121
"02000","Alaska","8","SA25N 1/","202","212","        Mining (except oil and gas)",2960,2716,2766,"(D)",2399,2580,2318,2345,2665,3670,3708,3507,4207,4604,7077,6114,6499
