"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"04000","Arizona","6","SA25N 1/","10","...","Total employment (number of jobs)",2619485,2700580,2808572,2840781,2861339,2934459,3063915,3238928,3401000,3494178,3434174,3264077,3208325,3268482,3322733,3398932,3461581
"04000","Arizona","6","SA25N 1/","20","...","  Wage and salary employment",2178443,2254939,2332044,2352040,2356712,2395712,2483655,2614649,2744187,2780306,2715448,2526934,2476001,2503192,2560624,2619456,2672673
"04000","Arizona","6","SA25N 1/","40","...","  Proprietors employment",441042,445641,476528,488741,504627,538747,580260,624279,656813,713872,718726,737143,732324,765290,762109,779476,788908
"04000","Arizona","6","SA25N 1/","50","...","    Farm proprietors employment",7432,7278,7295,10086,7356,9727,9541,9557,9446,15021,15640,16253,17192,18184,18977,18748,18757
"04000","Arizona","6","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",433610,438363,469233,478655,497271,529020,570719,614722,647367,698851,703086,720890,715132,747106,743132,760728,770151
"04000","Arizona","6","SA25N 1/","70","111-112","  Farm employment",20826,19548,19657,22274,19246,22528,22562,23372,22869,28293,27256,28387,28609,29707,31603,32714,31102
"04000","Arizona","6","SA25N 1/","80","...","  Nonfarm employment",2598659,2681032,2788915,2818507,2842093,2911931,3041353,3215556,3378131,3465885,3406918,3235690,3179716,3238775,3291130,3366218,3430479
"04000","Arizona","6","SA25N 1/","90","113-814","    Private nonfarm employment",2234375,2307687,2400166,2421325,2430712,2491407,2615682,2783296,2940634,3015966,2947745,2782888,2730728,2796925,2847989,2921817,2985670
"04000","Arizona","6","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",19710,19317,17628,18088,18620,17413,17857,17053,17332,17431,16417,15074,15598,15733,15317,15325,15492
"04000","Arizona","6","SA25N 1/","101","113","        Forestry and logging",612,520,464,"(D)","(D)","(D)",344,"(D)","(D)","(D)","(D)",321,"(D)",294,"(D)",402,"(D)"
"04000","Arizona","6","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)",629,"(D)","(D)","(D)","(D)",614,"(D)",594,"(D)",689,"(D)"
"04000","Arizona","6","SA25N 1/","103","115","        Support activities for agriculture and forestry",18497,18207,16595,17122,17620,16534,16884,16010,16300,16434,15423,14139,14678,14845,14355,14234,14286
"04000","Arizona","6","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",16206,14148,12603,12888,11634,11669,11538,11971,13674,16285,19175,16574,18034,17791,22674,23224,23762
"04000","Arizona","6","SA25N 1/","201","211","        Oil and gas extraction",2159,2210,2036,2382,2052,"(D)","(D)",2507,2876,2978,4508,"(D)",6066,5196,7499,8237,8787
"04000","Arizona","6","SA25N 1/","202","212","        Mining (except oil and gas)",13548,11418,10080,10152,9074,8555,8781,8933,10190,12436,13552,10742,10878,11584,13862,13943,13858
"04000","Arizona","6","SA25N 1/","203","213","        Support activities for mining",499,520,487,354,508,"(D)","(D)",531,608,871,1115,"(D)",1090,1011,1313,1044,1117
"04000","Arizona","6","SA25N 1/","300","22","      Utilities",9868,10383,10753,11239,11317,11693,11735,12160,12753,13184,13305,12845,12509,12287,12617,12294,12352
"04000","Arizona","6","SA25N 1/","400","23","      Construction",186807,197761,205978,214198,213587,221508,241309,274535,298715,284461,242511,182090,160051,160163,166259,175160,177409
"04000","Arizona","6","SA25N 1/","401","236","        Construction of buildings",34680,37019,39121,41266,40831,41366,44965,52170,57970,53837,47053,35096,30938,30496,31721,32975,32881
"04000","Arizona","6","SA25N 1/","402","237","        Heavy and civil engineering construction",22435,24333,26885,28646,31736,28216,27720,31226,32599,32023,29317,21519,18653,18638,18993,19921,19397
"04000","Arizona","6","SA25N 1/","403","238","        Specialty trade contractors",129692,136409,139972,144286,141020,151926,168624,191139,208146,198601,166141,125475,110460,111029,115545,122264,125131
"04000","Arizona","6","SA25N 1/","500","31-33","      Manufacturing",220161,217120,219270,210914,193669,185836,186862,190472,195792,193404,183866,165534,159055,161741,166916,168611,170847
"04000","Arizona","6","SA25N 1/","510","321,327-339","        Durable goods manufacturing",175042,171377,174649,170200,154780,147338,148750,152294,156926,155268,146915,130477,124786,126493,130261,130737,131530
"04000","Arizona","6","SA25N 1/","511","321","          Wood product manufacturing",8849,9424,8848,8519,7925,8266,9484,10654,10507,8442,6301,4452,3859,3716,3932,4347,4790
"04000","Arizona","6","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",8616,9116,9380,8626,8371,8296,8869,10036,10834,10463,8902,6769,6048,5835,6014,6441,7370
"04000","Arizona","6","SA25N 1/","513","331","          Primary metal manufacturing",6812,6294,6204,5914,4863,4395,4251,4396,5106,4852,4811,4163,4079,3795,4297,4340,4520
"04000","Arizona","6","SA25N 1/","514","332","          Fabricated metal product manufacturing",21327,20807,21317,20603,18482,17811,18484,19490,20378,21275,20151,16922,16453,17724,18689,19292,20001
"04000","Arizona","6","SA25N 1/","515","333","          Machinery manufacturing",10285,9804,10176,9698,8737,8474,8684,8281,8352,8509,8325,7239,6743,6791,6857,6676,7117
"04000","Arizona","6","SA25N 1/","516","334","          Computer and electronic product manufacturing",60480,56640,58064,57108,49795,45359,44633,43612,44819,43222,42189,38446,37791,38177,39065,37467,35399
"04000","Arizona","6","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",2982,3159,3595,3165,2708,2471,2402,2475,2741,3246,2952,2921,2812,2914,2956,2781,2940
"04000","Arizona","6","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",7814,6743,6037,5682,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2774,"(D)",3383,3524
"04000","Arizona","6","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",27541,28962,30861,31330,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",27285,"(D)",26997,25813
