"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"06000","California","8","SA25N 1/","10","...","Total employment (number of jobs)",18450214,18888132,19280922,19411367,19437490,19573490,19876899,20255748,20644868,21040405,20818920,20038208,19803742,20172087,20850443,21496020,22040057
"06000","California","8","SA25N 1/","20","...","  Wage and salary employment",14746957,15179482,15621983,15711109,15643112,15599828,15700214,15890483,16140320,16275235,16094500,15215311,14958113,15109943,15726659,16209759,16688639
"06000","California","8","SA25N 1/","40","...","  Proprietors employment",3703257,3708650,3658939,3700258,3794378,3973662,4176685,4365265,4504548,4765170,4724420,4822897,4845629,5062144,5123784,5286261,5351418
"06000","California","8","SA25N 1/","50","...","    Farm proprietors employment",89428,88329,88324,81105,76768,69670,66790,65734,63912,67902,66821,65844,65372,64615,64125,64457,63251
"06000","California","8","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",3613829,3620321,3570615,3619153,3717610,3903992,4109895,4299531,4440636,4697268,4657599,4757053,4780257,4997529,5059659,5221804,5288167
"06000","California","8","SA25N 1/","70","111-112","  Farm employment",335569,360766,326684,289195,316876,310619,277367,244144,222890,235574,222628,226901,232545,228092,222915,230339,243247
"06000","California","8","SA25N 1/","80","...","  Nonfarm employment",18114645,18527366,18954238,19122172,19120614,19262871,19599532,20011604,20421978,20804831,20596292,19811307,19571197,19943995,20627528,21265681,21796810
"06000","California","8","SA25N 1/","90","113-814","    Private nonfarm employment",15705633,16048411,16395031,16508016,16431704,16583847,16947023,17361023,17749379,18087903,17838726,17080673,16893112,17327784,18036256,18676835,19180182
"06000","California","8","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",205453,202693,200177,190088,188165,188642,188537,198930,200172,208799,213915,203916,213078,216425,224283,234875,239317
"06000","California","8","SA25N 1/","101","113","        Forestry and logging",7176,7282,6278,6143,5891,5316,5512,5791,5593,5629,5892,4907,4642,5015,5641,5603,5721
"06000","California","8","SA25N 1/","102","114","        Fishing, hunting and trapping",8425,7656,6947,5656,6142,4852,5262,5098,4939,4875,4911,4719,4598,4324,4476,4856,5265
"06000","California","8","SA25N 1/","103","115","        Support activities for agriculture and forestry",189852,187755,186952,178289,176132,178474,177763,188041,189640,198295,203112,194290,203838,207086,214166,224416,228331
"06000","California","8","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",40264,37062,35580,38070,33355,35797,34725,36535,40463,44849,54556,52571,60508,54955,69165,70289,74205
"06000","California","8","SA25N 1/","201","211","        Oil and gas extraction",21187,19394,17961,19776,17605,20177,19192,20261,22685,23834,33524,33717,40724,33633,43144,46687,49035
"06000","California","8","SA25N 1/","202","212","        Mining (except oil and gas)",9668,9849,9244,9413,8018,8046,7829,7752,8011,9667,8556,8068,8452,8420,11508,9885,10731
"06000","California","8","SA25N 1/","203","213","        Support activities for mining",9409,7819,8375,8881,7732,7574,7704,8522,9767,11348,12476,10786,11332,12902,14513,13717,14439
"06000","California","8","SA25N 1/","300","22","      Utilities",59528,58929,57814,56349,56374,57001,57711,57731,58188,60290,61741,62187,59394,60234,61631,61307,60497
"06000","California","8","SA25N 1/","400","23","      Construction",901676,962387,995954,1063005,1053133,1089235,1168899,1250501,1288556,1248774,1129064,953232,867821,870089,910170,967106,1009359
"06000","California","8","SA25N 1/","401","236","        Construction of buildings",204999,225720,238226,253840,258921,254368,271484,297857,309322,296463,269106,226305,207386,203073,216830,227860,239637
"06000","California","8","SA25N 1/","402","237","        Heavy and civil engineering construction",92104,94499,93704,99335,103320,101186,101723,106317,110806,110107,100721,86253,78256,81981,89828,91795,91563
"06000","California","8","SA25N 1/","403","238","        Specialty trade contractors",604573,642168,664024,709830,690892,733681,795692,846327,868428,842204,759237,640674,582179,585035,603512,647451,678159
"06000","California","8","SA25N 1/","500","31-33","      Manufacturing",1946179,1904859,1922832,1868376,1720698,1615308,1601699,1582917,1576735,1547902,1503571,1376597,1323014,1335897,1346373,1357683,1386726
"06000","California","8","SA25N 1/","510","321,327-339","        Durable goods manufacturing",1255477,1225864,1246973,1213862,1099307,1021001,1009365,1006628,1001277,972672,943599,850889,815572,827883,831032,835143,852397
"06000","California","8","SA25N 1/","511","321","          Wood product manufacturing",47836,48392,48309,47144,44758,43922,44475,43561,40927,37503,32414,26913,24582,23913,24231,25765,27278
"06000","California","8","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",46466,47845,48899,49118,48053,46633,47652,49097,49336,47087,40452,33822,31536,32004,32116,32663,34081
"06000","California","8","SA25N 1/","513","331","          Primary metal manufacturing",31477,30671,31232,30126,27715,26012,25904,25878,26224,25758,24839,21065,20078,21054,20971,20065,19503
"06000","California","8","SA25N 1/","514","332","          Fabricated metal product manufacturing",180940,175555,179993,173356,153172,144175,146923,147830,149069,148563,147109,125916,121882,127545,130978,133679,137702
"06000","California","8","SA25N 1/","515","333","          Machinery manufacturing",115999,110246,114101,110325,98821,92824,87326,86657,86253,85692,83450,75628,72662,77871,78447,79789,80724
"06000","California","8","SA25N 1/","516","334","          Computer and electronic product manufacturing",430502,414407,428926,423861,366368,329051,324545,324813,322483,306932,303995,283939,277468,277691,274202,266162,266737
"06000","California","8","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",44795,44553,46420,45796,42791,38567,35599,35132,34556,34345,33450,31272,30223,31270,32465,32752,33950
"06000","California","8","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",44530,45298,46069,43720,43156,40836,41190,39864,39537,36730,34781,28115,23316,20089,20233,20456,25028
"06000","California","8","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",122381,115644,107661,101765,96395,88585,90091,89614,88943,89141,90191,86999,83119,84791,83631,84624,84366
