"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"08000","Colorado","7","SA25N 1/","10","...","Total employment (number of jobs)",2734774,2811556,2924168,2949392,2922561,2914219,2964448,3040896,3112200,3220435,3255874,3171779,3142160,3203580,3260210,3353830,3452307
"08000","Colorado","7","SA25N 1/","20","...","  Wage and salary employment",2172785,2247839,2331747,2346994,2305927,2277327,2301880,2351292,2404895,2454794,2482214,2378317,2349153,2387218,2438809,2509143,2596484
"08000","Colorado","7","SA25N 1/","40","...","  Proprietors employment",561989,563717,592421,602398,616634,636892,662568,689604,707305,765641,773660,793462,793007,816362,821401,844687,855823
"08000","Colorado","7","SA25N 1/","50","...","    Farm proprietors employment",29586,28911,29601,30873,31826,30471,29148,28483,27899,33143,32689,32193,32509,32842,32133,32053,31528
"08000","Colorado","7","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",532403,534806,562820,571525,584808,606421,633420,661121,679406,732498,740971,761269,760498,783520,789268,812634,824295
"08000","Colorado","7","SA25N 1/","70","111-112","  Farm employment",44226,43848,45004,46541,44775,45904,43337,42610,41867,45046,45177,44244,45101,44719,44090,44816,43488
"08000","Colorado","7","SA25N 1/","80","...","  Nonfarm employment",2690548,2767708,2879164,2902851,2877786,2868315,2921111,2998286,3070333,3175389,3210697,3127535,3097059,3158861,3216120,3309014,3408819
"08000","Colorado","7","SA25N 1/","90","113-814","    Private nonfarm employment",2321316,2392726,2494539,2512185,2473437,2462258,2515289,2585463,2653417,2751837,2773316,2679970,2642437,2703447,2759277,2843653,2937446
"08000","Colorado","7","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",9535,9445,8707,8555,9584,8822,9226,9475,9551,10377,10994,11626,11781,11784,12098,12306,12410
"08000","Colorado","7","SA25N 1/","101","113","        Forestry and logging",696,732,682,636,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",577,554,724,751,806
"08000","Colorado","7","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",782,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",971,926,940,1022,1099
"08000","Colorado","7","SA25N 1/","103","115","        Support activities for agriculture and forestry",7920,7818,7165,7137,8023,7526,7788,7968,8042,8773,9353,10012,10233,10304,10434,10533,10505
"08000","Colorado","7","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",23105,22001,21003,22946,21924,24493,24263,27470,32685,39379,48345,43647,49007,48485,60577,63186,69000
"08000","Colorado","7","SA25N 1/","201","211","        Oil and gas extraction",12925,12135,11279,12328,11593,13656,12494,13628,15812,17765,24267,24687,29312,25798,33029,37807,40589
"08000","Colorado","7","SA25N 1/","202","212","        Mining (except oil and gas)",6796,6817,6367,6480,6062,5804,5684,5937,6172,7355,7196,6621,6755,6739,8814,7887,7831
"08000","Colorado","7","SA25N 1/","203","213","        Support activities for mining",3384,3049,3357,4138,4269,5033,6085,7905,10701,14259,16882,12339,12940,15948,18734,17492,20580
"08000","Colorado","7","SA25N 1/","300","22","      Utilities",9125,8892,8499,8355,8386,8186,8270,8366,8550,8523,8889,8873,8744,8589,8509,8345,8706
"08000","Colorado","7","SA25N 1/","400","23","      Construction",196353,212129,230157,237389,228045,220260,224802,238627,248175,250657,241464,207727,185757,182129,186679,202941,219108
"08000","Colorado","7","SA25N 1/","401","236","        Construction of buildings",41641,45596,49176,50205,47579,43223,44366,47537,49664,49885,47058,40059,35276,33061,35038,38169,41813
"08000","Colorado","7","SA25N 1/","402","237","        Heavy and civil engineering construction",19513,21936,23397,25013,25088,23142,22867,24345,26273,26880,26748,22843,20509,21211,21382,24141,26508
"08000","Colorado","7","SA25N 1/","403","238","        Specialty trade contractors",135199,144597,157584,162171,155378,153895,157569,166745,172238,173892,167658,144825,129972,127857,130259,140631,150787
"08000","Colorado","7","SA25N 1/","500","31-33","      Manufacturing",200544,196923,197752,192060,177018,163840,162134,161564,160978,159571,156342,144236,138401,143624,146989,149394,154401
"08000","Colorado","7","SA25N 1/","510","321,327-339","        Durable goods manufacturing",137294,134543,135071,131419,119231,108257,107923,108081,108270,106764,103692,93669,89455,93274,95478,96095,98818
"08000","Colorado","7","SA25N 1/","511","321","          Wood product manufacturing",5833,5934,5965,5834,5476,5532,6183,6364,6613,6335,5618,4306,3737,3591,3833,4067,4304
"08000","Colorado","7","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",10122,10687,11016,10763,10283,9439,9602,9898,10164,10291,9610,7789,7428,7794,7819,8348,8777
"08000","Colorado","7","SA25N 1/","513","331","          Primary metal manufacturing",2687,2245,2198,2236,2080,2065,2007,2027,2228,2262,2290,2121,2224,2433,2593,2512,2520
"08000","Colorado","7","SA25N 1/","514","332","          Fabricated metal product manufacturing",18977,18607,18944,18300,16775,15504,16001,15964,16153,16388,16466,14323,13524,14560,15083,16097,16942
"08000","Colorado","7","SA25N 1/","515","333","          Machinery manufacturing",12532,11486,11477,10977,10036,9368,9293,9443,9801,10513,11210,10647,10554,11729,12076,11840,12299
"08000","Colorado","7","SA25N 1/","516","334","          Computer and electronic product manufacturing",48647,47824,48657,48048,41061,33933,32394,30949,29976,27344,26079,23945,23236,23929,24192,22412,22112
"08000","Colorado","7","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",2090,2065,2249,3010,2724,2493,2476,2363,2325,2197,2068,1904,1946,2226,2651,2702,2821
"08000","Colorado","7","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",4481,4418,4540,"(D)",3215,2677,2528,2584,2274,"(D)",2003,1747,1638,1789,1809,1866,1912
"08000","Colorado","7","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",10075,9337,8522,"(D)",7564,7636,7821,8417,8309,"(D)",7837,7816,7481,7442,7254,7199,7238
"08000","Colorado","7","SA25N 1/","521","337","          Furniture and related product manufacturing",8326,8744,8829,8513,7902,7748,7781,7868,7892,7900,7639,6237,5568,5427,5408,5779,6259
"08000","Colorado","7","SA25N 1/","522","339","          Miscellaneous manufacturing",13524,13196,12674,12041,12115,11862,11837,12204,12535,13088,12872,12834,12119,12354,12760,13273,13634
"08000","Colorado","7","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",63250,62380,62681,60641,57787,55583,54211,53483,52708,52807,52650,50567,48946,50350,51511,53299,55583
"08000","Colorado","7","SA25N 1/","531","311","          Food manufacturing",20176,19618,20141,20429,20151,19027,18455,17957,18105,18633,19362,19473,19358,20636,20883,21692,22589
"08000","Colorado","7","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",6408,6050,5938,6148,5981,5966,6063,5918,5939,5633,5558,5609,5538,5791,6059,6483,7039
"08000","Colorado","7","SA25N 1/","533","313","          Textile mills",354,"(T)","(T)",233,235,233,222,211,199,203,163,190,183,196,182,222,227
"08000","Colorado","7","SA25N 1/","534","314","          Textile product mills",1647,1602,1600,1577,1761,2031,2001,1991,2039,2177,2127,1967,1823,1643,1643,1580,1577
"08000","Colorado","7","SA25N 1/","535","315","          Apparel manufacturing",2802,2591,2212,1980,1690,1595,1606,1641,1655,1722,1526,1702,1525,1342,1693,1925,2295
"08000","Colorado","7","SA25N 1/","536","316","          Leather and allied product manufacturing",928,958,1063,967,868,645,420,448,476,444,439,354,319,442,479,315,287
