"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"09000","Connecticut","1","SA25N 1/","10","...","Total employment (number of jobs)",2033712,2065991,2109954,2113713,2107077,2102746,2130254,2159357,2192075,2238029,2250277,2192926,2162120,2196944,2212158,2234510,2256250
"09000","Connecticut","1","SA25N 1/","20","...","  Wage and salary employment",1709380,1732908,1756884,1753318,1740251,1718928,1725032,1734386,1751451,1767373,1769889,1699245,1673114,1688186,1706144,1717967,1734286
"09000","Connecticut","1","SA25N 1/","40","...","  Proprietors employment",324332,333083,353070,360395,366826,383818,405222,424971,440624,470656,480388,493681,489006,508758,506014,516543,521964
"09000","Connecticut","1","SA25N 1/","50","...","    Farm proprietors employment",4024,3888,3810,4074,4020,3847,3758,3728,3646,4189,4397,4567,4777,5069,5172,5299,5303
"09000","Connecticut","1","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",320308,329195,349260,356321,362806,379971,401464,421243,436978,466467,475991,489114,484229,503689,500842,511244,516661
"09000","Connecticut","1","SA25N 1/","70","111-112","  Farm employment",9650,9550,9801,10212,10215,10130,8898,8638,8079,8416,9003,9016,9172,9875,9947,10762,10774
"09000","Connecticut","1","SA25N 1/","80","...","  Nonfarm employment",2024062,2056441,2100153,2103501,2096862,2092616,2121356,2150719,2183996,2229613,2241274,2183910,2152948,2187069,2202211,2223748,2245476
"09000","Connecticut","1","SA25N 1/","90","113-814","    Private nonfarm employment",1778207,1804898,1841688,1838757,1827482,1826549,1856449,1883544,1916374,1961165,1968693,1914641,1887462,1926065,1940516,1962054,1983665
"09000","Connecticut","1","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",3191,2564,2630,2449,2632,2347,2510,2493,2527,2625,2654,2582,2419,2395,2433,2469,2563
"09000","Connecticut","1","SA25N 1/","101","113","        Forestry and logging","(T)","(T)",443,435,429,380,416,464,464,462,495,434,366,398,509,"(D)",586
"09000","Connecticut","1","SA25N 1/","102","114","        Fishing, hunting and trapping",760,"(T)",599,518,581,480,552,548,558,537,528,529,537,504,486,"(D)",541
"09000","Connecticut","1","SA25N 1/","103","115","        Support activities for agriculture and forestry",1951,1777,1588,1496,1622,1487,1542,1481,1505,1626,1631,1619,1516,1493,1438,1423,1436
"09000","Connecticut","1","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",1844,1891,1744,2006,1783,2075,1870,1894,2084,2394,2903,2689,3041,2601,3607,3493,3744
"09000","Connecticut","1","SA25N 1/","201","211","        Oil and gas extraction",886,887,739,938,810,1047,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",1553,2101,2221,2370
"09000","Connecticut","1","SA25N 1/","202","212","        Mining (except oil and gas)",888,932,929,"(D)",912,959,925,867,914,1155,1168,952,1019,982,1387,1179,1280
"09000","Connecticut","1","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)",61,69,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",66,119,93,94
"09000","Connecticut","1","SA25N 1/","300","22","      Utilities",10054,9895,9831,9436,9141,8962,8810,8763,6886,6927,7118,6956,6696,6529,6339,6531,6483
"09000","Connecticut","1","SA25N 1/","400","23","      Construction",99162,102058,106695,110661,107337,109999,117422,122723,126442,128443,123032,110374,101650,103212,104283,107771,110884
"09000","Connecticut","1","SA25N 1/","401","236","        Construction of buildings",18583,20234,21229,22202,23084,22124,23269,24578,25335,24983,23912,20990,19290,19156,19889,20281,20896
"09000","Connecticut","1","SA25N 1/","402","237","        Heavy and civil engineering construction",7196,7524,8055,8039,8253,8114,8000,7936,8123,8238,7622,6785,6854,6994,7409,7466,7606
"09000","Connecticut","1","SA25N 1/","403","238","        Specialty trade contractors",73383,74300,77411,80420,76000,79761,86153,90209,92984,95222,91498,82599,75506,77062,76985,80024,82382
"09000","Connecticut","1","SA25N 1/","500","31-33","      Manufacturing",254028,245696,240712,233183,218335,206980,204571,202291,201024,199243,194680,179782,173110,174276,173431,172736,169244
"09000","Connecticut","1","SA25N 1/","510","321,327-339","        Durable goods manufacturing",190574,182715,178194,173166,161332,152244,151215,150374,150273,149678,148382,137647,132300,133795,133902,133089,130220
"09000","Connecticut","1","SA25N 1/","511","321","          Wood product manufacturing",2325,2377,2353,2383,2361,2300,2309,2343,2207,2127,1970,1630,"(D)","(D)","(D)","(D)",1785
"09000","Connecticut","1","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",3190,3114,3156,2935,2905,2752,2832,2993,3024,3174,3033,2647,2424,2565,2548,2555,2566
"09000","Connecticut","1","SA25N 1/","513","331","          Primary metal manufacturing",7149,6592,6459,6236,5584,4943,4673,4607,4540,4157,4175,3448,3461,3670,3974,3762,3737
"09000","Connecticut","1","SA25N 1/","514","332","          Fabricated metal product manufacturing",43380,41626,41181,39026,35868,34004,34518,34603,34937,34367,33999,30453,28917,29849,30181,30997,30785
"09000","Connecticut","1","SA25N 1/","515","333","          Machinery manufacturing",25978,24547,24325,23362,21091,19534,19415,18956,18907,18957,18556,16986,15860,15675,15416,15046,14924
"09000","Connecticut","1","SA25N 1/","516","334","          Computer and electronic product manufacturing",23896,22572,22633,21082,18238,16082,15565,15205,14720,14354,14440,13678,13530,13638,13333,13047,12799
"09000","Connecticut","1","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",14087,13062,13066,13066,11916,11465,11086,10801,10723,11478,11234,10270,10029,10161,10174,9840,9531
"09000","Connecticut","1","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",7382,7493,7306,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"09000","Connecticut","1","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",44414,42382,39209,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",39087,39056,38946,38190,36856
"09000","Connecticut","1","SA25N 1/","521","337","          Furniture and related product manufacturing",3709,3974,4024,4059,3888,3729,3843,3724,3944,3837,3675,3059,2918,2814,2756,2889,"(D)"
"09000","Connecticut","1","SA25N 1/","522","339","          Miscellaneous manufacturing",15064,14976,14482,13875,13966,14003,13629,13504,13491,13454,12798,12230,11413,11638,11695,11692,10779
"09000","Connecticut","1","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",63454,62981,62518,60017,57003,54736,53356,51917,50751,49565,46298,42135,40810,40481,39529,39647,39024
"09000","Connecticut","1","SA25N 1/","531","311","          Food manufacturing",8003,8157,7941,7613,7762,7828,7850,7906,7920,7931,7468,7620,7690,7722,7764,8079,8325
"09000","Connecticut","1","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",1073,1085,1050,1178,1316,1454,1172,1139,1095,1025,916,925,946,930,1047,1095,1212
"09000","Connecticut","1","SA25N 1/","533","313","          Textile mills",2115,1996,1967,1742,1335,1225,1066,941,884,936,894,801,763,781,786,736,678
"09000","Connecticut","1","SA25N 1/","534","314","          Textile product mills",1277,1289,1294,1300,1270,1288,1349,1313,1340,1372,1303,1139,1156,1160,1151,1217,1282
"09000","Connecticut","1","SA25N 1/","535","315","          Apparel manufacturing",2601,1843,1437,1279,1100,908,702,643,"(D)",702,530,561,"(D)","(D)","(D)","(D)","(D)"
"09000","Connecticut","1","SA25N 1/","536","316","          Leather and allied product manufacturing",467,357,364,319,285,295,"(D)",389,"(D)",388,380,334,"(D)","(D)","(D)","(D)","(D)"
