"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"11000","District of Columbia","2","SA25N 1/","10","...","Total employment (number of jobs)",697888,711756,734613,740575,756799,753099,763498,769839,779372,790525,797335,799704,809387,827116,834614,848478,858685
"11000","District of Columbia","2","SA25N 1/","20","...","  Wage and salary employment",652232,664926,684236,688978,704084,698723,705133,708394,715513,720920,724819,723857,732179,744088,749686,759033,768122
"11000","District of Columbia","2","SA25N 1/","40","...","  Proprietors employment",45656,46830,50377,51597,52715,54376,58365,61445,63859,69605,72516,75847,77208,83028,84928,89445,90563
"11000","District of Columbia","2","SA25N 1/","50","...","    Farm proprietors employment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",45656,46830,50377,51597,52715,54376,58365,61445,63859,69605,72516,75847,77208,83028,84928,89445,90563
"11000","District of Columbia","2","SA25N 1/","70","111-112","  Farm employment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA25N 1/","80","...","  Nonfarm employment",697888,711756,734613,740575,756799,753099,763498,769839,779372,790525,797335,799704,809387,827116,834614,848478,858685
"11000","District of Columbia","2","SA25N 1/","90","113-814","    Private nonfarm employment",448996,466463,493870,495417,502686,502895,514754,522729,532200,546709,552049,547898,547028,565832,578201,595535,607079
"11000","District of Columbia","2","SA25N 1/","100","113-115","      Forestry, fishing, and related activities","(T)","(T)","(T)","(D)","(D)",59,68,70,66,68,76,91,69,76,84,77,79
"11000","District of Columbia","2","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)",12,15,17,18,20,17,17,"(L)",11,17,14,15
"11000","District of Columbia","2","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(L)",10,"(L)","(L)","(L)",10,"(L)","(L)",11,"(L)","(L)",11,14,15
"11000","District of Columbia","2","SA25N 1/","103","115","        Support activities for agriculture and forestry","(T)","(T)","(T)",45,47,39,44,44,38,44,51,63,56,58,56,49,49
"11000","District of Columbia","2","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction","(T)",295,279,"(D)","(D)",270,233,"(D)",220,238,348,329,450,344,490,517,554
"11000","District of Columbia","2","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)",241,256,219,"(D)","(D)","(D)",206,207,317,300,412,309,404,466,497
"11000","District of Columbia","2","SA25N 1/","202","212","        Mining (except oil and gas)","(T)","(T)","(T)",23,"(D)",11,15,12,"(L)",19,19,20,28,26,65,40,46
"11000","District of Columbia","2","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(L)",12,12,"(L)",10,"(L)",21,11,11
"11000","District of Columbia","2","SA25N 1/","300","22","      Utilities",1855,2276,2761,"(D)","(D)",2616,2544,2626,2487,2438,2405,2508,1886,1877,1898,1953,1989
"11000","District of Columbia","2","SA25N 1/","400","23","      Construction",10764,11420,13158,13613,14578,15420,14898,"(D)",15309,15496,15728,14439,13298,14833,16440,17176,17462
"11000","District of Columbia","2","SA25N 1/","401","236","        Construction of buildings",3392,3878,4504,4436,5139,5346,5183,5352,5367,4865,4659,4246,4239,4426,4703,4835,4684
"11000","District of Columbia","2","SA25N 1/","402","237","        Heavy and civil engineering construction",2166,2207,2457,2342,2504,2306,2031,"(D)",1911,2015,2314,2290,2374,2622,2747,2719,2956
"11000","District of Columbia","2","SA25N 1/","403","238","        Specialty trade contractors",5206,5335,6197,6835,6935,7768,7684,8051,8031,8616,8755,7903,6685,7785,8990,9622,9822
"11000","District of Columbia","2","SA25N 1/","500","31-33","      Manufacturing",3998,4062,4019,3801,"(D)",2951,2859,2528,2176,2191,2065,1932,1764,1625,1580,1711,1799
"11000","District of Columbia","2","SA25N 1/","510","321,327-339","        Durable goods manufacturing",1322,1361,1341,1486,"(D)",1092,1023,862,781,765,769,756,693,679,674,719,711
"11000","District of Columbia","2","SA25N 1/","511","321","          Wood product manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia","2","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",148,137,139,120,118,124,128,134,"(D)",122,128,120,87,102,119,122,134
"11000","District of Columbia","2","SA25N 1/","513","331","          Primary metal manufacturing","(T)","(T)","(T)",24,13,13,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia","2","SA25N 1/","514","332","          Fabricated metal product manufacturing","(T)","(T)","(T)",44,89,84,93,75,80,"(D)","(D)","(D)",85,75,80,73,60
"11000","District of Columbia","2","SA25N 1/","515","333","          Machinery manufacturing","(T)","(T)","(T)",80,62,49,43,37,30,27,19,21,14,14,"(D)","(D)","(D)"
"11000","District of Columbia","2","SA25N 1/","516","334","          Computer and electronic product manufacturing",265,285,274,"(D)",461,373,289,247,169,172,180,182,188,138,117,108,97
"11000","District of Columbia","2","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia","2","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",97,107,110,"(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)"
"11000","District of Columbia","2","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",19,15,14,"(L)",10,11
"11000","District of Columbia","2","SA25N 1/","521","337","          Furniture and related product manufacturing","(T)","(T)","(T)",162,148,155,154,149,147,147,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia","2","SA25N 1/","522","339","          Miscellaneous manufacturing",284,260,266,215,197,187,194,118,134,123,"(D)","(D)","(D)","(D)",121,"(D)","(D)"
"11000","District of Columbia","2","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",2676,2701,2678,2315,"(D)",1859,1836,1666,1395,1426,1296,1176,1071,946,906,992,1088
"11000","District of Columbia","2","SA25N 1/","531","311","          Food manufacturing",424,446,475,475,482,448,458,441,294,344,298,249,233,160,205,222,293
"11000","District of Columbia","2","SA25N 1/","532","312","          Beverage and tobacco product manufacturing","(T)",116,113,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia","2","SA25N 1/","533","313","          Textile mills","(T)","(T)","(T)",12,"(D)","(D)","(D)","(D)","(D)",12,14,16,13,"(D)","(D)",10,11
"11000","District of Columbia","2","SA25N 1/","534","314","          Textile product mills","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",29,27,26,"(D)",16,17,16,20,19
"11000","District of Columbia","2","SA25N 1/","535","315","          Apparel manufacturing","(T)","(T)","(T)",51,45,58,61,68,56,71,57,70,76,69,82,101,123
