"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"10000","Delaware","2","SA25N 1/","10","...","Total employment (number of jobs)",477261,489632,500675,501186,499288,502950,516324,526825,535976,544398,544533,525835,520973,529160,532515,543059,554383
"10000","Delaware","2","SA25N 1/","20","...","  Wage and salary employment",417879,429712,437114,435784,431581,431694,441003,446581,451218,452462,452314,430765,426675,430161,433583,441824,452023
"10000","Delaware","2","SA25N 1/","40","...","  Proprietors employment",59382,59920,63561,65402,67707,71256,75321,80244,84758,91936,92219,95070,94298,98999,98932,101235,102360
"10000","Delaware","2","SA25N 1/","50","...","    Farm proprietors employment",2615,2500,2505,2396,2184,2011,1944,1915,1854,2009,1977,1935,1988,1957,1924,1965,2007
"10000","Delaware","2","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",56767,57420,61056,63006,65523,69245,73377,78329,82904,89927,90242,93135,92310,97042,97008,99270,100353
"10000","Delaware","2","SA25N 1/","70","111-112","  Farm employment",4004,4046,4252,4035,3806,3379,3255,3163,3137,3208,3045,2971,3133,3101,3737,3639,3801
"10000","Delaware","2","SA25N 1/","80","...","  Nonfarm employment",473257,485586,496423,497151,495482,499571,513069,523662,532839,541190,541488,522864,517840,526059,528778,539420,550582
"10000","Delaware","2","SA25N 1/","90","113-814","    Private nonfarm employment",409203,421050,430197,430267,427986,431897,445619,455374,463243,470682,469789,451212,444903,453268,454990,465272,475946
"10000","Delaware","2","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",1478,1419,1239,"(D)",955,819,859,862,834,880,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10000","Delaware","2","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",65,"(D)",56,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10000","Delaware","2","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)",195,"(D)","(D)","(D)","(D)",217,"(D)","(D)","(D)",180,"(D)","(D)"
"10000","Delaware","2","SA25N 1/","103","115","        Support activities for agriculture and forestry",1121,1072,927,634,632,568,569,567,564,607,647,729,751,869,880,919,911
