"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"98000","Far West","8","SA25N 1/","10","...","Total employment (number of jobs)",26106175,26691221,27292280,27433895,27454388,27709032,28261967,28928022,29595772,30241543,30016961,28868047,28498608,28981489,29807787,30634065,31396418
"98000","Far West","8","SA25N 1/","20","...","  Wage and salary employment",21024810,21606960,22203631,22308851,22201019,22233712,22502408,22898573,23368079,23627265,23440704,22180586,21805855,22032978,22804094,23426638,24097295
"98000","Far West","8","SA25N 1/","40","...","  Proprietors employment",5081365,5084261,5088649,5125044,5253369,5475320,5759559,6029449,6227693,6614278,6576257,6687461,6692753,6948511,7003693,7207427,7299123
"98000","Far West","8","SA25N 1/","50","...","    Farm proprietors employment",176593,176161,176036,165239,161272,150510,145171,143457,138879,148088,146031,144029,143045,141474,139238,139622,137858
"98000","Far West","8","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",4904772,4908100,4912613,4959805,5092097,5324810,5614388,5885992,6088814,6466190,6430226,6543432,6549708,6807037,6864455,7067805,7161265
"98000","Far West","8","SA25N 1/","70","111-112","  Farm employment",502670,533500,491557,455143,482494,476931,436410,402858,380612,395055,387317,393546,399781,395341,392720,397956,410858
"98000","Far West","8","SA25N 1/","80","...","  Nonfarm employment",25603505,26157721,26800723,26978752,26971894,27232101,27825557,28525164,29215160,29846488,29629644,28474501,28098827,28586148,29415067,30236109,30985560
"98000","Far West","8","SA25N 1/","90","113-814","    Private nonfarm employment",22004684,22472889,23007370,23115890,23003201,23264405,23871517,24558544,25209877,25779706,25488570,24353604,24040986,24603295,25466490,26298556,27015085
"98000","Far West","8","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",303777,296261,288944,"(D)",275415,268828,272191,283881,284907,294153,300847,290271,298607,302144,313625,327753,334961
"98000","Far West","8","SA25N 1/","101","113","        Forestry and logging",32029,32623,29766,28566,"(D)","(D)",26281,"(D)","(D)","(D)","(D)","(D)",19217,20418,"(D)","(D)","(D)"
"98000","Far West","8","SA25N 1/","102","114","        Fishing, hunting and trapping",43061,38708,35612,29216,32402,"(D)","(D)","(D)",28838,28144,28718,"(D)","(D)","(D)","(D)","(D)","(D)"
"98000","Far West","8","SA25N 1/","103","115","        Support activities for agriculture and forestry",228687,224930,223566,"(D)","(D)",217113,"(D)",227908,"(D)","(D)","(D)",241532,"(D)","(D)",263875,275527,280199
"98000","Far West","8","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",78427,71594,69206,"(D)",64553,68035,67292,70862,78383,87808,101244,96537,108554,103208,129290,128596,134424
"98000","Far West","8","SA25N 1/","201","211","        Oil and gas extraction",27745,25662,23909,26365,23663,26863,"(D)","(D)",30238,31958,"(D)","(D)",53913,44897,57404,62572,65844
"98000","Far West","8","SA25N 1/","202","212","        Mining (except oil and gas)",33481,31633,29425,"(D)",25620,"(D)","(D)","(D)","(D)","(D)",31592,29045,31043,32353,42772,38577,40032
"98000","Far West","8","SA25N 1/","203","213","        Support activities for mining",17201,14299,15872,16723,15270,"(D)",15512,16863,"(D)","(D)","(D)","(D)",23598,25958,29114,27447,28548
"98000","Far West","8","SA25N 1/","300","22","      Utilities",80001,79179,77790,76007,76202,76901,77906,77362,78075,80186,82520,82645,79809,80278,81974,81750,81032
"98000","Far West","8","SA25N 1/","400","23","      Construction",1378293,1450249,1491034,1557240,1541955,1594347,1714828,1852343,1934993,1910014,1745742,1456511,1306036,1291661,1337047,1416194,1486388
"98000","Far West","8","SA25N 1/","401","236","        Construction of buildings",328959,353894,367119,382051,388028,380710,405167,445863,468412,458503,419474,347581,313260,304101,320597,337520,356821
"98000","Far West","8","SA25N 1/","402","237","        Heavy and civil engineering construction",145398,149686,149794,154453,159751,157574,160910,171115,180395,179829,163673,141077,128844,130477,138045,141515,142677
"98000","Far West","8","SA25N 1/","403","238","        Specialty trade contractors",903936,946669,974121,1020736,994176,1056063,1148751,1235365,1286186,1271682,1162595,967853,863932,857083,878405,937159,986890
"98000","Far West","8","SA25N 1/","500","31-33","      Manufacturing",2637948,2573722,2582170,2506323,2310682,2179573,2172248,2168764,2183975,2164156,2103905,1919322,1847534,1880429,1909435,1937019,1978096
"98000","Far West","8","SA25N 1/","510","321,327-339","        Durable goods manufacturing",1739711,1690890,1703981,1657046,1503716,"(D)",1398537,1411594,1424247,1402057,1361773,1219302,1169673,1196895,1214383,1228278,1250214
"98000","Far West","8","SA25N 1/","511","321","          Wood product manufacturing",113213,112524,112287,"(D)","(D)","(D)","(D)",103360,"(D)","(D)","(D)","(D)",62301,60545,61590,"(D)","(D)"
"98000","Far West","8","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",66415,68194,69628,69602,68467,67397,69658,72421,"(D)",72027,63982,53834,50590,51531,51435,52681,54547
"98000","Far West","8","SA25N 1/","513","331","          Primary metal manufacturing",55409,53469,52833,"(D)","(D)","(D)",39982,"(D)",42077,42342,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"98000","Far West","8","SA25N 1/","514","332","          Fabricated metal product manufacturing",227317,220557,225796,217463,193429,183534,188410,191463,194994,"(D)","(D)","(D)",160811,169119,174326,178093,182763
"98000","Far West","8","SA25N 1/","515","333","          Machinery manufacturing",148978,143026,147322,141667,126979,120070,115358,115415,116406,116651,114250,101452,97665,105183,"(D)","(D)","(D)"
"98000","Far West","8","SA25N 1/","516","334","          Computer and electronic product manufacturing",518643,499057,516530,"(D)",440862,397066,391487,392106,390997,374934,370085,343767,335880,338241,335942,"(D)","(D)"
"98000","Far West","8","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",52758,52604,54941,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",42939
"98000","Far West","8","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",60502,62534,63350,59489,58704,56236,58687,58558,58082,53809,48682,37020,32491,29740,30477,30649,35620
"98000","Far West","8","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",249772,229367,209307,203440,186000,167856,166425,171134,179111,186926,191155,184804,177607,185327,192240,194495,192344
"98000","Far West","8","SA25N 1/","521","337","          Furniture and related product manufacturing",99342,104066,104236,101177,93252,88490,89426,87898,86691,78395,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"98000","Far West","8","SA25N 1/","522","339","          Miscellaneous manufacturing",147362,145492,147751,142578,140394,137655,132970,135331,138924,145460,142234,"(D)",130833,131395,134045,138304,140582
"98000","Far West","8","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",898237,882832,878189,849277,806966,"(D)",773711,757170,759728,762099,742132,700020,677861,683534,695052,708741,727882
"98000","Far West","8","SA25N 1/","531","311","          Food manufacturing",250901,246550,245085,245906,240404,237821,238383,235712,234695,242695,241006,236212,232510,240579,245936,251381,257865
"98000","Far West","8","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",41976,41994,42298,45709,46114,46289,48165,49888,55170,58098,59340,59302,56985,59322,63218,67540,73924
"98000","Far West","8","SA25N 1/","533","313","          Textile mills",18815,19554,19303,17219,16385,14470,15303,14556,13818,12909,12360,11156,10674,10946,10382,10579,10141
"98000","Far West","8","SA25N 1/","534","314","          Textile product mills",26225,25115,24965,23664,23119,"(D)",21277,19781,18298,18611,17651,15830,15039,14639,14226,14890,14847
"98000","Far West","8","SA25N 1/","535","315","          Apparel manufacturing",145674,140775,138024,"(D)","(D)",101482,100201,92434,"(D)",90897,84101,76588,73821,"(D)","(D)","(D)",77557
"98000","Far West","8","SA25N 1/","536","316","          Leather and allied product manufacturing",8956,8503,8762,7856,7583,6855,6347,6050,5919,5617,5635,5206,5483,6151,6295,5704,5092
"98000","Far West","8","SA25N 1/","537","322","          Paper manufacturing",61984,60395,58608,"(D)","(D)","(D)","(D)",47761,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"98000","Far West","8","SA25N 1/","538","323","          Printing and related support activities",128608,124941,123992,115063,105750,97923,96883,92995,91892,90953,87624,81191,76620,73475,73289,72872,74503
"98000","Far West","8","SA25N 1/","539","324","          Petroleum and coal products manufacturing",20637,21021,19650,"(D)",19949,20056,"(D)","(D)","(D)","(D)","(D)",20323,"(D)","(D)","(D)","(D)",17387
"98000","Far West","8","SA25N 1/","541","325","          Chemical manufacturing",96263,95088,95839,"(D)","(D)","(D)","(D)",97170,99891,97112,95722,90918,87978,90354,92445,94050,97079
"98000","Far West","8","SA25N 1/","542","326","          Plastics and rubber products manufacturing",98198,98896,101663,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"98000","Far West","8","SA25N 1/","600","42","      Wholesale trade",966345,982166,1002413,1007010,994808,994778,1017079,1053852,1089192,1109926,1095485,1019811,1004048,1030119,1046363,1070459,1088612
"98000","Far West","8","SA25N 1/","700","44-45","      Retail trade",2818886,2800444,2847968,2835773,2844209,2884080,2926936,3007606,3049904,3078066,2990168,2822924,2767532,2826262,2866348,2937184,2999369
"98000","Far West","8","SA25N 1/","701","441","        Motor vehicle and parts dealers",307564,312777,320510,327034,334231,331973,340402,344004,340953,339698,318144,275614,267670,270445,278126,290514,301615
"98000","Far West","8","SA25N 1/","702","442","        Furniture and home furnishings stores",87910,92540,98781,99013,102206,103770,105721,108613,111793,108319,97121,81125,79701,82375,80508,81148,82045
"98000","Far West","8","SA25N 1/","703","443","        Electronics and appliance stores",118207,119949,124120,120450,111376,110912,112579,113490,114130,113506,113225,96259,94120,99517,95625,89345,88437
"98000","Far West","8","SA25N 1/","704","444","        Building material and garden equipment and supplies dealers",157781,165925,172315,178629,189995,190855,201177,207333,212056,207219,192315,177036,173121,172984,178444,187781,190468
"98000","Far West","8","SA25N 1/","705","445","        Food and beverage stores",481939,488910,492177,488820,493650,494270,490545,501958,507962,514458,519563,511734,505963,510106,514933,527566,539421
"98000","Far West","8","SA25N 1/","706","446","        Health and personal care stores",156187,155284,158256,164882,165060,167028,169604,169329,174866,178117,175937,170791,164483,169273,174613,177142,178513
"98000","Far West","8","SA25N 1/","707","447","        Gasoline stations",111953,110244,108851,105055,103976,102991,103024,100718,100224,98643,96556,93230,91914,90654,91807,93718,96198
"98000","Far West","8","SA25N 1/","708","448","        Clothing and clothing accessories stores",251929,252653,257322,260796,261540,263644,287022,302987,308363,317554,309842,275658,277857,290236,298205,297737,300220
"98000","Far West","8","SA25N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",169395,164871,162181,157978,154083,156064,154800,152350,152387,153294,149771,141553,136037,130808,127575,131057,134075
"98000","Far West","8","SA25N 1/","711","452","        General merchandise stores",367394,363065,373600,382005,386449,403992,407705,427636,446603,455808,454584,452554,451214,460433,468618,476017,483553
"98000","Far West","8","SA25N 1/","712","453","        Miscellaneous store retailers",272336,270661,273514,285542,282543,282761,280246,274580,276337,287313,269512,268501,262838,267177,269888,281433,288477
"98000","Far West","8","SA25N 1/","713","454","        Nonstore retailers",336291,303565,306341,265569,259100,275820,274111,304608,304230,304137,293598,278869,262614,282254,288006,303726,316347
"98000","Far West","8","SA25N 1/","800","48-49","      Transportation and warehousing",801412,804195,828841,838051,817889,810633,831102,862424,885682,920918,905037,859082,840527,865824,902380,937222,977360
"98000","Far West","8","SA25N 1/","801","481","        Air transportation",109793,112059,115215,116167,103565,96895,93379,89048,86135,87572,87403,81271,78633,79901,83660,83543,85451
"98000","Far West","8","SA25N 1/","802","482","        Rail transportation",21750,21682,20635,20281,19437,19113,"(D)",20592,21128,20610,19871,18787,18198,18767,18853,19096,19758
"98000","Far West","8","SA25N 1/","803","483","        Water transportation",11260,10919,10767,"(D)","(D)","(D)","(D)",13688,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"98000","Far West","8","SA25N 1/","804","484","        Truck transportation",235892,235667,249890,250801,252722,249990,261902,277346,286988,299469,285216,276269,267893,274789,277519,288121,296411
"98000","Far West","8","SA25N 1/","805","485","        Transit and ground passenger transportation",83180,83174,82596,84588,85921,86338,87539,91122,93649,99750,100789,98352,96367,103243,115413,124069,131087
"98000","Far West","8","SA25N 1/","806","486","        Pipeline transportation",4513,3667,3929,"(D)","(D)","(D)",3453,3372,"(D)","(D)",4177,4083,"(D)",3925,4027,3895,4152
"98000","Far West","8","SA25N 1/","807","487","        Scenic and sightseeing transportation",12578,12607,13080,12329,11808,11178,11231,12074,12102,15495,15350,13921,13860,14228,17089,16586,17505
"98000","Far West","8","SA25N 1/","808","488","        Support activities for transportation",107844,109719,111786,115782,115989,114720,117015,123155,127638,133535,133713,123020,122876,125149,127737,131443,138039
"98000","Far West","8","SA25N 1/","809","492","        Couriers and messengers",132118,129435,134791,"(D)",131436,134621,133573,135813,137300,136411,"(D)","(D)",118772,"(D)","(D)","(D)","(D)"
"98000","Far West","8","SA25N 1/","811","493","        Warehousing and storage",82484,85266,86152,83570,82725,83783,91631,96214,102596,107823,113216,108257,107838,109235,119778,127148,134294
"98000","Far West","8","SA25N 1/","900","51","      Information",697196,727558,802128,826914,748323,728263,742032,744653,745701,757412,748560,707826,699821,709302,711622,730571,748741
"98000","Far West","8","SA25N 1/","901","511","        Publishing industries (except Internet)",187125,191852,209457,215562,200422,199749,198146,201278,204093,209449,208007,196459,189231,191814,194011,197437,199741
"98000","Far West","8","SA25N 1/","902","512","        Motion picture and sound recording industries",184759,182931,168479,193203,185985,188744,204012,196712,194970,197706,198905,183505,188706,191528,189860,189793,191957
