"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"93000","Great Lakes","3","SA25N 1/","10","...","Total employment (number of jobs)",25942541,26311160,26800160,26508945,26241368,26192833,26406138,26647952,26849629,27116659,26862882,25788466,25591951,26065130,26335969,26640329,27036269
"93000","Great Lakes","3","SA25N 1/","20","...","  Wage and salary employment",22131481,22487073,22792145,22468338,22139848,21951650,22003854,22069172,22146901,22169240,21914093,20747747,20566725,20852395,21171035,21403880,21735261
"93000","Great Lakes","3","SA25N 1/","40","...","  Proprietors employment",3811060,3824087,4008015,4040607,4101520,4241183,4402284,4578780,4702728,4947419,4948789,5040719,5025226,5212735,5164934,5236449,5301008
"93000","Great Lakes","3","SA25N 1/","50","...","    Farm proprietors employment",366182,363803,360944,353043,327331,313360,304689,301740,294239,300705,297709,295703,296514,295409,288434,291721,289559
"93000","Great Lakes","3","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",3444878,3460284,3647071,3687564,3774189,3927823,4097595,4277040,4408489,4646714,4651080,4745016,4728712,4917326,4876500,4944728,5011449
"93000","Great Lakes","3","SA25N 1/","70","111-112","  Farm employment",452205,457885,456353,445135,405571,401924,390256,388673,381701,392155,377847,375294,380875,383959,379176,380041,372751
"93000","Great Lakes","3","SA25N 1/","80","...","  Nonfarm employment",25490336,25853275,26343807,26063810,25835797,25790909,26015882,26259279,26467928,26724504,26485035,25413172,25211076,25681171,25956793,26260288,26663518
"93000","Great Lakes","3","SA25N 1/","90","113-814","    Private nonfarm employment",22328935,22657301,23078704,22777215,22509877,22467956,22706595,22967967,23181105,23429733,23176740,22101932,21931425,22466543,22775415,23103195,23513188
"93000","Great Lakes","3","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",62942,60028,55788,55750,59829,53863,57307,59213,58327,61705,64116,64099,63190,64659,67934,69081,72974
"93000","Great Lakes","3","SA25N 1/","101","113","        Forestry and logging",14752,15185,13654,"(D)",13692,12405,13438,14889,14357,13789,14123,12335,11101,"(D)","(D)","(D)",16109
"93000","Great Lakes","3","SA25N 1/","102","114","        Fishing, hunting and trapping",4997,4709,4817,"(D)",5298,4305,5129,5340,5526,5230,5358,5135,5135,"(D)","(D)","(D)",5462
"93000","Great Lakes","3","SA25N 1/","103","115","        Support activities for agriculture and forestry",43193,40134,37317,37487,40839,37153,38740,38984,38444,42686,44635,46629,46954,47813,48252,48998,51403
"93000","Great Lakes","3","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",68933,67906,64027,67443,62235,66335,62030,64042,68030,70579,83788,81462,92578,83632,106549,109654,118044
"93000","Great Lakes","3","SA25N 1/","201","211","        Oil and gas extraction",28381,28327,25983,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"93000","Great Lakes","3","SA25N 1/","202","212","        Mining (except oil and gas)",34896,34513,32714,32687,30607,29507,29072,29025,29225,30096,28486,26968,27199,28049,32762,30119,31585
"93000","Great Lakes","3","SA25N 1/","203","213","        Support activities for mining",5656,5066,5330,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"93000","Great Lakes","3","SA25N 1/","300","22","      Utilities",110942,109892,108802,104321,98833,94747,93360,93155,93327,93876,96658,94727,91968,90358,90247,89754,89743
"93000","Great Lakes","3","SA25N 1/","400","23","      Construction",1340922,1378591,1424383,1443281,1422932,1437115,1466648,1501439,1496723,1476967,1400396,1248849,1163533,1173429,1183952,1206079,1247036
"93000","Great Lakes","3","SA25N 1/","401","236","        Construction of buildings",309929,328115,337976,345242,351971,336115,344046,353404,353746,339539,321889,284128,267859,258342,264110,268210,279511
