"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"15000","Hawaii","8","SA25N 1/","10","...","Total employment (number of jobs)",738304,737193,752662,756549,761948,778184,802419,826725,849035,872496,867618,839928,832877,844313,858289,877229,890346
"15000","Hawaii","8","SA25N 1/","20","...","  Wage and salary employment",606429,607879,624169,628021,631241,642743,658782,675167,691638,700035,695147,667763,661830,669911,681247,693974,704326
"15000","Hawaii","8","SA25N 1/","40","...","  Proprietors employment",131875,129314,128493,128528,130707,135441,143637,151558,157397,172461,172471,172165,171047,174402,177042,183255,186020
"15000","Hawaii","8","SA25N 1/","50","...","    Farm proprietors employment",5297,5274,5258,5236,4795,4719,4604,4605,4513,6154,6006,5903,5848,5776,5658,5693,5695
"15000","Hawaii","8","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",126578,124040,123235,123292,125912,130722,139033,146953,152884,166307,166465,166262,165199,168626,171384,177562,180325
"15000","Hawaii","8","SA25N 1/","70","111-112","  Farm employment",12501,12292,12839,12289,11962,11917,11596,11395,11304,12485,11653,11281,11510,12304,11757,11869,13061
"15000","Hawaii","8","SA25N 1/","80","...","  Nonfarm employment",725803,724901,739823,744260,749986,766267,790823,815330,837731,860011,855965,828647,821367,832009,846532,865360,877285
"15000","Hawaii","8","SA25N 1/","90","113-814","    Private nonfarm employment",559638,560379,573827,576845,579246,594609,617347,642868,662840,683620,675544,647383,639295,649907,663454,682586,693785
"15000","Hawaii","8","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",5163,4832,4429,3796,4124,3603,3749,3619,3548,3468,3605,3755,3794,3755,4052,4193,4327
"15000","Hawaii","8","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)",72,"(D)","(D)",84,89,87,93,118,90,85,103,110,122
"15000","Hawaii","8","SA25N 1/","102","114","        Fishing, hunting and trapping",3096,2765,2489,"(D)",2252,"(D)","(D)",1788,1689,1667,1661,1653,1680,1527,1616,1720,1837
"15000","Hawaii","8","SA25N 1/","103","115","        Support activities for agriculture and forestry",1956,1952,1852,1647,1800,1793,1757,1747,1770,1714,1851,1984,2024,2143,2333,2363,2368
"15000","Hawaii","8","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",517,477,490,509,437,534,546,604,673,763,960,988,1141,986,1300,1214,1285
"15000","Hawaii","8","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",206,172,214,209,256,315,333,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15000","Hawaii","8","SA25N 1/","202","212","        Mining (except oil and gas)",309,289,284,295,252,"(D)","(D)","(D)","(D)","(D)",405,400,414,419,498,376,390
"15000","Hawaii","8","SA25N 1/","203","213","        Support activities for mining","(T)","(L)","(T)","(L)",13,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15000","Hawaii","8","SA25N 1/","300","22","      Utilities",2903,2866,2816,2709,2742,2768,2824,2999,3096,3263,3380,3415,3451,3534,3829,4094,4165
"15000","Hawaii","8","SA25N 1/","400","23","      Construction",30914,30516,32424,33020,33921,36844,39265,45869,49296,51665,50127,43112,39489,39079,40202,42194,43415
"15000","Hawaii","8","SA25N 1/","401","236","        Construction of buildings",8342,8368,9213,9603,10353,10996,11712,13860,15394,15820,14799,12393,11185,11003,11537,12120,12535
"15000","Hawaii","8","SA25N 1/","402","237","        Heavy and civil engineering construction",4039,4084,4436,4350,4587,4595,4563,5221,5635,5736,5578,4836,4646,4554,4580,4653,4895
"15000","Hawaii","8","SA25N 1/","403","238","        Specialty trade contractors",18533,18064,18775,19067,18981,21253,22990,26788,28267,30109,29750,25883,23658,23522,24085,25421,25985
"15000","Hawaii","8","SA25N 1/","500","31-33","      Manufacturing",18745,18844,19316,19496,18384,17890,18575,18689,18679,19073,18315,17527,16483,16797,17461,18137,18934
"15000","Hawaii","8","SA25N 1/","510","321,327-339","        Durable goods manufacturing",5645,5667,5856,"(D)","(D)","(D)",6005,6227,6316,6697,6517,6302,5783,5917,5776,6036,6143
"15000","Hawaii","8","SA25N 1/","511","321","          Wood product manufacturing","(T)",746,726,"(D)","(D)","(D)","(D)",791,764,"(D)","(D)","(D)",655,593,635,713,"(D)"
"15000","Hawaii","8","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",980,1010,1008,1036,1115,1120,1229,1222,1269,1306,1285,1039,987,1039,1034,1116,1159
"15000","Hawaii","8","SA25N 1/","513","331","          Primary metal manufacturing","(T)","(T)","(T)",18,13,14,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15000","Hawaii","8","SA25N 1/","514","332","          Fabricated metal product manufacturing",549,489,521,481,498,529,564,593,593,583,557,"(D)",449,441,439,450,437
"15000","Hawaii","8","SA25N 1/","515","333","          Machinery manufacturing","(T)","(T)","(T)",89,77,81,82,91,98,108,99,103,109,113,"(D)","(D)","(D)"
"15000","Hawaii","8","SA25N 1/","516","334","          Computer and electronic product manufacturing",201,238,256,379,"(D)","(D)","(D)",120,119,111,204,239,221,214,216,234,245
"15000","Hawaii","8","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",53,65,66,"(D)","(D)"
"15000","Hawaii","8","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)",39,29,"(D)","(D)","(D)","(D)","(D)",16,24,"(D)"
"15000","Hawaii","8","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",446,432,481,"(D)","(D)","(D)","(D)",532,524,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15000","Hawaii","8","SA25N 1/","521","337","          Furniture and related product manufacturing",729,732,816,819,774,780,836,777,781,783,770,656,587,607,553,594,616
"15000","Hawaii","8","SA25N 1/","522","339","          Miscellaneous manufacturing",1826,1798,1812,1794,1857,1847,1772,1975,2032,2184,1960,1962,1822,1792,1901,1945,1992
"15000","Hawaii","8","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",13100,13177,13460,"(D)","(D)","(D)",12570,12462,12363,12376,11798,11225,10700,10880,11685,12101,12791
"15000","Hawaii","8","SA25N 1/","531","311","          Food manufacturing",7377,7360,7353,7170,6843,6590,6856,6807,6739,6742,6559,6265,5986,6143,6727,7031,7415
"15000","Hawaii","8","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",742,860,796,851,755,735,753,868,929,944,961,933,905,909,934,954,975
"15000","Hawaii","8","SA25N 1/","533","313","          Textile mills","(T)","(T)","(T)",44,"(D)",36,65,63,54,59,58,"(D)",56,"(D)","(D)","(D)","(D)"
"15000","Hawaii","8","SA25N 1/","534","314","          Textile product mills","(T)","(T)","(T)",106,120,181,180,228,236,291,260,235,219,247,254,251,252
"15000","Hawaii","8","SA25N 1/","535","315","          Apparel manufacturing",1816,1771,1988,2201,1818,1621,1643,1451,1378,1391,1111,1147,1072,993,1140,1293,1460
"15000","Hawaii","8","SA25N 1/","536","316","          Leather and allied product manufacturing","(T)","(T)","(T)",52,65,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15000","Hawaii","8","SA25N 1/","537","322","          Paper manufacturing","(T)","(T)","(T)",148,169,194,201,202,215,206,153,94,82,83,37,36,56
"15000","Hawaii","8","SA25N 1/","538","323","          Printing and related support activities",1653,1615,1677,1561,1527,1532,1564,1475,1438,1441,1390,1244,1163,1129,1207,1152,1155
"15000","Hawaii","8","SA25N 1/","539","324","          Petroleum and coal products manufacturing",293,396,442,"(D)",430,435,"(D)","(D)","(D)","(D)","(D)",516,"(D)","(D)","(D)","(D)",490
"15000","Hawaii","8","SA25N 1/","541","325","          Chemical manufacturing",467,503,482,581,531,418,460,465,470,445,450,425,416,471,434,454,488
"15000","Hawaii","8","SA25N 1/","542","326","          Plastics and rubber products manufacturing","(T)","(T)","(T)",391,325,340,364,405,385,325,304,263,261,280,331,328,355
"15000","Hawaii","8","SA25N 1/","600","42","      Wholesale trade",20378,20075,20355,20118,19787,20095,20747,21678,21985,22332,22562,21743,21418,21601,21565,21737,21665
"15000","Hawaii","8","SA25N 1/","700","44-45","      Retail trade",85999,83351,84690,83290,81082,82081,84655,88076,88942,89132,87629,84197,82391,84356,86375,88086,88501
"15000","Hawaii","8","SA25N 1/","701","441","        Motor vehicle and parts dealers",6453,6398,6799,6820,6938,7158,7546,7737,7798,7595,7334,6516,6372,6430,6569,6862,7096
"15000","Hawaii","8","SA25N 1/","702","442","        Furniture and home furnishings stores",1513,1563,1653,1702,1701,1839,1950,2178,2173,2051,1932,1655,1558,1565,1584,1551,1591
"15000","Hawaii","8","SA25N 1/","703","443","        Electronics and appliance stores",1712,1669,1727,1742,1655,1584,1684,1804,1862,1907,1862,1440,1527,1617,1542,1459,1432
"15000","Hawaii","8","SA25N 1/","704","444","        Building material and garden equipment and supplies dealers",3368,3587,3644,3924,4269,4633,5080,5139,5292,5380,4990,4524,4384,4528,4391,4444,4562
"15000","Hawaii","8","SA25N 1/","705","445","        Food and beverage stores",13795,13605,13594,13765,13793,13608,13615,13848,13823,13765,14243,14725,14720,14948,14783,15222,15415
"15000","Hawaii","8","SA25N 1/","706","446","        Health and personal care stores",5411,5412,5586,5613,5656,5639,5887,6102,6367,6348,6178,5517,5393,5701,6031,6308,6443
"15000","Hawaii","8","SA25N 1/","707","447","        Gasoline stations",3305,3310,3258,3024,2996,2931,2901,2823,2742,2672,2642,2537,2441,2395,2372,2270,2223
