"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19000","Iowa","4","SA25N 1/","10","...","Total employment (number of jobs)",1877088,1893264,1913422,1899024,1877952,1872263,1901176,1934813,1963484,1990673,1995784,1959105,1945117,1970978,1987528,2012174,2031620
"19000","Iowa","4","SA25N 1/","20","...","  Wage and salary employment",1500525,1521119,1534288,1522064,1508207,1501099,1523691,1547859,1571356,1583442,1590653,1547457,1537132,1553036,1571483,1593246,1609473
"19000","Iowa","4","SA25N 1/","40","...","  Proprietors employment",376563,372145,379134,376960,369745,371164,377485,386954,392128,407231,405131,411648,407985,417942,416045,418928,422147
"19000","Iowa","4","SA25N 1/","50","...","    Farm proprietors employment",97315,95648,94983,91481,81029,76864,74640,73612,71617,74306,73352,72595,72352,72700,72209,72641,72265
"19000","Iowa","4","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",279248,276497,284151,285479,288716,294300,302845,313342,320511,332925,331779,339053,335633,345242,343836,346287,349882
"19000","Iowa","4","SA25N 1/","70","111-112","  Farm employment",113359,109060,109851,106696,96340,91662,89651,91191,87603,89989,91436,88830,91009,90854,88193,91899,87080
"19000","Iowa","4","SA25N 1/","80","...","  Nonfarm employment",1763729,1784204,1803571,1792328,1781612,1780601,1811525,1843622,1875881,1900684,1904348,1870275,1854108,1880124,1899335,1920275,1944540
"19000","Iowa","4","SA25N 1/","90","113-814","    Private nonfarm employment",1515079,1533274,1547315,1535583,1524073,1522159,1551447,1583633,1614024,1637183,1638126,1600138,1585400,1611963,1631893,1653035,1677063
"19000","Iowa","4","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",11448,10966,10163,9995,11008,10232,11017,11269,11359,12565,13428,14454,15208,15314,15946,16593,15669
"19000","Iowa","4","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",530,526,431,468,538,542,521,540,452,403,440,"(D)",588,637
"19000","Iowa","4","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",362,442,357,424,451,461,456,457,462,458,435,"(D)",467,511
"19000","Iowa","4","SA25N 1/","103","115","        Support activities for agriculture and forestry",10282,9834,9074,9103,10040,9444,10125,10280,10356,11588,12431,13540,14347,14439,14928,15538,14521
"19000","Iowa","4","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",2795,2823,2592,2745,2535,2669,2803,2902,3111,3358,3796,3829,4204,4035,5052,5190,5371
"19000","Iowa","4","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)",494,654,602,681,809,913,1381,1387,1791,1595,2253,2531,2702
"19000","Iowa","4","SA25N 1/","202","212","        Mining (except oil and gas)",2150,2187,2016,2168,"(D)",1986,2169,2186,2262,2386,2341,2381,2355,2378,2716,2585,2584
"19000","Iowa","4","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)",29,32,35,40,59,74,61,58,62,83,74,85
"19000","Iowa","4","SA25N 1/","300","22","      Utilities",8964,8869,8869,8512,8861,7797,7658,7118,7123,7309,7517,7331,7082,6813,6743,6707,6760
"19000","Iowa","4","SA25N 1/","400","23","      Construction",99918,102040,100223,101804,101012,103330,108267,113974,117640,116450,115989,107423,101419,101589,104505,108054,115378
"19000","Iowa","4","SA25N 1/","401","236","        Construction of buildings",23457,24796,24553,24498,26101,24550,25663,27526,28296,27280,27851,24844,23236,22746,23317,23763,25998
"19000","Iowa","4","SA25N 1/","402","237","        Heavy and civil engineering construction",11381,11609,10763,10790,10986,11365,11715,12635,12651,12561,12472,12042,10817,11240,11893,11935,13115
"19000","Iowa","4","SA25N 1/","403","238","        Specialty trade contractors",65080,65635,64907,66516,63925,67415,70889,73813,76693,76609,75666,70537,67366,67603,69295,72356,76265
"19000","Iowa","4","SA25N 1/","500","31-33","      Manufacturing",255371,257272,255676,245615,233029,225496,228869,234912,237178,235962,233224,209667,206667,212358,217188,221342,224382
"19000","Iowa","4","SA25N 1/","510","321,327-339","        Durable goods manufacturing",155917,156844,159044,149953,139778,134674,139462,144326,146877,145867,142709,121724,120284,126121,130523,133114,135378
"19000","Iowa","4","SA25N 1/","511","321","          Wood product manufacturing",11088,11953,12653,12651,12414,12192,12738,13262,13451,12731,11532,9708,9133,8712,8551,8807,9022
"19000","Iowa","4","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",7298,7454,7681,7592,7363,6625,6819,6523,6584,6011,5723,5127,4911,5058,5202,5214,5363
"19000","Iowa","4","SA25N 1/","513","331","          Primary metal manufacturing",8574,8414,8528,8334,7653,7346,7840,8285,8183,8447,8686,7171,7400,8195,8292,8362,8242
"19000","Iowa","4","SA25N 1/","514","332","          Fabricated metal product manufacturing",24450,24085,23990,22536,21081,19672,20139,20922,21888,22117,21979,18337,17714,18945,20194,20981,21364
"19000","Iowa","4","SA25N 1/","515","333","          Machinery manufacturing",38394,37930,37119,35803,32600,31964,33398,35726,37326,38930,39639,34887,35125,38814,41395,42120,42642
"19000","Iowa","4","SA25N 1/","516","334","          Computer and electronic product manufacturing",15053,14564,14177,13883,12594,11541,11494,12258,12660,13324,13912,13123,13078,13550,13112,12478,12717
"19000","Iowa","4","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",13997,14677,15987,12845,12057,11217,10829,10186,9884,8967,7900,6884,6534,5832,5716,5911,6225
"19000","Iowa","4","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",19147,19183,19478,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",13838,14331,14469
"19000","Iowa","4","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",1000,1402,1373,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2312,2441,2717
"19000","Iowa","4","SA25N 1/","521","337","          Furniture and related product manufacturing",9839,10027,10857,9821,9289,9430,9735,10235,10662,10555,9799,7439,6852,6782,6854,7263,7422
"19000","Iowa","4","SA25N 1/","522","339","          Miscellaneous manufacturing",7077,7155,7201,6632,5995,6243,6209,6242,6196,5834,5888,5477,5140,4974,5057,5206,5195
"19000","Iowa","4","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",99454,100428,96632,95662,93251,90822,89407,90586,90301,90095,90515,87943,86383,86237,86665,88228,89004
"19000","Iowa","4","SA25N 1/","531","311","          Food manufacturing",50005,51444,50474,51267,51173,50149,49822,50870,50570,50622,51162,51391,50852,50780,50702,51195,51286
"19000","Iowa","4","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",1442,1408,1264,1227,1275,1384,1315,1342,1353,1399,1387,1498,1535,1628,1753,1851,1984
"19000","Iowa","4","SA25N 1/","533","313","          Textile mills","(T)","(T)","(T)",218,210,206,179,171,158,164,161,172,157,149,133,136,142
"19000","Iowa","4","SA25N 1/","534","314","          Textile product mills",1054,1032,1039,990,947,951,861,775,668,711,691,715,799,801,770,779,738
"19000","Iowa","4","SA25N 1/","535","315","          Apparel manufacturing",3716,3684,2915,2679,2240,2002,2092,1990,1833,1752,1641,1410,1300,1238,1225,1207,1253
"19000","Iowa","4","SA25N 1/","536","316","          Leather and allied product manufacturing",1104,1135,1162,1001,874,675,615,540,488,415,377,276,281,353,353,294,299
"19000","Iowa","4","SA25N 1/","537","322","          Paper manufacturing",5083,5225,4099,5265,4654,4581,4642,4518,4347,4270,4215,3915,3841,3773,3750,3766,3719
"19000","Iowa","4","SA25N 1/","538","323","          Printing and related support activities",11613,11259,11233,10252,9360,9117,8877,8911,8886,8840,8693,8105,7786,7487,7399,7514,7355
"19000","Iowa","4","SA25N 1/","539","324","          Petroleum and coal products manufacturing",495,499,536,559,497,496,326,346,371,344,341,374,361,512,483,470,441
"19000","Iowa","4","SA25N 1/","541","325","          Chemical manufacturing",7755,7759,7500,7350,7385,7361,7432,7566,8185,9139,9967,9981,9745,9616,9529,10160,10818
"19000","Iowa","4","SA25N 1/","542","326","          Plastics and rubber products manufacturing",16973,16732,16185,14854,14636,13900,13246,13557,13442,12439,11880,10106,9726,9900,10568,10856,10969
"19000","Iowa","4","SA25N 1/","600","42","      Wholesale trade",75244,74267,73943,72850,70895,69557,70599,72500,72803,73467,74257,72003,70832,72254,73610,74375,74085
"19000","Iowa","4","SA25N 1/","700","44-45","      Retail trade",236327,233370,237593,231923,229265,228403,228252,229022,228572,226558,221994,219407,214415,218092,218327,221153,222569
"19000","Iowa","4","SA25N 1/","701","441","        Motor vehicle and parts dealers",24291,24791,25093,25039,25716,24851,25101,24801,24267,24056,23773,22971,22962,23438,23783,24351,24823
"19000","Iowa","4","SA25N 1/","702","442","        Furniture and home furnishings stores",5719,5958,6196,6023,5932,6081,6189,6135,6084,5986,5716,5129,4821,4807,4776,4752,4685
"19000","Iowa","4","SA25N 1/","703","443","        Electronics and appliance stores",6759,6852,7069,7069,7047,6817,6700,6592,6644,6468,6502,6596,6690,7134,6673,6230,5924
"19000","Iowa","4","SA25N 1/","704","444","        Building material and garden equipment and supplies dealers",18360,18900,18831,18015,18049,17462,17618,16918,17533,17302,17027,16326,15925,15880,15665,15895,15990
"19000","Iowa","4","SA25N 1/","705","445","        Food and beverage stores",41290,41226,40537,39999,38505,37051,36325,36894,38049,38093,38635,38829,37781,38175,38810,40324,41244
"19000","Iowa","4","SA25N 1/","706","446","        Health and personal care stores",11252,11352,11636,11698,11780,11975,12051,11709,11514,11493,11365,11053,10829,11104,11044,11190,11057
"19000","Iowa","4","SA25N 1/","707","447","        Gasoline stations",20065,20923,20716,20291,19725,19345,19191,18694,18742,18755,18497,18503,18408,18952,19432,19960,20590
"19000","Iowa","4","SA25N 1/","708","448","        Clothing and clothing accessories stores",13987,13405,13622,13637,12977,13034,13192,13261,13414,13561,13351,12827,12560,11430,11727,11735,11510
"19000","Iowa","4","SA25N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",10428,10432,10406,9945,9790,10159,10438,10402,10332,9977,9650,9440,9305,8718,8496,8762,8769
"19000","Iowa","4","SA25N 1/","711","452","        General merchandise stores",32133,32271,35413,34560,33854,34562,35212,35641,35441,35165,34862,35759,34879,36346,35871,34880,34405
"19000","Iowa","4","SA25N 1/","712","453","        Miscellaneous store retailers",20937,20781,21049,20976,20618,20393,20062,19489,19000,19581,18323,18826,18196,17943,17892,18235,18402
"19000","Iowa","4","SA25N 1/","713","454","        Nonstore retailers",31106,26479,27025,24671,25272,26673,26173,28486,27552,26121,24293,23148,22059,24165,24158,24839,25170
"19000","Iowa","4","SA25N 1/","800","48-49","      Transportation and warehousing",60674,61972,64022,63897,64779,64400,66488,69690,72065,74095,73396,72192,70947,72515,73713,73709,74833
"19000","Iowa","4","SA25N 1/","801","481","        Air transportation",1080,1272,1085,858,713,716,652,610,573,515,545,589,590,584,661,465,444
"19000","Iowa","4","SA25N 1/","802","482","        Rail transportation",3941,3900,3701,"(D)",3472,3237,3407,3607,3676,3689,3623,3450,3303,3428,3404,3297,3418
"19000","Iowa","4","SA25N 1/","803","483","        Water transportation",263,345,381,358,335,255,227,215,175,231,224,218,190,181,144,153,172
"19000","Iowa","4","SA25N 1/","804","484","        Truck transportation",35016,35669,37530,37329,38493,38299,39843,41733,43026,44223,42367,41706,40856,41667,41471,41242,41474
"19000","Iowa","4","SA25N 1/","805","485","        Transit and ground passenger transportation",2377,2470,2370,2259,2370,2383,2516,2653,2880,3130,3182,3118,3231,3311,3677,3851,4006
"19000","Iowa","4","SA25N 1/","806","486","        Pipeline transportation",292,260,258,275,264,282,370,386,400,368,367,377,373,383,390,384,374
"19000","Iowa","4","SA25N 1/","807","487","        Scenic and sightseeing transportation","(T)","(T)","(T)","(D)",53,42,41,"(D)",70,"(D)","(D)",138,136,118,167,131,"(D)"
"19000","Iowa","4","SA25N 1/","808","488","        Support activities for transportation",2833,2779,2974,3436,3207,2849,3020,3184,3294,3524,3639,3553,3467,3655,3700,3808,3949
"19000","Iowa","4","SA25N 1/","809","492","        Couriers and messengers",7455,7463,7907,8022,7547,7577,7474,"(D)",7831,"(D)","(D)",7343,7108,7301,7325,7414,"(D)"
"19000","Iowa","4","SA25N 1/","811","493","        Warehousing and storage",7305,7697,7699,7739,8325,8760,8938,9591,10140,10485,11594,11700,11693,11887,12774,12964,13197
"19000","Iowa","4","SA25N 1/","900","51","      Information",39075,41535,43846,40491,37336,36206,36500,36703,36374,36739,36284,34492,32849,32617,31226,30402,30044
"19000","Iowa","4","SA25N 1/","901","511","        Publishing industries (except Internet)",13168,13175,13771,12799,12038,11920,12156,12321,12666,13053,12891,11834,11327,11201,10833,10369,10250
"19000","Iowa","4","SA25N 1/","902","512","        Motion picture and sound recording industries",2293,2422,2258,2126,2126,2196,2417,2519,2532,2461,2314,2338,2208,2164,2117,2066,2057
"19000","Iowa","4","SA25N 1/","903","515","        Broadcasting (except Internet)",3725,3553,3748,3657,3311,3202,3236,3250,3183,3215,3233,3287,3233,3254,3187,3151,2880
"19000","Iowa","4","SA25N 1/","904","516","        Internet publishing and broadcasting 3/","(T)","(T)",331,402,306,269,182,145,134,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"19000","Iowa","4","SA25N 1/","905","517","        Telecommunications",11359,11837,12965,12143,10961,10537,10320,10268,9976,10455,10324,10114,9641,9299,8435,8209,7925
"19000","Iowa","4","SA25N 1/","906","518","        Data processing, hosting, and related services",7933,9950,10378,9040,8246,7702,7874,7875,7574,6980,7039,6471,6012,6255,6228,6163,6424
"19000","Iowa","4","SA25N 1/","907","519","        Other information services 3/","(T)","(T)","(T)",324,348,380,315,325,309,575,483,448,428,444,426,444,508
"19000","Iowa","4","SA25N 1/","1000","52","      Finance and insurance",97772,98076,98027,99806,101688,103085,104795,106532,110248,116196,121087,125966,125379,130021,128835,129603,129799
"19000","Iowa","4","SA25N 1/","1001","521","        Monetary Authorities-central bank",0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"19000","Iowa","4","SA25N 1/","1002","522","        Credit intermediation and related activities",32078,33182,33502,34486,36958,38867,40127,40589,41881,43618,43313,45061,45335,45109,45666,45976,45165
"19000","Iowa","4","SA25N 1/","1003","523","        Securities, commodity contracts, and other financial investments and related activities",14507,13813,14754,13574,12723,12399,12989,13257,13740,16060,19538,23014,22374,24815,24435,25473,25422
"19000","Iowa","4","SA25N 1/","1004","524","        Insurance carriers and related activities",50140,50145,48887,50584,51086,50878,50577,51399,53127,54267,55681,53938,53605,55174,54248,54341,55423
"19000","Iowa","4","SA25N 1/","1005","525","        Funds, trusts, and other financial vehicles","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"19000","Iowa","4","SA25N 1/","1100","53","      Real estate and rental and leasing",39509,37789,41624,41599,41613,43345,45024,47335,49571,49701,50657,50991,52629,53074,53638,55038,55743
"19000","Iowa","4","SA25N 1/","1101","531","        Real estate",32711,30667,34253,34173,34513,36221,37921,40011,42204,42856,43760,44258,46148,46851,47253,48376,48827
"19000","Iowa","4","SA25N 1/","1102","532","        Rental and leasing services",6609,6931,7164,7212,6860,6894,6908,7138,7184,6652,6712,6564,6346,6088,6259,6519,6769
"19000","Iowa","4","SA25N 1/","1103","533","        Lessors of nonfinancial intangible assets (except copyrighted works)","(T)","(T)","(T)",214,240,230,195,186,183,193,185,169,135,135,126,143,147
"19000","Iowa","4","SA25N 1/","1200","54","      Professional, scientific, and technical services",58290,61662,62488,62855,62608,62791,65590,65835,67782,71870,72374,70729,70965,71695,73045,75231,77244
"19000","Iowa","4","SA25N 1/","1300","55","      Management of companies and enterprises",8169,8067,7501,7744,8105,10077,10585,12118,13090,13522,13874,14034,14062,15622,16903,17430,19095
"19000","Iowa","4","SA25N 1/","1400","56","      Administrative and support and waste management and remediation services",75876,78918,81341,80884,80536,80685,82972,83736,86357,89864,89361,85293,88921,89684,91277,91027,92320
"19000","Iowa","4","SA25N 1/","1401","561","        Administrative and support services",72820,75746,78416,77790,77366,77400,79500,80327,82895,86260,85553,81733,85366,86018,87391,87166,88406
"19000","Iowa","4","SA25N 1/","1402","562","        Waste management and remediation services",3056,3172,2925,3094,3170,3285,3472,3409,3462,3604,3808,3560,3555,3666,3886,3861,3914
"19000","Iowa","4","SA25N 1/","1500","61","      Educational services",31581,32654,33532,36835,37311,37282,39576,40711,42154,41465,42391,44067,45525,46123,46623,47420,48036
"19000","Iowa","4","SA25N 1/","1600","62","      Health care and social assistance",176765,179427,183716,186036,186368,188427,190164,192335,196979,202080,205123,207916,209683,210389,213057,214653,216422
"19000","Iowa","4","SA25N 1/","1601","621","        Ambulatory health care services",49350,47707,49355,50036,50519,51358,52827,54532,55546,57888,59608,60355,61333,62029,63119,64717,66475
"19000","Iowa","4","SA25N 1/","1602","622","        Hospitals",39188,40038,40737,41154,41351,41570,41199,41509,41752,41809,42188,42114,41476,41638,41814,41851,40698
"19000","Iowa","4","SA25N 1/","1603","623","        Nursing and residential care facilities",48240,49626,50242,51034,51715,51903,51974,52621,53162,53456,53834,54964,56201,56144,56635,56538,57243
