"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"16000","Idaho","7","SA25N 1/","10","...","Total employment (number of jobs)",733715,748435,776837,783166,791500,801357,824225,859525,900715,931101,923376,883023,868674,878348,882028,901654,922989
"16000","Idaho","7","SA25N 1/","20","...","  Wage and salary employment",564673,580625,604213,610772,612954,617395,633683,655683,683804,700563,693158,652632,643274,647201,652559,668146,686595
"16000","Idaho","7","SA25N 1/","40","...","  Proprietors employment",169042,167810,172624,172394,178546,183962,190542,203842,216911,230538,230218,230391,225400,231147,229469,233508,236394
"16000","Idaho","7","SA25N 1/","50","...","    Farm proprietors employment",24536,24451,24595,24539,24868,23888,23223,23036,22450,22402,22577,22951,22805,22683,22207,22272,22191
"16000","Idaho","7","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",144506,143359,148029,147855,153678,160074,167319,180806,194461,208136,207641,207440,202595,208464,207262,211236,214203
"16000","Idaho","7","SA25N 1/","70","111-112","  Farm employment",40474,39263,41934,40569,41188,39439,38975,38170,37728,36892,37843,37274,37294,39387,38712,38674,39793
"16000","Idaho","7","SA25N 1/","80","...","  Nonfarm employment",693241,709172,734903,742597,750312,761918,785250,821355,862987,894209,885533,845749,831380,838961,843316,862980,883196
"16000","Idaho","7","SA25N 1/","90","113-814","    Private nonfarm employment",582095,594724,617076,623487,628787,638528,660483,696321,737359,767202,756768,716878,702806,712154,716797,736293,755881
"16000","Idaho","7","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",15596,14606,13476,12083,12487,11791,12110,12166,11963,12335,12460,12206,12068,12008,12347,12772,13101
"16000","Idaho","7","SA25N 1/","101","113","        Forestry and logging",4169,4140,3674,3404,3252,2917,3245,3249,3065,3021,2695,2175,2088,2164,2362,2541,2638
"16000","Idaho","7","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",467,558,487,609,598,639,634,662,642,592,544,576,651,718
"16000","Idaho","7","SA25N 1/","103","115","        Support activities for agriculture and forestry",10851,9903,9285,8212,8677,8387,8256,8319,8259,8680,9103,9389,9388,9300,9409,9580,9745
"16000","Idaho","7","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",3890,3496,3311,3013,2583,2856,2832,3014,3398,4150,4514,3832,4435,4572,6280,5407,5552
"16000","Idaho","7","SA25N 1/","201","211","        Oil and gas extraction",341,334,331,"(D)","(D)","(D)","(D)","(D)",444,496,"(D)",851,1147,1011,1382,1450,1549
"16000","Idaho","7","SA25N 1/","202","212","        Mining (except oil and gas)",3409,3029,2833,2520,2115,2257,2309,2426,2678,3249,3208,2642,2801,2992,4121,3336,3340
"16000","Idaho","7","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",276,405,"(D)",339,487,569,777,621,663
"16000","Idaho","7","SA25N 1/","300","22","      Utilities",1876,1839,1852,1906,1998,1989,2018,2135,2238,2314,2422,2303,2963,2974,3013,3014,3145
"16000","Idaho","7","SA25N 1/","400","23","      Construction",52570,54712,56201,58194,57011,58789,63782,72835,81470,82082,72940,60001,53728,51015,50874,53978,56581
"16000","Idaho","7","SA25N 1/","401","236","        Construction of buildings",11741,12396,13117,13878,13774,13192,14287,16689,19461,19267,16710,13225,11625,10948,11287,12021,12822
"16000","Idaho","7","SA25N 1/","402","237","        Heavy and civil engineering construction",6684,7057,7411,7565,7878,7090,7025,7542,8002,8642,7964,7279,6718,6182,6084,5680,5626
"16000","Idaho","7","SA25N 1/","403","238","        Specialty trade contractors",34145,35259,35673,36751,35359,38507,42470,48604,54007,54173,48266,39497,35385,33885,33503,36277,38133
"16000","Idaho","7","SA25N 1/","500","31-33","      Manufacturing",71884,73068,74220,72529,68959,66153,66354,67137,70538,71574,67887,60527,58386,60167,62242,65405,66611
"16000","Idaho","7","SA25N 1/","510","321,327-339","        Durable goods manufacturing",45391,46521,47515,45755,43116,40988,41907,43588,46090,46061,41776,34988,33421,35088,36317,38114,38814
"16000","Idaho","7","SA25N 1/","511","321","          Wood product manufacturing",10014,9973,9289,8359,8066,7876,7910,8266,8817,8447,6967,5363,5071,5382,5728,6284,6365
