"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"17000","Illinois","3","SA25N 1/","10","...","Total employment (number of jobs)",7139203,7219239,7359625,7309961,7220226,7197390,7251642,7338175,7455643,7588473,7567801,7326752,7252482,7379722,7431829,7494820,7595648
"17000","Illinois","3","SA25N 1/","20","...","  Wage and salary employment",6082793,6152804,6243126,6189405,6084529,6015734,6018274,6055202,6135532,6183040,6155329,5871718,5795826,5858922,5926484,5964998,6048181
"17000","Illinois","3","SA25N 1/","40","...","  Proprietors employment",1056410,1066435,1116499,1120556,1135697,1181656,1233368,1282973,1320111,1405433,1412472,1455034,1456656,1520800,1505345,1529822,1547467
"17000","Illinois","3","SA25N 1/","50","...","    Farm proprietors employment",81469,80809,80224,76657,66349,63342,61664,61040,59651,62701,62656,62244,62436,62365,61551,62130,61663
"17000","Illinois","3","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",974941,985626,1036275,1043899,1069348,1118314,1171704,1221933,1260460,1342732,1349816,1392790,1394220,1458435,1443794,1467692,1485804
"17000","Illinois","3","SA25N 1/","70","111-112","  Farm employment",98814,99993,100588,96985,82486,81235,76924,78311,77657,80527,79047,77654,80142,79335,77352,74799,73358
"17000","Illinois","3","SA25N 1/","80","...","  Nonfarm employment",7040389,7119246,7259037,7212976,7137740,7116155,7174718,7259864,7377986,7507946,7488754,7249098,7172340,7300387,7354477,7420021,7522290
"17000","Illinois","3","SA25N 1/","90","113-814","    Private nonfarm employment",6169802,6237150,6364287,6312628,6225828,6213198,6278237,6366411,6482838,6610134,6580185,6334374,6264993,6409259,6472828,6545632,6651752
"17000","Illinois","3","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",13132,11882,11024,10983,11977,10614,10823,10884,10566,11490,11957,12133,11633,11879,12167,12383,13586
"17000","Illinois","3","SA25N 1/","101","113","        Forestry and logging",969,1018,849,850,832,749,779,925,955,945,979,822,708,784,934,921,1014
"17000","Illinois","3","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",913,1094,914,1059,1110,1137,1059,1076,1050,1071,1024,1035,1005,1084
"17000","Illinois","3","SA25N 1/","103","115","        Support activities for agriculture and forestry",11143,9874,9179,9220,10051,8951,8985,8849,8474,9486,9902,10261,9854,10071,10198,10457,11488
"17000","Illinois","3","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",19076,18521,17096,18190,16888,18029,16622,17496,18703,19494,23194,22391,25573,22723,28768,29761,31382
"17000","Illinois","3","SA25N 1/","201","211","        Oil and gas extraction",8560,8258,7547,8392,7402,8761,7513,7963,8728,9161,13239,13047,16320,13135,17632,19723,21012
"17000","Illinois","3","SA25N 1/","202","212","        Mining (except oil and gas)",9174,9111,8172,8127,7965,7701,7493,7780,8038,8191,7403,7100,6976,7245,8260,7558,7798
"17000","Illinois","3","SA25N 1/","203","213","        Support activities for mining",1342,1152,1377,1671,1521,1567,1616,1753,1937,2142,2552,2244,2277,2343,2876,2480,2572
"17000","Illinois","3","SA25N 1/","300","22","      Utilities",33927,32871,31990,30007,28539,25188,24578,24012,23742,23871,24707,24366,24050,24222,24724,24679,24961
"17000","Illinois","3","SA25N 1/","400","23","      Construction",344849,356434,373029,385995,383613,392476,393091,403586,415630,410726,388587,344885,315458,310767,304384,308462,321105
"17000","Illinois","3","SA25N 1/","401","236","        Construction of buildings",74319,78394,83012,86292,89972,87474,88698,93944,97046,93784,89092,80321,76224,70860,68662,69054,72759
"17000","Illinois","3","SA25N 1/","402","237","        Heavy and civil engineering construction",28470,30562,32574,33456,33564,35065,33230,33190,35423,36606,36590,33309,28065,28145,29025,29686,30925
"17000","Illinois","3","SA25N 1/","403","238","        Specialty trade contractors",242060,247478,257443,266247,260077,269937,271163,276452,283161,280336,262905,231255,211169,211762,206697,209722,217421
"17000","Illinois","3","SA25N 1/","500","31-33","      Manufacturing",914475,893088,880239,831602,771647,731495,713715,705804,700079,694099,676108,597879,578567,593824,602807,600933,602716
"17000","Illinois","3","SA25N 1/","510","321,327-339","        Durable goods manufacturing",583139,561767,552499,515344,466729,438800,430304,428318,430270,426153,413229,351018,339518,354684,364917,362470,362107
"17000","Illinois","3","SA25N 1/","511","321","          Wood product manufacturing",11469,11488,11359,11012,10622,10473,10424,10579,10453,10030,9111,7647,7213,7220,7190,7380,7749
"17000","Illinois","3","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",21679,21755,21640,20300,18403,17854,17761,17794,18025,17218,16148,13755,12899,13605,13531,13724,13714
"17000","Illinois","3","SA25N 1/","513","331","          Primary metal manufacturing",41350,40065,39080,33589,27332,25864,26107,25529,25322,24107,22800,17675,17792,19577,20225,19815,20267
"17000","Illinois","3","SA25N 1/","514","332","          Fabricated metal product manufacturing",132814,130731,130783,126764,117439,111812,110386,110462,112507,111818,108900,91447,88684,93889,96243,94607,94891
"17000","Illinois","3","SA25N 1/","515","333","          Machinery manufacturing",127334,121731,117132,107890,96290,88420,88670,92256,92735,93517,93767,80068,76900,80944,83811,83010,81887
"17000","Illinois","3","SA25N 1/","516","334","          Computer and electronic product manufacturing",82264,69937,68491,64328,54626,49427,45780,44103,42977,42369,41302,37151,35310,35140,34612,33111,32289
"17000","Illinois","3","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",47901,47496,46969,42994,38348,33575,31386,29605,29605,29216,28635,24766,23614,24034,24584,24318,23704
"17000","Illinois","3","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",48119,49429,48764,44665,42524,41197,41037,39370,39446,38671,34365,25816,26957,30084,33983,35459,36134
"17000","Illinois","3","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",8333,7618,7108,6234,5925,5760,5775,5889,6126,6337,6475,5548,5366,5624,6048,5836,6048
"17000","Illinois","3","SA25N 1/","521","337","          Furniture and related product manufacturing",22365,23138,23205,22039,20257,19795,19151,18912,18638,17940,17226,14399,13642,13403,13080,13394,13502
"17000","Illinois","3","SA25N 1/","522","339","          Miscellaneous manufacturing",39511,38379,37968,35529,34963,34623,33827,33819,34436,34930,34500,32746,31141,31164,31610,31816,31922
"17000","Illinois","3","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",331336,331321,327740,316258,304918,292695,283411,277486,269809,267946,262879,246861,239049,239140,237890,238463,240609
"17000","Illinois","3","SA25N 1/","531","311","          Food manufacturing",88913,88249,87419,84840,83851,82266,80027,79067,77511,79733,79475,78962,77190,78081,78553,78720,80215
"17000","Illinois","3","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",8165,8503,8459,9362,9389,7643,7916,7575,7652,7642,7465,6073,6017,5818,6097,6293,6457
"17000","Illinois","3","SA25N 1/","533","313","          Textile mills",2442,2290,2140,2049,1729,1421,1373,1386,1377,1330,1312,1165,1073,1106,1083,1061,1067
"17000","Illinois","3","SA25N 1/","534","314","          Textile product mills",4522,4566,4628,4362,4373,4295,4135,4109,3968,4092,3727,3357,3258,3290,3123,3156,3225
"17000","Illinois","3","SA25N 1/","535","315","          Apparel manufacturing",9772,9167,9043,8638,7808,6444,6317,5871,5554,5606,4928,4574,4299,4494,4635,4735,5026
"17000","Illinois","3","SA25N 1/","536","316","          Leather and allied product manufacturing",3861,3679,3252,2873,2570,2061,2302,2117,1675,1570,1631,1400,1289,1423,1203,1110,1156
"17000","Illinois","3","SA25N 1/","537","322","          Paper manufacturing",31949,31330,30763,29654,28412,27175,25773,25516,24915,24438,23756,21665,20256,19998,19623,19617,19359
"17000","Illinois","3","SA25N 1/","538","323","          Printing and related support activities",59034,57748,57703,53666,49343,48501,46256,44634,43722,43208,41748,37080,33879,32567,31663,30955,30418
