"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"18000","Indiana","3","SA25N 1/","10","...","Total employment (number of jobs)",3543556,3595327,3645837,3585056,3551476,3550537,3589378,3629742,3671528,3719240,3682729,3526276,3519340,3584521,3633616,3674547,3729352
"18000","Indiana","3","SA25N 1/","20","...","  Wage and salary employment",3004248,3060251,3092859,3029863,2997844,2990058,3015965,3035112,3060168,3076261,3044194,2879245,2877455,2920175,2978283,3011204,3057584
"18000","Indiana","3","SA25N 1/","40","...","  Proprietors employment",539308,535076,552978,555193,553632,560479,573413,594630,611360,642979,638535,647031,641885,664346,655333,663343,671768
"18000","Indiana","3","SA25N 1/","50","...","    Farm proprietors employment",67285,65866,65029,62793,56675,53974,52527,52119,51048,52276,52258,52683,53288,53564,51001,51475,51236
"18000","Indiana","3","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",472023,469210,487949,492400,496957,506505,520886,542511,560312,590703,586277,594348,588597,610782,604332,611868,620532
"18000","Indiana","3","SA25N 1/","70","111-112","  Farm employment",79787,79659,79633,77335,68190,65582,63328,63585,64241,63979,61507,63120,67194,64083,64758,63865,62755
"18000","Indiana","3","SA25N 1/","80","...","  Nonfarm employment",3463769,3515668,3566204,3507721,3483286,3484955,3526050,3566157,3607287,3655261,3621222,3463156,3452146,3520438,3568858,3610682,3666597
"18000","Indiana","3","SA25N 1/","90","113-814","    Private nonfarm employment",3046049,3093182,3134715,3077151,3048131,3043407,3084947,3125156,3163254,3204155,3160627,3001243,2993956,3069055,3122023,3167652,3223979
"18000","Indiana","3","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",8022,7806,7344,7378,7830,7107,7626,7883,7944,8599,8705,8723,8728,8833,9083,9394,10120
"18000","Indiana","3","SA25N 1/","101","113","        Forestry and logging",1293,1315,1225,"(D)",1239,1122,1267,1441,1377,1435,1433,1206,1083,"(D)","(D)","(D)",1515
"18000","Indiana","3","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)",513,450,509,510,511,505,492,468,445,"(D)","(D)","(D)",456
"18000","Indiana","3","SA25N 1/","103","115","        Support activities for agriculture and forestry",6275,6059,5659,5715,6078,5535,5850,5932,6056,6659,6780,7049,7200,7344,7380,7558,8149
"18000","Indiana","3","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",9817,9657,9355,9402,9109,9431,9151,9256,9608,10036,11101,10771,11839,11255,13456,13698,14393
"18000","Indiana","3","SA25N 1/","201","211","        Oil and gas extraction",2382,2350,2078,2386,2078,2507,2203,2505,2710,2712,4068,4013,5037,4144,5597,6259,6692
