"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"20000","Kansas","4","SA25N 1/","10","...","Total employment (number of jobs)",1723281,1740268,1759453,1767423,1751506,1739176,1749709,1763469,1795997,1846156,1860833,1818168,1801731,1819440,1839921,1867040,1896765
"20000","Kansas","4","SA25N 1/","20","...","  Wage and salary employment",1391932,1409660,1421827,1429672,1416551,1398251,1405649,1410921,1434823,1468128,1477312,1428186,1408765,1418264,1433367,1447192,1471776
"20000","Kansas","4","SA25N 1/","40","...","  Proprietors employment",331349,330608,337626,337751,334955,340925,344060,352548,361174,378028,383521,389982,392966,401176,406554,419848,424989
"20000","Kansas","4","SA25N 1/","50","...","    Farm proprietors employment",66561,66141,65265,65434,58985,56902,55703,55592,54114,55108,54530,53973,53857,53660,52804,53410,52744
"20000","Kansas","4","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",264788,264467,272361,272317,275970,284023,288357,296956,307060,322920,328991,336009,339109,347516,353750,366438,372245
"20000","Kansas","4","SA25N 1/","70","111-112","  Farm employment",80282,80286,77477,78133,70506,68516,67587,66814,64910,65718,63808,62786,63882,65761,63694,62750,64636
"20000","Kansas","4","SA25N 1/","80","...","  Nonfarm employment",1642999,1659982,1681976,1689290,1681000,1670660,1682122,1696655,1731087,1780438,1797025,1755382,1737849,1753679,1776227,1804290,1832129
"20000","Kansas","4","SA25N 1/","90","113-814","    Private nonfarm employment",1371809,1384060,1403053,1406997,1394598,1383582,1398296,1413899,1442814,1486069,1498557,1454970,1434108,1453878,1478308,1507657,1536646
"20000","Kansas","4","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",8490,8061,7449,6986,7944,7237,7556,7872,7672,8163,8582,9012,9235,9390,9650,9986,10092
"20000","Kansas","4","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)","(D)",157,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",209,229
"20000","Kansas","4","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)",443,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",511,550
"20000","Kansas","4","SA25N 1/","103","115","        Support activities for agriculture and forestry",7775,7342,6705,6502,7361,6735,6956,7200,6971,7482,7892,8357,8603,8785,8979,9266,9313
"20000","Kansas","4","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",19424,18796,17563,19360,17410,19683,18106,19515,22206,24115,31563,30039,36286,31815,42604,46831,49337
"20000","Kansas","4","SA25N 1/","201","211","        Oil and gas extraction",14547,13949,12862,14086,12489,14561,12367,13187,14783,15740,22745,22802,28582,23653,32542,36918,39251
"20000","Kansas","4","SA25N 1/","202","212","        Mining (except oil and gas)",1563,1592,1548,1690,1398,1364,1386,1470,1528,1664,1677,1610,1805,1710,2202,2031,2094
"20000","Kansas","4","SA25N 1/","203","213","        Support activities for mining",3314,3255,3153,3584,3523,3758,4353,4858,5895,6711,7141,5627,5899,6452,7860,7882,7992
"20000","Kansas","4","SA25N 1/","300","22","      Utilities",7084,7597,7507,7606,7077,7258,7355,7441,7477,7592,7850,7934,8025,8230,8156,7957,8008
"20000","Kansas","4","SA25N 1/","400","23","      Construction",89230,92766,93172,92585,90486,91921,93386,95301,97881,99664,98469,91188,84965,83645,86087,88324,91847
"20000","Kansas","4","SA25N 1/","401","236","        Construction of buildings",19787,21466,21281,20486,19884,18872,19065,19229,20143,19813,19648,17560,16366,15550,16583,16995,17885
"20000","Kansas","4","SA25N 1/","402","237","        Heavy and civil engineering construction",11798,12498,12486,12901,12329,12526,12687,12736,13070,13571,13162,12655,11824,11031,11696,12044,12707
"20000","Kansas","4","SA25N 1/","403","238","        Specialty trade contractors",57645,58802,59405,59198,58273,60523,61634,63336,64668,66280,65659,60973,56775,57064,57808,59285,61255
"20000","Kansas","4","SA25N 1/","500","31-33","      Manufacturing",207787,205373,203825,200056,188979,179057,181697,185279,188100,192940,193137,173817,166013,167302,169292,169997,169818
"20000","Kansas","4","SA25N 1/","510","321,327-339","        Durable goods manufacturing",134265,131734,130106,127889,116347,108537,110816,115121,118338,122539,125095,107899,101065,101825,103864,104805,103172
"20000","Kansas","4","SA25N 1/","511","321","          Wood product manufacturing",3448,3031,2799,2898,2850,2813,2831,2761,2794,2729,2487,2235,2012,"(D)","(D)","(D)","(D)"
"20000","Kansas","4","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",6108,6159,6437,6191,6347,6206,6453,6430,6615,6336,6198,5774,5454,5192,4905,4786,4946
"20000","Kansas","4","SA25N 1/","513","331","          Primary metal manufacturing",3573,3365,3052,3072,3189,2924,3054,3229,3504,3369,3345,2569,2435,2525,2546,2518,2419
"20000","Kansas","4","SA25N 1/","514","332","          Fabricated metal product manufacturing",14203,14010,14100,13841,12816,12745,13416,14409,14871,15596,16378,13818,13282,13980,14880,15833,16689
"20000","Kansas","4","SA25N 1/","515","333","          Machinery manufacturing",22565,20967,20557,19467,17181,16308,16672,17238,17553,18469,19155,16768,16161,17398,18708,19338,19727
"20000","Kansas","4","SA25N 1/","516","334","          Computer and electronic product manufacturing",6999,7264,7429,7374,6909,6784,7106,7422,7591,8164,8573,8052,8075,7827,7623,7425,5369
"20000","Kansas","4","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",4410,4163,4281,4631,4194,4062,4515,4568,4298,4218,4135,3705,3402,3588,3429,3419,3413
"20000","Kansas","4","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",10531,10472,10887,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6686,"(D)","(D)","(D)","(D)","(D)"
"20000","Kansas","4","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",49806,49662,47947,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",38222,"(D)",32915,33235,32597,31409
"20000","Kansas","4","SA25N 1/","521","337","          Furniture and related product manufacturing",5379,5672,5547,5176,5162,5269,5419,5567,5753,5674,5413,4253,3740,3572,3406,3729,3770
"20000","Kansas","4","SA25N 1/","522","339","          Miscellaneous manufacturing",7243,6969,7070,6916,6922,7010,6560,6445,6412,6565,6425,5817,5176,5342,5271,5262,5465
"20000","Kansas","4","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",73522,73639,73719,72167,72632,70520,70881,70158,69762,70401,68042,65918,64948,65477,65428,65192,66646
"20000","Kansas","4","SA25N 1/","531","311","          Food manufacturing",31679,32470,33332,32930,32515,32107,32434,31745,32112,32886,31582,31514,31203,31974,31650,31814,32426
"20000","Kansas","4","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",822,792,648,650,588,578,571,614,590,586,568,536,469,693,807,748,830
"20000","Kansas","4","SA25N 1/","533","313","          Textile mills","(T)","(T)","(T)","(D)",124,"(D)",130,218,249,329,323,278,200,187,145,144,139
