"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"24000","Maryland","2","SA25N 1/","10","...","Total employment (number of jobs)",2932649,3002831,3087534,3112501,3149967,3187289,3249529,3315948,3380096,3445459,3437196,3368416,3344552,3395354,3436869,3491180,3527847
"24000","Maryland","2","SA25N 1/","20","...","  Wage and salary employment",2465749,2527328,2581832,2595837,2617631,2622500,2646872,2677583,2713923,2732666,2723040,2645643,2625019,2650584,2685280,2703118,2729502
"24000","Maryland","2","SA25N 1/","40","...","  Proprietors employment",466900,475503,505702,516664,532336,564789,602657,638365,666173,712793,714156,722773,719533,744770,751589,788062,798345
"24000","Maryland","2","SA25N 1/","50","...","    Farm proprietors employment",12532,12347,12368,12200,11618,11069,10782,10716,10379,10978,10973,10800,10806,10783,10545,10853,10771
"24000","Maryland","2","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",454368,463156,493334,504464,520718,553720,591875,627649,655794,701815,703183,711973,708727,733987,741044,777209,787574
"24000","Maryland","2","SA25N 1/","70","111-112","  Farm employment",17450,18005,18976,18611,18181,16632,16137,15838,15675,15953,15402,15098,15554,15527,17020,16833,17179
"24000","Maryland","2","SA25N 1/","80","...","  Nonfarm employment",2915199,2984826,3068558,3093890,3131786,3170657,3233392,3300110,3364421,3429506,3421794,3353318,3328998,3379827,3419849,3474347,3510668
"24000","Maryland","2","SA25N 1/","90","113-814","    Private nonfarm employment",2406408,2474111,2552225,2574750,2597423,2636149,2705929,2770074,2826973,2887071,2870267,2795678,2765064,2812205,2850464,2905880,2943953
"24000","Maryland","2","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",7808,7302,6951,6458,7376,6408,6819,6890,6748,6531,6586,6488,6410,6084,6201,6354,6576
"24000","Maryland","2","SA25N 1/","101","113","        Forestry and logging",1032,994,839,803,794,747,784,930,895,717,724,610,527,563,670,679,724
"24000","Maryland","2","SA25N 1/","102","114","        Fishing, hunting and trapping",3337,3027,2890,2437,2914,2224,2536,2544,2520,2349,2297,2256,2260,2117,2148,2239,2405
"24000","Maryland","2","SA25N 1/","103","115","        Support activities for agriculture and forestry",3439,3281,3222,3218,3668,3437,3499,3416,3333,3465,3565,3622,3623,3404,3383,3436,3447
"24000","Maryland","2","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",2801,2774,2764,2993,2607,2938,2835,3088,3338,3534,4044,3858,4347,3817,4982,5016,5225
"24000","Maryland","2","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)",1153,1306,1347,1951,"(D)","(D)","(D)","(D)",3046,"(D)"
"24000","Maryland","2","SA25N 1/","202","212","        Mining (except oil and gas)",1544,1516,1597,1626,1410,1429,1464,1512,1546,1656,1577,1384,1385,1285,1612,1258,1297
"24000","Maryland","2","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)",423,486,531,516,"(D)","(D)","(D)","(D)",712,"(D)"
"24000","Maryland","2","SA25N 1/","300","22","      Utilities",11626,11481,11518,11143,10221,10272,10120,10131,10170,10490,11005,10637,10358,10746,10892,10735,10794
