"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"23000","Maine","1","SA25N 1/","10","...","Total employment (number of jobs)",748856,762933,783716,787567,789963,794215,807658,810015,817779,828822,824626,802506,791203,794279,796110,802690,810672
"23000","Maine","1","SA25N 1/","20","...","  Wage and salary employment",591011,606692,624123,627313,626505,627618,633100,628750,633688,636876,636890,615673,608555,609684,612168,615525,620233
"23000","Maine","1","SA25N 1/","40","...","  Proprietors employment",157845,156241,159593,160254,163458,166597,174558,181265,184091,191946,187736,186833,182648,184595,183942,187165,190439
"23000","Maine","1","SA25N 1/","50","...","    Farm proprietors employment",6836,6822,6707,7038,7099,6909,6731,6619,6472,7323,7309,7315,7381,7519,7450,7545,7548
"23000","Maine","1","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",151009,149419,152886,153216,156359,159688,167827,174646,177619,184623,180427,179518,175267,177076,176492,179620,182891
"23000","Maine","1","SA25N 1/","70","111-112","  Farm employment",10549,10495,10528,10888,10922,10811,9945,9711,9283,10024,10252,10158,10189,10590,11082,11700,11710
"23000","Maine","1","SA25N 1/","80","...","  Nonfarm employment",738307,752438,773188,776679,779041,783404,797713,800304,808496,818798,814374,792348,781014,783689,785028,790990,798962
"23000","Maine","1","SA25N 1/","90","113-814","    Private nonfarm employment",634679,647418,665472,667293,667980,671154,685296,688412,695884,705929,701418,680706,670180,674958,676900,684006,692367
"23000","Maine","1","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",19570,18219,16985,15816,16938,14288,15709,16095,15811,15417,"(D)","(D)",14184,14068,"(D)",15427,16290
"23000","Maine","1","SA25N 1/","101","113","        Forestry and logging",6552,6574,6000,5898,5510,5020,5375,5774,5686,5576,5622,5053,4688,4865,5619,5540,5824
"23000","Maine","1","SA25N 1/","102","114","        Fishing, hunting and trapping",10552,9276,8750,7787,9073,7213,8154,8188,8002,7559,7264,"(D)",7006,6751,6943,7424,7988
"23000","Maine","1","SA25N 1/","103","115","        Support activities for agriculture and forestry",2466,2369,2235,2131,2355,2055,2180,2133,2123,2282,"(D)",2500,2490,2452,"(D)",2463,2478
"23000","Maine","1","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction","(T)","(T)","(T)",539,446,527,448,468,509,735,"(D)","(D)",869,843,"(D)",1188,1300
"23000","Maine","1","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",140,126,167,132,158,166,"(D)","(D)","(D)",307,270,344,413,441
"23000","Maine","1","SA25N 1/","202","212","        Mining (except oil and gas)","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",325,529,488,408,"(D)","(D)",935,748,"(D)"
"23000","Maine","1","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",18,"(D)","(D)","(D)","(D)","(D)","(D)",27,"(D)"
"23000","Maine","1","SA25N 1/","300","22","      Utilities",2541,2404,2446,2353,2302,2099,2011,2020,1980,2089,2113,2025,1997,1757,1773,1748,1694
"23000","Maine","1","SA25N 1/","400","23","      Construction",48540,50864,53224,55303,53998,57651,60394,63282,63757,63678,60580,55311,51527,51112,51394,51445,52272
"23000","Maine","1","SA25N 1/","401","236","        Construction of buildings",10375,11687,12759,12857,13993,13984,14741,15572,15625,14885,14120,12676,11996,11390,11768,11690,12051
"23000","Maine","1","SA25N 1/","402","237","        Heavy and civil engineering construction",5022,5458,5124,5137,4971,5261,4874,4674,4664,4926,4678,4339,3979,4149,4270,4266,4195
"23000","Maine","1","SA25N 1/","403","238","        Specialty trade contractors",33143,33719,35341,37309,35034,38406,40779,43036,43468,43867,41782,38296,35552,35573,35356,35489,36026
"23000","Maine","1","SA25N 1/","500","31-33","      Manufacturing",85291,84555,83088,78641,72230,68254,67459,65000,64161,64186,63261,57430,55109,55541,55667,55801,56105
"23000","Maine","1","SA25N 1/","510","321,327-339","        Durable goods manufacturing",42351,42929,42904,41866,38431,36524,36412,35118,34662,34700,34356,31025,29989,30331,30245,30689,31420
"23000","Maine","1","SA25N 1/","511","321","          Wood product manufacturing",8629,8614,8741,8089,7490,7289,7809,7607,7100,6776,5988,5026,4904,4933,5101,5361,5627
"23000","Maine","1","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",1626,1833,1866,1889,1707,1653,1689,1632,1707,1661,1509,1342,1360,1458,1392,1466,1533
"23000","Maine","1","SA25N 1/","513","331","          Primary metal manufacturing",562,486,474,470,436,399,383,375,392,383,394,347,339,334,"(D)","(D)","(D)"
"23000","Maine","1","SA25N 1/","514","332","          Fabricated metal product manufacturing",5390,5411,5749,5586,5113,4810,4911,5017,5276,5520,6005,5647,5298,5416,5593,5424,5275
"23000","Maine","1","SA25N 1/","515","333","          Machinery manufacturing",2891,2948,3243,3157,2696,2542,2341,2356,2334,2295,2387,2289,2256,2446,2519,2566,2603
"23000","Maine","1","SA25N 1/","516","334","          Computer and electronic product manufacturing",6386,6235,6802,5816,4782,4055,3681,3118,3198,3190,3214,2873,2758,2664,2472,2446,2348
"23000","Maine","1","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",1540,1508,1469,1303,1051,1022,996,921,831,764,653,487,448,409,426,441,455
"23000","Maine","1","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",492,537,577,602,608,628,664,623,611,551,503,357,303,295,"(D)","(D)","(D)"
"23000","Maine","1","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",9789,10211,9034,9974,9719,9483,9450,8754,8604,8883,8960,8117,8168,8000,7886,7998,8341
"23000","Maine","1","SA25N 1/","521","337","          Furniture and related product manufacturing",2263,2476,2294,2468,2296,2138,2111,1893,1791,1700,1807,1548,1417,1545,1556,1589,1623
"23000","Maine","1","SA25N 1/","522","339","          Miscellaneous manufacturing",2783,2670,2655,2512,2533,2505,2377,2822,2818,2977,2936,2992,2738,2831,2600,2654,2797
"23000","Maine","1","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",42940,41626,40184,36775,33799,31730,31047,29882,29499,29486,28905,26405,25120,25210,25422,25112,24685
"23000","Maine","1","SA25N 1/","531","311","          Food manufacturing",7098,7365,7638,7368,7136,7215,7192,6824,6634,6458,6442,6384,5938,6244,6066,5855,6005
"23000","Maine","1","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",483,533,521,475,441,661,735,1079,1192,1255,1283,1261,1231,1246,1298,1350,1360
"23000","Maine","1","SA25N 1/","533","313","          Textile mills",4030,3403,2881,2280,2169,1991,1557,1504,1522,1499,1438,1058,1037,1077,1100,1153,1257
"23000","Maine","1","SA25N 1/","534","314","          Textile product mills",1508,1613,1690,1505,1218,1214,1223,1198,1120,1118,1069,869,770,800,809,865,857
"23000","Maine","1","SA25N 1/","535","315","          Apparel manufacturing",1426,1434,1367,1318,1194,892,813,628,594,666,570,623,618,593,871,784,718
"23000","Maine","1","SA25N 1/","536","316","          Leather and allied product manufacturing",6487,5719,4976,4007,2748,2455,2375,2223,2265,2253,2065,1701,1597,1632,1804,1772,1800
"23000","Maine","1","SA25N 1/","537","322","          Paper manufacturing",13696,13286,12930,12291,11726,10267,9869,9186,8749,8535,8316,7532,7406,7313,7157,6914,6189
"23000","Maine","1","SA25N 1/","538","323","          Printing and related support activities",3044,3089,3221,3132,2909,2895,2897,2763,2621,2561,2458,2075,1848,1768,1773,1775,1784
"23000","Maine","1","SA25N 1/","539","324","          Petroleum and coal products manufacturing",308,346,354,345,404,391,400,427,387,378,366,401,439,448,385,364,365
"23000","Maine","1","SA25N 1/","541","325","          Chemical manufacturing",1848,1843,1708,1471,1464,1496,1639,1679,1794,1980,2116,2080,2079,2082,2170,2265,2329
"23000","Maine","1","SA25N 1/","542","326","          Plastics and rubber products manufacturing",3012,2995,2898,2583,2390,2253,2347,2371,2621,2783,2782,2421,2157,2007,1989,2015,2021
"23000","Maine","1","SA25N 1/","600","42","      Wholesale trade",21734,22122,22393,22810,22232,23044,23920,24029,24029,23921,23290,22060,21391,21668,21843,22004,22138
"23000","Maine","1","SA25N 1/","700","44-45","      Retail trade",101910,101955,105367,105399,105786,105778,107611,107207,105598,106285,104532,101404,99221,99584,98829,99211,99837
"23000","Maine","1","SA25N 1/","701","441","        Motor vehicle and parts dealers",10816,11043,11477,11479,11856,11647,11945,11943,11725,11693,11212,10538,10476,10620,10641,10524,11010
"23000","Maine","1","SA25N 1/","702","442","        Furniture and home furnishings stores",2471,2597,2779,2825,3003,2748,2728,2698,2653,2638,2447,2098,1979,1951,1908,1892,1885
"23000","Maine","1","SA25N 1/","703","443","        Electronics and appliance stores",2296,2351,2456,2311,2159,2241,2079,2047,2047,2171,2376,2481,2384,2461,2281,2182,2124
"23000","Maine","1","SA25N 1/","704","444","        Building material and garden equipment and supplies dealers",6064,6345,6640,6888,7335,7056,7411,7702,8073,8111,8087,7633,7740,7694,7656,7758,8023
"23000","Maine","1","SA25N 1/","705","445","        Food and beverage stores",19313,19527,20291,20405,20494,20304,20150,19661,19250,19487,20007,19743,18687,18383,18331,18833,19107
"23000","Maine","1","SA25N 1/","706","446","        Health and personal care stores",3664,3935,4164,4119,4107,4217,4172,3945,4114,4179,4230,4150,4194,4252,4317,4410,4413
"23000","Maine","1","SA25N 1/","707","447","        Gasoline stations",7391,7646,7550,7634,7979,8106,8070,7850,7894,7973,7773,7451,7535,7575,7513,7506,7650
"23000","Maine","1","SA25N 1/","708","448","        Clothing and clothing accessories stores",5505,5603,5609,5551,5563,5425,5773,5774,5855,6086,6055,5917,6056,5698,5806,6179,5817
"23000","Maine","1","SA25N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",5702,5521,5505,5438,5342,5308,5399,5120,5172,5162,5118,4826,4367,4173,3994,4076,4100
"23000","Maine","1","SA25N 1/","711","452","        General merchandise stores",11682,11881,12288,12063,11986,11890,12309,12668,12963,13099,13114,12980,13036,13611,13533,13235,13301
"23000","Maine","1","SA25N 1/","712","453","        Miscellaneous store retailers",10014,9860,10505,11550,11653,11859,11698,10912,10886,11321,10422,10670,10416,10393,10522,11004,10919
"23000","Maine","1","SA25N 1/","713","454","        Nonstore retailers",16992,15646,16103,15136,14309,14977,15877,16887,14966,14365,13691,12917,12351,12773,12327,11612,11488
"23000","Maine","1","SA25N 1/","800","48-49","      Transportation and warehousing",20631,20052,20660,19902,19738,19330,19556,19658,21820,22739,21958,20810,20089,20287,20204,20591,21322
"23000","Maine","1","SA25N 1/","801","481","        Air transportation",725,704,645,565,537,523,516,457,440,464,396,400,399,368,384,279,258
"23000","Maine","1","SA25N 1/","802","482","        Rail transportation",755,750,730,638,601,557,559,568,603,594,588,534,530,534,537,567,588
"23000","Maine","1","SA25N 1/","803","483","        Water transportation","(T)","(T)","(T)",229,225,223,222,201,200,223,235,202,187,231,150,196,190
"23000","Maine","1","SA25N 1/","804","484","        Truck transportation",9199,8861,9290,9116,9066,8688,8663,8899,9011,9134,8484,8193,7878,7808,7703,7727,7811
