"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"92000","Mideast","2","SA25N 1/","10","...","Total employment (number of jobs)",25149757,25668847,26347218,26411481,26361531,26453665,26840093,27246519,27653218,28199941,28334063,27748203,27678828,28197662,28473287,28874039,29270623
"92000","Mideast","2","SA25N 1/","20","...","  Wage and salary employment",21556532,21990402,22477345,22447903,22312670,22219858,22381041,22563235,22798961,23007514,23046025,22335774,22214853,22415901,22660976,22875974,23196500
"92000","Mideast","2","SA25N 1/","40","...","  Proprietors employment",3593225,3678445,3869873,3963578,4048861,4233807,4459052,4683284,4854257,5192427,5288038,5412429,5463975,5781761,5812311,5998065,6074123
"92000","Mideast","2","SA25N 1/","50","...","    Farm proprietors employment",126439,125413,124781,123120,117995,113187,109143,107909,104694,109830,109737,108634,108329,107826,105215,107364,106914
"92000","Mideast","2","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",3466786,3553032,3745092,3840458,3930866,4120620,4349909,4575375,4749563,5082597,5178301,5303795,5355646,5673935,5707096,5890701,5967209
"92000","Mideast","2","SA25N 1/","70","111-112","  Farm employment",179457,182603,188424,185219,180422,171017,162657,160212,157405,160697,158496,155867,158363,159529,167051,168815,168305
"92000","Mideast","2","SA25N 1/","80","...","  Nonfarm employment",24970300,25486244,26158794,26226262,26181109,26282648,26677436,27086307,27495813,28039244,28175567,27592336,27520465,28038133,28306236,28705224,29102318
"92000","Mideast","2","SA25N 1/","90","113-814","    Private nonfarm employment",21359185,21849814,22462401,22506038,22380718,22474182,22869865,23270341,23670250,24202569,24301415,23702290,23617159,24217565,24533023,24943896,25353992
"92000","Mideast","2","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",48339,46284,43825,41403,"(D)",39598,41880,43282,43295,44438,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA25N 1/","101","113","        Forestry and logging",10421,11038,9873,9810,"(D)","(D)",9196,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA25N 1/","102","114","        Fishing, hunting and trapping",8992,8281,7931,6730,7786,"(D)",6958,"(D)","(D)","(D)",6715,"(D)","(D)","(D)",6243,"(D)","(D)"
"92000","Mideast","2","SA25N 1/","103","115","        Support activities for agriculture and forestry",28926,26965,26021,24863,27356,25111,25726,25951,26034,28052,29407,30379,30899,30711,30420,30383,31262
"92000","Mideast","2","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",44721,43666,41642,43763,"(D)",42848,41586,43129,46819,52093,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA25N 1/","201","211","        Oil and gas extraction",12926,12810,11495,12905,"(D)","(D)","(D)",13474,"(D)","(D)","(D)","(D)",29697,"(D)","(D)",37396,"(D)"
"92000","Mideast","2","SA25N 1/","202","212","        Mining (except oil and gas)",28534,27572,26705,"(D)",24283,"(D)","(D)",24392,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA25N 1/","203","213","        Support activities for mining",3261,3284,3442,"(D)",3852,4266,4627,5263,"(D)",7289,8326,"(D)","(D)","(D)","(D)","(D)",21534
"92000","Mideast","2","SA25N 1/","300","22","      Utilities",109888,107372,110661,"(D)","(D)",100962,96765,93064,91153,91096,92011,91028,92312,90981,91035,91852,93559
"92000","Mideast","2","SA25N 1/","400","23","      Construction",1176032,1230742,1279588,1324370,1304574,1336942,1386199,1442362,1488498,1507097,1474803,1340540,1265343,1276524,1301027,1345286,1383010
"92000","Mideast","2","SA25N 1/","401","236","        Construction of buildings",259247,278819,293171,304438,312024,305346,318938,336085,348035,344768,337514,300656,283056,277137,289885,302489,314602
"92000","Mideast","2","SA25N 1/","402","237","        Heavy and civil engineering construction",100175,105563,110223,112928,114512,114022,113543,114702,119925,120973,121706,117318,113426,116661,119218,118643,122645
"92000","Mideast","2","SA25N 1/","403","238","        Specialty trade contractors",816610,846360,876194,907004,878038,917574,953718,991575,1020538,1041356,1015583,922566,868861,882726,891924,924154,945763
"92000","Mideast","2","SA25N 1/","500","31-33","      Manufacturing",2367635,2311730,2300722,2197917,"(D)",1916648,1863331,1827003,1797864,1757759,1706062,1547098,1489796,1496934,1491039,1488420,1493794
"92000","Mideast","2","SA25N 1/","510","321,327-339","        Durable goods manufacturing",1294413,1269653,1274601,1226897,"(D)",1051145,1030007,1019314,1015330,996683,973281,866295,830408,843922,842728,840441,837191
"92000","Mideast","2","SA25N 1/","511","321","          Wood product manufacturing",54633,55625,56406,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",36699,37058,"(D)",43042
"92000","Mideast","2","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",84857,82608,84053,81051,77163,72213,70648,69026,"(D)",64288,62172,55372,53120,53904,53378,53114,53658
"92000","Mideast","2","SA25N 1/","513","331","          Primary metal manufacturing",97167,92559,92183,85941,78533,71681,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA25N 1/","514","332","          Fabricated metal product manufacturing",230381,228255,230044,222309,203933,191396,189589,192382,193221,"(D)","(D)","(D)",164333,168388,170389,169995,168392
"92000","Mideast","2","SA25N 1/","515","333","          Machinery manufacturing",198889,191607,185062,176621,156655,142907,137849,135975,136752,136317,135588,119379,112970,117589,"(D)","(D)","(D)"
"92000","Mideast","2","SA25N 1/","516","334","          Computer and electronic product manufacturing",221948,216238,225506,"(D)",198740,181468,176835,173740,173692,167089,164791,153338,147751,146722,141885,137943,134468
"92000","Mideast","2","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",73274,69840,69179,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",82378,82491,81421,73920,69639,64568,62473,59242,56144,51008,43748,32420,30899,30762,30012,29413,30190
"92000","Mideast","2","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",52123,49472,49384,44100,42134,40028,40804,42713,44072,45878,48777,46104,43335,43178,"(D)",43799,41256
"92000","Mideast","2","SA25N 1/","521","337","          Furniture and related product manufacturing",66683,69973,70839,68504,62608,60720,60799,57879,58147,56906,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA25N 1/","522","339","          Miscellaneous manufacturing",132080,130985,130524,123618,119533,116000,110155,109761,109606,110847,"(D)","(D)","(D)","(D)",96391,"(D)","(D)"
"92000","Mideast","2","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",1073222,1042077,1026121,971020,"(D)",865503,833324,807689,782534,761076,732781,680803,659388,653012,648311,647979,656603
"92000","Mideast","2","SA25N 1/","531","311","          Food manufacturing",201437,199618,199456,196493,194378,192054,188930,186175,181264,183400,180383,178017,175949,179571,184091,186491,191440
