"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"26000","Michigan","3","SA25N 1/","10","...","Total employment (number of jobs)",5377478,5475785,5608190,5508027,5448643,5423767,5445905,5474106,5439624,5435274,5315899,5029744,5008252,5137701,5203838,5291466,5391129
"26000","Michigan","3","SA25N 1/","20","...","  Wage and salary employment",4607674,4698703,4781618,4668021,4586194,4517542,4501378,4486528,4424600,4371804,4256574,3960001,3940724,4031623,4104082,4181141,4265676
"26000","Michigan","3","SA25N 1/","40","...","  Proprietors employment",769804,777082,826572,840006,862449,906225,944527,987578,1015024,1063470,1059325,1069743,1067528,1106078,1099756,1110325,1125453
"26000","Michigan","3","SA25N 1/","50","...","    Farm proprietors employment",53631,54358,53423,54199,52106,50264,48792,48264,47085,49029,47685,46948,46869,46484,45372,45956,45625
"26000","Michigan","3","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",716173,722724,773149,785807,810343,855961,895735,939314,967939,1014441,1011640,1022795,1020659,1059594,1054384,1064369,1079828
"26000","Michigan","3","SA25N 1/","70","111-112","  Farm employment",72875,75273,73645,73026,69610,69512,69567,67415,65058,70201,65227,64659,63240,70015,65658,67891,68577
"26000","Michigan","3","SA25N 1/","80","...","  Nonfarm employment",5304603,5400512,5534545,5435001,5379033,5354255,5376338,5406691,5374566,5365073,5250672,4965085,4945012,5067686,5138180,5223575,5322552
"26000","Michigan","3","SA25N 1/","90","113-814","    Private nonfarm employment",4639184,4726197,4836292,4736233,4677259,4656654,4683471,4717792,4695635,4691313,4587352,4305577,4293542,4436399,4518446,4613269,4715952
"26000","Michigan","3","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",14727,14324,13577,13737,13901,12744,13891,14456,13911,14533,15060,15090,15154,15502,16276,16509,17618
"26000","Michigan","3","SA25N 1/","101","113","        Forestry and logging",4565,4670,4256,4331,4193,3859,4157,4469,4248,4114,4225,3787,3521,3759,4469,4530,4869
"26000","Michigan","3","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)",1223,1219,1093,1322,1089,1313,1415,1466,1394,1416,1357,1331,1263,1279,1351,1433
