"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"27000","Minnesota","4","SA25N 1/","10","...","Total employment (number of jobs)",3186896,3252434,3326787,3338685,3331049,3343262,3386945,3447486,3491448,3536074,3522422,3422797,3396374,3457483,3490522,3540723,3591362
"27000","Minnesota","4","SA25N 1/","20","...","  Wage and salary employment",2641823,2703900,2756409,2758536,2740683,2734987,2758166,2795386,2827078,2843408,2831328,2728923,2710413,2751062,2791399,2834537,2877568
"27000","Minnesota","4","SA25N 1/","40","...","  Proprietors employment",545073,548534,570378,580149,590366,608275,628779,652100,664370,692666,691094,693874,685961,706421,699123,706186,713794
"27000","Minnesota","4","SA25N 1/","50","...","    Farm proprietors employment",83116,82602,81715,83353,75070,71653,69640,69381,67701,68339,67632,66734,66043,65319,63981,64809,64492
"27000","Minnesota","4","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",461957,465932,488663,496796,515296,536622,559139,582719,596669,624327,623462,627140,619918,641102,635142,641377,649302
"27000","Minnesota","4","SA25N 1/","70","111-112","  Farm employment",100402,101797,100675,101381,92186,90484,87110,86994,83325,83616,81178,85833,85343,82191,81572,80611,78724
"27000","Minnesota","4","SA25N 1/","80","...","  Nonfarm employment",3086494,3150637,3226112,3237304,3238863,3252778,3299835,3360492,3408123,3452458,3441244,3336964,3311031,3375292,3408950,3460112,3512638
"27000","Minnesota","4","SA25N 1/","90","113-814","    Private nonfarm employment",2691041,2750830,2819448,2829118,2828515,2844512,2890886,2945155,2988334,3032956,3021190,2918508,2890078,2960110,2992144,3042521,3092565
"27000","Minnesota","4","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",12665,12389,11430,11095,12099,11027,11764,12085,12089,12626,13196,13171,13160,13340,13619,13813,14071
"27000","Minnesota","4","SA25N 1/","101","113","        Forestry and logging",3089,3217,2892,2805,2722,2446,2620,2799,2703,2542,2575,2324,2082,2284,2610,2579,2748
"27000","Minnesota","4","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",990,1259,1010,1197,1253,1315,1255,1222,1160,1139,1077,1124,1214,1314
"27000","Minnesota","4","SA25N 1/","103","115","        Support activities for agriculture and forestry",8383,8091,7446,7300,8118,7571,7947,8033,8071,8829,9399,9687,9939,9979,9885,10020,10009
"27000","Minnesota","4","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",9048,8794,8662,7625,7052,7123,6930,6940,7298,7896,9078,7913,9728,9595,12085,11841,12454
"27000","Minnesota","4","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)",1038,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"27000","Minnesota","4","SA25N 1/","202","212","        Mining (except oil and gas)",7957,7631,7551,6388,5970,5694,5615,5463,5542,5969,6125,4977,5920,6411,7606,7157,7496
"27000","Minnesota","4","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"27000","Minnesota","4","SA25N 1/","300","22","      Utilities",13214,13313,13057,12844,12407,12251,12248,12316,12415,12711,13370,13406,13390,13351,13273,13573,13483
"27000","Minnesota","4","SA25N 1/","400","23","      Construction",155183,166762,175290,181586,183355,188696,194662,200193,198215,192666,181123,157823,146846,150443,154606,160855,169027
"27000","Minnesota","4","SA25N 1/","401","236","        Construction of buildings",33282,36721,39329,42158,44855,43075,44107,46499,45672,43443,41010,34706,32745,32669,34081,35551,37765
"27000","Minnesota","4","SA25N 1/","402","237","        Heavy and civil engineering construction",15809,16858,17186,17259,18328,18391,18946,18637,18852,18682,17738,17036,15724,15847,16938,17649,18781
"27000","Minnesota","4","SA25N 1/","403","238","        Specialty trade contractors",106092,113183,118775,122169,120172,127230,131609,135057,133691,130541,122375,106081,98377,101927,103587,107655,112481
"27000","Minnesota","4","SA25N 1/","500","31-33","      Manufacturing",408796,407664,407602,389536,368417,356619,354932,358642,358382,354740,347778,314225,305380,315559,320085,322935,329080
"27000","Minnesota","4","SA25N 1/","510","321,327-339","        Durable goods manufacturing",263351,262096,262443,249987,233762,224796,227313,231989,232947,228972,224070,198312,192289,200053,203904,205440,209529
"27000","Minnesota","4","SA25N 1/","511","321","          Wood product manufacturing",17757,18200,18405,17814,17927,18299,18852,18897,17937,16318,14419,12822,12042,12016,12106,12070,12537
"27000","Minnesota","4","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",10341,10424,10690,10591,10364,10023,10485,10584,10522,10683,9920,8667,8299,8790,9211,9543,9646
"27000","Minnesota","4","SA25N 1/","513","331","          Primary metal manufacturing",7250,7182,7083,7116,6754,6570,6829,7021,6954,6772,6928,5331,5571,6121,6436,6254,6307
"27000","Minnesota","4","SA25N 1/","514","332","          Fabricated metal product manufacturing",51080,50455,51131,48156,43613,41538,42589,43949,45024,45067,44399,39079,38015,40482,42495,43044,44092
"27000","Minnesota","4","SA25N 1/","515","333","          Machinery manufacturing",45293,44354,44558,41928,37523,35649,35121,35344,34933,34895,34927,30725,29993,31576,33031,33416,33616
"27000","Minnesota","4","SA25N 1/","516","334","          Computer and electronic product manufacturing",69214,67697,66045,62037,57313,53635,53869,54541,55067,52439,52479,47674,46042,46497,46039,45154,45534
"27000","Minnesota","4","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",9585,9606,10104,9448,8471,7849,8246,8304,8569,8829,9209,8766,8234,8661,9115,9071,9265
"27000","Minnesota","4","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",8972,9832,10087,9337,8953,8445,7307,7451,6805,6357,5905,4824,4764,"(D)","(D)","(D)","(D)"
"27000","Minnesota","4","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",7150,7321,7455,7697,7960,7874,7842,8249,7992,7535,7454,5361,5043,"(D)","(D)","(D)","(D)"
"27000","Minnesota","4","SA25N 1/","521","337","          Furniture and related product manufacturing",14092,15053,15038,14303,13362,13214,13576,13893,13805,13102,12174,9591,8876,9384,9440,10029,10408
"27000","Minnesota","4","SA25N 1/","522","339","          Miscellaneous manufacturing",22617,21972,21847,21560,21522,21700,22597,23756,25339,26975,26256,25472,25410,25684,25522,25602,26376
"27000","Minnesota","4","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",145445,145568,145159,139549,134655,131823,127619,126653,125435,125768,123708,115913,113091,115506,116181,117495,119551
"27000","Minnesota","4","SA25N 1/","531","311","          Food manufacturing",48373,49066,49113,48174,47803,46256,44226,43634,43266,43512,43755,44039,44153,44806,45503,46651,47069
"27000","Minnesota","4","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",2539,2561,2522,2710,2361,2315,2270,2305,2332,2445,2378,2318,2307,2372,2537,2764,3006
"27000","Minnesota","4","SA25N 1/","533","313","          Textile mills",658,626,581,519,527,485,472,436,509,516,414,353,348,382,382,425,390
"27000","Minnesota","4","SA25N 1/","534","314","          Textile product mills",3515,3413,3385,3129,3056,2945,2521,2564,2490,2788,2733,2365,2210,2401,2460,2692,2784
"27000","Minnesota","4","SA25N 1/","535","315","          Apparel manufacturing",2791,2624,2459,2327,2094,1844,1952,1900,1947,1839,1608,1670,1625,1399,1658,1704,1959
"27000","Minnesota","4","SA25N 1/","536","316","          Leather and allied product manufacturing",2296,2206,2140,1819,1726,1609,1443,1376,1411,1385,1284,1135,1167,1409,1390,1287,1271
"27000","Minnesota","4","SA25N 1/","537","322","          Paper manufacturing",15834,15674,15666,15065,14289,13223,12489,12111,11885,11764,11594,10722,11033,11078,10517,9874,9416
"27000","Minnesota","4","SA25N 1/","538","323","          Printing and related support activities",35976,35750,35309,33353,32039,32869,32598,33114,32631,32412,30857,27386,24765,25048,24654,24838,25396
"27000","Minnesota","4","SA25N 1/","539","324","          Petroleum and coal products manufacturing",2310,2428,2410,2329,2453,2386,2501,2588,2548,2399,2149,2191,2066,2119,2191,2193,2337
"27000","Minnesota","4","SA25N 1/","541","325","          Chemical manufacturing",10876,11086,10683,10390,10216,10141,9992,9962,10006,10510,11134,10405,10251,10685,10531,10170,10441
"27000","Minnesota","4","SA25N 1/","542","326","          Plastics and rubber products manufacturing",20277,20134,20891,19734,18091,17750,17155,16663,16410,16198,15802,13329,13166,13807,14358,14897,15482
"27000","Minnesota","4","SA25N 1/","600","42","      Wholesale trade",136857,137407,138866,140458,137216,136741,138989,141907,144049,143937,143516,136542,133585,136837,138875,140695,142164
"27000","Minnesota","4","SA25N 1/","700","44-45","      Retail trade",368611,367094,374696,372820,371605,373224,373208,377344,375467,374977,363607,348753,340959,346461,347094,352389,355296
"27000","Minnesota","4","SA25N 1/","701","441","        Motor vehicle and parts dealers",36357,37367,37793,38279,39378,38589,39038,38182,37240,36798,35950,33125,32582,33199,33839,34859,36150
"27000","Minnesota","4","SA25N 1/","702","442","        Furniture and home furnishings stores",10689,11482,12285,12244,12720,12905,13220,12975,12957,12314,11384,9657,9098,9219,9254,9505,9638
"27000","Minnesota","4","SA25N 1/","703","443","        Electronics and appliance stores",10216,11050,10908,10360,10145,9700,10054,9746,10029,10055,10239,9341,9413,9914,9178,8749,8224
"27000","Minnesota","4","SA25N 1/","704","444","        Building material and garden equipment and supplies dealers",26010,27151,27884,28116,29143,28219,28898,28902,28616,28545,27219,25336,24888,25241,25806,26741,27072
"27000","Minnesota","4","SA25N 1/","705","445","        Food and beverage stores",54960,56430,56895,58199,57122,55576,54999,55315,55838,55157,54384,54169,51669,51593,52306,53425,53511
"27000","Minnesota","4","SA25N 1/","706","446","        Health and personal care stores",17048,16781,17038,17394,18009,18222,18269,18531,19336,19241,18440,17791,17158,17789,17804,18516,18862
"27000","Minnesota","4","SA25N 1/","707","447","        Gasoline stations",29049,28362,28834,28903,27698,26874,25651,25069,24130,24031,24250,23478,23314,23597,24043,23985,24770
"27000","Minnesota","4","SA25N 1/","708","448","        Clothing and clothing accessories stores",22626,22532,22792,23566,22731,23026,24095,24782,25482,26771,26305,24913,24823,24183,24445,24431,24051
"27000","Minnesota","4","SA25N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",18683,18540,19020,18454,18581,18764,18805,18631,18328,18008,17495,16206,16393,15736,15594,15865,16098
"27000","Minnesota","4","SA25N 1/","711","452","        General merchandise stores",56423,55860,56504,56927,56648,59621,60153,62399,61902,63840,63054,62460,62045,63844,63201,62324,60869
"27000","Minnesota","4","SA25N 1/","712","453","        Miscellaneous store retailers",32229,32335,33348,34862,34370,34659,34167,32395,31888,32916,30745,30752,30048,30497,30477,31367,31951
"27000","Minnesota","4","SA25N 1/","713","454","        Nonstore retailers",54321,49204,51395,45516,45060,47069,45859,50417,49721,47301,44142,41525,39528,41649,41147,42622,44100
"27000","Minnesota","4","SA25N 1/","800","48-49","      Transportation and warehousing",107360,106286,109298,111970,105405,103845,105817,109185,107552,109933,108520,104655,103044,107645,108638,110552,114541
"27000","Minnesota","4","SA25N 1/","801","481","        Air transportation",21947,21922,21863,23353,18360,17909,19229,20108,17068,16800,15804,14528,13691,13750,13373,13706,14180
"27000","Minnesota","4","SA25N 1/","802","482","        Rail transportation",5292,5351,4991,"(D)",4698,4515,4417,4498,"(D)","(D)","(D)","(D)",4212,"(D)",4835,4713,4876
"27000","Minnesota","4","SA25N 1/","803","483","        Water transportation",312,319,325,"(D)","(D)","(D)",308,312,270,302,314,253,265,351,331,346,385
"27000","Minnesota","4","SA25N 1/","804","484","        Truck transportation",34525,33717,35947,35341,35458,34663,35508,37211,38248,39537,38597,37809,37030,38035,38228,38928,39928
"27000","Minnesota","4","SA25N 1/","805","485","        Transit and ground passenger transportation",14002,14001,13708,14088,14216,14345,14791,15106,15503,16169,16350,16615,16523,17310,18412,19439,20628
"27000","Minnesota","4","SA25N 1/","806","486","        Pipeline transportation",406,408,401,387,325,360,366,356,373,355,365,368,372,383,420,534,626
"27000","Minnesota","4","SA25N 1/","807","487","        Scenic and sightseeing transportation","(T)","(T)","(T)",297,"(D)","(D)",330,"(D)",339,491,452,368,298,291,320,320,338
"27000","Minnesota","4","SA25N 1/","808","488","        Support activities for transportation",5843,6184,6358,6697,6471,6360,6435,6634,6645,6807,7525,7353,7395,8000,8080,7636,7848
"27000","Minnesota","4","SA25N 1/","809","492","        Couriers and messengers",17208,16482,17306,18299,"(D)",17226,17137,"(D)","(D)","(D)","(D)","(D)",15644,"(D)",16212,16811,17314
"27000","Minnesota","4","SA25N 1/","811","493","        Warehousing and storage",7494,7602,8110,8216,8258,7846,7296,7282,7415,7940,7861,7489,7614,8412,8427,8119,8418
"27000","Minnesota","4","SA25N 1/","900","51","      Information",71091,73154,76558,77566,73458,68308,67279,68133,66656,68202,67417,63990,62243,62011,61944,61841,61243
"27000","Minnesota","4","SA25N 1/","901","511","        Publishing industries (except Internet)",28986,29236,30281,30105,28959,27617,27616,28184,28103,28681,28319,26313,25128,24849,24388,24447,23964
"27000","Minnesota","4","SA25N 1/","902","512","        Motion picture and sound recording industries",6569,6594,5907,6235,6073,6108,5995,5956,5721,5573,5555,5408,5276,5446,5576,5103,5067
"27000","Minnesota","4","SA25N 1/","903","515","        Broadcasting (except Internet)",6423,6415,6636,6955,6728,6477,6422,6429,6259,7083,6601,6322,6302,6315,6300,6371,6445
"27000","Minnesota","4","SA25N 1/","904","516","        Internet publishing and broadcasting 3/",280,330,581,588,423,462,557,629,685,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"27000","Minnesota","4","SA25N 1/","905","517","        Telecommunications",17171,18348,20121,20110,18002,17240,16561,16751,15791,16307,16679,16117,15352,14614,15127,15138,15104
"27000","Minnesota","4","SA25N 1/","906","518","        Data processing, hosting, and related services",11224,11795,12594,13087,12683,9756,9583,9603,9439,8863,8571,8214,8450,8819,8301,8537,8143
"27000","Minnesota","4","SA25N 1/","907","519","        Other information services 3/",438,436,438,486,590,648,545,581,658,1695,1692,1616,1735,1968,2252,2245,2520
"27000","Minnesota","4","SA25N 1/","1000","52","      Finance and insurance",168542,170589,174531,173824,177552,180869,181441,184938,186109,191830,198353,205720,203142,215223,212086,214999,212372
"27000","Minnesota","4","SA25N 1/","1001","521","        Monetary Authorities-central bank",764,764,650,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1133
"27000","Minnesota","4","SA25N 1/","1002","522","        Credit intermediation and related activities",48384,50539,50511,52265,56059,61583,62348,63791,63440,61221,59760,58661,57898,58434,57193,58546,58143
"27000","Minnesota","4","SA25N 1/","1003","523","        Securities, commodity contracts, and other financial investments and related activities",47245,46999,51641,46767,45234,43455,44530,45407,45982,52499,57964,63605,61419,68638,67612,68228,67750
"27000","Minnesota","4","SA25N 1/","1004","524","        Insurance carriers and related activities",69806,69789,68948,71170,72705,72331,70634,71296,72390,73514,76054,77471,78118,81586,81370,81578,79851
"27000","Minnesota","4","SA25N 1/","1005","525","        Funds, trusts, and other financial vehicles",2343,2498,2781,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",5495
"27000","Minnesota","4","SA25N 1/","1100","53","      Real estate and rental and leasing",82797,78846,86388,89884,94329,102306,109780,117544,121399,123670,119539,117757,120131,122543,123483,125465,125410
"27000","Minnesota","4","SA25N 1/","1101","531","        Real estate",68056,63938,71149,74828,80116,87981,95158,103132,107081,110368,106617,106061,108713,111911,112745,114590,114184
"27000","Minnesota","4","SA25N 1/","1102","532","        Rental and leasing services",13399,13583,14044,13751,12944,13082,13320,13148,13063,12033,11675,10442,10210,9702,9888,9908,10226
"27000","Minnesota","4","SA25N 1/","1103","533","        Lessors of nonfinancial intangible assets (except copyrighted works)",1342,1325,1195,1305,1269,1243,1302,1264,1255,1269,1247,1254,1208,930,850,967,1000
"27000","Minnesota","4","SA25N 1/","1200","54","      Professional, scientific, and technical services",166724,177551,182927,184997,181668,182014,188378,190559,196052,207178,208567,201624,200731,204839,206699,212755,218833
"27000","Minnesota","4","SA25N 1/","1300","55","      Management of companies and enterprises",62018,63037,64088,65831,62577,61555,65184,64734,67686,68612,73531,72139,72742,74669,76907,78971,80738
