"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"29000","Missouri","4","SA25N 1/","10","...","Total employment (number of jobs)",3384420,3424606,3473578,3454270,3440029,3447466,3482903,3536262,3589777,3641876,3632010,3531604,3473503,3508071,3528825,3563763,3602045
"29000","Missouri","4","SA25N 1/","20","...","  Wage and salary employment",2781777,2823700,2854724,2831230,2809894,2801795,2814277,2842450,2880738,2898957,2897543,2790120,2740634,2746857,2780514,2810602,2841624
"29000","Missouri","4","SA25N 1/","40","...","  Proprietors employment",602643,600906,618854,623040,630135,645671,668626,693812,709039,742919,734467,741484,732869,761214,748311,753161,760421
"29000","Missouri","4","SA25N 1/","50","...","    Farm proprietors employment",114700,114136,113104,111581,105730,101400,98668,97237,94909,96441,95449,94323,93508,92374,90108,90833,89681
"29000","Missouri","4","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",487943,486770,505750,511459,524405,544271,569958,596575,614130,646478,639018,647161,639361,668840,658203,662328,670740
"29000","Missouri","4","SA25N 1/","70","111-112","  Farm employment",127172,124303,124097,122552,116497,111174,106865,106644,103920,104151,104332,102565,102337,101211,99201,99510,96803
"29000","Missouri","4","SA25N 1/","80","...","  Nonfarm employment",3257248,3300303,3349481,3331718,3323532,3336292,3376038,3429618,3485857,3537725,3527678,3429039,3371166,3406860,3429624,3464253,3505242
"29000","Missouri","4","SA25N 1/","90","113-814","    Private nonfarm employment",2810877,2842996,2879746,2861423,2850744,2860878,2900595,2953949,3006022,3051615,3033608,2929351,2880047,2925722,2953236,2988392,3031730
"29000","Missouri","4","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",11493,11028,10521,10587,11770,10702,11233,11350,11220,11473,11831,12019,12221,12593,13144,13234,13511
"29000","Missouri","4","SA25N 1/","101","113","        Forestry and logging",2230,2357,1963,"(D)",1962,1763,1896,2174,2125,2139,2163,1895,1661,1874,2317,2337,2547
"29000","Missouri","4","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)",891,716,851,890,925,889,876,843,820,797,801,847,918
"29000","Missouri","4","SA25N 1/","103","115","        Support activities for agriculture and forestry",8522,7984,7803,7882,8917,8223,8486,8286,8170,8445,8792,9281,9740,9922,10026,10050,10046
"29000","Missouri","4","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",7089,7304,7072,7004,6400,6838,6739,7219,7214,7831,8845,7966,8738,8024,9642,9961,10375
"29000","Missouri","4","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",1900,1649,2006,1708,1840,2036,2091,3230,3267,3939,3332,4409,5030,5369
"29000","Missouri","4","SA25N 1/","202","212","        Mining (except oil and gas)",4958,5123,5147,4991,4517,4555,4688,4992,4714,4883,4696,4298,4410,4287,4698,4497,4569
"29000","Missouri","4","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)",113,234,277,343,387,464,857,919,401,389,405,535,434,437
"29000","Missouri","4","SA25N 1/","300","22","      Utilities",12615,12472,12703,12977,12899,12277,12158,12207,12345,12744,12920,13039,12954,12600,12465,12447,12323
"29000","Missouri","4","SA25N 1/","400","23","      Construction",190831,199327,203122,207914,204774,210340,216991,226817,233670,233951,222797,198301,178846,175932,177622,180173,183572
"29000","Missouri","4","SA25N 1/","401","236","        Construction of buildings",45432,48429,48862,49236,49476,48077,50265,53275,55350,54120,51149,44595,39559,37096,38649,39114,40714
"29000","Missouri","4","SA25N 1/","402","237","        Heavy and civil engineering construction",18631,19944,20965,21221,20891,20654,20308,20309,21060,21696,21522,21203,18416,17608,17749,18130,18452
"29000","Missouri","4","SA25N 1/","403","238","        Specialty trade contractors",126768,130954,133295,137457,134407,141609,146418,153233,157260,158135,150126,132503,120871,121228,121224,122929,124406
"29000","Missouri","4","SA25N 1/","500","31-33","      Manufacturing",385733,380385,372941,350876,332400,320085,321753,319104,318012,312246,300139,267543,254396,258571,261107,266260,270670
