"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"30000","Montana","7","SA25N 1/","10","...","Total employment (number of jobs)",536822,542490,552934,558884,563977,570524,583879,598071,615458,634315,635036,618386,613635,620236,629425,637763,643412
"30000","Montana","7","SA25N 1/","20","...","  Wage and salary employment",395793,401836,409172,414009,417895,423491,434156,443479,456295,467323,468210,452084,447718,451920,460613,467097,470625
"30000","Montana","7","SA25N 1/","40","...","  Proprietors employment",141029,140654,143762,144875,146082,147033,149723,154592,159163,166992,166826,166302,165917,168316,168812,170666,172787
"30000","Montana","7","SA25N 1/","50","...","    Farm proprietors employment",25698,26118,26056,26245,25943,24817,24130,23831,23281,23999,24065,24209,24067,23865,23066,23534,23296
"30000","Montana","7","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",115331,114536,117706,118630,120139,122216,125593,130761,135882,142993,142761,142093,141850,144451,145746,147132,149491
"30000","Montana","7","SA25N 1/","70","111-112","  Farm employment",32103,31977,32805,32384,32091,30480,29768,29078,28437,28760,29081,28915,28828,29353,29733,30160,29695
"30000","Montana","7","SA25N 1/","80","...","  Nonfarm employment",504719,510513,520129,526500,531886,540044,554111,568993,587021,605555,605955,589471,584807,590883,599692,607603,613717
"30000","Montana","7","SA25N 1/","90","113-814","    Private nonfarm employment",416493,421728,431053,436351,441949,447495,460667,476140,494246,511984,511759,493419,487700,494850,504537,512493,518554
"30000","Montana","7","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",7859,7665,7393,6995,7800,7044,7196,7092,6998,7267,7425,7044,7123,7172,7535,7708,7925
"30000","Montana","7","SA25N 1/","101","113","        Forestry and logging",2843,2846,2584,2370,2439,2158,2252,2246,2186,2074,1989,"(D)",1363,1325,1502,1552,1620
"30000","Montana","7","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",782,931,754,895,913,902,889,968,"(D)",857,810,889,974,1050
