"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"31000","Nebraska","4","SA25N 1/","10","...","Total employment (number of jobs)",1137233,1154892,1172398,1171964,1163655,1167110,1178575,1191770,1204687,1227785,1234380,1221651,1214226,1227351,1245331,1259454,1276299
"31000","Nebraska","4","SA25N 1/","20","...","  Wage and salary employment",918664,936047,949159,951508,946121,949413,956632,964162,974788,988504,994004,974385,967772,972146,989737,1000934,1015901
"31000","Nebraska","4","SA25N 1/","40","...","  Proprietors employment",218569,218845,223239,220456,217534,217697,221943,227608,229899,239281,240376,247266,246454,255205,255594,258520,260398
"31000","Nebraska","4","SA25N 1/","50","...","    Farm proprietors employment",54347,54158,53515,49442,44096,41715,40622,40270,39165,39010,39564,40013,41220,41738,41844,41883,41481
"31000","Nebraska","4","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",164222,164687,169724,171014,173438,175982,181321,187338,190734,200271,200812,207253,205234,213467,213750,216637,218917
"31000","Nebraska","4","SA25N 1/","70","111-112","  Farm employment",68107,68731,66442,63255,56973,55345,53299,52039,50314,49847,49893,51610,54212,55432,53960,54176,53634
"31000","Nebraska","4","SA25N 1/","80","...","  Nonfarm employment",1069126,1086161,1105956,1108709,1106682,1111765,1125276,1139731,1154373,1177938,1184487,1170041,1160014,1171919,1191371,1205278,1222665
"31000","Nebraska","4","SA25N 1/","90","113-814","    Private nonfarm employment",907921,925629,943383,944771,938419,942022,954509,968907,981978,1006197,1011140,993801,982869,997462,1017900,1031965,1048361
"31000","Nebraska","4","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",7534,7197,6756,6691,7064,6487,7031,7360,7307,8488,8874,9745,9992,10522,10664,11198,11074
"31000","Nebraska","4","SA25N 1/","101","113","        Forestry and logging","(T)","(T)",453,"(D)","(D)",148,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"31000","Nebraska","4","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)",218,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"31000","Nebraska","4","SA25N 1/","103","115","        Support activities for agriculture and forestry",6807,6487,6015,6313,6612,6121,6607,6900,6853,8056,8449,9350,9620,10129,10232,10758,10603
"31000","Nebraska","4","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",2392,2305,2176,2205,2060,2384,2209,2245,2272,2067,2613,2492,2864,2578,3589,3678,3968
"31000","Nebraska","4","SA25N 1/","201","211","        Oil and gas extraction",1053,985,868,903,785,941,799,847,908,950,1484,1419,1714,1362,1957,2229,2373
"31000","Nebraska","4","SA25N 1/","202","212","        Mining (except oil and gas)",1170,1184,1151,1159,1114,1243,1207,1196,1163,869,883,861,920,971,1259,1148,1229
"31000","Nebraska","4","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)",143,161,200,203,202,201,248,246,212,230,245,373,301,366
"31000","Nebraska","4","SA25N 1/","300","22","      Utilities",1787,1750,1700,1578,1789,2023,2008,1806,1750,1835,2079,2089,1846,1788,1774,1486,1482
"31000","Nebraska","4","SA25N 1/","400","23","      Construction",61535,63192,63911,65149,64745,67385,69280,69396,70321,73013,72722,70143,63943,62701,65067,67601,70016
"31000","Nebraska","4","SA25N 1/","401","236","        Construction of buildings",12895,13361,13870,14025,14205,13609,13782,14108,14506,15503,15572,13928,13102,12396,12970,13242,13809
"31000","Nebraska","4","SA25N 1/","402","237","        Heavy and civil engineering construction",7708,7809,7586,7778,7715,7871,8300,8277,8829,9438,8719,8880,7244,6990,7773,7922,8246
"31000","Nebraska","4","SA25N 1/","403","238","        Specialty trade contractors",40932,42022,42455,43346,42825,45905,47198,47011,46986,48072,48431,47335,43597,43315,44324,46437,47961
"31000","Nebraska","4","SA25N 1/","500","31-33","      Manufacturing",115072,113790,115300,113274,108750,104759,103151,103853,104463,104697,104320,96631,94466,96839,98324,99991,101247
"31000","Nebraska","4","SA25N 1/","510","321,327-339","        Durable goods manufacturing",59127,58150,59088,55125,51471,48580,48202,49820,51124,51731,50977,44620,43131,44683,45899,47045,48038
"31000","Nebraska","4","SA25N 1/","511","321","          Wood product manufacturing",2454,2631,2717,2423,2504,2358,2424,2546,2491,2363,2172,2029,1864,1721,1908,2113,2246
"31000","Nebraska","4","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",2968,3074,3262,3067,3112,2893,3073,3081,3189,3226,3065,2735,2535,2657,2778,3055,3236
"31000","Nebraska","4","SA25N 1/","513","331","          Primary metal manufacturing",1571,1487,1456,1619,1399,1283,1389,1445,1482,1450,1429,1233,1214,1299,1340,1241,1350
"31000","Nebraska","4","SA25N 1/","514","332","          Fabricated metal product manufacturing",10198,9982,10252,9539,9033,8597,8268,8629,9125,9573,8969,7640,7352,7760,8409,8824,9117
"31000","Nebraska","4","SA25N 1/","515","333","          Machinery manufacturing",12199,11388,11642,10724,10164,9780,9460,9788,9941,10203,10742,9378,9172,9735,10512,10921,10669
"31000","Nebraska","4","SA25N 1/","516","334","          Computer and electronic product manufacturing",9930,10104,10116,8850,7188,6368,6021,5849,5761,5366,5287,4583,4612,4630,4510,4383,4461
"31000","Nebraska","4","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",3021,2995,2985,2887,2493,2111,1982,2046,2043,2080,1823,1503,1407,1437,1429,1326,1342
"31000","Nebraska","4","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",6989,6810,6767,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"31000","Nebraska","4","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",1702,1794,1912,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2051
"31000","Nebraska","4","SA25N 1/","521","337","          Furniture and related product manufacturing",3199,3074,3088,3134,2902,2869,3014,3156,3067,3000,2840,2426,2179,2239,1723,1659,"(D)"
"31000","Nebraska","4","SA25N 1/","522","339","          Miscellaneous manufacturing",4896,4811,4891,4817,4882,4759,4738,4938,5264,5591,5671,5608,5337,5315,5265,5383,5473
"31000","Nebraska","4","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",55945,55640,56212,58149,57279,56179,54949,54033,53339,52966,53343,52011,51335,52156,52425,52946,53209
"31000","Nebraska","4","SA25N 1/","531","311","          Food manufacturing",35272,35242,35451,37078,36941,36545,35341,34527,34015,34043,34077,33902,33467,33959,33977,34407,34702
"31000","Nebraska","4","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",733,684,656,993,938,930,838,878,831,875,843,827,811,811,848,773,824
"31000","Nebraska","4","SA25N 1/","533","313","          Textile mills","(T)","(T)","(T)",355,339,275,236,183,210,187,183,193,200,216,193,182,195
"31000","Nebraska","4","SA25N 1/","534","314","          Textile product mills",585,594,571,482,497,512,531,505,546,532,487,495,512,483,546,493,376
"31000","Nebraska","4","SA25N 1/","535","315","          Apparel manufacturing",876,735,672,576,466,417,358,346,327,278,238,253,241,232,258,275,328
"31000","Nebraska","4","SA25N 1/","536","316","          Leather and allied product manufacturing","(T)","(T)","(T)",152,163,133,166,181,179,144,158,153,176,469,456,444,419
"31000","Nebraska","4","SA25N 1/","537","322","          Paper manufacturing",2023,1987,2148,2098,1793,1767,1798,1740,1740,1704,1760,1663,1731,1746,1625,1660,1691
"31000","Nebraska","4","SA25N 1/","538","323","          Printing and related support activities",5814,5712,5931,5903,5797,5597,5513,5471,5435,5092,4834,4571,4206,3931,3858,3742,3626
"31000","Nebraska","4","SA25N 1/","539","324","          Petroleum and coal products manufacturing","(T)","(T)","(T)",24,26,22,23,21,25,36,44,36,38,80,65,76,73
"31000","Nebraska","4","SA25N 1/","541","325","          Chemical manufacturing",3168,3284,3363,3799,3919,4016,4149,4514,4506,4812,5314,5166,5210,5384,5595,5584,5675
"31000","Nebraska","4","SA25N 1/","542","326","          Plastics and rubber products manufacturing",6916,6875,6914,6689,6400,5965,5996,5667,5525,5263,5405,4752,4743,4845,5004,5310,5300
"31000","Nebraska","4","SA25N 1/","600","42","      Wholesale trade",45824,45926,45698,45349,44212,43418,43399,43509,43854,43862,44786,44155,43217,43838,44158,44772,45778
"31000","Nebraska","4","SA25N 1/","700","44-45","      Retail trade",138671,138315,140312,137798,134516,134567,134750,136443,135639,135884,134101,130804,128804,130073,130454,131371,133341
"31000","Nebraska","4","SA25N 1/","701","441","        Motor vehicle and parts dealers",13721,14059,14141,14149,14647,14308,14382,14417,14103,14148,14048,13507,13601,13939,14171,14423,14944
