"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"91000","New England","1","SA25N 1/","10","...","Total employment (number of jobs)",8359163,8512132,8733988,8761274,8706325,8691487,8785612,8879580,8986104,9156912,9168098,8941911,8875022,8989781,9092190,9243759,9378271
"91000","New England","1","SA25N 1/","20","...","  Wage and salary employment",6988761,7120778,7282848,7291544,7205817,7131619,7149516,7173418,7237973,7305183,7302341,7046273,7001570,7065271,7178416,7261178,7369883
"91000","New England","1","SA25N 1/","40","...","  Proprietors employment",1370402,1391354,1451140,1469730,1500508,1559868,1636096,1706162,1748131,1851729,1865757,1895638,1873452,1924510,1913774,1982581,2008388
"91000","New England","1","SA25N 1/","50","...","    Farm proprietors employment",27137,26983,26852,27588,27973,26933,26106,25732,25111,29282,29614,29840,30371,30968,30949,31508,31516
"91000","New England","1","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",1343265,1364371,1424288,1442142,1472535,1532935,1609990,1680430,1723020,1822447,1836143,1865798,1843081,1893542,1882825,1951073,1976872
"91000","New England","1","SA25N 1/","70","111-112","  Farm employment",46159,45934,46704,47728,48107,47477,43018,41993,39891,43473,45077,44777,45127,47102,48357,51424,51462
"91000","New England","1","SA25N 1/","80","...","  Nonfarm employment",8313004,8466198,8687284,8713546,8658218,8644010,8742594,8837587,8946213,9113439,9123021,8897134,8829895,8942679,9043833,9192335,9326809
"91000","New England","1","SA25N 1/","90","113-814","    Private nonfarm employment",7318096,7453633,7650671,7663526,7597699,7593459,7705114,7797692,7898535,8057024,8056800,7837007,7770809,7897345,7996799,8143673,8270257
"91000","New England","1","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",44945,42071,39459,"(D)","(D)",35068,37929,38498,37693,37379,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"91000","New England","1","SA25N 1/","101","113","        Forestry and logging",12092,11850,11023,"(D)",10196,9110,9894,10852,10567,10333,10620,9453,"(D)","(D)","(D)",10798,"(D)"
"91000","New England","1","SA25N 1/","102","114","        Fishing, hunting and trapping",21037,18921,17974,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",15979,"(D)",15948,15161,15277,15849,"(D)"
"91000","New England","1","SA25N 1/","103","115","        Support activities for agriculture and forestry",11816,11300,10462,9975,11143,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",11282,10412,"(D)","(D)",10317
"91000","New England","1","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",6879,6956,6719,"(D)","(D)",7901,7427,7535,8062,9018,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"91000","New England","1","SA25N 1/","201","211","        Oil and gas extraction",2259,2286,1977,2364,"(D)","(D)",2218,2462,2767,2929,"(D)","(D)",5171,4129,"(D)","(D)","(D)"
"91000","New England","1","SA25N 1/","202","212","        Mining (except oil and gas)",4317,4358,4417,5161,"(D)",4999,4943,4871,5128,5732,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"91000","New England","1","SA25N 1/","203","213","        Support activities for mining","(T)","(T)",325,"(D)",172,"(D)",266,202,167,357,390,323,"(D)","(D)",487,"(D)",484
"91000","New England","1","SA25N 1/","300","22","      Utilities",32514,31127,30816,"(D)","(D)",27698,26854,26390,24671,25207,25735,25492,25526,24871,24630,24809,25227
"91000","New England","1","SA25N 1/","400","23","      Construction",429732,447405,468395,493224,"(D)",504301,527754,550858,560591,556253,531871,478980,449791,454458,461877,478059,492360
"91000","New England","1","SA25N 1/","401","236","        Construction of buildings",86802,93587,99007,105496,"(D)",109901,115584,121107,123383,118384,112463,99222,93212,91123,94809,97043,100767
"91000","New England","1","SA25N 1/","402","237","        Heavy and civil engineering construction",36371,39796,40682,42233,"(D)",40259,38284,37625,38080,37782,35469,33214,32487,32946,34600,34825,35758
"91000","New England","1","SA25N 1/","403","238","        Specialty trade contractors",306559,314022,328706,345495,330824,354141,373886,392126,399128,400087,383939,346544,324092,330389,332468,346191,355835
"91000","New England","1","SA25N 1/","500","31-33","      Manufacturing",1001106,975347,967712,929988,847072,793248,776140,762252,750439,744465,723373,659773,639447,643217,640568,641410,640680
"91000","New England","1","SA25N 1/","510","321,327-339","        Durable goods manufacturing",682070,662447,661449,641515,576416,535111,"(D)",520314,513441,511500,499924,454160,438845,443466,440031,438491,435731
"91000","New England","1","SA25N 1/","511","321","          Wood product manufacturing",23762,23739,23778,22418,"(D)",20521,"(D)","(D)","(D)",19187,"(D)",14791,"(D)","(D)","(D)",15322,15718
