"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"33000","New Hampshire","1","SA25N 1/","10","...","Total employment (number of jobs)",742325,759913,782290,787925,788938,798255,813275,827338,836230,848972,846252,823258,814397,819906,824761,835279,846705
"33000","New Hampshire","1","SA25N 1/","20","...","  Wage and salary employment",604077,620478,637473,640651,636208,637840,644811,649969,656964,660440,658979,635883,630596,634658,640890,647446,656249
"33000","New Hampshire","1","SA25N 1/","40","...","  Proprietors employment",138248,139435,144817,147274,152730,160415,168464,177369,179266,188532,187273,187375,183801,185248,183871,187833,190456
"33000","New Hampshire","1","SA25N 1/","50","...","    Farm proprietors employment",3089,3076,3078,3264,3481,3404,3328,3327,3265,3968,3979,3997,4048,4041,4061,4124,4126
"33000","New Hampshire","1","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",135159,136359,141739,144010,149249,157011,165136,174042,176001,184564,183294,183378,179753,181207,179810,183709,186330
"33000","New Hampshire","1","SA25N 1/","70","111-112","  Farm employment",4760,4691,4718,4876,5042,4991,4630,4575,4396,5050,5158,5136,5173,5271,5512,5784,5788
"33000","New Hampshire","1","SA25N 1/","80","...","  Nonfarm employment",737565,755222,777572,783049,783896,793264,808645,822763,831834,843922,841094,818122,809224,814635,819249,829495,840917
"33000","New Hampshire","1","SA25N 1/","90","113-814","    Private nonfarm employment",656403,672359,690906,695006,692655,699899,716770,730849,738216,749209,745429,721851,711499,719324,724331,734803,745970
"33000","New Hampshire","1","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",3759,3809,3462,3450,3570,3095,3232,3342,3155,3223,3318,3133,2973,2986,3331,3335,3516
"33000","New Hampshire","1","SA25N 1/","101","113","        Forestry and logging",1982,2072,1885,1830,1698,1499,1571,1758,1665,1667,1720,1543,1375,1431,1768,1780,1938
"33000","New Hampshire","1","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",425,496,394,444,461,444,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"33000","New Hampshire","1","SA25N 1/","103","115","        Support activities for agriculture and forestry",1268,1253,1125,1195,1376,1202,1217,1123,1046,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"33000","New Hampshire","1","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",599,615,611,887,810,945,927,966,1044,1306,1340,1182,1376,1219,1688,1590,1698
"33000","New Hampshire","1","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",191,189,236,203,230,279,302,448,414,520,"(D)",540,564,603
"33000","New Hampshire","1","SA25N 1/","202","212","        Mining (except oil and gas)","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",685,1030,904,984
"33000","New Hampshire","1","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",118,122,111
"33000","New Hampshire","1","SA25N 1/","300","22","      Utilities",3225,2999,2927,2882,2806,2697,2654,2636,2643,2699,2670,2694,2692,2607,2590,2629,2484
"33000","New Hampshire","1","SA25N 1/","400","23","      Construction",46199,47337,48799,52376,53592,56836,59495,62549,62026,59995,57019,52138,48822,48700,48822,49466,50567
"33000","New Hampshire","1","SA25N 1/","401","236","        Construction of buildings",10353,10939,11482,12573,13990,13567,14095,14405,14414,13544,12753,11548,10723,10193,10350,10379,10781
"33000","New Hampshire","1","SA25N 1/","402","237","        Heavy and civil engineering construction",3703,3745,3442,3894,4143,4422,4412,4437,4552,4492,4151,3810,3701,3699,4065,4116,4153
"33000","New Hampshire","1","SA25N 1/","403","238","        Specialty trade contractors",32143,32653,33875,35909,35459,38847,40988,43707,43060,41959,40115,36780,34398,34808,34407,34971,35633
"33000","New Hampshire","1","SA25N 1/","500","31-33","      Manufacturing",108011,105281,106526,101258,88678,83834,83662,83687,82279,82210,80181,72724,69938,71189,70662,71068,71986
"33000","New Hampshire","1","SA25N 1/","510","321,327-339","        Durable goods manufacturing",80656,78742,80230,76144,65466,61737,62519,63277,62029,62386,60939,55257,53215,54352,53285,53187,53432
"33000","New Hampshire","1","SA25N 1/","511","321","          Wood product manufacturing",4337,4280,4292,3780,3627,3372,3370,3350,3172,2872,2549,2249,2072,1992,1982,2095,2208
"33000","New Hampshire","1","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",2353,2428,2520,2529,2561,2556,2630,2758,2783,2684,2429,2138,2084,2203,2147,2008,2009
"33000","New Hampshire","1","SA25N 1/","513","331","          Primary metal manufacturing",3920,3871,3621,3248,2903,3051,3077,3376,3257,3124,3186,2716,2654,2855,2817,2482,2386
"33000","New Hampshire","1","SA25N 1/","514","332","          Fabricated metal product manufacturing",13937,13887,14196,13486,11961,11409,11721,12077,11905,11966,11994,11039,10895,11344,11424,12258,12285
"33000","New Hampshire","1","SA25N 1/","515","333","          Machinery manufacturing",9105,8897,9227,9141,7978,7485,7463,7772,8226,8543,8898,8197,7824,8089,7973,7907,7753
"33000","New Hampshire","1","SA25N 1/","516","334","          Computer and electronic product manufacturing",27587,26389,27142,25986,20270,18731,19527,19075,18494,18544,17927,16384,15994,16084,15057,14568,14670
"33000","New Hampshire","1","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",6287,6289,6954,6761,5492,4775,4733,4722,4907,5239,4956,4233,3809,3807,3889,3845,3939
"33000","New Hampshire","1","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",2618,2602,2447,"(D)","(D)","(D)","(D)",1071,580,469,433,493,438,452,"(D)","(D)","(D)"
"33000","New Hampshire","1","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",1072,1018,1046,"(D)","(D)","(D)","(D)",1298,1325,1450,1483,1338,1286,1334,"(D)","(D)","(D)"
"33000","New Hampshire","1","SA25N 1/","521","337","          Furniture and related product manufacturing",1852,1902,1818,1640,1531,1539,1525,1448,1452,1445,1401,1213,1149,1176,1178,1220,1272
"33000","New Hampshire","1","SA25N 1/","522","339","          Miscellaneous manufacturing",7588,7179,6967,6303,6319,6251,5990,6330,5928,6050,5683,5257,5010,5016,4940,4854,4863
"33000","New Hampshire","1","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",27355,26539,26296,25114,23212,22097,21143,20410,20250,19824,19242,17467,16723,16837,17377,17881,18554
"33000","New Hampshire","1","SA25N 1/","531","311","          Food manufacturing",2585,2600,2507,2571,2665,2694,2391,2438,2541,2773,2849,2708,2548,2610,2789,2904,3016
"33000","New Hampshire","1","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",917,936,973,1012,1038,959,913,866,808,794,759,701,689,700,767,820,882
"33000","New Hampshire","1","SA25N 1/","533","313","          Textile mills",2655,2219,2112,2190,2006,1681,1682,1578,1519,1610,1619,1458,1501,1560,1664,1841,1989
