"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"35000","New Mexico","6","SA25N 1/","10","...","Total employment (number of jobs)",936316,941104,961582,974968,982895,1001624,1025878,1049639,1079061,1104526,1107298,1074644,1059607,1063793,1065980,1073485,1082882
"35000","New Mexico","6","SA25N 1/","20","...","  Wage and salary employment",758654,765160,781167,792102,801625,813109,830075,845476,868518,878592,881856,849122,837320,837281,839789,846885,853031
"35000","New Mexico","6","SA25N 1/","40","...","  Proprietors employment",177662,175944,180415,182866,181270,188515,195803,204163,210543,225934,225442,225522,222287,226512,226191,226600,229851
"35000","New Mexico","6","SA25N 1/","50","...","    Farm proprietors employment",15947,15428,15227,17825,14530,16045,15632,15588,15255,18193,18041,18270,19083,20715,21436,21547,21470
"35000","New Mexico","6","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",161715,160516,165188,165041,166740,172470,180171,188575,195288,207741,207401,207252,203204,205797,204755,205053,208381
"35000","New Mexico","6","SA25N 1/","70","111-112","  Farm employment",23314,22119,21910,24356,20845,22838,22618,23262,22829,25804,24702,25228,25630,27323,28370,29218,28250
"35000","New Mexico","6","SA25N 1/","80","...","  Nonfarm employment",913002,918985,939672,950612,962050,978786,1003260,1026377,1056232,1078722,1082596,1049416,1033977,1036470,1037610,1044267,1054632
"35000","New Mexico","6","SA25N 1/","90","113-814","    Private nonfarm employment",714457,720325,737348,745471,752298,765134,785654,807678,841900,868783,869301,833198,816542,822659,825711,833413,845765
"35000","New Mexico","6","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",6271,5873,5503,5203,5418,4979,5171,5229,5135,5172,5311,5307,5215,5237,5149,5260,5641
"35000","New Mexico","6","SA25N 1/","101","113","        Forestry and logging","(T)","(T)",429,"(D)","(D)","(D)",286,337,332,325,323,"(D)","(D)","(D)","(D)","(D)","(D)"
"35000","New Mexico","6","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)",433,467,480,458,485,"(D)","(D)","(D)","(D)","(D)","(D)"
"35000","New Mexico","6","SA25N 1/","103","115","        Support activities for agriculture and forestry",5348,4962,4645,4465,4641,4332,4452,4425,4323,4389,4503,4577,4542,4534,4385,4494,4808
"35000","New Mexico","6","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",18898,17168,18451,19983,17912,18893,19059,21116,23528,24891,28295,24432,27022,28356,34227,36850,39435
"35000","New Mexico","6","SA25N 1/","201","211","        Oil and gas extraction",6480,6362,6141,6737,6287,6928,6334,6816,7457,7792,10235,10104,12027,10820,13173,14444,15324
"35000","New Mexico","6","SA25N 1/","202","212","        Mining (except oil and gas)",5469,4841,4755,4970,4352,3943,4091,4382,4597,4733,5225,4438,4440,4934,5775,5737,5455
"35000","New Mexico","6","SA25N 1/","203","213","        Support activities for mining",6949,5965,7555,8276,7273,8022,8634,9918,11474,12366,12835,9890,10555,12602,15279,16669,18656
"35000","New Mexico","6","SA25N 1/","300","22","      Utilities",4265,4215,4300,4252,4084,4113,4042,4074,4122,4451,4564,4801,4565,4508,4542,4623,4612
"35000","New Mexico","6","SA25N 1/","400","23","      Construction",59261,59353,60416,63518,61804,64060,68299,73895,79675,80478,77887,67177,61238,59293,57937,59216,59945
"35000","New Mexico","6","SA25N 1/","401","236","        Construction of buildings",16131,16566,16979,18145,17777,17311,18252,19950,20998,20538,20391,16935,15296,14536,13768,13757,13820
"35000","New Mexico","6","SA25N 1/","402","237","        Heavy and civil engineering construction",9777,10024,10124,10364,9670,9343,9694,10221,11579,11716,11183,9984,9359,8993,9135,9779,9775
"35000","New Mexico","6","SA25N 1/","403","238","        Specialty trade contractors",33353,32763,33313,35009,34357,37406,40353,43724,47098,48224,46313,40258,36583,35764,35034,35680,36350
"35000","New Mexico","6","SA25N 1/","500","31-33","      Manufacturing",48379,46758,46795,45882,43925,41557,40611,41175,42745,42810,40595,36422,34537,35613,35664,35444,34774
"35000","New Mexico","6","SA25N 1/","510","321,327-339","        Durable goods manufacturing",35395,33833,33637,32554,30851,28701,27903,28502,29863,29772,28038,24371,23033,23610,23105,22557,21770
"35000","New Mexico","6","SA25N 1/","511","321","          Wood product manufacturing",2271,2294,1951,1773,1762,1868,2051,2197,2202,2002,1758,1561,1428,1380,1319,1287,1317
"35000","New Mexico","6","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",2942,2782,2849,2797,2835,2621,2589,2745,2986,3082,2883,2601,2475,2489,2379,2293,2396
"35000","New Mexico","6","SA25N 1/","513","331","          Primary metal manufacturing",1617,1520,1302,969,753,491,575,603,651,655,614,539,530,495,509,443,400
"35000","New Mexico","6","SA25N 1/","514","332","          Fabricated metal product manufacturing",4113,3704,3706,4024,3659,3178,3415,3614,3874,3861,3857,3421,3068,3447,3508,3618,3523
"35000","New Mexico","6","SA25N 1/","515","333","          Machinery manufacturing",1672,1687,1768,1760,1565,1591,1407,1514,1584,1626,1547,1392,1344,1289,1381,1350,1349
"35000","New Mexico","6","SA25N 1/","516","334","          Computer and electronic product manufacturing",12996,11883,12342,12580,11877,11195,10451,10195,10480,9542,8361,7744,7635,8138,7791,7226,6353
"35000","New Mexico","6","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",767,888,1039,652,517,497,497,485,531,536,537,561,631,624,606,651,657
"35000","New Mexico","6","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",799,901,950,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"35000","New Mexico","6","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",1835,1849,1692,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"35000","New Mexico","6","SA25N 1/","521","337","          Furniture and related product manufacturing",1501,1556,1441,1482,1410,1366,1380,1298,1501,1704,1776,1444,1221,1145,1002,1015,1051
"35000","New Mexico","6","SA25N 1/","522","339","          Miscellaneous manufacturing",4882,4769,4597,4113,4419,4274,3870,3935,3713,3890,3635,3431,3184,3161,3141,3172,3305
