"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"36000","New York","2","SA25N 1/","10","...","Total employment (number of jobs)",9891082,10145385,10392855,10398292,10309393,10338816,10484594,10620754,10770702,11041847,11162809,10956711,10955700,11244287,11374471,11555262,11764104
"36000","New York","2","SA25N 1/","20","...","  Wage and salary employment",8471480,8669419,8840737,8791103,8665136,8621353,8678898,8733698,8820630,8951859,9017661,8751639,8718528,8821283,8939979,9055536,9232209
"36000","New York","2","SA25N 1/","40","...","  Proprietors employment",1419602,1475966,1552118,1607189,1644257,1717463,1805696,1887056,1950072,2089988,2145148,2205072,2237172,2423004,2434492,2499726,2531895
"36000","New York","2","SA25N 1/","50","...","    Farm proprietors employment",38991,39735,38963,38249,37087,35404,33587,32944,31639,32263,32649,32482,32328,32281,31467,32230,32247
"36000","New York","2","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",1380611,1436231,1513155,1568940,1607170,1682059,1772109,1854112,1918433,2057725,2112499,2172590,2204844,2390723,2403025,2467496,2499648
"36000","New York","2","SA25N 1/","70","111-112","  Farm employment",59991,60574,60708,60224,58971,58284,52888,51964,49355,49698,51645,50833,50457,52103,51173,54775,54826
"36000","New York","2","SA25N 1/","80","...","  Nonfarm employment",9831091,10084811,10332147,10338068,10250422,10280532,10431706,10568790,10721347,10992149,11111164,10905878,10905243,11192184,11323298,11500487,11709278
"36000","New York","2","SA25N 1/","90","113-814","    Private nonfarm employment",8390312,8626964,8848342,8853866,8740604,8777474,8932186,9068515,9221683,9480457,9582180,9379574,9373739,9703375,9855269,10042397,10254096
"36000","New York","2","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",15255,14702,13722,12813,13593,12077,12751,13289,13348,13744,14220,13982,13633,13904,14444,14738,15360
"36000","New York","2","SA25N 1/","101","113","        Forestry and logging",4012,4314,3968,3857,3627,3305,3582,4025,4034,3797,3825,3234,2881,3058,3780,3921,4185
"36000","New York","2","SA25N 1/","102","114","        Fishing, hunting and trapping",2388,2208,2029,1727,1963,1551,1809,1818,1840,1794,1759,1746,1712,1633,1695,1843,1990
"36000","New York","2","SA25N 1/","103","115","        Support activities for agriculture and forestry",8855,8180,7725,7229,8003,7221,7360,7446,7474,8153,8636,9002,9040,9213,8969,8974,9185
"36000","New York","2","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",9686,9746,9302,9999,8927,10197,9660,9820,10790,12122,13822,12611,14830,13152,17362,16635,17919
"36000","New York","2","SA25N 1/","201","211","        Oil and gas extraction",3632,3722,3229,3704,3401,4083,3459,3671,4247,4081,6104,6103,7808,6224,8344,8940,9525
"36000","New York","2","SA25N 1/","202","212","        Mining (except oil and gas)",5697,5636,5629,5848,5056,5569,5615,5549,5798,7130,6491,5563,6074,5988,7984,6868,7526
"36000","New York","2","SA25N 1/","203","213","        Support activities for mining",357,388,444,447,470,545,586,600,745,911,1227,945,948,940,1034,827,868
"36000","New York","2","SA25N 1/","300","22","      Utilities",44197,42706,42257,43548,43090,42275,40474,40504,40167,40091,40802,40843,40153,38957,38132,38843,40651
"36000","New York","2","SA25N 1/","400","23","      Construction",403605,430521,448731,462331,447817,457366,467656,481901,499911,519322,523884,484684,456421,462011,471437,487595,506244
"36000","New York","2","SA25N 1/","401","236","        Construction of buildings",85042,95066,101886,106690,107475,103897,107022,113376,119597,124663,127795,116588,109628,108589,113455,118211,124284
"36000","New York","2","SA25N 1/","402","237","        Heavy and civil engineering construction",28390,30584,31853,32553,33719,33617,32399,31840,32679,33033,34659,34386,33914,33420,33169,33040,33415
"36000","New York","2","SA25N 1/","403","238","        Specialty trade contractors",290173,304871,314992,323088,306623,319852,328235,336685,347635,361626,361430,333710,312879,320002,324813,336344,348545
"36000","New York","2","SA25N 1/","500","31-33","      Manufacturing",802472,780255,765936,730439,675676,637355,621164,606858,592433,581264,559492,506633,484041,489534,490896,491500,491514
"36000","New York","2","SA25N 1/","510","321,327-339","        Durable goods manufacturing",438617,431866,429707,420842,385918,360856,353592,348370,344496,340387,331024,296674,282429,287551,285504,284432,283913
"36000","New York","2","SA25N 1/","511","321","          Wood product manufacturing",12664,12957,13020,12410,11713,11429,12029,12093,12066,11524,10410,9425,8817,8888,9280,10096,10742
"36000","New York","2","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",23665,22526,23093,22412,20606,18718,18563,18309,18076,18353,17993,16595,16221,16726,16815,16712,16819
"36000","New York","2","SA25N 1/","513","331","          Primary metal manufacturing",17409,16853,16840,15767,14435,13059,12959,12974,13035,12441,12631,10600,10207,10606,10906,10656,10608
"36000","New York","2","SA25N 1/","514","332","          Fabricated metal product manufacturing",72237,71221,71215,68346,62447,58821,58896,58645,58749,58500,57464,51879,50458,51747,52906,53274,53523
"36000","New York","2","SA25N 1/","515","333","          Machinery manufacturing",74811,72513,69900,69472,61994,55831,53588,52812,51804,51504,51470,46736,43739,46021,44815,44300,43851
"36000","New York","2","SA25N 1/","516","334","          Computer and electronic product manufacturing",82881,81543,84122,90627,81947,77106,76855,75487,74700,72638,71601,66305,62981,63179,61585,59561,57741
"36000","New York","2","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",23914,23324,23016,21862,19831,18095,16454,16043,16000,15848,15808,14146,13721,14004,14439,14363,14919
"36000","New York","2","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",36313,35610,34988,32424,31139,29574,27876,26205,24191,22390,19034,13983,13646,13412,12069,11713,"(D)"
"36000","New York","2","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",10576,10882,10426,10370,10243,9515,10066,10923,11101,11758,12213,11337,10171,9682,9681,9144,"(D)"
"36000","New York","2","SA25N 1/","521","337","          Furniture and related product manufacturing",23757,24737,24749,23310,21001,20446,20392,19802,19907,19832,18655,15605,14500,14788,14681,15427,15622
"36000","New York","2","SA25N 1/","522","339","          Miscellaneous manufacturing",60390,59700,58338,53842,50562,48262,45914,45077,44867,45599,43745,40063,37968,38498,38327,39186,38780
"36000","New York","2","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",363855,348389,336229,309597,289758,276499,267572,258488,247937,240877,228468,209959,201612,201983,205392,207068,207601
"36000","New York","2","SA25N 1/","531","311","          Food manufacturing",56489,56557,57256,57459,56561,56469,55433,54134,53419,55060,53380,52017,51969,53956,56711,58161,59100
"36000","New York","2","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",8858,8515,8250,7273,7536,7265,6889,6880,6515,6854,7153,7134,6993,7043,7694,8192,9401
"36000","New York","2","SA25N 1/","533","313","          Textile mills",14630,13008,11797,10600,9126,7867,7088,6386,5744,5408,4960,4236,4264,4216,4046,4093,4084
"36000","New York","2","SA25N 1/","534","314","          Textile product mills",8379,8084,8064,7634,6809,6520,6461,6170,5853,6056,5522,4966,4543,4518,4410,4662,4475
"36000","New York","2","SA25N 1/","535","315","          Apparel manufacturing",81477,73769,66952,56682,47836,41134,39882,36121,32475,30838,28355,24727,22896,22042,22790,23012,23453
"36000","New York","2","SA25N 1/","536","316","          Leather and allied product manufacturing",5294,4469,3932,3352,3084,2721,2732,2559,2436,2228,2371,2080,2036,2292,2258,2035,1906
"36000","New York","2","SA25N 1/","537","322","          Paper manufacturing",29389,28655,27646,25611,23516,22274,21526,21188,20365,19656,18890,17093,16526,16620,16580,16732,16552
"36000","New York","2","SA25N 1/","538","323","          Printing and related support activities",48501,48352,47227,43856,41898,40217,39757,39115,37881,36365,33748,30061,26951,25971,25705,25280,25114
"36000","New York","2","SA25N 1/","539","324","          Petroleum and coal products manufacturing",3015,2991,2951,2704,2476,2288,2022,1998,2045,2068,2048,1961,1878,2048,2047,1922,1933
"36000","New York","2","SA25N 1/","541","325","          Chemical manufacturing",72617,69203,67672,62575,61570,61299,58064,56866,54897,51087,48130,44753,42827,42060,41908,41711,39986
"36000","New York","2","SA25N 1/","542","326","          Plastics and rubber products manufacturing",35206,34786,34482,31851,29346,28445,27718,27071,26307,25257,23911,20931,20729,21217,21243,21268,21597
"36000","New York","2","SA25N 1/","600","42","      Wholesale trade",397498,405279,411476,397324,384715,381703,387045,389421,391652,393880,387293,366454,361363,371098,372866,374792,376718
"36000","New York","2","SA25N 1/","700","44-45","      Retail trade",985903,997667,1020941,1013206,1005971,1009951,1022798,1039795,1045287,1061909,1056738,1026955,1028466,1058376,1073173,1092292,1110766
"36000","New York","2","SA25N 1/","701","441","        Motor vehicle and parts dealers",83178,85018,86669,87280,89511,90214,92547,91969,88908,88641,86476,80439,79776,81807,83291,84785,87230
"36000","New York","2","SA25N 1/","702","442","        Furniture and home furnishings stores",32392,33518,35422,34962,34501,34374,34617,34436,34399,35592,34579,30251,29667,30545,30901,31150,31158
"36000","New York","2","SA25N 1/","703","443","        Electronics and appliance stores",29527,31497,34124,34704,32821,32921,33151,33142,34408,36650,38456,36287,37681,39809,38795,37674,38304
"36000","New York","2","SA25N 1/","704","444","        Building material and garden equipment and supplies dealers",55109,58677,61495,60994,64442,64948,67945,69261,69767,69609,67874,64368,63561,63311,64182,65442,65985
"36000","New York","2","SA25N 1/","705","445","        Food and beverage stores",205613,209135,210807,209882,208401,205314,203389,210847,211922,210157,213446,214832,216062,222110,227335,233070,238428
"36000","New York","2","SA25N 1/","706","446","        Health and personal care stores",73957,78550,79889,80110,78611,79810,82042,83538,86045,88489,89070,87447,87137,90004,91830,93263,94741
"36000","New York","2","SA25N 1/","707","447","        Gasoline stations",32359,31984,31638,32424,31806,31723,31292,30734,29818,30184,29834,30028,30030,29698,29765,29735,29757
"36000","New York","2","SA25N 1/","708","448","        Clothing and clothing accessories stores",120920,123907,129430,130195,127228,128201,131539,135348,141016,146747,146602,138852,141644,140384,145950,148264,148490
"36000","New York","2","SA25N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",54771,54562,55052,52323,50567,50973,51445,51555,49686,49828,49032,45605,44478,42497,41799,42612,43607
"36000","New York","2","SA25N 1/","711","452","        General merchandise stores",124550,122940,124890,122798,124241,123879,127198,126580,127294,130290,130522,131507,135667,145911,146735,147031,149986
"36000","New York","2","SA25N 1/","712","453","        Miscellaneous store retailers",80541,81171,83451,86770,84910,85685,85470,83597,83794,88153,84978,84375,82423,84879,85214,87903,89125
"36000","New York","2","SA25N 1/","713","454","        Nonstore retailers",92986,86708,88074,80764,78932,81909,82163,88788,88230,87569,85869,82964,80340,87421,87376,91363,93955
"36000","New York","2","SA25N 1/","800","48-49","      Transportation and warehousing",314251,313802,324753,323884,308845,309419,314444,321195,326232,337945,338077,325457,318046,332526,348900,357088,373954
"36000","New York","2","SA25N 1/","801","481","        Air transportation",38867,39192,38630,37522,30749,30402,30621,30727,31590,32963,34159,33008,32037,33848,34295,32807,32749
"36000","New York","2","SA25N 1/","802","482","        Rail transportation",7194,7218,7250,"(D)",6664,6556,6453,"(D)","(D)",5411,5295,5099,5028,5274,5456,5404,5584
"36000","New York","2","SA25N 1/","803","483","        Water transportation",3553,3579,4197,4176,4130,4050,4122,3953,4134,4482,4556,4046,3941,4059,3851,3909,3952
"36000","New York","2","SA25N 1/","804","484","        Truck transportation",56523,57248,59840,58712,56908,55350,56031,57604,57899,58651,55641,52674,51503,52718,53012,53935,55489
"36000","New York","2","SA25N 1/","805","485","        Transit and ground passenger transportation",103925,101394,103581,105094,105753,107947,112289,114950,116255,124289,126519,126422,122914,129616,142773,149812,160724
"36000","New York","2","SA25N 1/","806","486","        Pipeline transportation",471,462,463,459,437,406,329,378,379,381,387,367,358,357,356,355,389
"36000","New York","2","SA25N 1/","807","487","        Scenic and sightseeing transportation",2711,2348,2148,2063,2121,2086,2167,2438,2580,3165,3143,2813,2906,3019,3588,3553,3939
"36000","New York","2","SA25N 1/","808","488","        Support activities for transportation",29934,30931,32633,32696,30747,30205,30316,30566,31679,32448,31584,28758,27876,28903,29093,29146,30102
"36000","New York","2","SA25N 1/","809","492","        Couriers and messengers",55471,56010,59298,"(D)",52888,53606,53825,"(D)","(D)",54027,53047,49320,47822,50767,50648,51940,53513
"36000","New York","2","SA25N 1/","811","493","        Warehousing and storage",15602,15420,16713,18237,18448,18811,18291,20317,22227,22128,23746,22950,23661,23965,25828,26227,27513
"36000","New York","2","SA25N 1/","900","51","      Information",326263,335258,356514,356233,323020,307897,303193,308698,306290,304553,302769,289437,290085,297569,300770,302728,307088
"36000","New York","2","SA25N 1/","901","511","        Publishing industries (except Internet)",101978,103803,106305,106040,97231,95599,93965,96065,95705,96413,94792,86966,82412,81711,79552,78661,78350
"36000","New York","2","SA25N 1/","902","512","        Motion picture and sound recording industries",61300,63737,62940,62299,56597,52791,51986,54576,54088,53857,55461,54524,62547,65719,66854,68662,68273
"36000","New York","2","SA25N 1/","903","515","        Broadcasting (except Internet)",39209,39643,41775,42016,42028,41498,41390,42821,43407,43625,44066,42991,42956,44586,45040,43179,38443
"36000","New York","2","SA25N 1/","904","516","        Internet publishing and broadcasting 3/",1251,2057,5128,4451,3491,3548,3474,3860,4297,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"36000","New York","2","SA25N 1/","905","517","        Telecommunications",76213,77235,83380,87610,76447,68259,66925,65295,63248,64857,62054,59265,55953,57005,57199,57338,60750
"36000","New York","2","SA25N 1/","906","518","        Data processing, hosting, and related services",31053,33200,41174,38132,31699,31129,28488,28897,28208,20264,20300,19084,18453,19021,19510,19513,21432
"36000","New York","2","SA25N 1/","907","519","        Other information services 3/",15259,15583,15812,15685,15527,15073,16965,17184,17337,25537,26096,26607,27764,29527,32615,35375,39840
"36000","New York","2","SA25N 1/","1000","52","      Finance and insurance",720415,722146,733749,721625,693681,680901,687326,704214,722717,769101,805521,823485,806574,871869,867041,876022,881788
"36000","New York","2","SA25N 1/","1001","521","        Monetary Authorities-central bank",3091,2990,2820,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"36000","New York","2","SA25N 1/","1002","522","        Credit intermediation and related activities",195987,193882,190603,187059,184688,186237,185019,188374,191279,190837,184914,176002,171364,175251,176873,173250,174830
"36000","New York","2","SA25N 1/","1003","523","        Securities, commodity contracts, and other financial investments and related activities",316716,320760,336687,323788,298016,284352,293610,305135,318723,359552,401940,421995,412635,459507,456311,464470,464181
"36000","New York","2","SA25N 1/","1004","524","        Insurance carriers and related activities",190768,191824,186440,188390,190939,191980,189441,190346,192041,191106,190395,186849,185917,195168,192967,191888,196781
"36000","New York","2","SA25N 1/","1005","525","        Funds, trusts, and other financial vehicles",13853,12690,17199,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"36000","New York","2","SA25N 1/","1100","53","      Real estate and rental and leasing",345959,334269,352199,358972,362476,379936,403595,430825,445984,467239,475791,470413,485137,508612,508669,526048,531218
"36000","New York","2","SA25N 1/","1101","531","        Real estate",304310,293439,312224,319260,325473,343200,366597,393708,410084,433623,442778,440211,455435,479175,478921,494980,499194
"36000","New York","2","SA25N 1/","1102","532","        Rental and leasing services",38044,36884,36003,35910,33886,33693,34012,34020,33036,30775,30179,27354,27022,26725,27027,28110,29087
"36000","New York","2","SA25N 1/","1103","533","        Lessors of nonfinancial intangible assets (except copyrighted works)",3605,3946,3972,3802,3117,3043,2986,3097,2864,2841,2834,2848,2680,2712,2721,2958,2937
"36000","New York","2","SA25N 1/","1200","54","      Professional, scientific, and technical services",679837,735463,773094,775933,754800,758707,785844,795466,819640,861995,879167,845809,841446,869848,895552,919135,938438
"36000","New York","2","SA25N 1/","1300","55","      Management of companies and enterprises",119272,121097,120459,122686,128081,126782,125672,129930,135975,136258,144619,143075,143857,145185,147637,151646,155523
"36000","New York","2","SA25N 1/","1400","56","      Administrative and support and waste management and remediation services",475054,509722,535324,527257,513381,514169,528968,534517,542111,556347,558552,534109,543922,569942,578468,592980,601893
"36000","New York","2","SA25N 1/","1401","561","        Administrative and support services",456157,489110,515261,506710,493096,493616,507957,512498,520026,533476,535396,512357,520681,545892,553918,568269,577276
"36000","New York","2","SA25N 1/","1402","562","        Waste management and remediation services",18897,20612,20063,20547,20285,20553,21011,22019,22085,22871,23156,21752,23241,24050,24550,24711,24617
"36000","New York","2","SA25N 1/","1500","61","      Educational services",310393,317557,327136,334787,350185,361728,377710,383717,395437,401690,410376,415372,426423,431098,442554,451948,462062
"36000","New York","2","SA25N 1/","1600","62","      Health care and social assistance",1172742,1224097,1251298,1284974,1317341,1354524,1374643,1390849,1423082,1462820,1484813,1506093,1535962,1560250,1569291,1587283,1620745
"36000","New York","2","SA25N 1/","1601","621","        Ambulatory health care services",376329,398071,405891,412770,417656,430973,444387,455940,469350,493045,502703,511224,528369,548654,554776,579117,602991
"36000","New York","2","SA25N 1/","1602","622","        Hospitals",328699,330261,327381,329847,330751,334663,335454,335017,339242,342231,346852,349837,351637,354294,357912,359986,360177
"36000","New York","2","SA25N 1/","1603","623","        Nursing and residential care facilities",203852,210300,215808,219862,226523,230306,234671,235552,236723,236243,240582,243328,247790,245404,244595,245501,247013
"36000","New York","2","SA25N 1/","1604","624","        Social assistance",263862,285465,302218,322495,342411,358582,360131,364340,377767,391301,394676,401704,408166,411898,412008,402679,410564
"36000","New York","2","SA25N 1/","1700","71","      Arts, entertainment, and recreation",222077,245836,259156,256595,266105,267164,278949,283294,291879,304371,314908,310016,315968,323614,334180,342119,350417
"36000","New York","2","SA25N 1/","1701","711","        Performing arts, spectator sports, and related industries",141807,159928,170744,165479,172800,172506,179201,181628,189359,197792,201938,199767,203543,207121,212991,215846,219897
"36000","New York","2","SA25N 1/","1702","712","        Museums, historical sites, and similar institutions",13308,14233,14909,15633,15316,15338,15855,15965,16097,16630,17526,16531,16328,16998,17802,17997,18832
"36000","New York","2","SA25N 1/","1703","713","        Amusement, gambling, and recreation industries",66962,71675,73503,75483,77989,79320,83893,85701,86423,89949,95444,93718,96097,99495,103387,108276,111688
"36000","New York","2","SA25N 1/","1800","72","      Accommodation and food services",513527,533023,550462,555549,558414,571744,582434,589854,598403,616703,629110,628065,650179,689683,714200,744548,771504
"36000","New York","2","SA25N 1/","1801","721","        Accommodation",86201,89912,91991,88028,87067,86526,87445,87222,87896,88466,90199,87179,89654,95360,97996,99741,103127
"36000","New York","2","SA25N 1/","1802","722","        Food services and drinking places",427326,443111,458471,467521,471347,485218,494989,502632,510507,528237,538911,540886,560525,594323,616204,644807,668377
"36000","New York","2","SA25N 1/","1900","81","      Other services (except public administration)",531906,553818,551833,565711,584486,593579,607860,614368,620345,639103,642226,636081,617233,656147,669697,674457,700294
"36000","New York","2","SA25N 1/","1901","811","        Repair and maintenance",90682,97764,97237,100497,100055,99798,98437,101910,104296,102252,98101,95813,94121,100686,100764,101091,101541
"36000","New York","2","SA25N 1/","1902","812","        Personal and laundry services",155126,169346,172245,180176,185208,190735,201741,208317,207987,223462,226296,227399,229001,255398,263228,269970,281062
"36000","New York","2","SA25N 1/","1903","813","        Religious, grantmaking, civic, professional, and similar organizations",174103,180103,183000,187463,194582,196906,199216,195647,198627,198333,202490,198669,193086,193314,196464,196248,200621
"36000","New York","2","SA25N 1/","1904","814","        Private households",111995,106605,99351,97575,104641,106140,108466,108494,109435,115056,115339,114200,101025,106749,109241,107148,117070
"36000","New York","2","SA25N 1/","2000","...","    Government and government enterprises",1440779,1457847,1483805,1484202,1509818,1503058,1499520,1500275,1499664,1511692,1528984,1526304,1531504,1488809,1468029,1458090,1455182
"36000","New York","2","SA25N 1/","2001","...","      Federal, civilian",139044,138458,145955,134426,137451,135533,130611,129011,127067,127095,127170,127255,132823,121188,118513,116201,114773
"36000","New York","2","SA25N 1/","2002","...","      Military",57819,57119,57147,57477,57603,57140,56362,56229,57590,57085,59942,60058,60240,61102,60339,59347,58273
"36000","New York","2","SA25N 1/","2010","...","      State and local",1243916,1262270,1280703,1292299,1314764,1310385,1312547,1315035,1315007,1327512,1341872,1338991,1338441,1306519,1289177,1282542,1282136
"36000","New York","2","SA25N 1/","2011","...","        State government",247068,248681,251245,251597,253582,250168,249033,246278,245261,247753,250238,246844,255220,247702,243971,243536,244683
"36000","New York","2","SA25N 1/","2012","...","        Local government",996848,1013589,1029458,1040702,1061182,1060217,1063514,1068757,1069746,1079759,1091634,1092147,1083221,1058817,1045206,1039006,1037453
"Note: See the included footnote file."
"SA25N: Total Full-Time and Part-Time Employment by NAICS Industry"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 2007-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
