"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"40000","Oklahoma","6","SA25N 1/","10","...","Total employment (number of jobs)",1938882,1953977,1993644,2010657,1989192,1973202,1997468,2041230,2098663,2154645,2192556,2144933,2133431,2163321,2215297,2251236,2281984
"40000","Oklahoma","6","SA25N 1/","20","...","  Wage and salary employment",1516388,1532662,1563936,1577383,1556554,1525504,1545330,1575795,1618739,1648795,1677706,1625164,1607228,1626838,1658230,1680497,1701311
"40000","Oklahoma","6","SA25N 1/","40","...","  Proprietors employment",422494,421315,429708,433274,432638,447698,452138,465435,479924,505850,514850,519769,526203,536483,557067,570739,580673
"40000","Oklahoma","6","SA25N 1/","50","...","    Farm proprietors employment",86745,87469,88277,86922,81330,79462,77683,77348,75885,78898,77513,76397,75988,74760,73185,73334,72908
"40000","Oklahoma","6","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",335749,333846,341431,346352,351308,368236,374455,388087,404039,426952,437337,443372,450215,461723,483882,497405,507765
"40000","Oklahoma","6","SA25N 1/","70","111-112","  Farm employment",97567,97464,100194,101266,93549,89220,89601,88937,86574,91001,90198,87780,85474,83507,83634,84747,82668
"40000","Oklahoma","6","SA25N 1/","80","...","  Nonfarm employment",1841315,1856513,1893450,1909391,1895643,1883982,1907867,1952293,2012089,2063644,2102358,2057153,2047957,2079814,2131663,2166489,2199316
"40000","Oklahoma","6","SA25N 1/","90","113-814","    Private nonfarm employment",1520931,1532887,1563017,1574627,1556087,1549119,1566534,1603706,1653977,1700893,1733638,1677728,1667477,1707738,1763585,1795938,1829921
"40000","Oklahoma","6","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",8929,8616,8055,7635,8429,7751,8231,8257,8242,8730,8929,8831,8875,8778,8845,8886,9072
"40000","Oklahoma","6","SA25N 1/","101","113","        Forestry and logging",1163,1208,1017,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"40000","Oklahoma","6","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"40000","Oklahoma","6","SA25N 1/","103","115","        Support activities for agriculture and forestry",7279,6931,6505,6179,6809,6348,6717,6637,6668,7197,7387,7451,7553,7445,7409,7398,7463
"40000","Oklahoma","6","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",55789,54171,51623,57793,53694,61487,58261,63719,73359,81686,101125,91574,105291,102659,131962,139519,146754
"40000","Oklahoma","6","SA25N 1/","201","211","        Oil and gas extraction",40118,38871,36287,39620,36343,41644,37137,39982,44777,47801,63128,63066,75765,67713,88503,97432,102118
"40000","Oklahoma","6","SA25N 1/","202","212","        Mining (except oil and gas)",2523,2493,2628,2546,2428,2469,2322,2508,2696,3305,3219,2808,2870,2854,3666,3359,3568
"40000","Oklahoma","6","SA25N 1/","203","213","        Support activities for mining",13148,12807,12708,15627,14923,17374,18802,21229,25886,30580,34778,25700,26656,32092,39793,38728,41068
"40000","Oklahoma","6","SA25N 1/","300","22","      Utilities",9978,10107,10445,11272,10994,9735,9780,9989,10305,10914,11452,11805,11583,11477,12005,12028,12360
"40000","Oklahoma","6","SA25N 1/","400","23","      Construction",102879,105702,107985,111578,108575,110872,112186,119781,125027,127600,130669,122958,117384,118755,121453,126577,128081
"40000","Oklahoma","6","SA25N 1/","401","236","        Construction of buildings",19527,21133,22045,23765,25207,22182,22323,24131,25510,25525,26299,24259,23372,22212,22039,22625,22593
"40000","Oklahoma","6","SA25N 1/","402","237","        Heavy and civil engineering construction",13008,13640,14350,15829,14542,14102,13412,14260,15257,15724,16081,15882,15654,15998,17776,19932,19590
"40000","Oklahoma","6","SA25N 1/","403","238","        Specialty trade contractors",70344,70929,71590,71984,68826,74588,76451,81390,84260,86351,88289,82817,78358,80545,81638,84020,85898
"40000","Oklahoma","6","SA25N 1/","500","31-33","      Manufacturing",177195,175743,177995,176105,158882,149780,149082,151006,155811,157654,157134,139497,132063,140112,145769,147834,151398
