"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"41000","Oregon","8","SA25N 1/","10","...","Total employment (number of jobs)",2021267,2048982,2089945,2077075,2068790,2084757,2138888,2200655,2262100,2310798,2300444,2202622,2170626,2199766,2216291,2254463,2310320
"41000","Oregon","8","SA25N 1/","20","...","  Wage and salary employment",1624801,1653048,1684455,1672825,1655575,1666866,1704516,1748669,1795841,1820517,1806328,1706492,1678186,1698810,1718785,1751640,1801023
"41000","Oregon","8","SA25N 1/","40","...","  Proprietors employment",396466,395934,405490,404250,413215,417891,434372,451986,466259,490281,494116,496130,492440,500956,497506,502823,509297
"41000","Oregon","8","SA25N 1/","50","...","    Farm proprietors employment",39495,40378,40008,39925,41720,40096,38988,38782,37189,36049,35429,34847,34460,33879,32777,32748,32389
"41000","Oregon","8","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",356971,355556,365482,364325,371495,377795,395384,413204,429070,454232,458687,461283,457980,467077,464729,470075,476908
"41000","Oregon","8","SA25N 1/","70","111-112","  Farm employment",66167,69093,65675,67687,69440,68141,68075,67897,67182,67223,65289,67922,67704,67967,62446,62970,61967
"41000","Oregon","8","SA25N 1/","80","...","  Nonfarm employment",1955100,1979889,2024270,2009388,1999350,2016616,2070813,2132758,2194918,2243575,2235155,2134700,2102922,2131799,2153845,2191493,2248353
"41000","Oregon","8","SA25N 1/","90","113-814","    Private nonfarm employment",1692216,1711319,1746426,1731285,1719222,1737976,1789060,1847589,1908266,1954182,1939067,1835878,1814979,1848098,1874441,1916005,1970754
"41000","Oregon","8","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",30849,30172,29159,28369,30299,29144,29225,29578,29494,30330,31207,29549,29212,29476,30928,32325,32921
"41000","Oregon","8","SA25N 1/","101","113","        Forestry and logging",12181,12142,11470,11185,11107,10668,11079,11229,10886,10533,10420,8746,7921,8450,9553,10165,10532
"41000","Oregon","8","SA25N 1/","102","114","        Fishing, hunting and trapping",4631,4246,3972,3094,3549,2908,3223,3223,3193,3223,3324,3377,3340,3235,3184,3477,3665
"41000","Oregon","8","SA25N 1/","103","115","        Support activities for agriculture and forestry",14037,13784,13717,14090,15643,15568,14923,15126,15415,16574,17463,17426,17951,17791,18191,18683,18724
"41000","Oregon","8","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",3518,3543,3366,3489,3082,3455,3351,3521,3754,4450,4666,4138,4857,4500,6228,5805,6236
"41000","Oregon","8","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",924,971,1444,1423,1916,1543,"(D)","(D)","(D)"
"41000","Oregon","8","SA25N 1/","202","212","        Mining (except oil and gas)",2657,2661,2534,2685,2308,2464,2481,2594,2693,3261,3003,2510,2717,2703,3805,3160,3427
"41000","Oregon","8","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",137,218,219,205,224,254,"(D)","(D)","(D)"
"41000","Oregon","8","SA25N 1/","300","22","      Utilities",5694,5556,5371,5539,5348,5368,5471,5051,5061,5007,5188,5005,4858,4744,4825,4770,4814
"41000","Oregon","8","SA25N 1/","400","23","      Construction",122401,122818,122849,118344,115356,114114,120966,132102,143574,148498,135740,112985,102805,101863,103293,107538,114184
"41000","Oregon","8","SA25N 1/","401","236","        Construction of buildings",32578,33319,33033,31914,32025,29661,30904,34474,37217,37551,34372,28465,25674,25090,25960,27642,29729
"41000","Oregon","8","SA25N 1/","402","237","        Heavy and civil engineering construction",12069,12437,12420,11968,12179,12130,12606,13145,14532,15463,14288,12294,11376,10980,10482,10784,10914
