"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"94000","Plains","4","SA25N 1/","10","...","Total employment (number of jobs)",12234925,12402501,12595379,12584763,12513223,12519558,12667777,12860670,13051043,13271856,13293471,12998617,12886001,13071783,13224906,13401170,13583422
"94000","Plains","4","SA25N 1/","20","...","  Wage and salary employment",9948328,10122057,10253595,10233694,10163116,10129892,10217232,10331400,10474663,10582703,10606381,10276426,10180693,10282733,10449465,10589205,10744568
"94000","Plains","4","SA25N 1/","40","...","  Proprietors employment",2286597,2280444,2341784,2351069,2350107,2389666,2450545,2529270,2576380,2689153,2687090,2722191,2705308,2789050,2775441,2811965,2838854
"94000","Plains","4","SA25N 1/","50","...","    Farm proprietors employment",482170,477826,473757,465906,422976,403893,393345,389684,379882,386262,384140,381549,381303,380465,375169,378343,374758
"94000","Plains","4","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",1804427,1802618,1868027,1885163,1927131,1985773,2057200,2139586,2196498,2302891,2302950,2340642,2324005,2408585,2400272,2433622,2464096
"94000","Plains","4","SA25N 1/","70","111-112","  Farm employment",565994,560390,553460,546959,500120,479811,468235,467765,451800,456859,454916,454497,460778,460996,453948,456618,448614
"94000","Plains","4","SA25N 1/","80","...","  Nonfarm employment",11668931,11842111,12041919,12037804,12013103,12039747,12199542,12392905,12599243,12814997,12838555,12544120,12425223,12610787,12770958,12944552,13134808
"94000","Plains","4","SA25N 1/","90","113-814","    Private nonfarm employment",9993717,10144889,10313068,10300141,10258846,10280154,10438734,10627297,10815049,11018055,11023886,10711764,10593006,10802790,10969336,11142918,11331911
"94000","Plains","4","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",59825,57560,53933,52016,57247,52356,55623,57124,56865,61155,64457,67412,69342,71038,73172,75146,74758
"94000","Plains","4","SA25N 1/","101","113","        Forestry and logging",7054,7383,6475,6128,5992,5302,5727,6346,6175,5966,6047,5365,4778,5271,6367,6441,6938
"94000","Plains","4","SA25N 1/","102","114","        Fishing, hunting and trapping",4035,3805,4036,3056,3925,3239,3858,4095,4313,4183,4181,4003,3971,3781,3906,4115,4447
"94000","Plains","4","SA25N 1/","103","115","        Support activities for agriculture and forestry",48736,46372,43422,42832,47330,43815,46038,46683,46377,51006,54229,58044,60593,61986,62899,64590,63373
"94000","Plains","4","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",47028,45385,43398,44732,40568,44172,42358,45121,49236,53281,66757,63103,77447,77482,104480,111026,119178
"94000","Plains","4","SA25N 1/","201","211","        Oil and gas extraction",20526,19983,18321,20118,"(D)",20951,18118,19542,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"94000","Plains","4","SA25N 1/","202","212","        Mining (except oil and gas)",21141,20536,20032,19204,"(D)",17297,17402,17692,17630,18340,18403,16737,18127,18683,22090,"(D)","(D)"
"94000","Plains","4","SA25N 1/","203","213","        Support activities for mining",5361,4866,5045,5410,5383,5924,6838,7887,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"94000","Plains","4","SA25N 1/","300","22","      Utilities",49446,49587,49378,49009,48532,47075,46784,46337,46693,47846,49409,49439,48965,48404,48035,47885,47914
"94000","Plains","4","SA25N 1/","400","23","      Construction",646561,675466,687103,701052,695392,714841,738539,764470,778990,778693,755866,688256,638070,639664,659191,680231,708709
"94000","Plains","4","SA25N 1/","401","236","        Construction of buildings",147883,157928,161211,164126,"(D)",162258,167627,175861,179956,176353,171601,151703,140208,135765,141800,145888,153785
"94000","Plains","4","SA25N 1/","402","237","        Heavy and civil engineering construction",72201,76803,76540,77339,"(D)",78120,79468,80167,82504,84574,83260,81465,73945,74099,79307,81311,86121
"94000","Plains","4","SA25N 1/","403","238","        Specialty trade contractors",426477,440735,449352,459587,449331,474463,491444,508442,516530,517766,501005,455088,423917,429800,438084,453032,468803
"94000","Plains","4","SA25N 1/","500","31-33","      Manufacturing",1438961,1430785,1423349,1366901,1296362,1249646,1256425,1270189,1276272,1271920,1250715,1126602,1089492,1117078,1135767,1151212,1167554
"94000","Plains","4","SA25N 1/","510","321,327-339","        Durable goods manufacturing",894161,889049,887577,844945,788770,756401,770953,787495,795297,789066,771951,669372,644666,667496,682007,693560,705724
