"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"44000","Rhode Island","1","SA25N 1/","10","...","Total employment (number of jobs)",554562,565276,579050,581283,583782,589816,598292,601903,607071,613883,604978,584928,581113,586650,587659,597236,606529
"44000","Rhode Island","1","SA25N 1/","20","...","  Wage and salary employment",478729,487477,497676,498578,499052,502580,506532,506528,508931,509253,499044,477603,474551,476085,477784,484116,491884
"44000","Rhode Island","1","SA25N 1/","40","...","  Proprietors employment",75833,77799,81374,82705,84730,87236,91760,95375,98140,104630,105934,107325,106562,110565,109875,113120,114645
"44000","Rhode Island","1","SA25N 1/","50","...","    Farm proprietors employment",649,646,651,770,766,725,702,691,669,936,942,997,1021,1043,1052,1072,1065
"44000","Rhode Island","1","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",75184,77153,80723,81935,83964,86511,91058,94684,97471,103694,104992,106328,105541,109522,108823,112048,113580
"44000","Rhode Island","1","SA25N 1/","70","111-112","  Farm employment",1268,1264,1299,1428,1424,1402,1264,1236,1168,1419,1469,1506,1524,1593,1588,1686,1680
"44000","Rhode Island","1","SA25N 1/","80","...","  Nonfarm employment",553294,564012,577751,579855,582358,588414,597028,600667,605903,612464,603509,583422,579589,585057,586071,595550,604849
"44000","Rhode Island","1","SA25N 1/","90","113-814","    Private nonfarm employment",478280,488940,501359,503030,504783,510526,520099,524947,530712,537034,528828,510007,506486,512796,514633,523817,533046
"44000","Rhode Island","1","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",2845,2696,2552,"(D)","(D)",1864,2016,1975,1915,1892,1854,1835,"(D)","(D)",1756,"(D)","(D)"
"44000","Rhode Island","1","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",90,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",91,"(D)","(D)"
"44000","Rhode Island","1","SA25N 1/","102","114","        Fishing, hunting and trapping",2316,2183,2095,"(D)",1855,1506,1650,1619,1583,1548,1492,1479,1489,1398,1397,1457,1560
"44000","Rhode Island","1","SA25N 1/","103","115","        Support activities for agriculture and forestry","(T)","(T)","(T)",283,330,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",268,272,"(D)"
"44000","Rhode Island","1","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",434,454,459,"(D)","(D)",393,360,415,441,471,509,435,"(D)","(D)",547,"(D)","(D)"
"44000","Rhode Island","1","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",132,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"44000","Rhode Island","1","SA25N 1/","202","212","        Mining (except oil and gas)","(T)","(T)",244,"(D)",233,204,"(D)",274,278,312,282,"(D)",210,"(D)","(D)",259,291
"44000","Rhode Island","1","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",12,13,10,11,11
"44000","Rhode Island","1","SA25N 1/","300","22","      Utilities",1541,1431,1446,"(D)","(D)",1208,1125,1182,1182,1169,1184,1169,1183,1117,1109,1126,1130
"44000","Rhode Island","1","SA25N 1/","400","23","      Construction",25172,26626,27352,28826,"(D)",31336,32176,33887,35417,34798,32749,29397,27453,27213,27511,27876,28439
"44000","Rhode Island","1","SA25N 1/","401","236","        Construction of buildings",5689,6032,6243,6736,7123,7007,7438,8058,8143,7745,7369,6388,5887,5736,5999,6170,6289
"44000","Rhode Island","1","SA25N 1/","402","237","        Heavy and civil engineering construction",1826,1825,1743,2069,"(D)",2579,2568,2404,2493,2515,2339,2124,2046,1960,2175,2195,2180
"44000","Rhode Island","1","SA25N 1/","403","238","        Specialty trade contractors",17657,18769,19366,20021,19538,21750,22170,23425,24781,24538,23041,20885,19520,19517,19337,19511,19970
"44000","Rhode Island","1","SA25N 1/","500","31-33","      Manufacturing",74279,72733,71777,69636,64288,60262,58543,56654,54404,52789,49734,43783,42204,42303,41575,42108,43074
"44000","Rhode Island","1","SA25N 1/","510","321,327-339","        Durable goods manufacturing",48515,47477,47116,46502,42418,39382,"(D)",37241,35328,34303,32393,28258,27051,27119,26595,26924,27527
"44000","Rhode Island","1","SA25N 1/","511","321","          Wood product manufacturing",964,944,1022,986,"(D)",926,"(D)","(D)","(D)",785,"(D)",711,624,625,651,658,"(D)"
"44000","Rhode Island","1","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",1079,1125,1130,993,922,784,673,716,751,720,684,689,672,735,726,737,768
"44000","Rhode Island","1","SA25N 1/","513","331","          Primary metal manufacturing",2991,3105,2918,2392,1997,1855,1733,1595,"(D)","(D)","(D)","(D)",1420,"(D)",1555,1628,1567
