"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"97000","Rocky Mountain","7","SA25N 1/","10","...","Total employment (number of jobs)",5624157,5752166,5952981,6005067,6000196,6021992,6167414,6367496,6587624,6845587,6895745,6688365,6617818,6743184,6859404,7030725,7206715
"97000","Rocky Mountain","7","SA25N 1/","20","...","  Wage and salary employment",4444483,4572673,4721803,4759809,4723542,4708130,4796712,4927281,5092785,5231074,5261789,5025195,4966618,5044819,5155192,5286973,5440462
"97000","Rocky Mountain","7","SA25N 1/","40","...","  Proprietors employment",1179674,1179493,1231178,1245258,1276654,1313862,1370702,1440215,1494839,1614513,1633956,1663170,1651200,1698365,1704212,1743752,1766253
"97000","Rocky Mountain","7","SA25N 1/","50","...","    Farm proprietors employment",103770,103809,104910,106252,107544,102392,99019,97475,94967,103645,103724,104224,104859,105511,103384,104148,103406
"97000","Rocky Mountain","7","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",1075904,1075684,1126268,1139006,1169110,1211470,1271683,1342740,1399872,1510868,1530232,1558946,1546341,1592854,1600828,1639604,1662847
"97000","Rocky Mountain","7","SA25N 1/","70","111-112","  Farm employment",148655,147217,152944,152480,150617,147404,142703,140021,137495,142123,144190,142651,144283,147327,146719,148425,147424
"97000","Rocky Mountain","7","SA25N 1/","80","...","  Nonfarm employment",5475502,5604949,5800037,5852587,5849579,5874588,6024711,6227475,6450129,6703464,6751555,6545714,6473535,6595857,6712685,6882300,7059291
"97000","Rocky Mountain","7","SA25N 1/","90","113-814","    Private nonfarm employment",4650620,4766243,4939866,4980329,4954688,4970934,5115565,5308042,5523473,5763610,5791107,5567672,5483733,5603128,5717146,5878345,6045128
"97000","Rocky Mountain","7","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",39222,37755,35281,32767,35639,32822,33956,34188,33940,35792,36917,37013,37062,37253,38275,39273,40102
"97000","Rocky Mountain","7","SA25N 1/","101","113","        Forestry and logging",8455,8470,7638,7051,"(D)","(D)","(D)",6571,6290,6193,5824,4748,"(D)","(D)","(D)",5293,"(D)"
"97000","Rocky Mountain","7","SA25N 1/","102","114","        Fishing, hunting and trapping",3645,3533,3346,2824,"(D)","(D)","(D)",3454,3544,3593,3755,3560,"(D)","(D)","(D)",3957,"(D)"
"97000","Rocky Mountain","7","SA25N 1/","103","115","        Support activities for agriculture and forestry",27122,25752,24297,22892,25342,23904,24092,24163,24106,26006,27338,28705,29135,29460,29690,30023,30276
"97000","Rocky Mountain","7","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",60814,58073,57969,62492,59644,63992,66564,74565,87267,99001,114285,101098,109940,112038,135673,135185,143110
"97000","Rocky Mountain","7","SA25N 1/","201","211","        Oil and gas extraction",20376,19516,18892,"(D)","(D)","(D)","(D)","(D)",26753,29381,"(D)",39046,46718,41557,52905,59400,63278
"97000","Rocky Mountain","7","SA25N 1/","202","212","        Mining (except oil and gas)",27787,27199,25902,25478,24213,23940,24346,25549,27825,31412,31973,30018,30480,31415,37778,34019,34048
"97000","Rocky Mountain","7","SA25N 1/","203","213","        Support activities for mining",12651,11358,13175,"(D)","(D)","(D)","(D)","(D)",32689,38208,"(D)",32034,32742,39066,44990,41766,45784
"97000","Rocky Mountain","7","SA25N 1/","300","22","      Utilities",21598,21024,20422,"(D)","(D)",19282,19598,20011,20546,20884,21598,21262,21726,21510,21573,21361,21862
"97000","Rocky Mountain","7","SA25N 1/","400","23","      Construction",399651,423329,443857,456152,"(D)",439776,459427,500838,541274,560066,524597,444693,402318,392656,402206,428019,455825
"97000","Rocky Mountain","7","SA25N 1/","401","236","        Construction of buildings",90258,96589,101303,104136,"(D)",93731,98143,108086,117905,119759,108860,90705,80127,75730,80272,85758,92140
"97000","Rocky Mountain","7","SA25N 1/","402","237","        Heavy and civil engineering construction",45858,49763,51688,53767,54441,51615,51485,55391,61853,67475,65158,56327,53135,52396,52669,54063,57947
"97000","Rocky Mountain","7","SA25N 1/","403","238","        Specialty trade contractors",263535,276977,290866,298249,286511,294430,309799,337361,361516,372832,350579,297661,269056,264530,269265,288198,305738
"97000","Rocky Mountain","7","SA25N 1/","500","31-33","      Manufacturing",441856,438285,438778,427443,"(D)",381843,384110,387495,395776,401730,391780,357435,345078,356666,366414,376308,386555
"97000","Rocky Mountain","7","SA25N 1/","510","321,327-339","        Durable goods manufacturing",296754,294183,295010,287045,"(D)","(D)","(D)",256906,263448,266935,255795,226100,216808,225848,232883,237867,243695
"97000","Rocky Mountain","7","SA25N 1/","511","321","          Wood product manufacturing",26673,26770,25906,24461,23628,23177,24055,24893,26053,25629,21856,16383,"(D)","(D)",15683,17007,17722
"97000","Rocky Mountain","7","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",18991,19787,19903,19297,18536,17718,18037,18856,20063,21090,19555,16237,15587,16201,16835,17339,17951
"97000","Rocky Mountain","7","SA25N 1/","513","331","          Primary metal manufacturing",11278,9353,9488,9231,6772,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",6976,"(D)","(D)",8072,"(D)"
"97000","Rocky Mountain","7","SA25N 1/","514","332","          Fabricated metal product manufacturing",38022,38106,38546,37960,35348,33417,34719,35896,37665,38601,38833,35062,33714,35928,37817,40088,41544
"97000","Rocky Mountain","7","SA25N 1/","515","333","          Machinery manufacturing",24454,23047,23146,23389,21139,19722,19367,20253,21276,22504,23421,21588,20940,22681,23224,23362,23924
"97000","Rocky Mountain","7","SA25N 1/","516","334","          Computer and electronic product manufacturing",81701,81767,84162,"(D)",71793,62041,61103,59770,59199,57556,54889,48950,48032,50437,51401,"(D)","(D)"
"97000","Rocky Mountain","7","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",4263,4262,4410,5097,4571,4247,4451,4521,4607,4656,4720,4575,4584,5092,5812,6027,6458
"97000","Rocky Mountain","7","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",16186,16089,15935,"(D)","(D)",11819,12159,"(D)","(D)","(D)",10126,"(D)",8082,8828,"(D)","(D)","(D)"
"97000","Rocky Mountain","7","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",19776,18609,17272,"(D)","(D)",15101,15526,17120,17736,18617,18508,17764,15749,14980,14913,14930,"(D)"
"97000","Rocky Mountain","7","SA25N 1/","521","337","          Furniture and related product manufacturing",20312,21655,22029,21268,20271,20077,20632,21056,21863,21828,20149,15662,14038,13737,13531,14540,15509
"97000","Rocky Mountain","7","SA25N 1/","522","339","          Miscellaneous manufacturing",35098,34738,34213,32564,33652,35509,35309,35764,36046,37431,"(D)",35182,"(D)","(D)",36358,"(D)","(D)"
"97000","Rocky Mountain","7","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",145102,144102,143768,140398,"(D)","(D)","(D)",130589,132328,134795,135985,131335,128270,130818,133531,138441,142860
"97000","Rocky Mountain","7","SA25N 1/","531","311","          Food manufacturing",53737,53659,53829,54525,54174,52797,51750,49821,50464,52636,54756,54802,54141,55992,56916,58832,60506
"97000","Rocky Mountain","7","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",8787,8483,8332,8552,8227,8222,8319,8151,8250,7921,7896,8012,8020,8409,8909,9564,10307
"97000","Rocky Mountain","7","SA25N 1/","533","313","          Textile mills",658,658,623,"(D)","(D)",583,606,634,"(D)",750,"(D)",706,"(D)",877,848,839,"(D)"
"97000","Rocky Mountain","7","SA25N 1/","534","314","          Textile product mills",3674,3482,3304,3144,3293,3550,3550,3492,3577,3823,3728,3475,3357,3199,3209,3314,"(D)"
"97000","Rocky Mountain","7","SA25N 1/","535","315","          Apparel manufacturing",5533,4998,4510,4178,3751,"(D)",3556,3608,3767,"(D)","(D)","(D)",3798,3292,4084,"(D)","(D)"
"97000","Rocky Mountain","7","SA25N 1/","536","316","          Leather and allied product manufacturing",1606,1604,1879,"(D)",1833,1520,1281,1312,1380,1237,1289,1174,"(D)",1517,1632,1175,1096
"97000","Rocky Mountain","7","SA25N 1/","537","322","          Paper manufacturing",9241,8950,8646,"(D)",7834,7588,7469,7347,7198,7045,6853,6484,6177,"(D)","(D)","(D)","(D)"
"97000","Rocky Mountain","7","SA25N 1/","538","323","          Printing and related support activities",25466,25296,25598,23357,21447,20667,20513,20022,20318,"(D)",19423,17226,16213,15547,15411,15354,15653
"97000","Rocky Mountain","7","SA25N 1/","539","324","          Petroleum and coal products manufacturing",3763,3695,3586,"(D)","(D)","(D)","(D)",3893,"(D)","(D)",4403,"(D)",4301,"(D)","(D)","(D)",4978
"97000","Rocky Mountain","7","SA25N 1/","541","325","          Chemical manufacturing",19073,20048,19842,19804,18972,18811,19450,19463,19478,20198,20761,20108,19308,19996,19916,20795,21205
"97000","Rocky Mountain","7","SA25N 1/","542","326","          Plastics and rubber products manufacturing",13564,13229,13619,12779,11726,12025,12214,12846,13242,13137,12702,10873,10960,11575,12140,13169,13496
"97000","Rocky Mountain","7","SA25N 1/","600","42","      Wholesale trade",196673,200599,207830,208009,201468,198298,202603,210709,216980,223760,224572,212759,207002,212670,217558,223170,227351
"97000","Rocky Mountain","7","SA25N 1/","700","44-45","      Retail trade",666132,661721,676608,668390,669576,672384,681201,700338,715644,737820,729457,699192,678648,689541,696879,711802,726424
"97000","Rocky Mountain","7","SA25N 1/","701","441","        Motor vehicle and parts dealers",73574,74402,76519,77275,79872,78643,80485,81188,81333,84478,83133,75433,73690,74441,76631,79956,83120
"97000","Rocky Mountain","7","SA25N 1/","702","442","        Furniture and home furnishings stores",22442,22958,23794,23810,23991,23626,24587,25305,26338,26980,25548,21219,19851,20132,20030,20324,20746
"97000","Rocky Mountain","7","SA25N 1/","703","443","        Electronics and appliance stores",20190,20951,21511,19898,19715,19129,19934,20486,20674,21550,21335,19806,20340,22005,20688,19951,20123
"97000","Rocky Mountain","7","SA25N 1/","704","444","        Building material and garden equipment and supplies dealers",46336,49110,50099,49868,52695,51096,53794,55694,58594,60093,56790,51113,49658,48685,48825,50736,52711
"97000","Rocky Mountain","7","SA25N 1/","705","445","        Food and beverage stores",101578,103524,103369,100676,97275,96313,95710,98180,99965,101091,104000,101818,99348,98721,100332,103388,106489
"97000","Rocky Mountain","7","SA25N 1/","706","446","        Health and personal care stores",27206,26422,26912,27595,28790,29881,30299,30028,31887,32685,31929,31023,30117,30930,31643,32649,33534
"97000","Rocky Mountain","7","SA25N 1/","707","447","        Gasoline stations",44338,44645,44644,43708,41683,39569,38884,38262,38582,39715,39854,38294,37239,36919,37824,38551,39237
"97000","Rocky Mountain","7","SA25N 1/","708","448","        Clothing and clothing accessories stores",41347,40807,40933,41953,41619,42692,43665,44994,47262,49130,48143,45564,43838,44382,46121,46870,46511
"97000","Rocky Mountain","7","SA25N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",43533,42724,43982,42857,42074,42340,42332,42459,43172,44642,44529,42417,41058,39659,39159,41201,42272
"97000","Rocky Mountain","7","SA25N 1/","711","452","        General merchandise stores",89337,90759,95649,99376,100945,102241,104943,107918,109452,115458,117306,116383,114045,116645,117519,115671,115336
"97000","Rocky Mountain","7","SA25N 1/","712","453","        Miscellaneous store retailers",60331,60138,62280,65482,64555,65273,64759,63521,64166,67841,65171,66323,64783,64916,65216,67222,69396
"97000","Rocky Mountain","7","SA25N 1/","713","454","        Nonstore retailers",95920,85281,86916,75892,76362,81581,81809,92303,94219,94157,91719,89799,84681,92106,92891,95283,96949
"97000","Rocky Mountain","7","SA25N 1/","800","48-49","      Transportation and warehousing",174934,174795,184376,"(D)","(D)",177444,181393,187829,194121,203067,201346,191426,186078,193530,200234,204617,212857
"97000","Rocky Mountain","7","SA25N 1/","801","481","        Air transportation",22597,24297,25964,26533,24584,23174,23410,23757,23575,24870,24910,23325,22520,22638,23401,23977,24789
"97000","Rocky Mountain","7","SA25N 1/","802","482","        Rail transportation",13255,13013,12116,"(D)",11158,10927,11302,11904,12291,12291,11944,11205,10835,"(D)",11491,11522,"(D)"
"97000","Rocky Mountain","7","SA25N 1/","803","483","        Water transportation","(T)","(T)","(T)",206,173,144,"(D)",177,171,254,243,176,162,341,194,"(D)",308
"97000","Rocky Mountain","7","SA25N 1/","804","484","        Truck transportation",70084,67590,71477,70738,70056,68347,70230,73451,76773,80067,77989,75282,73113,76867,79206,80291,82798
"97000","Rocky Mountain","7","SA25N 1/","805","485","        Transit and ground passenger transportation",11807,11539,11748,12229,12616,12642,12739,13448,13946,15152,15324,14731,14193,14921,16181,17033,18217
"97000","Rocky Mountain","7","SA25N 1/","806","486","        Pipeline transportation",2350,2338,2028,1875,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2405,"(D)","(D)"
"97000","Rocky Mountain","7","SA25N 1/","807","487","        Scenic and sightseeing transportation",1193,1194,1203,1031,"(D)","(D)",1163,"(D)",1216,"(D)","(D)",1564,1535,1528,1845,1711,1857
"97000","Rocky Mountain","7","SA25N 1/","808","488","        Support activities for transportation",13662,14322,15565,15504,15774,15494,16662,17036,17364,18178,18028,16887,16441,16869,17224,17538,18280
"97000","Rocky Mountain","7","SA25N 1/","809","492","        Couriers and messengers",24996,24786,26737,27541,"(D)",26622,26840,"(D)","(D)",29551,"(D)",26392,"(D)",26837,26954,27838,28875
"97000","Rocky Mountain","7","SA25N 1/","811","493","        Warehousing and storage",14776,15478,17225,17347,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",21333,21827,23147
"97000","Rocky Mountain","7","SA25N 1/","900","51","      Information",155318,167616,183176,"(D)","(D)",153781,152468,154063,153179,153327,153841,148439,144591,145818,144252,146264,147139
"97000","Rocky Mountain","7","SA25N 1/","901","511","        Publishing industries (except Internet)",50622,54602,58674,56883,51199,51228,51219,51721,51395,51637,50544,46398,44681,44466,44444,43641,43627
"97000","Rocky Mountain","7","SA25N 1/","902","512","        Motion picture and sound recording industries",13827,14231,13134,13256,13307,13377,13121,13847,13866,13412,13461,13110,12845,13042,13318,13777,13805
"97000","Rocky Mountain","7","SA25N 1/","903","515","        Broadcasting (except Internet)",15691,14873,16099,16914,15828,14406,14189,14497,14798,15377,15423,14592,13524,13661,13517,13676,14038
"97000","Rocky Mountain","7","SA25N 1/","904","516","        Internet publishing and broadcasting 3/",1427,1779,2487,"(D)","(D)",1759,1865,2119,"(D)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"97000","Rocky Mountain","7","SA25N 1/","905","517","        Telecommunications",55475,61543,67389,67759,57872,52627,51389,50547,49520,51930,52168,52088,49843,49379,47065,48006,48216
"97000","Rocky Mountain","7","SA25N 1/","906","518","        Data processing, hosting, and related services",17306,19661,24430,23262,19877,19204,19435,20039,19891,15454,16566,16927,17921,18847,18708,19287,19163
"97000","Rocky Mountain","7","SA25N 1/","907","519","        Other information services 3/",970,927,963,981,1037,1180,1250,1293,"(D)",5517,5679,5324,5777,6423,7200,7877,8290
"97000","Rocky Mountain","7","SA25N 1/","1000","52","      Finance and insurance",284006,284999,290511,290054,296125,301283,304394,313315,322548,350986,372134,394630,376999,400603,394939,400678,402670
"97000","Rocky Mountain","7","SA25N 1/","1001","521","        Monetary Authorities-central bank",732,741,780,"(D)","(D)",600,536,503,492,472,457,390,338,338,331,"(D)",290
"97000","Rocky Mountain","7","SA25N 1/","1002","522","        Credit intermediation and related activities",98060,100046,99079,102566,110874,119140,119049,122251,124293,126147,125933,123813,115875,113317,113949,"(D)",113291
"97000","Rocky Mountain","7","SA25N 1/","1003","523","        Securities, commodity contracts, and other financial investments and related activities",86762,85190,94548,89592,84811,80756,83022,84447,88218,108622,130200,145589,138507,156386,153176,155469,155311
"97000","Rocky Mountain","7","SA25N 1/","1004","524","        Insurance carriers and related activities",86929,86680,83684,"(D)",88888,90715,90760,93833,96517,97578,96821,97061,96733,101594,100421,101099,104858
"97000","Rocky Mountain","7","SA25N 1/","1005","525","        Funds, trusts, and other financial vehicles",11523,12342,12420,11882,"(D)",10072,11027,12281,13028,18167,18723,27777,25546,28968,27062,29118,28920
"97000","Rocky Mountain","7","SA25N 1/","1100","53","      Real estate and rental and leasing",230212,217381,239033,246221,250942,262037,282965,311758,331520,354565,354943,341974,347044,354352,348739,360370,364098
"97000","Rocky Mountain","7","SA25N 1/","1101","531","        Real estate",196621,183916,204312,209743,216336,227458,"(D)",274138,292487,317091,316640,"(D)",312689,321535,315657,326193,328812
"97000","Rocky Mountain","7","SA25N 1/","1102","532","        Rental and leasing services",32355,32292,33443,35023,33091,33247,"(D)",36115,37453,35757,36564,"(D)",32908,31463,31768,32720,33716
"97000","Rocky Mountain","7","SA25N 1/","1103","533","        Lessors of nonfinancial intangible assets (except copyrighted works)",1236,1173,1278,1455,1515,1332,"(D)",1505,1580,1717,1739,"(D)",1447,1354,1314,1457,1570
"97000","Rocky Mountain","7","SA25N 1/","1200","54","      Professional, scientific, and technical services",338173,365032,386501,398854,392702,398617,419384,434010,454701,486673,497652,485866,484746,491891,502844,525030,541863
"97000","Rocky Mountain","7","SA25N 1/","1300","55","      Management of companies and enterprises",51169,51841,53046,52073,54197,51120,54042,57123,60504,62793,67141,64960,64046,65535,68744,71549,73504
"97000","Rocky Mountain","7","SA25N 1/","1400","56","      Administrative and support and waste management and remediation services",290574,314860,334164,328182,323823,326351,343207,351988,373947,393653,384468,360582,364096,371025,382121,391574,401006
"97000","Rocky Mountain","7","SA25N 1/","1401","561","        Administrative and support services",276286,299948,319554,313382,308646,311352,328433,337549,359648,378422,369106,345845,349005,354961,366245,376062,385305
"97000","Rocky Mountain","7","SA25N 1/","1402","562","        Waste management and remediation services",14288,14912,14610,14800,15177,14999,14774,14439,14299,15231,15362,14737,15091,16064,15876,15512,15701
"97000","Rocky Mountain","7","SA25N 1/","1500","61","      Educational services",70251,74844,79398,87271,94067,96376,102271,109631,116814,118895,124209,128686,134446,136000,140364,146946,152422
"97000","Rocky Mountain","7","SA25N 1/","1600","62","      Health care and social assistance",421540,433683,447823,462352,477786,491355,504182,516084,533055,557986,579031,592421,605407,616706,629784,642366,660253
"97000","Rocky Mountain","7","SA25N 1/","1601","621","        Ambulatory health care services",162873,167553,173912,179106,187635,194733,201947,208380,216621,230327,239026,244221,250923,259345,265951,273552,283404
"97000","Rocky Mountain","7","SA25N 1/","1602","622","        Hospitals",100232,101121,102587,104994,108013,109928,112278,115266,117741,120961,126607,130125,132726,135954,138847,139197,141729
"97000","Rocky Mountain","7","SA25N 1/","1603","623","        Nursing and residential care facilities",68748,69843,71966,75286,77274,78632,79536,81423,82881,85598,89263,92520,94720,95800,97426,98911,101049
"97000","Rocky Mountain","7","SA25N 1/","1604","624","        Social assistance",89687,95166,99358,102966,104864,108062,110421,111015,115812,121100,124135,125555,127038,125607,127560,130706,134071
"97000","Rocky Mountain","7","SA25N 1/","1700","71","      Arts, entertainment, and recreation",115469,124692,133435,132886,137862,137431,141867,146826,152443,160395,163780,162042,163422,167370,172445,174543,179138
"97000","Rocky Mountain","7","SA25N 1/","1701","711","        Performing arts, spectator sports, and related industries",49124,54912,59391,57992,"(D)","(D)",61592,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",77209,77514,78961
"97000","Rocky Mountain","7","SA25N 1/","1702","712","        Museums, historical sites, and similar institutions",3040,3403,3629,3841,"(D)","(D)",3509,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",4871,4915,5129
