"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"46000","South Dakota","4","SA25N 1/","10","...","Total employment (number of jobs)",490481,500466,509241,510182,508296,508390,517360,526812,536793,549326,558660,554669,554958,563185,570872,576571,584408
"46000","South Dakota","4","SA25N 1/","20","...","  Wage and salary employment",377080,387630,394801,396009,395633,396645,402736,408345,416058,424369,431366,423601,423507,427833,435383,438477,445282
"46000","South Dakota","4","SA25N 1/","40","...","  Proprietors employment",113401,112836,114440,114173,112663,111745,114624,118467,120735,124957,127294,131068,131451,135352,135489,138094,139126
"46000","South Dakota","4","SA25N 1/","50","...","    Farm proprietors employment",33386,33197,33310,32652,29822,28526,27823,27465,26761,26282,26686,27055,27400,27674,27513,27811,27564
"46000","South Dakota","4","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",80015,79639,81130,81521,82841,83219,86801,91002,93974,98675,100608,104013,104051,107678,107976,110283,111562
"46000","South Dakota","4","SA25N 1/","70","111-112","  Farm employment",38451,38539,38031,37677,34489,32113,32629,32736,31501,31638,32132,31635,32343,33231,34358,34109,33923
"46000","South Dakota","4","SA25N 1/","80","...","  Nonfarm employment",452030,461927,471210,472505,473807,476277,484731,494076,505292,517688,526528,523034,522615,529954,536514,542462,550485
"46000","South Dakota","4","SA25N 1/","90","113-814","    Private nonfarm employment",376040,385115,393243,393500,394172,396035,403964,413777,424871,437190,444537,438645,436846,444872,452491,458390,466008
"46000","South Dakota","4","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",4400,4233,3860,3435,3811,3448,3687,3846,3976,4337,4703,4859,5118,5375,5522,5672,5680
"46000","South Dakota","4","SA25N 1/","101","113","        Forestry and logging","(T)",436,"(T)",327,331,294,323,364,370,370,367,321,307,324,399,464,506
"46000","South Dakota","4","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",336,445,395,497,544,584,601,633,613,617,586,633,635,679
"46000","South Dakota","4","SA25N 1/","103","115","        Support activities for agriculture and forestry",3631,3404,3084,2772,3035,2759,2867,2938,3022,3366,3703,3925,4194,4465,4490,4573,4495
"46000","South Dakota","4","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",2079,1513,1350,1562,1258,1329,1228,1300,1398,1597,2007,1834,2198,2095,2820,2932,3065
"46000","South Dakota","4","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",504,529,844,848,1154,1001,1376,"(D)",1795
"46000","South Dakota","4","SA25N 1/","202","212","        Mining (except oil and gas)",1711,1133,990,1176,896,884,801,798,823,935,1002,897,935,970,1232,"(D)","(D)"
