"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"96000","Southwest","6","SA25N 1/","10","...","Total employment (number of jobs)",17036731,17359702,17902950,18111900,18137066,18296212,18725504,19370726,20100628,20797964,21144323,20740521,20692413,21214777,21730534,22287114,22808262
"96000","Southwest","6","SA25N 1/","20","...","  Wage and salary employment",13826344,14125923,14528072,14651056,14582303,14553922,14790550,15207752,15756998,16166315,16373312,15813938,15711330,16009919,16426293,16818210,17261823
"96000","Southwest","6","SA25N 1/","40","...","  Proprietors employment",3210387,3233779,3374878,3460844,3554763,3742290,3934954,4162974,4343630,4631649,4771011,4926583,4981083,5204858,5304241,5468904,5546439
"96000","Southwest","6","SA25N 1/","50","...","    Farm proprietors employment",345809,345676,345711,351435,327660,321723,314034,313892,307359,333366,332202,332266,335352,337845,336943,338329,335230
"96000","Southwest","6","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",2864578,2888103,3029167,3109409,3227103,3420567,3620920,3849082,4036271,4298283,4438809,4594317,4645731,4867013,4967298,5130575,5211209
"96000","Southwest","6","SA25N 1/","70","111-112","  Farm employment",423102,416510,426201,443633,408057,397980,388561,393352,378349,409269,405711,411081,406128,406700,410670,418882,411167
"96000","Southwest","6","SA25N 1/","80","...","  Nonfarm employment",16613629,16943192,17476749,17668267,17729009,17898232,18336943,18977374,19722279,20388695,20738612,20329440,20286285,20808077,21319864,21868232,22397095
"96000","Southwest","6","SA25N 1/","90","113-814","    Private nonfarm employment",14071956,14364071,14835427,14996613,14986435,15125854,15545777,16151038,16850321,17479928,17760078,17297210,17219531,17789318,18326801,18866704,19390076
"96000","Southwest","6","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",102863,100438,95342,82381,88411,81306,84226,84762,83576,85820,86637,86082,88022,88430,88035,88455,90428
"96000","Southwest","6","SA25N 1/","101","113","        Forestry and logging",8752,8815,7505,7032,6878,6277,"(D)",6959,6657,6426,6621,5873,5209,5462,6309,6457,6915
"96000","Southwest","6","SA25N 1/","102","114","        Fishing, hunting and trapping",9667,9140,9289,9544,11019,9015,"(D)",10495,10571,10021,9992,10024,10416,9833,9771,10518,11294
"96000","Southwest","6","SA25N 1/","103","115","        Support activities for agriculture and forestry",84444,82483,78548,65805,70514,66014,67482,67308,66348,69373,70024,70185,72397,73135,71955,71480,72219
"96000","Southwest","6","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",325295,314367,303575,323666,300100,328413,320090,347222,394051,431674,533734,487650,545772,544895,690583,740888,785304
"96000","Southwest","6","SA25N 1/","201","211","        Oil and gas extraction",194136,187790,177136,190346,176301,"(D)","(D)",194275,215191,221483,298686,"(D)",350802,315447,406580,452693,471965
"96000","Southwest","6","SA25N 1/","202","212","        Mining (except oil and gas)",33035,30253,28971,29170,26948,26569,26887,26712,29026,34021,35913,30375,31053,32273,40606,38833,40417
"96000","Southwest","6","SA25N 1/","203","213","        Support activities for mining",98124,96324,97468,104150,96851,"(D)","(D)",126235,149834,176170,199135,"(D)",163917,197175,243397,249362,272922
"96000","Southwest","6","SA25N 1/","300","22","      Utilities",72365,73919,75582,79250,79415,75916,75312,75279,75860,80009,84254,83003,82874,81910,82489,82590,83482
"96000","Southwest","6","SA25N 1/","400","23","      Construction",1103717,1152269,1198146,1244049,1227263,1249856,1286996,1383898,1474256,1517112,1496496,1341222,1248096,1254823,1292206,1347113,1396241
"96000","Southwest","6","SA25N 1/","401","236","        Construction of buildings",247796,260670,272477,286850,289833,274747,273514,296711,319717,320769,321728,286718,266564,258786,265259,274565,288140
"96000","Southwest","6","SA25N 1/","402","237","        Heavy and civil engineering construction",139367,149556,160109,168797,170280,164958,167943,181195,197160,211738,213918,186167,175073,181061,195797,202589,207434
"96000","Southwest","6","SA25N 1/","403","238","        Specialty trade contractors",716554,742043,765560,788402,767150,810151,845539,905992,957379,984605,960850,868337,806459,814976,831150,869959,900667
"96000","Southwest","6","SA25N 1/","500","31-33","      Manufacturing",1563286,1537229,1546705,1500753,1388155,1320608,1311674,1330819,1371966,1382790,1357462,1238970,1190917,1238680,1277822,1299346,1323237
"96000","Southwest","6","SA25N 1/","510","321,327-339","        Durable goods manufacturing",1021176,1003980,1018094,991984,905727,859706,861042,883116,925535,939853,923029,820948,783605,825384,860442,875960,892365
"96000","Southwest","6","SA25N 1/","511","321","          Wood product manufacturing",52765,54621,51934,49003,46219,44110,46467,48135,48486,44716,39334,33021,29890,28972,29851,31430,33625
"96000","Southwest","6","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",62959,65489,66930,65432,65286,63517,64798,66436,68750,68442,63829,55188,51096,51282,51435,53477,56000
"96000","Southwest","6","SA25N 1/","513","331","          Primary metal manufacturing",42545,40168,40960,40244,35723,33824,34417,34408,37094,36956,36951,29924,29546,31122,33154,33690,33364
"96000","Southwest","6","SA25N 1/","514","332","          Fabricated metal product manufacturing",182970,180016,182837,181986,167316,153133,155478,165142,179302,186476,189714,166155,157801,173428,187763,192006,200375
"96000","Southwest","6","SA25N 1/","515","333","          Machinery manufacturing",123272,121649,125926,129197,118674,115649,115075,119832,130508,139593,142311,129058,123935,137554,148731,153277,157669
"96000","Southwest","6","SA25N 1/","516","334","          Computer and electronic product manufacturing",258984,244200,251529,239281,199806,179052,174778,174401,174981,172682,169341,153458,147665,152546,151265,147198,144856
"96000","Southwest","6","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",30056,30316,32444,30420,27248,25487,25064,25480,27168,28407,28146,26343,24980,25956,27495,27940,29126
"96000","Southwest","6","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",56337,57212,56675,"(D)",51137,48499,48807,48653,51375,52040,47994,38593,38183,"(D)",43891,"(D)","(D)"
"96000","Southwest","6","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",96189,95134,93736,"(D)",85236,88917,89191,92653,96066,98756,101023,95021,92197,"(D)",94114,"(D)","(D)"
"96000","Southwest","6","SA25N 1/","521","337","          Furniture and related product manufacturing",48489,50639,51577,50185,46976,46275,47683,47948,50147,48061,44606,36414,33345,33343,33575,34828,35450
"96000","Southwest","6","SA25N 1/","522","339","          Miscellaneous manufacturing",66610,64536,63546,60972,62106,61243,59284,60028,61658,63724,59780,57773,54967,57546,59168,60741,62415
"96000","Southwest","6","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",542110,533249,528611,508769,482428,460902,450632,447703,446431,442937,434433,418022,407312,413296,417380,423386,430872
"96000","Southwest","6","SA25N 1/","531","311","          Food manufacturing",129790,131040,132108,132220,133925,130996,130579,132430,132236,130807,128413,128495,127225,128779,129668,129775,132549
"96000","Southwest","6","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",17462,18030,18218,18384,17622,17262,16845,17371,18505,19218,19456,19314,18834,19173,19853,20656,21616
"96000","Southwest","6","SA25N 1/","533","313","          Textile mills",4782,4870,4937,4726,4587,4557,4531,3953,3877,4052,4033,3750,3838,4239,4104,4208,4015
