"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"48000","Texas","6","SA25N 1/","10","...","Total employment (number of jobs)",11542048,11764041,12139152,12285494,12303640,12386927,12638243,13040929,13521904,14044615,14410295,14256867,14291050,14719181,15126524,15563461,15981815
"48000","Texas","6","SA25N 1/","20","...","  Wage and salary employment",9372859,9573162,9850925,9929531,9867412,9819597,9931490,10171832,10525554,10858622,11098302,10812718,10790781,11042608,11367650,11671372,12034808
"48000","Texas","6","SA25N 1/","40","...","  Proprietors employment",2169189,2190879,2288227,2355963,2436228,2567330,2706753,2869097,2996350,3185993,3311993,3444149,3500269,3676573,3758874,3892089,3947007
"48000","Texas","6","SA25N 1/","50","...","    Farm proprietors employment",235685,235501,234912,236602,224444,216489,211178,211399,206773,221254,221008,221346,223089,224186,223345,224700,222095
"48000","Texas","6","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",1933504,1955378,2053315,2119361,2211784,2350841,2495575,2657698,2789577,2964739,3090985,3222803,3277180,3452387,3535529,3667389,3724912
"48000","Texas","6","SA25N 1/","70","111-112","  Farm employment",281395,277379,284440,295737,274417,263394,253780,257781,246077,264171,263555,269686,266415,266163,267063,272203,269147
"48000","Texas","6","SA25N 1/","80","...","  Nonfarm employment",11260653,11486662,11854712,11989757,12029223,12123533,12384463,12783148,13275827,13780444,14146740,13987181,14024635,14453018,14859461,15291258,15712668
"48000","Texas","6","SA25N 1/","90","113-814","    Private nonfarm employment",9602193,9803172,10134896,10255190,10247338,10320194,10577907,10956358,11413810,11894286,12209394,12003396,12004784,12461996,12889516,13315536,13728720
"48000","Texas","6","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",67953,66632,64156,51455,55944,51163,52967,54223,52867,54487,55980,56870,58334,58682,58724,58984,60223
"48000","Texas","6","SA25N 1/","101","113","        Forestry and logging",6481,6567,5595,5269,5159,4737,4941,5291,5116,4920,5143,4570,4034,4195,4861,4961,5261
"48000","Texas","6","SA25N 1/","102","114","        Fishing, hunting and trapping",8152,7682,7758,8147,9341,7626,8597,8696,8694,8214,8126,8282,8676,8176,8057,8669,9300
"48000","Texas","6","SA25N 1/","103","115","        Support activities for agriculture and forestry",53320,52383,50803,38039,41444,38800,39429,40236,39057,41353,42711,44018,45624,46311,45806,45354,45662
"48000","Texas","6","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",234402,228880,220898,233002,216860,236364,231232,250416,283490,308812,385139,355070,395425,396089,501720,541295,575353
"48000","Texas","6","SA25N 1/","201","211","        Oil and gas extraction",145379,140347,132672,141607,131619,146932,136228,144970,160081,162912,220815,223488,256944,231718,297405,332580,345736
"48000","Texas","6","SA25N 1/","202","212","        Mining (except oil and gas)",11495,11501,11508,11502,11094,11602,11693,10889,11543,13547,13917,12387,12865,12901,17303,15794,17536
"48000","Texas","6","SA25N 1/","203","213","        Support activities for mining",77528,77032,76718,79893,74147,77830,83311,94557,111866,132353,150407,119195,125616,151470,187012,192921,212081
"48000","Texas","6","SA25N 1/","300","22","      Utilities",48254,49214,50084,52487,53020,50375,49755,49056,48680,51460,54933,53552,54217,53638,53325,53645,54158
"48000","Texas","6","SA25N 1/","400","23","      Construction",754770,789453,823767,854755,843297,853416,865202,915687,970839,1024573,1045429,968997,909423,916612,946557,986160,1030806
"48000","Texas","6","SA25N 1/","401","236","        Construction of buildings",177458,185952,194332,203674,206018,193888,187974,200460,215239,220869,227985,210428,196958,191542,197731,205208,218846
"48000","Texas","6","SA25N 1/","402","237","        Heavy and civil engineering construction",94147,101559,108750,113958,114332,113297,117117,125488,137725,152275,157337,138782,131407,137432,149893,152957,158672
"48000","Texas","6","SA25N 1/","403","238","        Specialty trade contractors",483165,501942,520685,537123,522947,546231,560111,589739,617875,651429,660107,619787,581058,587638,598933,627995,653288
"48000","Texas","6","SA25N 1/","500","31-33","      Manufacturing",1117551,1097608,1102645,1067852,991679,943435,935119,948166,977618,988922,975867,897517,865262,901214,929473,947457,966218
"48000","Texas","6","SA25N 1/","510","321,327-339","        Durable goods manufacturing",694029,683258,692530,671898,616083,586168,586771,602555,633863,646922,639716,573430,549352,582154,607306,621050,634573
"48000","Texas","6","SA25N 1/","511","321","          Wood product manufacturing",37366,38476,36777,34220,32149,29536,30477,30789,31432,30194,27676,24191,22211,21557,22377,23511,25061
"48000","Texas","6","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",42620,44765,45513,45265,45703,44248,44705,45077,46101,46181,43340,37795,35116,35629,35729,37274,38705
"48000","Texas","6","SA25N 1/","513","331","          Primary metal manufacturing",29698,28206,28863,28635,26368,25087,25418,25013,26630,26707,26406,21069,20867,22250,23455,23969,23980
"48000","Texas","6","SA25N 1/","514","332","          Fabricated metal product manufacturing",130561,127404,129660,128400,118899,109752,111430,119392,130751,136544,140556,123847,117633,129297,140251,143544,150091
"48000","Texas","6","SA25N 1/","515","333","          Machinery manufacturing",84577,84709,87224,90150,84517,82238,81326,84874,92983,99077,100841,93278,90789,101336,109379,113426,116389
"48000","Texas","6","SA25N 1/","516","334","          Computer and electronic product manufacturing",173247,164353,169690,158962,131552,116633,114341,115008,113720,113486,112283,101422,97106,101044,99177,97384,98126
"48000","Texas","6","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",23190,23364,24696,23295,20669,19279,19009,19330,20547,21218,21387,19608,18282,19202,20779,21507,22357
"48000","Texas","6","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",33633,34829,35048,32677,31260,29974,30929,31811,35417,37225,34411,28485,29169,32152,34054,35862,37245
"48000","Texas","6","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",60789,58625,55614,53111,50433,56044,56021,58466,61045,61576,62497,59051,57269,57630,58664,59437,56489
"48000","Texas","6","SA25N 1/","521","337","          Furniture and related product manufacturing",33263,34809,36523,35840,33366,32735,33412,33507,35284,33819,31668,27053,25102,24782,24743,25500,25510
"48000","Texas","6","SA25N 1/","522","339","          Miscellaneous manufacturing",45085,43718,42922,41343,41167,40642,39703,39288,39953,40895,38651,37631,35808,37275,38698,39636,40620
"48000","Texas","6","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",423522,414350,410115,395954,375596,357267,348348,345611,343755,342000,336151,324087,315910,319060,322167,326407,331645
"48000","Texas","6","SA25N 1/","531","311","          Food manufacturing",96146,96362,97111,96945,98104,95160,94439,96430,96266,95378,93780,94518,93920,94580,94692,94141,96213
"48000","Texas","6","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",11477,11418,11532,11525,11265,11144,10662,11010,11600,11911,12039,12178,11905,12202,12802,13443,14173
"48000","Texas","6","SA25N 1/","533","313","          Textile mills",3616,3735,3797,3617,3496,3573,3477,3405,3302,3287,3279,2870,2949,3331,3242,3422,3226
"48000","Texas","6","SA25N 1/","534","314","          Textile product mills",10082,10341,9990,9358,8726,8587,8516,8359,8321,8441,7494,6968,6812,7080,6655,7037,7228
"48000","Texas","6","SA25N 1/","535","315","          Apparel manufacturing",44097,38166,33941,29204,23078,16915,13701,11679,10320,9550,7993,8496,7824,7170,8152,8879,9843
"48000","Texas","6","SA25N 1/","536","316","          Leather and allied product manufacturing",7371,6890,6480,6033,5531,5180,5010,5170,5194,4999,4844,4766,4756,5272,5402,5316,5026
"48000","Texas","6","SA25N 1/","537","322","          Paper manufacturing",29509,28549,28159,26664,25313,23940,22463,21783,20748,20319,19456,18236,17854,17637,17315,17054,17019
"48000","Texas","6","SA25N 1/","538","323","          Printing and related support activities",52376,50753,50662,48217,44801,42585,41901,40541,39778,39285,38031,35665,34432,32906,32649,32131,32463
"48000","Texas","6","SA25N 1/","539","324","          Petroleum and coal products manufacturing",24800,25049,24534,24515,24107,23576,23705,23306,24022,24876,25878,25790,24848,25990,25629,26015,23972
"48000","Texas","6","SA25N 1/","541","325","          Chemical manufacturing",90735,88540,87321,85560,81161,78886,77285,76189,76040,76956,78201,74713,72682,75043,76971,79319,82080
"48000","Texas","6","SA25N 1/","542","326","          Plastics and rubber products manufacturing",53313,54547,56588,54316,50014,47721,47189,47739,48164,46998,45156,39887,37928,37849,38658,39650,40402
"48000","Texas","6","SA25N 1/","600","42","      Wholesale trade",490057,496393,510166,512226,500305,498667,510027,526753,551442,570139,579059,550727,546832,570832,593651,615298,632116
"48000","Texas","6","SA25N 1/","700","44-45","      Retail trade",1317638,1320124,1360187,1367946,1374954,1359261,1370188,1404658,1430284,1456050,1451675,1428849,1409122,1450442,1471025,1513820,1553504
"48000","Texas","6","SA25N 1/","701","441","        Motor vehicle and parts dealers",156529,159950,165605,170712,177295,172800,175570,176348,177011,182673,181455,168912,167263,170640,177744,187745,196373
"48000","Texas","6","SA25N 1/","702","442","        Furniture and home furnishings stores",43947,45995,47846,47966,49613,48161,48956,50287,51623,53408,51672,45686,43251,43487,43012,43746,44606
"48000","Texas","6","SA25N 1/","703","443","        Electronics and appliance stores",47376,49487,52377,51101,47078,45324,47512,49105,49717,50709,51008,44958,47006,47914,45477,42362,43115
"48000","Texas","6","SA25N 1/","704","444","        Building material and garden equipment and supplies dealers",77618,80691,82866,82855,89207,86102,90010,92085,98250,100672,98723,96704,93578,95047,95861,101404,103907
"48000","Texas","6","SA25N 1/","705","445","        Food and beverage stores",220378,222279,225570,223910,215468,206308,205995,204993,209115,211425,215952,219425,218920,222615,225664,233416,238872
"48000","Texas","6","SA25N 1/","706","446","        Health and personal care stores",70621,69960,70325,72009,75910,76893,78293,77436,81558,82386,81932,82020,81966,85912,87641,89725,91762
"48000","Texas","6","SA25N 1/","707","447","        Gasoline stations",77194,75946,76830,74880,73889,72014,72741,72405,71570,71901,73025,74284,72965,74546,77674,82176,83190
"48000","Texas","6","SA25N 1/","708","448","        Clothing and clothing accessories stores",105925,106787,110211,114327,112657,115448,117450,121698,130345,140558,136655,133611,133184,141674,147393,144498,140203
"48000","Texas","6","SA25N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",55347,55067,55696,52988,51476,50953,48709,48785,49125,49427,49933,52352,51191,50519,50472,52415,52608
"48000","Texas","6","SA25N 1/","711","452","        General merchandise stores",219058,222842,232734,239038,242928,241332,240998,256609,257841,262155,270996,267124,260594,266949,269486,278124,294261
"48000","Texas","6","SA25N 1/","712","453","        Miscellaneous store retailers",118439,118579,123163,130388,128494,127720,127492,124862,124616,128179,123806,127688,126358,128874,129105,134325,139126
