"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"49000","Utah","7","SA25N 1/","10","...","Total employment (number of jobs)",1309139,1336157,1376759,1385001,1389120,1400308,1451782,1515266,1590355,1672757,1684006,1629358,1611189,1653896,1694700,1741097,1785244
"49000","Utah","7","SA25N 1/","20","...","  Wage and salary employment",1070842,1097247,1124807,1130753,1126431,1127612,1159748,1202004,1260326,1310044,1311365,1247431,1236311,1264381,1304870,1343046,1382435
"49000","Utah","7","SA25N 1/","40","...","  Proprietors employment",238297,238910,251952,254248,262689,272696,292034,313262,330029,362713,372641,381927,374878,389515,389830,398051,402809
"49000","Utah","7","SA25N 1/","50","...","    Farm proprietors employment",15093,15516,15710,15667,15357,14449,14000,13709,13221,14356,14528,14873,15262,15709,15682,16104,16024
"49000","Utah","7","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",223204,223394,236242,238581,247332,258247,278034,299553,316808,348357,358113,367054,359616,373806,374148,381947,386785
"49000","Utah","7","SA25N 1/","70","111-112","  Farm employment",19574,20113,20475,20539,19404,19456,18786,18639,18284,18842,19234,19415,20007,20185,20177,20902,20520
"49000","Utah","7","SA25N 1/","80","...","  Nonfarm employment",1289565,1316044,1356284,1364462,1369716,1380852,1432996,1496627,1572071,1653915,1664772,1609943,1591182,1633711,1674523,1720195,1764724
"49000","Utah","7","SA25N 1/","90","113-814","    Private nonfarm employment",1095748,1118660,1152567,1157399,1156969,1166359,1215532,1276413,1349253,1428419,1436194,1378319,1356737,1394294,1433181,1479168,1519899
"49000","Utah","7","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",3561,3477,3214,2551,2899,2662,2801,2872,2898,3151,3245,3292,3293,3462,3419,3581,3686
"49000","Utah","7","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",260,241,191,185,199,183,189,202,185,164,181,229,"(D)",262
"49000","Utah","7","SA25N 1/","102","114","        Fishing, hunting and trapping",745,718,634,429,554,492,548,584,612,642,677,647,657,646,677,"(D)",817
"49000","Utah","7","SA25N 1/","103","115","        Support activities for agriculture and forestry",2468,2403,2243,1862,2104,1979,2068,2089,2103,2320,2366,2460,2472,2635,2513,2570,2607
"49000","Utah","7","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",9166,8634,8853,8922,8365,8559,8819,10249,12149,13991,15956,13950,14655,15389,18910,17929,18506
"49000","Utah","7","SA25N 1/","201","211","        Oil and gas extraction",1238,1221,1252,1399,1295,1570,1568,1779,2232,2496,3319,3286,4034,3751,4846,5258,5576
"49000","Utah","7","SA25N 1/","202","212","        Mining (except oil and gas)",5880,5667,5518,4992,4537,4455,4347,4744,5283,5937,6093,5977,5834,6076,7427,6557,6726
"49000","Utah","7","SA25N 1/","203","213","        Support activities for mining",2048,1746,2083,2531,2533,2534,2904,3726,4634,5558,6544,4687,4787,5562,6637,6114,6204
