"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"50000","Vermont","1","SA25N 1/","10","...","Total employment (number of jobs)",381478,389909,400602,403547,404925,405463,412588,417168,420815,425178,424691,415016,413201,417035,421603,424748,430051
"50000","Vermont","1","SA25N 1/","20","...","  Wage and salary employment",298828,307020,315017,316433,316297,315009,318658,319979,322246,322039,321107,310971,310614,313625,318425,320248,323871
"50000","Vermont","1","SA25N 1/","40","...","  Proprietors employment",82650,82889,85585,87114,88628,90454,93930,97189,98569,103139,103584,104045,102587,103410,103178,104500,106180
"50000","Vermont","1","SA25N 1/","50","...","    Farm proprietors employment",6796,6752,6791,6658,6865,6509,6197,6008,5824,6310,6468,6477,6633,6777,6752,6848,6851
"50000","Vermont","1","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",75854,76137,78794,80456,81763,83945,87733,91181,92745,96829,97116,97568,95954,96633,96426,97652,99329
"50000","Vermont","1","SA25N 1/","70","111-112","  Farm employment",9379,9403,9648,9637,9922,9631,8769,8482,8075,8473,8824,8753,8882,9235,9333,9801,9808
"50000","Vermont","1","SA25N 1/","80","...","  Nonfarm employment",372099,380506,390954,393910,395003,395832,403819,408686,412740,416705,415867,406263,404319,407800,412270,414947,420243
"50000","Vermont","1","SA25N 1/","90","113-814","    Private nonfarm employment",322788,329775,338200,340829,340976,341249,348768,353171,356723,360426,359051,349112,346899,350542,354608,357134,361884
"50000","Vermont","1","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",3793,3690,3348,3350,3518,3029,3281,3516,3425,3468,3675,3588,3368,3477,3678,3781,3962
"50000","Vermont","1","SA25N 1/","101","113","        Forestry and logging",1934,1935,1677,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1983
"50000","Vermont","1","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",110
"50000","Vermont","1","SA25N 1/","103","115","        Support activities for agriculture and forestry",1743,1655,1564,1543,1790,1573,1637,1642,1609,1760,1829,1980,1946,1996,1845,"(D)",1869
"50000","Vermont","1","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",1092,1179,1162,1314,1133,1125,1045,951,1141,1280,1234,1085,1131,1124,1590,1428,1496
"50000","Vermont","1","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",130,115,138,109,117,137,145,215,203,262,222,293,339,362
"50000","Vermont","1","SA25N 1/","202","212","        Mining (except oil and gas)",971,1041,1044,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"50000","Vermont","1","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"50000","Vermont","1","SA25N 1/","300","22","      Utilities",1865,1781,1722,1717,1758,1795,1787,1776,1813,1832,1813,1850,1906,1888,1924,1908,1858
"50000","Vermont","1","SA25N 1/","400","23","      Construction",25329,26235,26953,28205,27432,28999,31371,33041,33642,33244,31519,29327,28081,28061,28212,28121,29045
"50000","Vermont","1","SA25N 1/","401","236","        Construction of buildings",6239,6653,6980,7428,"(D)",8077,8820,9174,9364,8954,8512,7614,7202,7159,7375,7220,7488
"50000","Vermont","1","SA25N 1/","402","237","        Heavy and civil engineering construction",2340,2482,2412,2592,"(D)",2272,2373,2426,2475,2329,2136,2179,2301,2123,2187,2090,2177
"50000","Vermont","1","SA25N 1/","403","238","        Specialty trade contractors",16750,17100,17561,18185,16850,18650,20178,21441,21803,21961,20871,19534,18578,18779,18650,18811,19380
"50000","Vermont","1","SA25N 1/","500","31-33","      Manufacturing",47224,47592,48395,48143,43495,40086,39652,39430,38865,39149,37838,34489,33902,34275,35567,35779,35634
"50000","Vermont","1","SA25N 1/","510","321,327-339","        Durable goods manufacturing",33352,33554,34411,35051,30976,28318,28036,28083,27923,28026,26997,24083,23642,23561,23723,23365,22664
"50000","Vermont","1","SA25N 1/","511","321","          Wood product manufacturing",3562,3547,3421,3232,3082,2983,2941,2881,2731,2836,2671,2258,2221,2287,2274,2439,2406
