"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"53000","Washington","8","SA25N 1/","10","...","Total employment (number of jobs)",3382438,3444324,3525394,3508981,3482604,3510293,3582258,3683123,3795160,3924407,3956578,3819564,3763419,3806330,3899398,3978189,4075751
"53000","Washington","8","SA25N 1/","20","...","  Wage and salary employment",2789554,2854408,2910707,2901956,2865875,2876485,2916727,2986414,3077150,3149744,3185941,3048125,2999842,3032727,3131758,3196268,3283186
"53000","Washington","8","SA25N 1/","40","...","  Proprietors employment",592884,589916,614687,607025,616729,633808,665531,696709,718010,774663,770637,771439,763577,773603,767640,781921,792565
"53000","Washington","8","SA25N 1/","50","...","    Farm proprietors employment",38938,38760,38995,35472,34547,32733,31561,31097,30089,34672,34320,33813,33502,33186,32471,32466,32219
"53000","Washington","8","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",553946,551156,575692,571553,582182,601075,633970,665612,687921,739991,736317,737626,730075,740417,735169,749455,760346
"53000","Washington","8","SA25N 1/","70","111-112","  Farm employment",82306,85203,80286,79895,78663,80415,73700,73745,73586,74282,81864,81315,81537,80378,88868,85845,85664
"53000","Washington","8","SA25N 1/","80","...","  Nonfarm employment",3300132,3359121,3445108,3429086,3403941,3429878,3508558,3609378,3721574,3850125,3874714,3738249,3681882,3725952,3810530,3892344,3990087
"53000","Washington","8","SA25N 1/","90","113-814","    Private nonfarm employment",2758511,2808185,2882021,2858748,2817174,2838483,2913762,3008260,3116707,3240087,3248048,3107299,3049424,3100507,3189949,3276110,3371257
"53000","Washington","8","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",42998,40837,38593,36773,37825,35191,36918,37766,37885,37895,38218,39783,38846,39296,41284,42573,43693
"53000","Washington","8","SA25N 1/","101","113","        Forestry and logging",11113,11570,10558,10091,9715,8639,8847,8807,8386,8115,7825,6537,6049,6316,6979,7188,7335
"53000","Washington","8","SA25N 1/","102","114","        Fishing, hunting and trapping",10893,9619,8628,7547,8083,6779,7540,7491,7429,7050,7208,7218,7214,6837,6892,7052,7299
"53000","Washington","8","SA25N 1/","103","115","        Support activities for agriculture and forestry",20992,19648,19407,19135,20027,19773,20531,21468,22070,22730,23185,26028,25583,26143,27413,28333,29059
"53000","Washington","8","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",6259,5837,5465,5733,5007,5559,5527,5673,6061,6441,7177,6399,7313,6437,8783,8714,9368
"53000","Washington","8","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)",1375,1538,1787,1840,2875,2916,"(D)","(D)","(D)",4463,4768
"53000","Washington","8","SA25N 1/","202","212","        Mining (except oil and gas)",4661,4284,3917,4135,3545,3709,3793,3790,3940,4077,3769,3083,3223,3093,4197,3718,4040
"53000","Washington","8","SA25N 1/","203","213","        Support activities for mining",259,301,355,"(D)","(D)","(D)",359,345,334,524,533,400,"(D)","(D)","(D)",533,560
"53000","Washington","8","SA25N 1/","300","22","      Utilities",5487,5364,5357,5103,4750,4721,4774,4885,5040,4973,5350,5218,5325,5221,5258,5187,5237
"53000","Washington","8","SA25N 1/","400","23","      Construction",197965,207546,214095,213531,207689,211225,222345,240898,261912,279027,267983,222297,196068,188605,191413,202068,214531
"53000","Washington","8","SA25N 1/","401","236","        Construction of buildings",56315,59572,60469,59653,59426,56629,58132,63279,68486,71186,67620,55120,48696,45910,46904,49742,53573
"53000","Washington","8","SA25N 1/","402","237","        Heavy and civil engineering construction",21843,22549,22734,22085,22379,22991,24090,25477,28019,29006,26625,23295,20676,20301,21127,22134,22293
"53000","Washington","8","SA25N 1/","403","238","        Specialty trade contractors",119807,125425,130892,131793,125884,131605,140123,152142,165407,178835,173738,143882,126696,122394,123382,130192,138665
"53000","Washington","8","SA25N 1/","500","31-33","      Manufacturing",377249,360501,347852,331285,300207,280981,278284,286449,300918,310660,307285,284107,274713,286768,298811,307064,310931
"53000","Washington","8","SA25N 1/","510","321,327-339","        Durable goods manufacturing",273244,257672,246524,234807,208921,193117,191923,200773,213998,223052,221765,202064,194396,204386,215261,221310,222249
"53000","Washington","8","SA25N 1/","511","321","          Wood product manufacturing",23757,22794,23433,20592,19385,19627,20843,21696,21840,20721,18395,14816,14276,13978,13870,14656,15186
