"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"55000","Wisconsin","3","SA25N 1/","10","...","Total employment (number of jobs)",3285025,3346241,3406669,3392483,3384679,3404331,3458343,3499277,3537369,3575989,3565200,3440119,3411636,3459709,3482311,3521059,3567138
"55000","Wisconsin","3","SA25N 1/","20","...","  Wage and salary employment",2786851,2849132,2892663,2871558,2849760,2854799,2884851,2904022,2926949,2941025,2933114,2803897,2783755,2812907,2842635,2874522,2913690
"55000","Wisconsin","3","SA25N 1/","40","...","  Proprietors employment",498174,497109,514006,520925,534919,549532,573492,595255,610420,634964,632086,636222,627881,646802,639676,646537,653448
"55000","Wisconsin","3","SA25N 1/","50","...","    Farm proprietors employment",80258,79834,79179,78867,76821,73309,71490,71096,69088,70357,68886,67507,66504,65026,62856,63991,63288
"55000","Wisconsin","3","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",417916,417275,434827,442058,458098,476223,502002,524159,541332,564607,563200,568715,561377,581776,576820,582546,590160
"55000","Wisconsin","3","SA25N 1/","70","111-112","  Farm employment",101511,102896,101442,99561,96029,97400,95267,95600,91783,93948,93230,89931,89535,89302,84161,89236,87753
"55000","Wisconsin","3","SA25N 1/","80","...","  Nonfarm employment",3183514,3243345,3305227,3292922,3288650,3306931,3363076,3403677,3445586,3482041,3471970,3350188,3322101,3370407,3398150,3431823,3479385
"55000","Wisconsin","3","SA25N 1/","90","113-814","    Private nonfarm employment",2778954,2833188,2887454,2870428,2860416,2876917,2934777,2978744,3019049,3054601,3040054,2914163,2884500,2937119,2964250,2998745,3044754
"55000","Wisconsin","3","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",15347,14810,13510,13306,14620,12995,13740,14512,14476,14808,15355,15153,14623,15120,16258,16413,16880
"55000","Wisconsin","3","SA25N 1/","101","113","        Forestry and logging",5314,5474,4845,4998,4926,4347,4628,5340,5093,4639,4768,4144,3587,4003,5017,4960,5332
"55000","Wisconsin","3","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",1125,1399,1106,1354,1427,1464,1338,1359,1293,1305,1228,1259,1346,1432
"55000","Wisconsin","3","SA25N 1/","103","115","        Support activities for agriculture and forestry",8664,8098,7419,7183,8295,7542,7758,7745,7919,8831,9228,9716,9731,9889,9982,10107,10116
"55000","Wisconsin","3","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",4162,4147,3721,4010,3783,4044,4059,4172,4430,4720,5045,4802,5373,5045,7064,7112,7860
"55000","Wisconsin","3","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)",671,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"55000","Wisconsin","3","SA25N 1/","202","212","        Mining (except oil and gas)",3245,3248,2921,3178,3040,3118,3231,3240,3333,3456,3166,2850,2902,2961,4156,3949,4475
"55000","Wisconsin","3","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"55000","Wisconsin","3","SA25N 1/","300","22","      Utilities",12910,13329,13677,12480,11982,11827,11871,11749,11620,11495,11747,11572,11426,11191,11186,11006,10750
"55000","Wisconsin","3","SA25N 1/","400","23","      Construction",163759,171584,176158,180826,180429,184015,191317,196877,196852,195648,186041,167543,155540,153278,154428,159991,166013
"55000","Wisconsin","3","SA25N 1/","401","236","        Construction of buildings",38391,41813,42883,44416,46062,44419,46126,47496,47152,45804,43562,38417,35785,33708,35009,36025,37716
"55000","Wisconsin","3","SA25N 1/","402","237","        Heavy and civil engineering construction",14432,14702,15364,15754,16196,16406,16424,16582,18116,19575,18709,17660,15276,14718,14985,15561,16481
"55000","Wisconsin","3","SA25N 1/","403","238","        Specialty trade contractors",110936,115069,117911,120656,118171,123190,128767,132799,131584,130269,123770,111466,104479,104852,104434,108405,111816
"55000","Wisconsin","3","SA25N 1/","500","31-33","      Manufacturing",607022,606037,604602,570642,538440,518253,517619,520252,521485,516947,507723,451879,444915,460151,471460,474616,483356
"55000","Wisconsin","3","SA25N 1/","510","321,327-339","        Durable goods manufacturing",385082,381948,380337,355594,331886,319355,321592,327459,330315,326621,319791,274168,268054,280603,289570,290755,295370
"55000","Wisconsin","3","SA25N 1/","511","321","          Wood product manufacturing",29319,29973,29672,29188,28004,27837,28835,28806,28372,26520,23880,19900,18373,18391,18341,18901,19686
"55000","Wisconsin","3","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",11076,11387,11244,10965,10945,10957,11424,11914,11958,11492,10748,9468,9020,9144,9083,9205,9447
"55000","Wisconsin","3","SA25N 1/","513","331","          Primary metal manufacturing",23960,23305,23476,22512,21207,20338,20563,20481,20781,20345,19389,14966,15612,17318,18079,17520,17642
"55000","Wisconsin","3","SA25N 1/","514","332","          Fabricated metal product manufacturing",82447,82083,81979,76076,71696,69688,70972,74384,76416,77972,77874,66287,65343,70936,74139,74604,75976
"55000","Wisconsin","3","SA25N 1/","515","333","          Machinery manufacturing",93756,91676,89597,82190,73408,69628,69709,70207,71027,70654,71397,61837,60291,64548,67956,68822,69615
"55000","Wisconsin","3","SA25N 1/","516","334","          Computer and electronic product manufacturing",29630,29429,29082,27359,24065,22318,22257,23333,23242,23448,22917,20218,20225,20557,20257,19052,18816
"55000","Wisconsin","3","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",33609,33446,33270,30360,27422,25730,24924,25046,25677,24838,24246,21802,21333,22084,22895,23414,24208
"55000","Wisconsin","3","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",31387,30977,31122,27146,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"55000","Wisconsin","3","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",9956,10821,11610,11158,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"55000","Wisconsin","3","SA25N 1/","521","337","          Furniture and related product manufacturing",18597,18903,19508,19485,19161,18098,17965,17684,17824,18442,18169,16219,15801,15894,15576,16121,16492
"55000","Wisconsin","3","SA25N 1/","522","339","          Miscellaneous manufacturing",21345,19948,19777,19155,19008,18341,17940,18074,17964,17793,17756,16821,16063,16133,16433,16165,16429
"55000","Wisconsin","3","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",221940,224089,224265,215048,206554,198898,196027,192793,191170,190326,187932,177711,176861,179548,181890,183861,187986
