"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"56000","Wyoming","7","SA25N 1/","10","...","Total employment (number of jobs)",309707,313528,322283,328624,333038,335584,343080,353738,368896,386979,397453,385819,382160,387124,393041,396381,402763
"56000","Wyoming","7","SA25N 1/","20","...","  Wage and salary employment",240390,245126,251864,257281,260335,262305,267245,274823,287465,298350,306842,294731,290162,294099,298341,299541,304323
"56000","Wyoming","7","SA25N 1/","40","...","  Proprietors employment",69317,68402,70419,71343,72703,73279,75835,78915,81431,88629,90611,91088,91998,93025,94700,96840,98440
"56000","Wyoming","7","SA25N 1/","50","...","    Farm proprietors employment",8857,8813,8948,8928,9550,8767,8518,8416,8116,9745,9865,9998,10216,10412,10296,10185,10367
"56000","Wyoming","7","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",60460,59589,61471,62415,63153,64512,67317,70499,73315,78884,80746,81090,81782,82613,84404,86655,88073
"56000","Wyoming","7","SA25N 1/","70","111-112","  Farm employment",12278,12016,12726,12447,13159,12125,11837,11524,11179,12583,12855,12803,13053,13683,14007,13873,13928
"56000","Wyoming","7","SA25N 1/","80","...","  Nonfarm employment",297429,301512,309557,316177,319879,323459,331243,342214,357717,374396,384598,373016,369107,373441,379034,382508,388835
"56000","Wyoming","7","SA25N 1/","90","113-814","    Private nonfarm employment",234968,238405,244631,250907,253546,256294,263594,273705,289198,304168,313070,299086,294053,298383,303354,306738,313348
"56000","Wyoming","7","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",2671,2562,2491,2583,2869,2503,2623,2583,2530,2662,2793,2845,2797,2827,2876,2906,2980
"56000","Wyoming","7","SA25N 1/","101","113","        Forestry and logging",399,396,361,381,310,249,246,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"56000","Wyoming","7","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",364,451,374,446,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"56000","Wyoming","7","SA25N 1/","103","115","        Support activities for agriculture and forestry",1836,1759,1731,1838,2108,1880,1931,1854,1792,1929,2048,2157,2139,2184,2190,2158,2164
"56000","Wyoming","7","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",18033,17440,18430,20647,20086,21189,22826,25357,29719,31248,34529,30067,30809,32298,35052,33953,35157
"56000","Wyoming","7","SA25N 1/","201","211","        Oil and gas extraction",4287,4314,4518,5203,4805,5166,5152,5711,6346,6590,8175,7547,8668,7930,9403,10156,10530
"56000","Wyoming","7","SA25N 1/","202","212","        Mining (except oil and gas)",7768,7642,7280,7300,7529,7479,7629,7890,8919,9516,10162,10012,10009,10255,10835,10158,10080
"56000","Wyoming","7","SA25N 1/","203","213","        Support activities for mining",5978,5484,6632,8144,7752,8544,10045,11756,14454,15142,16192,12508,12132,14113,14814,13639,14547
"56000","Wyoming","7","SA25N 1/","300","22","      Utilities",2325,2289,2149,"(D)","(D)",2178,2249,2335,2385,2558,2610,2575,2573,2553,2548,2576,2590
"56000","Wyoming","7","SA25N 1/","400","23","      Construction",23523,24884,25657,27148,"(D)",27313,27416,29567,33197,36413,38019,33250,30633,28856,29338,29737,31853
"56000","Wyoming","7","SA25N 1/","401","236","        Construction of buildings",5310,5905,6088,6404,"(D)",5778,5851,6343,6888,6886,6983,6394,5454,5166,5338,5515,5644
"56000","Wyoming","7","SA25N 1/","402","237","        Heavy and civil engineering construction",5054,5621,5780,6110,6160,6462,5990,6710,8338,10212,10766,8487,8148,7191,7368,6733,8033
"56000","Wyoming","7","SA25N 1/","403","238","        Specialty trade contractors",13159,13358,13789,14634,14558,15073,15575,16514,17971,19315,20270,18369,17031,16499,16632,17489,18176
"56000","Wyoming","7","SA25N 1/","500","31-33","      Manufacturing",11342,11379,11289,11419,"(D)",10661,10878,11214,11747,11887,11583,10911,10440,11043,11232,11538,12008
"56000","Wyoming","7","SA25N 1/","510","321,327-339","        Durable goods manufacturing",6012,6028,5936,5933,"(D)","(D)","(D)",6163,6537,6610,6300,5839,5443,5828,5912,6010,6251
"56000","Wyoming","7","SA25N 1/","511","321","          Wood product manufacturing",1172,1166,1112,1050,1107,1006,1039,1047,1061,951,722,565,488,523,556,690,715
"56000","Wyoming","7","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",881,917,911,885,909,926,918,951,987,1005,984,1001,952,981,982,931,903
"56000","Wyoming","7","SA25N 1/","513","331","          Primary metal manufacturing","(T)","(T)","(T)",186,125,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",103,"(D)","(D)",101,"(D)"
"56000","Wyoming","7","SA25N 1/","514","332","          Fabricated metal product manufacturing",1206,1294,1155,1398,1329,1388,1432,1673,1814,1891,1859,1653,1479,1721,1797,1696,1813
"56000","Wyoming","7","SA25N 1/","515","333","          Machinery manufacturing",532,478,494,565,529,414,446,485,544,616,627,694,621,689,846,906,847
"56000","Wyoming","7","SA25N 1/","516","334","          Computer and electronic product manufacturing",504,412,415,"(D)",398,360,343,310,329,330,258,234,175,176,188,"(D)","(D)"
"56000","Wyoming","7","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing","(T)","(T)","(T)",249,144,144,157,176,201,193,287,294,279,309,307,283,295
"56000","Wyoming","7","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",378,413,451,"(D)","(D)",391,423,"(D)","(D)","(D)",406,"(D)","(D)","(D)","(D)",227,205
"56000","Wyoming","7","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing","(T)","(T)","(T)","(D)","(D)",113,107,"(D)","(D)","(D)",118,"(D)","(D)","(D)","(D)","(D)",86
"56000","Wyoming","7","SA25N 1/","521","337","          Furniture and related product manufacturing","(T)","(T)","(T)",481,425,437,475,444,449,451,467,423,390,356,334,352,381
"56000","Wyoming","7","SA25N 1/","522","339","          Miscellaneous manufacturing","(T)","(T)",470,397,454,486,428,403,430,496,"(D)",498,"(D)","(D)",479,"(D)","(D)"
"56000","Wyoming","7","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",5330,5351,5353,5486,"(D)","(D)","(D)",5051,5210,5277,5283,5072,4997,5215,5320,5528,5757
"56000","Wyoming","7","SA25N 1/","531","311","          Food manufacturing",992,989,996,904,820,775,824,843,790,872,856,877,846,843,912,978,1002
"56000","Wyoming","7","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",503,517,508,488,317,325,325,315,326,293,290,300,303,317,332,383,403
"56000","Wyoming","7","SA25N 1/","533","313","          Textile mills","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",59,"(D)","(D)","(D)","(D)"
"56000","Wyoming","7","SA25N 1/","534","314","          Textile product mills","(T)","(T)","(T)",147,156,118,122,100,106,126,116,112,130,141,131,152,"(D)"
"56000","Wyoming","7","SA25N 1/","535","315","          Apparel manufacturing","(T)","(T)","(T)",143,124,"(D)",113,113,121,113,87,91,"(D)","(D)","(D)","(D)","(D)"
"56000","Wyoming","7","SA25N 1/","536","316","          Leather and allied product manufacturing","(T)","(T)","(T)","(D)",172,150,155,138,149,113,125,123,"(D)",197,213,142,128
"56000","Wyoming","7","SA25N 1/","537","322","          Paper manufacturing","(T)","(T)","(T)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(L)"
"56000","Wyoming","7","SA25N 1/","538","323","          Printing and related support activities",530,511,502,461,422,439,458,466,467,"(D)",410,364,382,402,427,410,407
"56000","Wyoming","7","SA25N 1/","539","324","          Petroleum and coal products manufacturing",976,961,945,921,870,873,919,911,983,1075,1115,1092,1041,1075,1117,1227,1375
