"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"38000","North Dakota","4","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",336527,340001,342387,344675,346027,347702,356081,362277,369822,375895,384175,383754,392470,413535,447582,464217,482944
"38000","North Dakota","4","SA27N 1/","70","111-112","  Farm wage and salary employment",5476,5730,5022,5302,4885,3684,4845,5220,4612,5124,5210,4382,4729,5316,6260,6607,7283
"38000","North Dakota","4","SA27N 1/","80","...","  Nonfarm wage and salary employment",331051,334271,337365,339373,341142,344018,351236,357057,365210,370771,378965,379372,387741,408219,441322,457610,475661
"38000","North Dakota","4","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",254696,258359,260632,262172,261860,263610,270258,276323,283586,289550,298448,296338,302959,324043,355749,370686,388090
"38000","North Dakota","4","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",2009,1955,2116,1552,1427,1466,1529,1559,1531,1538,1782,2022,2198,2343,2521,2607,2625
"38000","North Dakota","4","SA27N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota","4","SA27N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota","4","SA27N 1/","103","115","        Support activities for agriculture and forestry",1723,1672,1841,1491,1373,1417,1476,1509,1485,1500,1741,1979,2154,2305,2482,2581,2609
"38000","North Dakota","4","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",3522,3147,3323,3489,3201,3295,3531,4076,4646,5065,6791,6907,10520,16605,24144,25912,29607
"38000","North Dakota","4","SA27N 1/","201","211","        Oil and gas extraction",582,540,557,528,398,442,448,473,427,431,550,710,845,1166,1616,1985,2492
"38000","North Dakota","4","SA27N 1/","202","212","        Mining (except oil and gas)",1603,1658,1586,1583,1577,1528,1498,1550,1560,1566,1610,1645,1699,1860,2138,2184,2265
"38000","North Dakota","4","SA27N 1/","203","213","        Support activities for mining",1337,949,1180,1378,1226,1325,1585,2053,2659,3068,4631,4552,7976,13579,20390,21743,24850
"38000","North Dakota","4","SA27N 1/","300","22","      Utilities",3523,3385,3356,3363,3361,3341,3217,3207,3224,3288,3415,3384,3417,3418,3506,3593,3702
"38000","North Dakota","4","SA27N 1/","400","23","      Construction",16109,17254,16295,15964,15534,16456,17790,17940,19010,19806,21425,21557,21995,25050,30299,33344,35857
"38000","North Dakota","4","SA27N 1/","401","236","        Construction of buildings",4724,4605,4454,4514,"(D)",4686,5165,5001,5564,5810,5924,5994,5768,6128,6563,7390,7385
"38000","North Dakota","4","SA27N 1/","402","237","        Heavy and civil engineering construction",3101,3793,3268,3117,"(D)",2979,3082,3084,3095,3488,4563,4459,5047,6467,8383,8845,9943
"38000","North Dakota","4","SA27N 1/","403","238","        Specialty trade contractors",8284,8856,8573,8333,8371,8791,9543,9855,10351,10508,10938,11104,11180,12455,15353,17109,18529
"38000","North Dakota","4","SA27N 1/","500","31-33","      Manufacturing",21940,21985,22945,24089,23795,23489,24627,25903,25991,26095,26359,23605,22578,23783,25187,25421,25956
"38000","North Dakota","4","SA27N 1/","510","321,327-339","        Durable goods manufacturing",14274,14311,15154,15919,15662,15295,16262,17477,17702,17690,18001,15494,14626,15842,16955,17233,17640
"38000","North Dakota","4","SA27N 1/","511","321","          Wood product manufacturing",1524,1817,1851,1808,1922,1961,2028,2040,2019,1903,1818,1639,1554,1607,1637,1715,1862
"38000","North Dakota","4","SA27N 1/","512","327","          Nonmetallic mineral product manufacturing",819,925,977,1084,1150,1180,1255,1292,1262,1227,1202,1193,1207,1361,1675,1688,1766
"38000","North Dakota","4","SA27N 1/","513","331","          Primary metal manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)",107,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota","4","SA27N 1/","514","332","          Fabricated metal product manufacturing",1521,1403,1367,1567,1559,1522,1728,1758,1779,1815,1968,1870,1857,2077,2068,2182,2251
"38000","North Dakota","4","SA27N 1/","515","333","          Machinery manufacturing",5079,5162,5412,5232,4976,4983,5452,6169,6409,6581,6973,5708,5133,5603,5998,5960,5959
