"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"42000","Pennsylvania","2","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",5673172,5771841,5876001,5876729,5842107,5801237,5835709,5891188,5956829,5996775,6002084,5815187,5800496,5861034,5912279,5936432,5992480
"42000","Pennsylvania","2","SA27N 1/","70","111-112","  Farm wage and salary employment",18739,21060,24024,22766,22757,19764,19487,19091,20212,19439,17305,16793,18550,18537,24201,22349,21070
"42000","Pennsylvania","2","SA27N 1/","80","...","  Nonfarm wage and salary employment",5654433,5750781,5851977,5853963,5819350,5781473,5816222,5872097,5936617,5977336,5984779,5798394,5781946,5842497,5888078,5914083,5971410
"42000","Pennsylvania","2","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",4892577,4984226,5066701,5061576,5010386,4964607,5000689,5057684,5121495,5166227,5167611,4975830,4957801,5036964,5100434,5124970,5190704
"42000","Pennsylvania","2","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",6844,6928,7202,7062,6795,6769,6828,7199,7356,7391,7569,7748,7731,7593,7718,8047,8078
"42000","Pennsylvania","2","SA27N 1/","101","113","        Forestry and logging",1098,1169,1218,"(D)","(D)","(D)","(D)",883,"(D)","(D)",743,704,773,752,861,905,818
"42000","Pennsylvania","2","SA27N 1/","102","114","        Fishing, hunting and trapping","(T)",429,480,"(D)","(D)","(D)","(D)",161,"(D)","(D)",117,73,65,72,69,64,64
"42000","Pennsylvania","2","SA27N 1/","103","115","        Support activities for agriculture and forestry",5332,5330,5504,5555,5538,5638,5734,6155,6379,6434,6709,6971,6893,6769,6788,7078,7196
"42000","Pennsylvania","2","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",20149,19359,18555,18491,18088,17136,17939,18731,19831,20521,21573,21564,25848,32342,35920,34981,36790
"42000","Pennsylvania","2","SA27N 1/","201","211","        Oil and gas extraction",1956,1866,1777,1791,1755,1665,1741,1836,1996,2298,2700,2838,3811,4513,5388,5999,6402
"42000","Pennsylvania","2","SA27N 1/","202","212","        Mining (except oil and gas)",15852,15181,14374,14247,13799,12837,13265,13432,13933,13670,13716,12810,12836,13655,13967,13119,12302
