"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"06000","California","8","SA30","10","...","Personal income (thousands of dollars)",40102616,43838806,46333262,49147467,52938918,56604947,61292036,65445747,71123305,76481751,83786947,92173937,99440680,106005497,116355563,127636686,142322040,157355533,174492789,193587811,220523113,250027116,283852405,318833657,340836724,368675480,409989187,443346410,476271961,513636748,558066083,601183746,643954932,665001713,701387002,718212128,740997699,779582479,828822422,881903762,961026185,1027198949,1134894388,1175422938,1196317599,1247297158,1324947651,1398952578,1501831207,1565343003,1602748801,1537136355,1583446730,1691002503,1812314643,1849505496,1939527656
"06000","California","8","SA30","45","...","Net earnings by place of residence",31486969,34683811,36294114,38280954,41247391,43931336,47419572,50313772,54787000,58324154,64121214,69627561,73526886,77355752,85331385,93195904,102431042,111203276,124357771,139038454,159030217,180473469,200907666,218415922,230717743,248805891,276876413,300606667,325600605,357378303,389779634,412706391,441751176,455820262,479087017,487832253,501994459,524276854,558190572,599838830,658630958,717199226,802251287,825280921,840111219,871359310,924729594,963343192,1017653823,1050533377,1053632265,1002481671,1024618142,1091622480,1169722786,1194861666,1256673559
"06000","California","8","SA30","50","...","Personal current transfer receipts",2223305,2272944,2584487,2999157,3179142,3516743,3812460,4212541,4652979,5754639,6643304,7616204,9300701,10695547,11521550,12758371,15117591,18994216,21011565,22306606,24105492,26485686,30784183,36210987,39687570,42375699,44216304,47802875,51353036,53579191,57350771,62814344,69172892,76724918,88635461,93604307,95823749,100343420,105264283,105825193,111725348,117385478,122177543,135575639,145704785,153929412,161337196,169601786,182283309,192794171,218212631,241125245,266867975,268746978,271577706,281990047,293656439
"06000","California","8","SA30","60","...","  Income maintenance benefits 1/",416451,429219,447330,468226,525582,576617,660154,748597,863598,990101,1104622,1344538,1798562,2143100,2254230,2182905,2665628,3143513,3465291,3837854,3990106,4284655,5295781,5804078,6127652,6560684,6835985,7266556,7909201,8612927,9483960,10688984,12259542,13874663,15694294,16553430,17706248,18696882,19129780,18006050,18374824,19226210,19428921,19350298,20624912,21906970,23167849,24626741,25469260,26377945,27545431,30759006,32875138,34067839,34414570,34942891,34985185
"06000","California","8","SA30","70","...","  Unemployment insurance compensation",388926,249723,414343,586698,488302,523730,545523,568294,435212,484025,435018,451878,724339,916948,810743,674803,982742,2025165,2075536,1555847,1264168,1013674,1633068,1758867,2743492,3005913,2042146,2084903,2179712,1810921,1640036,1636601,2197807,3537920,5579919,5825774,3892321,3199337,3041737,2700477,2633802,2729089,2507562,3467115,7194879,7289909,5215867,4525194,4358708,5036145,7983714,19154247,22179639,17563581,13924110,10701145,6134390
"06000","California","8","SA30","80","...","  Retirement and other",1417928,1594002,1722814,1944233,2165258,2416396,2606783,2895650,3354169,4280513,5103664,5819788,6777800,7635499,8456577,9900663,11469221,13825538,15470738,16912905,18851218,21187357,23855334,28648042,30816426,32809102,35338173,38451416,41264123,43155343,46226775,50488759,54715543,59312335,67361248,71225103,74225180,78447201,83092766,85118666,90716722,95430179,100241060,112758226,117884994,124732533,132953480,140449851,152455341,161380081,182683486,191211992,211813198,217115558,223239026,236346011,252536864
"06000","California","8","SA30","90","...","Dividends, interest, and rent",6392342,6882051,7454661,7867356,8512385,9156868,10060004,10919434,11683326,12402958,13022429,14930172,16613093,17954198,19502628,21682411,24773407,27158041,29123453,32242751,37387404,43067961,52160556,64206748,70431411,77493890,88896470,94936868,99318320,102679254,110935678,125663011,133030864,132456533,133664524,136775568,143179491,154962205,165367567,176239739,190669879,192614245,210465558,214566378,210501595,222008436,238880861,266007600,301894075,322015455,330903905,293529439,291960613,330633045,371014151,372653783,389197658
"06000","California","8","SA30","91","...","  Personal dividend income",1183235,1282191,1364436,1414901,1537507,1655922,1856485,2087302,2143335,2228969,2466039,2574070,2589372,2670141,2871184,3182065,3529689,3578880,4291448,4989142,5681290,6451421,7397351,8702688,8444683,9740049,10862135,11472292,12610617,13273222,15129545,18244306,19618619,20887396,21453744,22647375,25237696,27684689,32796930,37812528,40205249,40521304,45507730,44391949,48156941,52842823,69296690,72784242,92996082,102471623,98803609,67152371,66915878,85432429,105634083,99897414,103266990
"06000","California","8","SA30","92","...","  Personal interest income",3368559,3655242,4027101,4338162,4763605,5230874,5852218,6384065,6973770,7492843,7877785,9478161,11208608,12241803,13379156,15053114,17662481,19986945,21490481,24666412,28997837,33871295,41378511,51156759,57500477,62947800,72935290,78158381,82337533,85483864,90997637,102869284,107384907,103306873,99119472,95446807,95429087,102790693,104303280,109343871,117809833,116864585,129360014,132021272,121929507,123655619,118797097,144104843,165473263,181111903,178684795,161794876,147376280,153606458,165020849,162590734,166738205
"06000","California","8","SA30","93","...","    Imputed interest receipts 2/",1369807,1548093,1712592,1921918,2084727,2288598,2537749,2689709,2910171,3196155,3497347,4511295,5596761,6173303,6835059,7401160,8536423,10443226,10940555,12237936,14271981,15142081,17555722,19964739,23206611,28931694,31239286,36099822,39719918,43427206,45725413,49453842,52264739,53395440,54723317,55331276,55792014,59851970,60093535,64502219,65476865,67157272,72205736,72130958,72294407,75338824,78083088,84641974,91353831,96402308,99870707,99698780,97154334,99825483,103619864,106899819,108871015
"06000","California","8","SA30","94","...","    Monetary interest receipts",1998752,2107149,2314509,2416244,2678878,2942276,3314469,3694356,4063599,4296688,4380438,4966866,5611847,6068500,6544097,7651954,9126058,9543719,10549926,12428476,14725856,18729214,23822789,31192020,34293866,34016106,41696004,42058559,42617615,42056658,45272224,53415442,55120168,49911433,44396155,40115531,39637073,42938723,44209745,44841652,52332968,49707313,57154278,59890314,49635100,48316795,40714009,59462869,74119432,84709595,78814088,62096096,50221946,53780975,61400985,55690915,57867190
"06000","California","8","SA30","95","...","  Rental income of persons",1840548,1944618,2063124,2114293,2211273,2270072,2351301,2448067,2566221,2681146,2678605,2877941,2815113,3042254,3252288,3447232,3581237,3592216,3341524,2587197,2708277,2745245,3384694,4347301,4486251,4806041,5099045,5306195,4370170,3922168,4808496,4549421,6027338,8262264,13091308,18681386,22512708,24486823,28267357,29083340,32654797,35228356,35597814,38153157,40415147,45509994,50787074,49118515,43424730,38431929,53415501,64582192,77668455,91594158,100359219,110165635,119192463
"06000","California","8","SA30","96","...","    Imputed rent",1153743,1276815,1393434,1493017,1608729,1678539,1707863,1760161,1837965,1914090,1875379,2031701,1929752,2156116,2199769,2173595,2312786,2261023,2010390,1104587,1099324,841667,882741,853493,132901,-70997,-585154,-1253681,-2429771,-2558990,-1325242,-1414033,-913091,55279,2783186,7157432,10223860,11472861,14065035,14504673,17520789,20055317,20811792,21823174,24258983,28990969,33468810,30453671,23633901,16228466,25919778,36717412,44794589,54683269,59258145,69183427,76226332
