"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"11000","District of Columbia","2","SA30","10","...","Personal income (thousands of dollars)",2283800,2351421,2379382,2502266,2691249,2860578,3034510,3269109,3409074,3647808,3829372,3724835,4129474,4597223,4990553,5251389,5697134,6186537,6550200,7032458,7490915,7905250,8355120,8971160,9567530,9977198,10899046,11548191,12133514,12781025,14041999,14970581,15575579,16272212,17188128,17910334,18319858,18434325,19195399,20209086,21471874,22473156,24725418,25906291,26434762,27191410,28924508,30569552,32945204,35099889,38423229,37205409,38576885,41791169,43800684,44532637,46015860
"11000","District of Columbia","2","SA30","45","...","Net earnings by place of residence",1722680,1769917,1761036,1861300,2024613,2160675,2310029,2497711,2619836,2816831,2949549,2841293,3081668,3362036,3603543,3752781,4029160,4333920,4597379,4949328,5214541,5375372,5468351,5713305,6043179,6391600,6997048,7473219,7918814,8479087,9328111,9621906,10251365,10818709,11308239,11726400,12005308,12163157,12728180,13258283,14118577,15134439,16976644,18201448,18610651,19172876,20506785,21320730,22738558,24134013,26602218,26085255,26888430,28746660,30039748,30360870,31496110
"11000","District of Columbia","2","SA30","50","...","Personal current transfer receipts",106212,108927,112264,123376,126806,134528,139818,150471,159882,192265,229510,234496,301828,374893,446762,512091,595129,740901,770456,789796,811976,905989,1030997,1138549,1271295,1328121,1416228,1418029,1472163,1516421,1630173,1634084,1743623,1945180,2183950,2397916,2438553,2368359,2575982,2570189,2738778,2735986,2816580,2914762,3206475,3261355,3294489,3583633,3649354,3900686,4302749,4775500,5455402,5795281,5709539,5980775,5976085
"11000","District of Columbia","2","SA30","60","...","  Income maintenance benefits 1/",11351,13820,15557,17387,16229,14462,14859,16838,18787,22712,26151,33872,62531,90210,110884,125475,145065,164191,174962,172982,166693,187713,213415,222783,228039,221503,213461,210836,211297,205346,220498,236232,253120,285526,318120,360820,388923,406507,430595,414051,442546,433467,432650,436485,474738,483423,497104,517646,549320,578033,584420,695000,819287,839071,895122,952515,942504
"11000","District of Columbia","2","SA30","70","...","  Unemployment insurance compensation",11451,9170,8296,11005,10313,14546,13596,12029,9860,10055,11524,12214,17869,26472,34079,35646,43071,87159,84178,81917,63550,70798,80393,105291,125781,112393,82699,67961,73887,73139,67667,69111,89119,137048,234040,204599,111809,107583,97695,79330,69755,63016,63931,75648,159591,117169,72802,60744,63341,62926,91123,205489,333675,301743,237999,164908,67212
"11000","District of Columbia","2","SA30","80","...","  Retirement and other",83410,85937,88411,94984,100264,105520,111363,121604,131235,159498,191835,188410,221428,258211,301799,350970,406993,489551,511316,534897,581733,647478,737189,810475,917475,994225,1120068,1139232,1186979,1237936,1342008,1328741,1401384,1522606,1631790,1832497,1937821,1854269,2047692,2076808,2226477,2239503,2319999,2402629,2572146,2660763,2724583,3005243,3036693,3259727,3627206,3875011,4302440,4654467,4576418,4863352,4966369
"11000","District of Columbia","2","SA30","90","...","Dividends, interest, and rent",454908,472577,506082,517590,539830,565375,584663,620927,629356,638712,650313,649046,745978,860294,940248,986517,1072845,1111716,1182365,1293334,1464398,1623889,1855772,2119306,2253056,2257477,2485770,2656943,2742537,2785517,3083715,3714591,3580591,3508323,3695939,3786018,3875997,3902809,3891237,4380614,4614519,4602731,4932194,4790081,4617636,4757179,5123234,5665189,6557292,7065190,7518262,6344654,6233053,7249228,8051397,8190992,8543665
"11000","District of Columbia","2","SA30","91","...","  Personal dividend income",85611,92095,102619,103366,110445,117782,133501,148861,147066,138285,167149,167876,172705,182146,200300,198767,197403,171811,200839,225528,250248,278517,301503,337568,376520,359706,395193,384959,403336,379307,439643,522660,531124,554837,571543,570487,627383,619887,693849,795709,770735,733775,853622,792552,895913,908616,1299173,1235468,1650391,1829424,1795980,991735,883716,1277518,1674275,1523938,1558262
"11000","District of Columbia","2","SA30","92","...","  Personal interest income",303623,312950,336173,346809,362024,378793,387732,412461,425460,445625,432774,439160,532951,634780,697324,746747,831231,895936,939564,1032636,1179783,1310350,1513106,1729386,1825042,1837896,2032459,2208652,2296047,2373461,2597780,3155772,3002468,2883689,2979996,3020819,3011642,2983868,2880953,3244088,3498979,3482102,3702215,3565775,3249212,3304882,3199695,3891928,4430591,4817724,5046014,4408156,4129995,4421591,4708591,4812841,4962881
"11000","District of Columbia","2","SA30","93","...","    Imputed interest receipts 2/",194437,203680,216925,226601,237782,251709,264638,282318,286103,297930,306333,277539,350144,435042,480058,503022,548613,618028,648782,710979,822978,879998,971684,1031030,1102696,1194631,1246938,1379210,1468772,1559826,1655124,1850676,1836973,1874397,2003680,2096776,2127563,2155292,2119908,2366886,2454170,2517401,2596204,2442975,2382424,2438665,2474740,2733494,2974348,3141901,3378522,3158500,3171932,3335056,3430099,3656810,3765333
