"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"10000","Delaware","2","SA30","10","...","Personal income (thousands of dollars)",1187445,1240584,1302373,1344573,1427126,1528141,1652820,1815568,1910996,2035756,2220336,2445633,2606227,2852424,3133305,3467373,3755784,4049435,4413098,4749267,5211883,5722077,6428975,7076416,7625571,8163545,8995632,9806074,10431043,11269736,12318653,13716907,14403323,15238119,15927657,16547403,17201929,18222617,19495317,20362927,22096770,23258748,25249368,27048901,28114982,28988395,30958274,32598568,35002633,36065926,37404434,37125168,37593546,39540659,41027716,41468429,43391982
"10000","Delaware","2","SA30","45","...","Net earnings by place of residence",883706,924178,965610,989806,1049970,1124012,1221504,1360573,1457569,1548333,1700592,1888135,1993351,2188016,2420212,2684165,2855529,3032128,3310053,3532074,3897996,4246149,4637551,4961189,5323006,5710822,6271962,6836705,7251253,7905757,8638654,9412889,9911246,10375555,10867457,11220474,11707369,12217216,12909680,13560704,14713753,15877903,17069658,18664505,19352494,19895919,21161134,22308031,23568849,23857566,24252340,24137188,24229867,25324957,26209557,26395280,27710575
"10000","Delaware","2","SA30","50","...","Personal current transfer receipts",51543,51952,54355,64936,66930,69511,74304,79565,88350,108410,126742,138681,164910,194115,215069,248323,303169,408019,438775,477489,500058,573205,695418,782286,830983,885591,949247,997921,1079644,1124853,1236874,1341503,1440916,1674121,1822292,1947987,2069864,2261932,2507216,2534785,2699493,2814358,3070488,3367176,3626162,3894195,4193218,4519136,4894146,5305819,6123211,6649532,7221446,7546902,7733096,8107644,8426519
"10000","Delaware","2","SA30","60","...","  Income maintenance benefits 1/",4858,4777,4689,5152,5147,5423,6645,7312,8264,10389,12387,13746,17128,21647,22644,20781,28109,42687,48381,51078,52185,63483,80950,86609,82523,82622,82871,79112,77832,75202,82472,90530,103804,122117,148749,161010,171969,193205,206645,205257,208699,216299,224186,233082,258097,286616,306162,346846,377583,402595,408523,491696,563334,620242,647803,670250,667667
"10000","Delaware","2","SA30","70","...","  Unemployment insurance compensation",11562,8232,7621,12414,9178,7371,7742,5410,6067,7661,6558,6928,11390,15108,14233,11416,25905,62519,55573,58489,34090,32978,59156,57986,46569,35822,31315,24298,45043,24976,41517,35430,41051,74370,100171,85535,62429,63599,98678,63892,65519,58920,70765,90257,141800,159878,117319,105545,102266,112459,156614,316435,329260,263111,212911,170239,95941
"10000","Delaware","2","SA30","80","...","  Retirement and other",35123,38943,42045,47370,52605,56717,59917,66843,74019,90360,107797,118007,136392,157360,178192,216126,249155,302813,334821,367922,413783,476744,555312,637691,701891,767147,835061,894511,956769,1024675,1112885,1215543,1296061,1477634,1573372,1701442,1835466,2005128,2201893,2265636,2425275,2539139,2775537,3043837,3226265,3447701,3769737,4066745,4414297,4790765,5558074,5841401,6328852,6663549,6872382,7267155,7662911
"10000","Delaware","2","SA30","90","...","Dividends, interest, and rent",252196,264454,282408,289831,310226,334618,357012,375430,365077,379013,393002,418817,447966,470293,498024,534885,597086,609288,664270,739704,813829,902723,1096006,1332941,1471582,1567132,1774423,1971448,2100146,2239126,2443125,2962515,3051161,3188443,3237908,3378942,3424696,3743469,4078421,4267438,4683524,4566487,5109222,5017220,5136326,5198281,5603922,5771401,6539638,6902541,7028883,6338448,6142233,6668800,7085063,6965505,7254888
"10000","Delaware","2","SA30","91","...","  Personal dividend income",145158,151558,159724,160736,173766,186909,200266,201917,184455,173107,197655,195351,185430,181285,185172,188233,191549,158471,192791,224034,237978,255761,269340,294497,313391,328576,364684,392611,416880,432410,482438,605024,659131,711303,726931,772239,842444,876758,1066527,1169072,1230768,1148075,1322039,1251033,1494043,1601537,2039006,1980167,2243116,2341994,2204043,1461622,1391559,1656738,1938660,1770623,1834003
"10000","Delaware","2","SA30","92","...","  Personal interest income",69174,72120,79681,83956,89581,98453,107093,120800,128951,149310,142990,174063,209904,233442,258318,297113,354956,402645,428944,485511,544412,617956,794225,999258,1124578,1197056,1368249,1528326,1653041,1779081,1913070,2310742,2329498,2370318,2351236,2369562,2282579,2530331,2621907,2699470,2997465,2916783,3263265,3197119,3008048,2917584,2797636,3090730,3688670,4054947,4093616,3862872,3443788,3457441,3476655,3436089,3503378
"10000","Delaware","2","SA30","93","...","    Imputed interest receipts 2/",37424,41209,46105,50439,53196,54804,59900,60719,63827,68977,74576,82385,104136,117042,130978,144206,169094,208216,217314,239503,270745,285125,341537,391710,468824,572383,616771,724032,809819,912449,972038,1100382,1139745,1212479,1274541,1346232,1327682,1463551,1502576,1592306,1655902,1676776,1817138,1769015,1803869,1805543,1871825,1896112,2119149,2247530,2383976,2447112,2341117,2346418,2321924,2388922,2415472
"10000","Delaware","2","SA30","94","...","    Monetary interest receipts",31750,30911,33576,33517,36385,43649,47193,60081,65124,80333,68414,91678,105768,116400,127340,152907,185862,194429,211630,246008,273667,332831,452688,607548,655754,624673,751478,804294,843222,866632,941032,1210360,1189753,1157839,1076695,1023330,954897,1066780,1119331,1107164,1341563,1240007,1446127,1428104,1204179,1112041,925811,1194618,1569521,1807417,1709640,1415760,1102671,1111023,1154731,1047167,1087906
