"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"93000","Great Lakes","3","SA30","10","...","Personal income (thousands of dollars)",80490362,85719800,89057472,91255939,96745163,101264358,108845257,118836426,129264268,135967661,148308674,161928782,170494196,183426586,200394486,223874628,243199998,262731562,288823117,320538980,355697068,391884653,424667539,463297006,484667635,510529363,563598206,598790765,631279472,663817850,711154163,765358368,808452883,828074860,889435929,929374734,985774043,1038939784,1096974637,1158529116,1230225025,1280250944,1363016535,1399057423,1417345283,1453514202,1516177994,1567448389,1653854148,1723628265,1779416567,1713481249,1752729056,1856543819,1932394373,1955680386,2022590080
"93000","Great Lakes","3","SA30","45","...","Net earnings by place of residence",65330901,69949318,72069996,72740627,77212781,80638595,86841462,95055167,103696857,107954208,117584806,128933552,133148093,141774135,154981778,172407962,183442114,192576216,213969359,239792650,267211488,292163382,302206959,319521182,321894196,336498622,375530486,401356634,425089150,452863219,488093484,520805770,547722378,558858692,603178943,631229289,670669716,701594404,739865312,783537651,836539427,884406054,939899571,963033781,978499682,1004411550,1051226694,1077704126,1123799683,1152205322,1166966131,1105859425,1127174270,1201451063,1248751110,1266078873,1308071301
"93000","Great Lakes","3","SA30","50","...","Personal current transfer receipts",5059127,4942733,5257354,6130037,6153995,6343326,6474352,6934821,7529152,9009227,10412818,11333827,13547941,16102442,17972387,20937760,24931924,32031092,34248300,35769313,38441616,43464506,54603289,60702832,68113287,72769269,74532261,78253386,81934306,84183326,87913853,94311435,103058071,112266554,123996493,130312869,134363440,141655870,148181713,153085175,155539385,161659304,171229479,187929548,199593142,208378941,217171745,233492485,245552320,265438726,299025879,332647051,355969558,353217302,353587273,362127361,375099905
"93000","Great Lakes","3","SA30","60","...","  Income maintenance benefits 1/",504362,536620,535900,607122,634906,613323,613707,625571,635183,716717,819544,961031,1386802,1970930,2361544,2636324,3211968,3936339,4427485,4398048,4443078,4935418,6333329,7213543,7441647,8262434,8605180,8887800,9218898,9159956,9563434,10065385,11036741,12093836,13256609,13990415,14570695,14986121,14953742,15444369,15041893,15317280,15763175,16354437,17829116,19327315,20966528,23363319,24555227,26666659,29347306,34615924,38575429,39126522,39378549,39512987,38951669
"93000","Great Lakes","3","SA30","70","...","  Unemployment insurance compensation",1144709,577991,652820,1024174,625825,528612,425829,313667,278379,385687,372988,359686,803690,1111427,1027782,669720,1320020,3885648,3330038,2697785,2052539,2458448,6633539,5256317,7385947,6921090,3412968,3267351,3133356,3081689,2800968,2913502,3404055,4935724,6361223,5447690,3641945,3484764,3871845,3586371,3443787,3442549,3704201,6158714,9263936,9514403,7136162,6343135,6372858,6659131,9815821,24689260,23557291,16749626,12395724,9505159,5282313
"93000","Great Lakes","3","SA30","80","...","  Retirement and other",3410056,3828122,4068634,4498741,4893264,5201391,5434816,5995583,6615590,7906823,9220286,10013110,11357449,13020085,14583061,17631716,20399936,24209105,26490777,28673480,31945999,36070640,41636421,48232972,53285693,57585745,62514113,66098235,69582052,71941681,75549451,81332548,88617275,95236994,104378661,110874764,116150800,123184985,129356126,134054435,137053705,142899475,151762103,165416397,172500090,179537223,189069055,203786031,214624235,232112936,259862752,273341867,293836838,297341154,301813000,313109215,330865923
"93000","Great Lakes","3","SA30","90","...","Dividends, interest, and rent",10100334,10827749,11730122,12385275,13378387,14282437,15529443,16846438,18038259,19004226,20311050,21661403,23798162,25550009,27440321,30528906,34825960,38124254,40605458,44977017,50043964,56256765,67857291,83072992,94660152,101261472,113535459,119180745,124256016,126771305,135146826,150241163,157672434,156949614,162260493,167832576,180740887,195689510,208927612,221906290,238146213,234185586,251887485,248094094,239252459,240723711,247779555,256251778,284502145,305984217,313424557,274974773,269585228,301875454,330055990,327474152,339418874
"93000","Great Lakes","3","SA30","91","...","  Personal dividend income",2142371,2311506,2504372,2647995,2897322,3107518,3514065,3898325,4037861,4140631,4553769,4588799,4559761,4660937,4957754,5544103,6167801,6026138,7152301,8238186,9239113,10350880,11085198,12390831,12731363,14107857,15357789,16519971,18066296,19335622,22525366,27735104,29800906,31566527,33134092,35755099,41455242,45643276,53278408,58637983,61955422,58725626,62685196,58720283,63193080,66589536,83709406,82609748,100236342,110972248,109848241,75994810,76338671,95179100,115133731,111770417,115416271
"93000","Great Lakes","3","SA30","92","...","  Personal interest income",4683664,5099166,5650050,6019773,6603414,7163089,8026303,8839272,9830911,10681426,11648049,13222795,15261992,16703888,18130162,20556380,24322758,27881080,29653291,33834725,37793092,43032497,53520183,66763232,78129225,83260684,94262757,98569434,103231173,104652544,109120370,119091460,123570845,119667776,120550994,119136162,120336464,129207121,133359942,139714044,150420268,148044260,161524952,158915461,145006477,140869596,129580397,142706381,157949437,172672236,172933894,159177326,144544750,148073926,151625762,148726033,151313421
"93000","Great Lakes","3","SA30","93","...","    Imputed interest receipts 2/",2075959,2278461,2502070,2705183,2879589,3035768,3379937,3672608,4059029,4405562,4821555,5555884,6622757,7392794,8122096,8856033,10384206,13166079,13611294,15120425,16952320,17626254,20888253,23967083,28736689,35860384,38136255,43328350,47496481,51020776,52907593,55587452,58542509,60109703,64065302,66527536,67852786,72805090,74257091,79756073,80612210,82174527,87136519,84376646,83718441,83634839,83881724,84007048,87717529,92359531,97867043,98718704,95760738,97037248,96804281,99032075,99707600
