"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"15000","Hawaii","8","SA30","10","...","Personal income (thousands of dollars)",1296804,1436756,1624793,1761303,1885302,2013717,2191059,2406434,2611648,2831058,3181535,3646550,4229452,4589275,5053789,5594397,6365247,6935988,7463349,8075045,8963468,10050552,11460741,12391045,13076982,14419849,15454096,16453428,17468188,18623163,20461349,22865408,24931086,26366349,28424752,29472164,30121287,30776621,30785523,31791726,32276378,33252800,35107972,36346822,38046865,39848922,43084829,46110790,49616959,52658521,55477851,55340365,56732435,59179393,61983952,62437294,65347949
"15000","Hawaii","8","SA30","45","...","Net earnings by place of residence",1067043,1180696,1308592,1402140,1490277,1592989,1733277,1894812,2060566,2208982,2507538,2863051,3264215,3479175,3808414,4174612,4729429,5055094,5429014,5891028,6478506,7257304,8233827,8629588,9205661,9971385,10556547,11235217,12009568,12974731,14388658,15968757,17622325,18673394,19939730,20413628,20570764,20580552,20543287,21147479,21314761,21986011,23241655,24194376,25724886,27364398,29480134,31439967,33290542,34673204,35638934,35126616,35654564,37666872,39556001,39677101,41319415
"15000","Hawaii","8","SA30","50","...","Personal current transfer receipts",42027,45651,48062,58700,67049,69720,70279,81136,95099,120576,139898,159844,206557,270214,322520,369707,444414,577340,675267,708266,760581,839867,964953,1134149,1229215,1351330,1425165,1510726,1574075,1629448,1746431,1937022,2097788,2304017,2675514,2930443,3172009,3587117,3679587,3693737,3766251,3922182,4130169,4450134,4804901,4962791,5291453,5702154,6012830,6600400,7693206,8259829,9258852,9638999,9511657,9839073,10466930
"15000","Hawaii","8","SA30","60","...","  Income maintenance benefits 1/",6570,7041,6798,6966,7681,7884,8121,9344,12347,15616,18641,22674,32983,52280,66411,77268,92140,118681,143219,162579,160976,177788,201973,218676,213746,223419,224901,232835,228407,222761,237972,260713,289627,328461,400954,438536,500509,559216,603859,560576,593748,593628,582390,553920,604056,604238,643467,710024,739621,791070,895114,1044865,1173146,1227690,1243000,1279888,1309725
"15000","Hawaii","8","SA30","70","...","  Unemployment insurance compensation",4558,4134,5194,11278,12978,11789,8978,8636,8983,12338,9064,9052,18901,36180,41762,33426,49428,74989,107659,73241,47767,40126,50817,66452,79400,83552,78100,63736,56845,49194,47533,37656,46437,76035,163429,218518,190142,190469,187241,165544,150520,133446,107461,147804,202489,168100,120559,93154,100405,113597,240894,558166,597424,485118,406359,274094,186366
"15000","Hawaii","8","SA30","80","...","  Retirement and other",30899,34476,36070,40456,46390,50047,53180,63156,73769,92622,112193,128118,154673,181754,214347,259013,302846,383670,424389,472446,551838,621953,712163,849021,936069,1044359,1122164,1214155,1288823,1357493,1460926,1638653,1761724,1899521,2111131,2273389,2481358,2837432,2888487,2967617,3021983,3195108,3440318,3748410,3998356,4190453,4527427,4898976,5172804,5695733,6557198,6656798,7488282,7926191,7862298,8285091,8970839
"15000","Hawaii","8","SA30","90","...","Dividends, interest, and rent",187734,210409,268139,300463,327976,351008,387503,430486,455983,501500,534099,623655,758680,839886,922855,1050078,1191404,1303554,1359068,1475751,1724381,1953381,2261961,2627308,2642106,3097134,3472384,3707485,3884545,4018984,4326260,4959629,5210973,5388938,5809508,6128093,6378514,6608952,6562649,6950510,7195366,7344607,7736148,7702312,7517078,7521733,8313242,8968669,10313587,11384917,12145711,11953920,11819019,11873522,12916294,12921120,13561604
"15000","Hawaii","8","SA30","91","...","  Personal dividend income",31434,34674,48560,49487,49115,51622,59346,69402,71764,82283,75428,83238,86984,92400,101844,116474,132398,135154,151618,166616,194003,223600,249614,286462,253966,321346,351846,363727,402579,434177,508020,652384,714273,766615,783920,814872,910878,989386,1055156,1214764,1148707,1218731,1367651,1292991,1422197,1394425,1999240,2135416,2836571,3289002,3354319,2280022,2206830,2306478,2763697,2593161,2695800
"15000","Hawaii","8","SA30","92","...","  Personal interest income",112003,124045,151505,171397,187538,205426,228430,253922,269353,295033,331499,412885,541530,605503,684035,791981,927694,1053532,1103474,1225676,1451217,1650889,1917494,2233777,2289243,2625401,2965925,3166869,3356723,3483362,3689576,4189524,4327814,4380348,4578724,4667690,4676555,4770035,4616314,4721245,4926692,4974857,5229111,5215392,4895964,4840893,4792226,5331748,6121510,6905000,7033781,7417172,6724218,6150685,6428311,6426315,6624355
"15000","Hawaii","8","SA30","93","...","    Imputed interest receipts 2/",82616,92250,109022,123280,135011,149053,164700,178809,182090,194813,215423,264753,360690,397973,449449,508408,581373,681048,707781,774596,914305,966062,1079337,1159774,1275873,1534262,1638771,1827451,1989239,2148420,2255622,2458431,2584868,2713997,2946078,3092462,3133571,3210062,3117339,3274134,3276439,3381128,3480455,3447806,3504890,3571801,3723419,3875298,4210912,4557439,4783906,5231362,5063483,4804420,4940530,5077144,5222719
"15000","Hawaii","8","SA30","94","...","    Monetary interest receipts",29387,31795,42483,48117,52527,56373,63730,75113,87263,100220,116076,148132,180840,207530,234586,283573,346321,372484,395693,451080,536912,684827,838157,1074003,1013370,1091139,1327154,1339418,1367484,1334942,1433954,1731093,1742946,1666351,1632646,1575228,1542984,1559973,1498975,1447111,1650253,1593729,1748656,1767586,1391074,1269092,1068807,1456450,1910598,2347561,2249875,2185810,1660735,1346265,1487781,1349171,1401636
"15000","Hawaii","8","SA30","95","...","  Rental income of persons",44297,51690,68074,79579,91323,93960,99727,107162,114866,124184,127172,127532,130166,141983,136976,141623,131312,114868,103976,83459,79161,78892,94853,107069,98897,150387,154613,176889,125243,101445,128664,117721,168886,241975,446864,645531,791081,849531,891179,1014501,1119967,1151019,1139386,1193929,1198917,1286415,1521776,1501505,1355506,1190915,1757611,2256726,2887971,3416359,3724286,3901644,4241449
"15000","Hawaii","8","SA30","96","...","    Imputed rent",26534,31480,42322,47717,53694,57921,60578,63881,68022,72080,71698,73567,70492,74946,72762,68555,69118,63738,54136,27882,25285,17709,18338,17664,993,-5022,-20612,-42911,-83564,-92323,-55729,-63148,-50328,-19657,78186,235826,344387,388782,477951,491709,596259,683251,703632,716643,732054,826599,1031720,972916,784582,553822,979451,1478943,1981266,2339588,2593059,2773701,3058900
"15000","Hawaii","8","SA30","97","...","    Monetary rent",17763,20210,25752,31862,37629,36039,39149,43281,46844,52104,55474,53965,59674,67037,64214,73068,62194,51130,49840,55577,53876,61183,76515,89405,97904,155409,175225,219800,208807,193768,184393,180869,219214,261632,368678,409705,446694,460749,413228,522792,523708,467768,435754,477286,466863,459816,490056,528589,570924,637093,778160,777783,906705,1076771,1131227,1127943,1182549
"15000","Hawaii","8","SA30","100","...","Population (persons) 3/",605000,622000,642000,659000,684000,682000,700000,704000,710000,723000,734000,743000,762920,791580,818104,841851,858121,875052,892335,915749,928816,950050,967710,978195,993780,1012717,1027922,1039698,1051762,1067917,1079827,1094588,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363950,1378251,1392766,1408987,1419561
"15000","Hawaii","8","SA30","110","...","Per capita personal income 4/",2143,2310,2531,2673,2756,2953,3130,3418,3678,3916,4335,4908,5544,5798,6177,6645,7418,7926,8364,8818,9650,10579,11843,12667,13159,14239,15034,15825,16608,17439,18949,20890,22390,23194,24533,25129,25365,25715,25575,26239,26560,27475,28931,29648,30693,31850,33830,35669,37883,40024,41643,41093,41594,42938,44504,44314,46034
"15000","Hawaii","8","SA30","120","...","Per capita net earnings 4/",1764,1898,2038,2128,2179,2336,2476,2691,2902,3055,3416,3853,4279,4395,4655,4959,5511,5777,6084,6433,6975,7639,8509,8822,9263,9846,10270,10806,11419,12150,13325,14589,15826,16427,17210,17405,17322,17196,17066,17454,17540,18166,19152,19735,20752,21871,23148,24321,25418,26354,26752,26083,26141,27329,28401,28160,29107
"15000","Hawaii","8","SA30","130","...","Per capita personal current transfer receipts 4/",69,73,75,89,98,102,100,115,134,167,191,215,271,341,394,439,518,660,757,773,819,884,997,1159,1237,1334,1386,1453,1497,1526,1617,1770,1884,2027,2309,2499,2671,2997,3057,3049,3099,3241,3403,3630,3876,3967,4155,4411,4591,5017,5775,6133,6788,6994,6829,6983,7373
"15000","Hawaii","8","SA30","140","...","  Per capita income maintenance benefits 4/",11,11,11,11,11,12,12,13,17,22,25,31,43,66,81,92,107,136,160,178,173,187,209,224,215,221,219,224,217,209,220,238,260,289,346,374,421,467,502,463,489,490,480,452,487,483,505,549,565,601,672,776,860,891,892,908,923
"15000","Hawaii","8","SA30","150","...","  Per capita unemployment insurance compensation 4/",8,7,8,17,19,17,13,12,13,17,12,12,25,46,51,40,58,86,121,80,51,42,53,68,80,83,76,61,54,46,44,34,42,67,141,186,160,159,156,137,124,110,89,121,163,134,95,72,77,86,181,414,438,352,292,195,131
"15000","Hawaii","8","SA30","160","...","  Per capita retirement and other 4/",51,55,56,61,68,73,76,90,104,128,153,172,203,230,262,308,353,438,476,516,594,655,736,868,942,1031,1092,1168,1225,1271,1353,1497,1582,1671,1822,1938,2090,2371,2400,2449,2487,2640,2835,3058,3225,3349,3555,3790,3950,4329,4922,4943,5490,5751,5645,5880,6319
"15000","Hawaii","8","SA30","170","...","Per capita dividends, interest, and rent 4/",310,338,418,456,479,515,554,611,642,694,728,839,994,1061,1128,1247,1388,1490,1523,1612,1857,2056,2337,2686,2659,3058,3378,3566,3693,3763,4006,4531,4680,4741,5014,5225,5371,5522,5452,5736,5921,6068,6375,6283,6064,6012,6528,6938,7875,8653,9117,8876,8665,8615,9274,9171,9553
"15000","Hawaii","8","SA30","171","...","  Per capita dividends 4/",52,56,76,75,72,76,85,99,101,114,103,112,114,117,124,138,154,154,170,182,209,235,258,293,256,317,342,350,383,407,470,596,641,674,677,695,767,827,877,1003,945,1007,1127,1055,1147,1115,1570,1652,2166,2500,2518,1693,1618,1673,1984,1840,1899
"15000","Hawaii","8","SA30","172","...","  Per capita interest 4/",185,199,236,260,274,301,326,361,379,408,452,556,710,765,836,941,1081,1204,1237,1338,1562,1738,1981,2284,2304,2592,2885,3046,3192,3262,3417,3827,3887,3853,3952,3980,3938,3985,3835,3897,4054,4110,4309,4254,3950,3869,3763,4124,4674,5248,5280,5508,4930,4463,4615,4561,4666
"15000","Hawaii","8","SA30","173","...","  Per capita rent 4/",73,83,106,121,134,138,142,152,162,172,173,172,171,179,167,168,153,131,117,91,85,83,98,109,100,148,150,170,119,95,119,108,152,213,386,550,666,710,740,837,922,951,939,974,967,1028,1195,1162,1035,905,1319,1676,2117,2479,2674,2769,2988
"15000","Hawaii","8","SA30","180","...","Earnings by place of work",1107350,1225739,1360925,1459175,1551145,1668775,1815539,1980291,2174077,2340330,2660721,3045387,3475403,3714822,4081960,4522831,5129371,5497282,5912709,6413305,7075871,7957756,9011121,9525770,10151681,11007669,11691846,12472421,13360465,14451244,16084480,17855721,19800335,21018369,22433707,22956594,23158692,23166196,23133098,23777542,23986091,24726119,26130858,27242187,28981469,30867895,33159850,35388335,37538929,39113806,40168500,39600173,40371088,42163800,44201614,45085927,46743776
"15000","Hawaii","8","SA30","190","...","  Wages and salaries",846735,951104,1076199,1157992,1230951,1320406,1440726,1574843,1730399,1868210,2118668,2427859,2778630,2935296,3188460,3551052,3890840,4240611,4533106,4874342,5422253,6010042,6683532,7182294,7605755,8084545,8593972,9159852,9763673,10666456,11767357,12997873,14404760,15296012,16257213,16515923,16666378,16680133,16718142,17215868,17621036,18185436,19173030,19831092,20873712,22012166,23663967,25181893,26866956,28382601,29184559,28530057,28625913,29489238,30684867,31515009,32856301
"15000","Hawaii","8","SA30","200","...","  Supplements to wages and salaries",135165,139880,144710,160173,172092,196260,217979,243978,269479,291001,335021,382997,452420,513970,583789,657633,726988,860972,931977,1020121,1145779,1290414,1466726,1638694,1789639,1966026,2157595,2310199,2498862,2610601,2843362,3156525,3477023,3777416,4164193,4237568,4299376,4190753,4044329,4061078,4120310,4238715,4500782,4803998,5286517,5948354,6357591,6876945,7028136,7405996,7687143,7607123,8167366,8935017,9115941,9388349,9493856
"15000","Hawaii","8","SA30","201","...","    Employer contributions for employee pension and insurance funds 5/",113336,115049,116180,129258,139103,155054,171960,196785,209573,222121,253158,280980,332484,378923,424712,459040,500620,607453,650603,719827,804714,891267,1028204,1140632,1272834,1394279,1521624,1635919,1769920,1821866,1946911,2173654,2342980,2559788,2855147,2909168,2963009,2877915,2736380,2735531,2792917,2885389,3070357,3297837,3668146,4177044,4535420,4923129,4924380,5244177,5510750,5448550,5788090,6351990,6435643,6560046,6783172
"15000","Hawaii","8","SA30","202","...","    Employer contributions for government social insurance",21829,24831,28530,30915,32989,41206,46019,47193,59906,68880,81863,102017,119936,135047,159077,198593,226368,253519,281374,300294,341065,399147,438522,498062,516805,571747,635971,674280,728942,788735,896451,982871,1134043,1217628,1309046,1328400,1336367,1312838,1307949,1325547,1327393,1353326,1430425,1506161,1618371,1771310,1822171,1953816,2103756,2161819,2176393,2158573,2379276,2583027,2680298,2828303,2710684
"15000","Hawaii","8","SA30","210","...","  Proprietors' income",125450,134755,140016,141010,148102,152109,156834,161470,174199,181119,207032,234531,244353,265556,309711,314146,511543,395699,447626,518842,507839,657300,860863,704782,756287,957098,940279,1002370,1097930,1174187,1473761,1701323,1918552,1944941,2012301,2203103,2192938,2295310,2370627,2500596,2244745,2301968,2457046,2607097,2821240,2907375,3138292,3329497,3643837,3325209,3296798,3462993,3577809,3739545,4400806,4182569,4393619
"15000","Hawaii","8","SA30","220","...","    Farm proprietors' income",11600,13044,19318,12204,13621,16604,13541,13644,13474,11345,30191,31319,33623,39154,39758,27942,213647,68937,33230,38373,30590,47082,225717,59212,72468,180854,72407,50904,93327,74114,67236,50684,63500,36606,20718,21205,16031,24652,19866,36106,38283,43843,40387,39138,49891,51775,43780,64496,68269,52113,-25111,-14294,-23220,-18671,-37463,-15959,-8212
"15000","Hawaii","8","SA30","230","...","    Nonfarm proprietors' income",113850,121711,120698,128806,134481,135505,143293,147826,160725,169774,176841,203212,210730,226402,269953,286204,297896,326762,414396,480469,477249,610218,635146,645570,683819,776244,867872,951466,1004603,1100073,1406525,1650639,1855052,1908335,1991583,2181898,2176907,2270658,2350761,2464490,2206462,2258125,2416659,2567959,2771349,2855600,3094512,3265001,3575568,3273096,3321909,3477287,3601029,3758216,4438269,4198528,4401831
"15000","Hawaii","8","SA30","240","...","Total employment (number of jobs)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",415912,433555,436830,452960,473087,485226,499203,504799,509265,527519,556339,574555,567762,566510,576830,582402,597946,611862,642686,668691,696362,724262,745447,746137,741780,736771,734039,733396,733761,738304,737193,752662,756549,761948,778184,802419,826725,849035,872496,867618,839928,832877,844313,858289,877229,890346
"15000","Hawaii","8","SA30","250","...","  Wage and salary employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",368900,385181,389108,400094,418518,425912,434443,440767,448947,469403,488281,498755,496535,491843,501857,508739,521605,531289,554533,570377,597113,618833,629443,634001,625580,618941,611684,607850,607070,606429,607879,624169,628021,631241,642743,658782,675167,691638,700035,695147,667763,661830,669911,681247,693974,704326
"15000","Hawaii","8","SA30","260","...","  Proprietors employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",47012,48374,47722,52866,54569,59314,64760,64032,60318,58116,68058,75800,71227,74667,74973,73663,76341,80573,88153,98314,99249,105429,116004,112136,116200,117830,122355,125546,126691,131875,129314,128493,128528,130707,135441,143637,151558,157397,172461,172471,172165,171047,174402,177042,183255,186020
"15000","Hawaii","8","SA30","270","...","    Farm proprietors employment 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3876,3792,3616,3431,3595,3590,3634,3741,3865,4058,4060,4063,4151,4250,4550,4615,4627,4589,4562,4507,4524,4542,4510,4596,4947,4988,4980,5009,5119,5297,5274,5258,5236,4795,4719,4604,4605,4513,6154,6006,5903,5848,5776,5658,5693,5695
"15000","Hawaii","8","SA30","280","...","    Nonfarm proprietors employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",43136,44582,44106,49435,50974,55724,61126,60291,56453,54058,63998,71737,67076,70417,70423,69048,71714,75984,83591,93807,94725,100887,111494,107540,111253,112842,117375,120537,121572,126578,124040,123235,123292,125912,130722,139033,146953,152884,166307,166465,166262,165199,168626,171384,177562,180325
"15000","Hawaii","8","SA30","290","...","Average earnings per job (dollars)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7322,8016,8504,9012,9560,10571,11012,11713,12593,13413,14304,15684,16778,17920,19083,20075,20859,21836,22486,24054,25641,27339,28196,30066,30948,31433,31560,31542,32405,32488,33541,34718,36008,38036,39667,41325,42805,44214,44830,46297,47147,48472,49939,51500,51396,52501
"15000","Hawaii","8","SA30","300","...","  Average wages and salaries","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6581,7214,7544,7969,8485,9135,9761,10285,10857,11551,12309,13400,14465,15464,16109,16893,17561,18377,19235,20631,21768,23277,24301,25642,26401,26927,27269,27504,28359,29057,29916,30718,31577,33068,34247,35921,37297,38845,40545,41983,42725,43253,44020,45042,45412,46649
"15000","Hawaii","8","SA30","310","...","  Average nonfarm proprietors' income","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4711,4727,5133,5461,5615,5346,5346,6873,8511,8828,9535,8854,9624,9711,11023,12569,13268,13221,13160,14994,17426,18387,17116,18519,19612,19292,19345,19502,20272,17432,18205,19610,20828,22010,21845,22257,22218,23387,19681,19956,20915,21798,22287,25897,23645,24411
"Note: See the included footnote file."
"SA30: Economic Profile"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1976-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
