"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"16000","Idaho","7","SA30","10","...","Personal income (thousands of dollars)",1199919,1270179,1300838,1378431,1474754,1508399,1558259,1779102,1803244,1916558,2047057,2370184,2617230,2860176,3266891,3779304,4443190,4778028,5354633,5850825,6737815,7390444,8316840,9171608,9563932,10362783,11083457,11634316,11902464,12490918,13524893,14924453,16159229,16984993,18678773,20486623,21919319,23555311,25056014,26166890,28408448,30266547,32821096,34418598,35419162,36853305,40102203,42583264,46916238,49596069,50408844,48796892,50339512,53126911,55599208,57483763,60040758
"16000","Idaho","7","SA30","45","...","Net earnings by place of residence",962804,1015414,1031836,1084996,1162548,1181518,1219797,1415304,1418527,1495974,1588365,1831364,1992832,2138615,2464884,2843646,3345428,3480389,3915303,4252587,4948447,5326798,5847105,6223390,6190846,6833005,7259025,7551520,7697623,8230979,9017599,9917870,10808787,11292412,12533432,13805679,14705478,15544601,16456170,17082887,18743913,20361413,22257278,23134432,23789974,24390199,26574175,28024383,30704160,32071829,31551148,30338273,31104139,32511548,33481146,34773718,36403362
"16000","Idaho","7","SA30","50","...","Personal current transfer receipts",78103,84813,90127,101817,105725,108958,112042,120155,129105,154909,174264,193654,228696,269207,306344,350738,421478,523680,592519,628411,670353,782597,937417,1074013,1232596,1303498,1349184,1445318,1524840,1569784,1686008,1834090,1978472,2214385,2477921,2666717,2829042,3114066,3329547,3455236,3598451,3823132,4144677,4634890,5019168,5336406,5716217,6174580,6704949,7277697,8477302,9318070,10240704,10297453,10441054,10781876,11208827
"16000","Idaho","7","SA30","60","...","  Income maintenance benefits 1/",10035,10152,10159,10260,10218,10090,9869,9888,9984,11855,12335,13504,17796,20006,25605,22184,32521,41764,47531,50402,50196,65002,89777,94605,96315,101123,100168,104090,107292,107987,116820,126603,138672,160476,194884,214686,234298,266703,285672,287828,281065,303524,307780,321592,375203,435351,481401,541854,558741,625985,700448,874768,1016764,1088753,1068103,1075438,1041847
"16000","Idaho","7","SA30","70","...","  Unemployment insurance compensation",11633,10721,11456,15197,12025,10859,9687,7345,6993,8669,8322,8549,11695,19328,21492,17386,24778,46221,43402,37451,34579,47563,75564,82151,145132,124920,84862,89893,98008,80548,67897,64991,71756,100715,131487,140166,107933,112831,115309,110325,118948,113540,112868,165139,249303,252050,176155,144905,121790,139107,265105,638797,598891,439958,321467,213340,138606
"16000","Idaho","7","SA30","80","...","  Retirement and other",56435,63940,68512,76360,83482,88009,92486,102922,112128,134385,153607,171601,199205,229873,259247,311168,364179,435695,501586,540558,585578,670032,772076,897257,991149,1077455,1164154,1251335,1319540,1381249,1501291,1642496,1768044,1953194,2151550,2311865,2486811,2734532,2928566,3057083,3198438,3406068,3724029,4148159,4394662,4649005,5058661,5487821,6024418,6512605,7511749,7804505,8625049,8768742,9051484,9493098,10028374
"16000","Idaho","7","SA30","90","...","Dividends, interest, and rent",159012,169952,178875,191618,206481,217923,226420,243643,255612,265675,284428,345166,395702,452354,495663,584920,676284,773959,846811,969827,1119015,1281049,1532318,1874205,2140490,2226280,2475248,2637478,2680001,2690155,2821286,3172493,3371970,3478196,3667420,4014227,4384799,4896644,5270297,5628767,6066084,6082002,6419141,6649276,6610020,7126700,7811811,8384301,9507129,10246543,10380394,9140549,8994669,10317910,11677008,11928169,12428569
"16000","Idaho","7","SA30","91","...","  Personal dividend income",19516,22769,24915,29466,30547,32529,32017,42805,46812,55007,37465,39237,40598,42960,47112,58083,70337,76856,91590,106754,125301,144931,163858,191637,212546,213633,238780,269953,288507,321305,389181,500117,560123,625105,683561,776813,939298,1062231,1225735,1369700,1513076,1480257,1590396,1527483,1659963,2032829,2709569,2960296,3696580,3997196,3704879,2442537,2472003,3300105,4017152,4064314,4211915
"16000","Idaho","7","SA30","92","...","  Personal interest income",85221,85373,91257,99416,111222,118268,127913,134822,143504,146172,183434,226870,274283,308378,344420,405542,491775,588961,654106,775741,901123,1047003,1253804,1530969,1757577,1886219,2103781,2231171,2286297,2268803,2313732,2548296,2661377,2654375,2720519,2822306,2965921,3283734,3401923,3602797,3833227,3825410,4008696,4195841,3976919,4061992,4066512,4367390,4817530,5341578,5455527,5122527,4662806,4835287,5277362,5224323,5361114
"16000","Idaho","7","SA30","93","...","    Imputed interest receipts 2/",34525,38881,43367,48127,52624,55948,60651,65454,68492,73030,79942,101939,128556,147560,168268,190442,227956,295665,318768,367084,429046,454939,518797,583539,691214,856958,897528,1025216,1095101,1153528,1181874,1257263,1335116,1415076,1536984,1661990,1758395,1937264,1991632,2163808,2185984,2253738,2319190,2372266,2422988,2533598,2720882,2698859,2830177,3017001,3212375,3278024,3183766,3259877,3427807,3543759,3611787
