"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"20000","Kansas","4","SA30","10","...","Personal income (thousands of dollars)",4595649,4641036,4825331,5040132,5243522,5364757,5649656,6024626,6456148,6760353,7364230,8202984,8896540,9656780,10766270,12261400,13263391,14514643,15745402,17173852,19009450,21699966,23851556,27024244,29305092,30569508,33478357,35289105,36988079,38669638,40681838,42989167,45671041,47310950,51020010,53382924,55822198,58154336,61972792,65844794,70273573,72968125,77426707,80493997,81028800,83791476,87496298,91919656,99430778,106123669,114950348,110160907,112171065,121695359,126189704,128314517,130364095
"20000","Kansas","4","SA30","45","...","Net earnings by place of residence",3643949,3631252,3754845,3909491,4072906,4151461,4376529,4660450,5036251,5238990,5696846,6280254,6703824,7223154,8114191,9232036,9734868,10398111,11307368,12295130,13585538,15625451,16467741,18080902,18899506,19611151,21740734,22785541,24087918,25583792,26851623,28256512,30074249,30854181,33650719,35274372,36870265,38118550,40902150,43479380,46659957,49310235,51950338,54351735,54731668,57087860,60113609,62994673,66522124,69993090,74804386,71747776,73847879,79837121,82249132,84479104,85029490
"20000","Kansas","4","SA30","50","...","Personal current transfer receipts",257995,279991,302063,334503,345010,365883,378804,412768,443698,531740,616257,688973,803260,915885,984567,1151429,1323781,1613327,1783479,1929490,2104404,2320870,2761073,3180916,3569006,3804406,3922048,4135547,4339836,4462036,4681762,5141523,5581902,6063751,6722900,7121665,7356700,7752389,8014460,8409892,8544227,8902161,9650835,10549298,11203835,11709430,12040554,12682434,13635775,14667271,16557390,18019784,19173099,19630001,19373733,19618796,20277276
"20000","Kansas","4","SA30","60","...","  Income maintenance benefits 1/",37232,38222,39087,40128,39783,40933,41103,42332,43931,49048,49848,54484,65322,74902,73281,77643,88598,111558,135420,145524,136053,151497,202698,220924,230306,251363,244761,245491,265795,271086,300018,333896,362166,411814,492356,534907,562590,608164,633276,644909,602064,658271,655284,672410,744987,1092442,1066777,1040745,1081104,1365423,1465067,1683784,1881814,1982208,1941481,1947450,1887256
"20000","Kansas","4","SA30","70","...","  Unemployment insurance compensation",24191,19598,25724,30107,20731,20368,19061,17293,10878,12624,12236,16864,38693,46628,32717,23839,39001,84340,80180,80613,63632,67516,138976,129693,232493,216004,121645,141787,172607,169284,144282,152525,151207,193458,274947,267345,192341,156766,155609,143489,132572,156059,177472,246637,414472,522150,332043,273455,237989,253230,382748,1111711,1145295,832836,638554,449768,296168
"20000","Kansas","4","SA30","80","...","  Retirement and other",196572,222171,237252,264268,284496,304582,318640,353143,388889,470068,554173,617625,699245,794355,878569,1049947,1196182,1417429,1567879,1703353,1904719,2101857,2419399,2830299,3106207,3337039,3555642,3748269,3901434,4021666,4237462,4655102,5068529,5458479,5955597,6319413,6601769,6987459,7225575,7621494,7809591,8087831,8818079,9630251,10044376,10094838,10641734,11368234,12316682,13048618,14709575,15224289,16145990,16814957,16793698,17221578,18093852
"20000","Kansas","4","SA30","90","...","Dividends, interest, and rent",693705,729793,768423,796138,825606,847413,894323,951408,976199,989623,1051127,1233757,1389456,1517741,1667512,1877935,2204742,2503205,2654555,2949232,3319508,3753645,4622742,5762426,6836580,7153951,7815575,8368017,8560325,8623810,9148453,9591132,10014890,10393018,10646391,10986887,11595233,12283397,13056182,13955522,15069389,14755729,15825534,15592964,15093297,14994186,15342135,16242549,19272879,21463308,23588572,20393347,19150087,22228237,24566839,24216617,25057329
"20000","Kansas","4","SA30","91","...","  Personal dividend income",73115,86132,91358,95601,104026,120534,138029,151981,150849,152777,160519,183252,189102,199879,219177,253461,290771,319639,374986,427013,486234,553007,616102,708658,777242,766066,777462,843734,921985,1005162,1251593,1380345,1501934,1693597,1763123,1957019,2245417,2430594,2891644,3333737,3505759,3391750,3682740,3492882,3722428,3936689,4933254,5324422,7110045,8090771,9002920,6127820,5585181,7073229,8565262,8168605,8413412
"20000","Kansas","4","SA30","92","...","  Personal interest income",295431,322275,342459,361808,382198,406945,460417,506911,546104,580026,648119,790032,943687,1043178,1140608,1306588,1555607,1832815,1960686,2249566,2538893,2902724,3648489,4561599,5498300,5941181,6595966,7060404,7362925,7369215,7619274,7938848,8176124,8273040,8344809,8269176,8409377,8876522,9045225,9456773,10280099,9990610,10705885,10465640,9725117,9330681,8606179,9206737,10698949,12044510,12700253,11984880,10720527,11505456,11940043,11766659,12021890
"20000","Kansas","4","SA30","93","...","    Imputed interest receipts 2/",149245,161847,176373,195093,204580,210290,231437,241477,256202,275802,306158,377292,469357,524712,576878,630747,736677,929095,968514,1082634,1225630,1287522,1525259,1746326,2097769,2611158,2719559,3139601,3417307,3617924,3723135,3793603,3964823,4198861,4520349,4718065,4844211,5130201,5172681,5545123,5687103,5745101,6004316,5803632,5831770,5788747,5811317,5734939,6260778,6786275,7436671,7649293,7362149,7754808,7836498,8047498,8160233
