"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"23000","Maine","1","SA30","10","...","Personal income (thousands of dollars)",1747120,1824506,1935513,1961797,2039643,2106111,2274177,2456536,2612437,2741660,2921436,3217148,3530087,3790516,4151378,4663075,5177766,5579554,6378036,6931931,7663100,8517303,9584669,10586283,11464150,12294408,13639159,14708268,15970626,17383822,19127295,20817675,21654835,21995830,23022871,23767774,24763124,25878824,27358122,28858308,30792396,32288023,34619882,36357952,37656606,39589277,41725742,42605863,45028851,46910810,48823635,48644160,49248076,51254592,52597944,52565709,54195046
"23000","Maine","1","SA30","45","...","Net earnings by place of residence",1352835,1413661,1510516,1511945,1565471,1600287,1732587,1867962,1987374,2058934,2213858,2408214,2602941,2745840,2999580,3355273,3654095,3788591,4431516,4796398,5317791,5876337,6453142,6891178,7275556,7871385,8722493,9497262,10372163,11440402,12691842,13694355,14099612,14023746,14670613,15139655,15743972,16183990,16984182,17977785,19337291,20760488,22212659,23359891,24325519,25422781,26868070,27299217,28754534,29415361,29880554,29455997,29872979,30780183,31546274,31563213,32521163
"23000","Maine","1","SA30","50","...","Personal current transfer receipts",141207,147550,151836,166700,172179,180665,183822,192369,210124,248331,278689,311791,370622,438450,490297,583531,703122,899099,977287,1040922,1116535,1261953,1475205,1680987,1842667,1992081,2101166,2222535,2306435,2359652,2506494,2700357,3013892,3470358,3832446,4041518,4229249,4461107,4772329,4993358,5140846,5291388,5621960,6055887,6458625,7029575,7489512,8154929,8355416,8959803,10341710,11222403,11334304,11825050,11770285,12032586,12350559
"23000","Maine","1","SA30","60","...","  Income maintenance benefits 1/",16784,18271,18252,17521,18568,19749,18742,18568,18934,19704,21104,26024,42194,48404,55419,61595,87295,119618,120458,117070,127733,151264,195375,210301,210440,223367,229776,242937,249078,242040,254033,279667,325433,368103,411290,432895,451985,493800,518469,548960,561540,565752,582371,553990,558317,619193,641380,701233,723237,840670,895185,1068426,1181278,1189413,1121791,1102914,1064637
"23000","Maine","1","SA30","70","...","  Unemployment insurance compensation",22573,16704,15385,20277,13041,12356,10843,7613,7281,8418,10294,13399,19971,36060,35306,27621,38521,87095,84584,84840,58149,59548,76272,76277,90943,97503,74469,75403,67038,59917,58860,73428,123236,217713,251166,194944,143862,120845,123432,110974,93878,91229,85916,112111,156192,166444,137145,126199,116652,125476,180893,405718,420311,361371,303498,240389,156653
"23000","Maine","1","SA30","80","...","  Retirement and other",101850,112575,118199,128902,140570,148560,154237,166188,183909,220209,247291,272368,308457,353986,399572,494315,577306,692386,772245,839012,930653,1051141,1203558,1394409,1541284,1671211,1796921,1904195,1990319,2057695,2193601,2347262,2565223,2884542,3169990,3413679,3633402,3846462,4130428,4333424,4485428,4634407,4953673,5389786,5744116,6243938,6710987,7327497,7515527,7993657,9265632,9748259,9732715,10274266,10344996,10689283,11129269
"23000","Maine","1","SA30","90","...","Dividends, interest, and rent",253078,263295,273161,283152,301993,325159,357768,396205,414939,434395,428889,497143,556524,606226,661501,724271,820549,891864,969233,1094611,1228774,1379013,1656322,2014118,2345927,2430942,2815500,2988471,3292028,3583768,3928959,4422963,4541331,4501726,4519812,4586601,4789903,5233727,5601611,5887165,6314259,6236147,6785263,6942174,6872462,7136921,7368160,7151717,7918901,8535646,8601371,7965760,8040793,8649359,9281385,8969910,9323324
"23000","Maine","1","SA30","91","...","  Personal dividend income",80300,80784,77899,77930,88176,98748,111169,128428,128104,133064,114224,123421,127540,134865,148439,159758,172161,165794,198961,228989,254093,283331,307998,346641,412812,412956,462076,474189,516926,543657,609466,755290,763722,805585,839465,906207,1031973,1117267,1342075,1504497,1565011,1489639,1610198,1581158,1719072,1964057,2418783,2155092,2563062,2837389,2739863,1980225,1930131,2292119,2686256,2384613,2463660
"23000","Maine","1","SA30","92","...","  Personal interest income",124612,132474,143536,154735,162556,173618,192078,211196,227636,238956,252859,306666,364639,399617,436477,491664,568661,651277,701960,810677,915818,1037724,1278087,1576001,1829554,1919616,2242875,2409673,2679741,2949519,3194889,3537543,3622231,3496536,3325490,3243674,3252718,3563148,3633050,3757570,4071548,4010101,4450184,4486715,4201912,4154894,3854786,4023793,4519049,4960787,4878036,4668893,4474144,4371976,4456312,4390360,4475692
"23000","Maine","1","SA30","93","...","    Imputed interest receipts 2/",61914,70462,78553,86214,90293,94221,100396,105315,110899,116522,124765,148088,185705,207601,230843,251554,283571,347646,367494,414467,473906,496804,576768,651414,777435,936126,1020725,1169311,1331927,1517880,1628863,1742365,1812711,1850313,1883237,1924923,1942522,2104889,2126013,2254552,2311320,2356272,2530863,2520957,2546050,2594770,2616890,2538717,2680331,2831518,2939734,3034888,3054526,2982181,2964796,3038132,3071221
