"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"29000","Missouri","4","SA30","10","...","Personal income (thousands of dollars)",8838112,9358168,9638361,9967058,10494606,11012792,11632206,12650924,13551906,14416159,15951063,16884221,18437396,19898453,21643396,24037988,25725396,28177729,30858137,34195610,38083133,42467120,46090765,51466552,54991252,58675314,65050681,69635804,73376484,77319358,82003345,87798850,91773727,95972532,102405335,107142686,113502853,119307169,126395827,134265735,141002097,146848802,157090658,162433481,165959167,172773178,181836913,188782927,201038598,211022590,221796452,216420305,219685657,228654880,240440942,243591814,252482438
"29000","Missouri","4","SA30","45","...","Net earnings by place of residence",7058886,7442449,7612092,7811890,8234349,8612873,9093601,9928014,10620176,11228930,12349758,13033360,14027333,15002192,16341149,18025940,18734558,19989114,22081858,24679384,27561216,30565696,31537747,34173028,35211135,37500629,41916751,45182990,47727610,51079010,54327299,57832852,59903024,61473941,65886583,68505273,73024496,76911902,82031109,87273168,91881341,97256403,103779051,107202227,109929922,114253740,121274258,125484244,132191255,136641529,141295976,137376096,138025679,143820045,149005454,151805651,157571283
"29000","Missouri","4","SA30","50","...","Personal current transfer receipts",598296,632791,670600,745117,771004,808375,830344,888066,959935,1120225,1313033,1428238,1692252,1951126,2111898,2449877,2891622,3655260,3904213,4074722,4428429,5008354,6098624,6852316,7470001,8021814,8371913,8829861,9298070,9573932,10108850,10971812,11890446,13894814,14836426,15928018,16700962,17803230,18604896,19308013,19937237,20874693,22297669,24594538,26245597,27414644,28923860,30946041,32916928,35169028,39537512,42855448,45605154,46473912,47041207,48011208,49233345
"29000","Missouri","4","SA30","60","...","  Income maintenance benefits 1/",125835,131899,133526,131497,126339,130199,129453,129541,136640,138186,146367,157095,190703,225181,240903,264594,348186,364020,398129,397435,378877,434709,572814,632984,633217,682896,691398,705963,740231,747131,819304,905063,1020689,1188681,1416718,1524336,1594165,1744432,1847886,1788986,1776534,1867128,1892763,2007390,2200866,2375555,2588871,2786358,2830929,2945251,3193555,3809304,4258705,4363573,4403081,4457127,4357844
"29000","Missouri","4","SA30","70","...","  Unemployment insurance compensation",66540,44921,50895,72813,55483,48858,43513,35725,32526,37842,40093,45057,82056,110548,103346,81921,120384,369417,301481,216934,183535,202026,476742,376099,353817,326344,198908,215956,239603,241983,235226,250199,305838,436625,577060,519738,333932,289782,291503,265480,288363,299906,330436,475210,730023,776449,577365,469249,433097,463344,716191,1840311,1930255,1490495,1106918,779500,454344
"29000","Missouri","4","SA30","80","...","  Retirement and other",405921,455971,486179,540807,589182,629318,657378,722800,790769,944197,1126573,1226086,1419493,1615397,1767649,2103362,2423052,2921823,3204603,3460353,3866017,4371619,5049068,5843233,6482967,7012574,7481607,7907942,8318236,8584818,9054320,9816550,10563919,12269508,12842648,13883944,14772865,15769016,16465507,17253547,17872340,18707659,20074470,22111938,23314708,24262640,25757624,27690434,29652902,31760433,35627766,37205833,39416194,40619844,41531208,42774581,44421157
"29000","Missouri","4","SA30","90","...","Dividends, interest, and rent",1180930,1282928,1355669,1410051,1489253,1591544,1708261,1834844,1971795,2067004,2288272,2422623,2717811,2945135,3190349,3562171,4099216,4533355,4872066,5441504,6093488,6893070,8454394,10441208,12310116,13152871,14762017,15622953,16350804,16666416,17567196,18994186,19980257,20603777,21682326,22709395,23777395,24592037,25759822,27684554,29183519,28717706,31013938,30636716,29783648,31104794,31638795,32352642,35930415,39212033,40962964,36188761,36054824,38360923,44394281,43774955,45677810
"29000","Missouri","4","SA30","91","...","  Personal dividend income",261295,301171,315370,328049,344621,374565,412039,449866,458703,471144,545294,558142,560061,577045,618220,691385,769584,747967,884287,1009495,1126359,1259714,1371198,1548302,1648159,1748030,1887875,2024718,2197042,2364848,2760278,3326021,3502538,3720208,3958217,4259394,4926498,5405464,6164088,6763743,6964321,6408337,6756678,6379013,7150248,8248808,10571112,10454277,12661993,14143913,14325486,9713472,9699867,11488668,14927959,14214385,15007214
"29000","Missouri","4","SA30","92","...","  Personal interest income",543177,593867,652352,681261,732841,786998,880628,960777,1084659,1176736,1323245,1462857,1728959,1918902,2099821,2391239,2843604,3320210,3564984,4095488,4616554,5286401,6690549,8399924,10178568,10965638,12411398,13140010,13831552,13991162,14413778,15270036,15950116,16167575,16690178,17032080,17036593,17249394,17525361,18632342,19637417,19523548,21372890,20977650,19268279,19203480,17270022,18585278,20466917,22647097,23260879,21953543,20792608,20139337,22297210,21944603,22413046
"29000","Missouri","4","SA30","93","...","    Imputed interest receipts 2/",264246,292796,318080,343598,358884,379691,418280,450872,495017,534437,582463,659229,807565,913799,1009005,1099534,1292120,1637703,1712411,1910543,2148040,2241572,2675978,3074826,3719813,4696448,4974852,5734084,6298270,6767225,6956837,7162917,7582579,8055431,8748622,9351265,9473421,9733571,9861728,10741824,10717947,11034776,11765793,11387817,11322316,11529766,11365548,11241904,11725323,12493278,13494011,13823819,13840956,13424906,14223503,14633190,14827680
"29000","Missouri","4","SA30","94","...","    Monetary interest receipts",278931,301071,334272,337663,373957,407307,462348,509905,589642,642299,740782,803628,921394,1005103,1090816,1291705,1551484,1682507,1852573,2184945,2468514,3044829,4014571,5325098,6458755,6269190,7436546,7405926,7533282,7223937,7456941,8107119,8367537,8112144,7941556,7680815,7563172,7515823,7663633,7890518,8919470,8488772,9607097,9589833,7945963,7673714,5904474,7343374,8741594,10153819,9766868,8129724,6951652,6714431,8073707,7311413,7585366
"29000","Missouri","4","SA30","95","...","  Rental income of persons",376458,387890,387947,400741,411791,429981,415594,424201,428433,419124,419733,401624,428791,449188,472308,479547,486028,465178,422795,336521,350575,346955,392647,492982,483389,439203,462744,458225,322210,310406,393140,398129,527603,715994,1033931,1417921,1814304,1937179,2070373,2288469,2581781,2785821,2884370,3280053,3365121,3652506,3797661,3313087,2801505,2421023,3376599,4521746,5562349,6732918,7169112,7615967,8257550
"29000","Missouri","4","SA30","96","...","    Imputed rent",202991,222582,240980,252023,265800,272303,272652,277159,285905,294360,285836,295087,305063,323156,321225,304631,311396,286100,247276,155072,162090,139055,137220,139462,67376,48044,5522,-42973,-121397,-118793,-14739,3663,67422,166809,372993,715308,976194,1082202,1313502,1350827,1610370,1836407,1966801,2303798,2408381,2626960,2820933,2309281,1803994,1324542,2058806,3201471,4002453,4897147,5258293,5712139,6261822
"29000","Missouri","4","SA30","97","...","    Monetary rent",173467,165308,146967,148718,145991,157678,142942,147042,142528,124764,133897,106537,123728,126032,151083,174916,174632,179078,175519,181449,188485,207900,255427,353520,416013,391159,457222,501198,443607,429199,407879,394466,460181,549185,660938,702613,838110,854977,756871,937642,971411,949414,917569,976255,956740,1025546,976728,1003806,997511,1096481,1317793,1320275,1559896,1835771,1910819,1903828,1995728
"29000","Missouri","4","SA30","100","...","Population (persons) 3/",4186000,4258000,4326000,4349000,4357000,4392000,4442000,4467000,4523000,4539000,4568000,4640000,4684768,4722703,4753234,4774601,4785391,4795383,4823554,4845042,4871171,4889327,4921966,4932069,4929456,4943735,4975276,5000260,5023055,5056702,5081737,5095844,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996085,6010544,6025281,6044917,6063589
"29000","Missouri","4","SA30","110","...","Per capita personal income 4/",2111,2198,2228,2292,2409,2507,2619,2832,2996,3176,3492,3639,3936,4213,4553,5035,5376,5876,6397,7058,7818,8686,9364,10435,11156,11869,13075,13926,14608,15290,16137,17230,17894,18560,19629,20326,21317,22183,23271,24496,25536,26402,28015,28794,29245,30261,31636,32603,34408,35842,37441,36306,36638,38042,39905,40297,41639
