"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"28000","Mississippi","5","SA30","10","...","Personal income (thousands of dollars)",2470880,2737371,2774532,3005878,3136382,3445900,3566493,3876351,4229277,4572377,4998486,5534346,6064385,6718511,7653682,8743228,9609803,10424635,11820319,13153529,14647559,16553596,17998291,20205005,21340298,22336974,24400947,25725576,26678772,28202012,30162096,32651634,34267522,36072135,38903231,41442376,44847540,47381736,50290838,53121279,56302246,58246931,61473782,65065328,66244657,68785859,72966767,77861301,81484402,86511198,90505194,89320552,91450836,95239261,98920649,100625620,103090592
"28000","Mississippi","5","SA30","45","...","Net earnings by place of residence",2009427,2223522,2227151,2388439,2478931,2739627,2839368,3101953,3398427,3632532,3974652,4326132,4619116,5074443,5815673,6621082,7056488,7410579,8554637,9597719,10648965,11989440,12428986,13586787,14004336,14423201,15944888,16721739,17274730,18525613,19836933,20996694,22127530,23158681,25035248,26787760,29171769,30426961,32169420,34020628,36344988,38066697,39771513,41649713,42158245,44315328,47533135,49674384,51554916,53375043,55201000,53573853,54365468,56297032,59279120,60356245,61509400
"28000","Mississippi","5","SA30","50","...","Personal current transfer receipts",204137,219216,232617,262020,272801,290098,302673,327565,360165,431471,488870,551666,688965,814011,918158,1064986,1312357,1631051,1785744,1909639,2099714,2396354,2879276,3263189,3588121,3950584,4085484,4279901,4534638,4720871,5028792,5495082,5962244,6707827,7514877,8011673,8499547,9290847,9958771,10334208,10419152,10731223,11525944,12867204,13809405,14441464,15524461,17436747,17606546,18372542,20799930,22220962,24061487,24917490,24913509,25526016,26367327
"28000","Mississippi","5","SA30","60","...","  Income maintenance benefits 1/",43143,44419,48143,50278,48104,50358,54311,54985,59160,72028,72573,83253,135704,162678,176639,180137,259410,286181,316922,314349,327424,416955,515010,566756,567612,618783,628142,647706,683515,714663,795283,856460,931531,1033793,1224014,1276921,1322506,1430133,1512326,1532636,1517832,1467872,1503298,1600406,1729130,1861757,1950916,2665758,2140865,2268436,2405717,2848160,3118711,3249256,3329887,3336088,3310078
"28000","Mississippi","5","SA30","70","...","  Unemployment insurance compensation",20089,15796,17172,23793,15239,14684,13056,9157,7016,9271,8952,10117,15085,19905,16712,14735,23783,92077,67698,59356,49349,61342,115028,116928,193339,223355,136509,130417,141902,119185,97959,105298,116175,151887,224941,179774,117192,125311,146923,127795,118016,116269,127720,192018,271012,269076,191224,229028,187023,163253,247439,620572,637883,504691,415781,329224,168526
"28000","Mississippi","5","SA30","80","...","  Retirement and other",140905,159001,167302,187949,209458,225056,235306,263423,293989,350172,407345,458296,538176,631428,724807,870114,1029164,1252793,1401124,1535934,1722941,1918057,2249238,2579505,2827170,3108446,3320833,3501778,3709221,3887023,4135550,4533324,4914538,5522147,6065922,6554978,7059849,7735403,8299522,8673777,8783304,9147082,9894926,11074780,11809263,12310631,13382321,14541961,15278658,15940853,18146774,18752230,20304893,21163543,21167841,21860704,22888723
"28000","Mississippi","5","SA30","90","...","Dividends, interest, and rent",257316,294633,314764,355419,384650,416175,424452,446833,470685,508374,534964,656548,756304,830057,919851,1057160,1240958,1383005,1479938,1646171,1898880,2167802,2690029,3355029,3747841,3963189,4370575,4723936,4869404,4955528,5296371,6159858,6177748,6205627,6353106,6642943,7176224,7663928,8162647,8766443,9538106,9449011,10176325,10548411,10277007,10029067,9909171,10750170,12322940,14763613,14504264,13525737,13023881,14024739,14728020,14743359,15213865
"28000","Mississippi","5","SA30","91","...","  Personal dividend income",23715,29989,33017,41136,45183,53321,58283,65646,64355,66529,73670,78045,84576,93162,105997,127996,152338,165228,190211,216044,254852,296466,313753,349356,359032,399072,412076,463166,502090,557260,657899,794244,871330,948805,1039226,1138825,1380203,1502747,1769704,2069569,2336690,2300232,2432026,2340799,2575215,2488683,3018082,3478455,4519646,5047480,5003631,3799707,3720055,4201834,4874115,4783054,4971218
"28000","Mississippi","5","SA30","92","...","  Personal interest income",124934,148276,173454,197678,215028,226067,235369,254421,278742,310115,335463,430046,512719,570760,641211,756083,906914,1042418,1129510,1303944,1504635,1733286,2203220,2753088,3112363,3326159,3728118,4015908,4194924,4228295,4432053,5148830,5038745,4905676,4863343,4884627,5078554,5382812,5533417,5787704,6225433,6101999,6624439,6899734,6369407,6101618,5455331,5953652,6694241,7311687,7696945,7510113,6779535,7001065,7008856,6948301,6992586
"28000","Mississippi","5","SA30","93","...","    Imputed interest receipts 2/",81597,97489,106845,119813,127912,133373,138936,153880,173152,180955,196026,230201,282446,317795,364944,416190,487287,587410,622835,701899,818980,883742,1052474,1207434,1431008,1709294,1816584,2056253,2231760,2363207,2465971,2715456,2745130,2828127,2959963,3108730,3270274,3493631,3547218,3779307,3862910,3900937,4092004,4177336,4191363,4202819,4055216,4135611,4359433,4591756,4982170,5251186,5039839,5145204,5109021,5222806,5197262
