"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"38000","North Dakota","4","SA30","10","...","Personal income (thousands of dollars)",1171901,1086917,1211691,1111286,1556893,1449804,1441340,1678052,1698142,1699418,1775378,1994339,2104730,2426531,2889855,4038581,4003286,4200486,4117225,4276480,5370965,5513744,5279606,6914367,7487357,7887475,8492880,8782366,8910617,9161561,8473720,9506913,10290342,10410081,11411372,11562828,12545156,12578798,14071088,13808529,15134099,15269856,16609159,16960441,17331641,18842774,19158764,20306050,21317995,23607161,26909746,26214054,28972608,32796406,38866125,39358192,41264895
"38000","North Dakota","4","SA30","45","...","Net earnings by place of residence",915585,831019,938289,840972,1230323,1124032,1098766,1299556,1308886,1284052,1322192,1480260,1527503,1772315,2164905,3195181,3026583,3048687,2863663,2876095,3821791,3787335,3175296,4313346,4465927,4746404,5152277,5306262,5338826,5631484,4957351,5660188,6251209,6362121,7183338,7136989,7970651,7694380,8979340,8387768,9515046,9620809,10558071,10768303,11030580,12486198,12668727,13513334,14076384,15578065,17656833,17065702,19129182,21822329,26913678,26768318,28140296
"38000","North Dakota","4","SA30","50","...","Personal current transfer receipts",72549,78413,82913,90450,94281,98108,104289,114284,123219,147075,164361,182521,211671,248009,275816,310405,355582,420180,464519,506615,553419,613288,724642,831111,931775,1036127,1110745,1180035,1286828,1345824,1353121,1474312,1578429,1605443,1771908,1866772,1901213,2010187,2092472,2181735,2209291,2304238,2472211,2562301,2688174,2767442,2925895,3143250,3293725,3550901,4022298,4200357,4546887,4658980,4709282,4860079,5054891
"38000","North Dakota","4","SA30","60","...","  Income maintenance benefits 1/",10096,9264,9433,9552,9129,8853,9250,10144,10572,12035,12847,13247,17419,21302,21507,21546,23595,25943,30350,32101,32501,36920,52952,55226,58862,62726,67237,71211,77708,77673,87462,95264,101144,110321,129826,137618,143331,150376,157795,172217,151834,161584,163942,164864,181192,208857,214521,229569,235792,282616,320944,376283,420817,423192,420623,416675,413159
"38000","North Dakota","4","SA30","70","...","  Unemployment insurance compensation",6495,6680,6965,8256,6658,6118,7045,6720,6467,5559,5466,5102,5758,9673,12201,10796,11831,17632,23337,31323,26463,25237,37882,36008,48973,64426,46226,47800,52799,38606,29807,28314,25212,30898,42972,40197,31024,30122,31365,31827,29230,34379,33476,36449,59537,59155,44919,44468,44808,47938,58470,126346,119336,94801,83856,100999,80886
"38000","North Dakota","4","SA30","80","...","  Retirement and other",55958,62469,66515,72642,78494,83137,87994,97420,106180,129481,146048,164172,188494,217034,242108,278063,320156,376605,410832,443191,494455,551131,633808,739877,823940,908975,997282,1061024,1156321,1229545,1235852,1350734,1452073,1464224,1599110,1688957,1726858,1829689,1903312,1977691,2028227,2108275,2274793,2360988,2447445,2499430,2666455,2869213,3013125,3220347,3642884,3697728,4006734,4140987,4204803,4342405,4560846
"38000","North Dakota","4","SA30","90","...","Dividends, interest, and rent",183767,177485,190489,179864,232289,227664,238285,264212,266037,268291,288825,331558,365556,406207,449134,532995,621121,731619,789043,893770,995755,1113121,1379668,1769910,2089655,2104944,2229858,2296069,2284963,2184253,2163248,2372413,2460704,2442517,2456126,2559067,2673292,2874231,2999276,3239026,3409762,3344809,3578877,3629837,3612887,3589134,3564142,3649466,3947886,4478195,5230615,4947995,5296539,6315097,7243165,7729795,8069708
"38000","North Dakota","4","SA30","91","...","  Personal dividend income",12381,15818,15237,15721,15599,18720,20390,23662,23076,27136,24609,23258,24706,26652,29591,36858,45025,50922,58856,66594,77257,88989,99971,117131,156789,128184,128425,141072,162597,181952,196361,246209,267846,296432,314474,355030,412620,455343,518066,604010,633383,628082,687222,683492,772951,837729,990618,1028980,1209981,1484398,1757538,1402789,1563638,2063747,2555566,2946055,3078577
"38000","North Dakota","4","SA30","92","...","  Personal interest income",61982,66567,75080,82172,94038,104738,117059,137035,148354,158576,183451,224992,272905,301875,331346,386799,458615,557843,615678,722159,804083,910013,1138855,1427781,1653541,1760131,1897255,1943439,1982325,1873795,1839298,1996804,2046300,1978765,1936436,1937889,1925641,2078615,2145532,2248808,2385277,2311922,2488083,2477344,2340321,2286125,2051956,2091445,2255176,2526425,2798318,2757808,2614717,2709961,2895783,2887075,2968167
"38000","North Dakota","4","SA30","93","...","    Imputed interest receipts 2/",27577,32752,38366,44825,50753,55254,60047,66313,71446,74936,78119,100068,128745,144176,159800,179800,206895,266624,283811,318699,357307,366054,425347,483618,592003,740624,746285,841355,896441,910883,897792,938307,973081,1001453,1048003,1105331,1113843,1208419,1233978,1324023,1330396,1338289,1400832,1373155,1405385,1422819,1399602,1335251,1369909,1468474,1657781,1767197,1788184,1846659,1931215,2010597,2055785
