"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"32000","Nevada","8","SA30","10","...","Personal income (thousands of dollars)",737174,807317,883612,978410,1170203,1316740,1425527,1525668,1607834,1706746,1991653,2256915,2534085,2831306,3161804,3582008,3970562,4478263,5094225,5899270,7128031,8270217,9565424,10882149,11641320,12367311,13493387,14709192,15912885,17403811,19785829,22278166,24994589,27487103,30503405,32961951,36518231,40086322,44341628,48512959,52980391,57511142,63045138,66706027,69304833,74992766,83863518,94083491,100692076,106484725,106789330,99146193,99806470,102612459,108656566,109489671,115671839
"32000","Nevada","8","SA30","45","...","Net earnings by place of residence",607873,666974,723683,794750,968988,1097131,1183588,1252678,1320301,1384604,1590839,1798101,1994560,2205642,2450298,2767896,3005391,3324973,3795503,4433300,5368832,6172560,7023649,7778824,8037036,8466891,9179278,9879250,10653958,11807294,13563081,15065667,16827210,18201924,20195782,21920797,24238831,26573701,29526495,32508442,35484222,39353827,43187615,45907226,47417024,51070664,56974517,63151283,67769089,71159255,70072382,63799048,63430310,64332140,66602413,67249613,71177502
"32000","Nevada","8","SA30","50","...","Personal current transfer receipts",37280,38069,40910,49180,51346,57725,65167,71772,77615,94648,113099,124926,147942,184244,218393,253800,315340,437636,490187,535165,604198,712456,865541,1055388,1175011,1285172,1376361,1511606,1685390,1798303,1974709,2279939,2608654,3220599,3644667,3849376,4036638,4379057,4714386,5025146,5351522,5582602,6000930,6788372,7646685,8217756,8874902,9595066,10368100,11328791,13390749,15285102,16837547,17067664,17219353,17572583,18890123
"32000","Nevada","8","SA30","60","...","  Income maintenance benefits 1/",3415,3546,3866,4428,4378,4664,4641,4917,5413,5914,6487,7548,9697,9911,10598,10464,20918,29598,32659,28996,29545,36209,52811,59668,60274,62809,63077,68240,77287,80297,98657,123064,145578,184036,235447,268220,299564,357315,389904,385984,402220,416724,431070,467712,583891,669431,718252,825842,864101,996308,1131714,1451269,1655553,1794815,1832175,1874135,1925889
"32000","Nevada","8","SA30","70","...","  Unemployment insurance compensation",10066,7011,6989,10410,7081,8069,10594,11875,11868,12186,9981,8795,13821,22573,30795,25627,39730,78449,70740,54588,35411,37415,52217,68198,114924,116028,75069,70453,73865,68078,61872,62483,87357,154172,222037,191706,132578,135190,138878,159645,177112,193066,200324,296046,433545,390243,284835,238339,255581,340415,671928,1797984,1979755,1463877,1073663,766804,419517
"32000","Nevada","8","SA30","80","...","  Retirement and other",23799,27512,30055,34342,39887,44992,49932,54980,60334,76548,96631,108583,124424,151760,177000,217709,254692,329589,386788,451581,539242,638832,760513,927522,999813,1106335,1238215,1372913,1534238,1649928,1814180,2094392,2375719,2882391,3187183,3389450,3604496,3886552,4185604,4479517,4772190,4972812,5369536,6024614,6629249,7158082,7871815,8530885,9248418,9992068,11587107,12035849,13202239,13808972,14313515,14931644,16544717
"32000","Nevada","8","SA30","90","...","Dividends, interest, and rent",92021,102274,119019,134480,149869,161884,176772,201218,209918,227494,287715,333888,391583,441420,493113,560312,649831,715654,808535,930805,1155001,1385201,1676234,2047937,2429273,2615248,2937748,3318336,3573537,3798214,4248039,4932560,5558725,6064580,6662956,7191778,8242762,9133564,10100747,10979371,12144647,12574713,13856593,14010429,14241124,15704346,18014099,21337142,22554887,23996679,23326199,20062043,19538613,21212655,24834800,24667475,25604214
"32000","Nevada","8","SA30","91","...","  Personal dividend income",13128,14196,18059,22094,24154,25198,27772,33763,33687,33123,56124,57896,62189,67960,76703,89348,102643,101877,126678,152060,190160,229943,246096,274388,302944,310767,338642,408221,483500,550562,713004,944515,1089391,1218884,1376046,1522066,1982877,2278190,2764056,3011614,3173900,3113814,3508980,3473828,3665783,4363950,6012501,6755872,8105661,8516480,7605526,4836652,5059448,6216988,8147495,7754999,7969107
"32000","Nevada","8","SA30","92","...","  Personal interest income",54053,61288,71414,79784,89404,97695,107338,122831,128261,143262,179550,212455,262788,300255,336023,390248,467666,533140,597616,714422,891951,1078498,1337898,1652636,2005638,2161413,2458141,2747290,2941642,3103907,3366360,3815726,4245091,4552040,4853862,5041262,5484350,5963400,6298270,6860728,7711737,8079756,8870794,8917942,8906448,9430655,9803484,12382487,12443172,13626777,13224511,12212628,11043291,11094220,12966440,12806600,13203943
"32000","Nevada","8","SA30","93","...","    Imputed interest receipts 2/",26242,29520,33399,39401,45096,49831,54270,58218,60803,67706,80814,110223,142273,165643,187012,208014,243366,299607,328778,386392,475515,524704,623393,715842,850375,1042460,1107466,1306355,1450667,1611377,1740057,1916788,2138679,2384108,2669220,2904780,3165578,3462736,3638211,4049411,4281940,4605191,4938716,4898640,5209546,5608300,6276076,7071995,6861779,7256001,7438673,7462027,7222412,7212516,8040346,8326831,8537434
"32000","Nevada","8","SA30","94","...","    Monetary interest receipts",27811,31768,38015,40383,44308,47864,53068,64613,67458,75556,98736,102232,120515,134612,149011,182234,224300,233533,268838,328030,416436,553794,714505,936794,1155263,1118953,1350675,1440935,1490975,1492530,1626303,1898938,2106412,2167932,2184642,2136482,2318772,2500664,2660059,2811317,3429797,3474565,3932078,4019302,3696902,3822355,3527408,5310492,5581393,6370776,5785838,4750601,3820879,3881704,4926094,4479769,4666509
"32000","Nevada","8","SA30","95","...","  Rental income of persons",24840,26790,29546,32602,36311,38991,41662,44624,47970,51109,52041,63537,66606,73205,80387,80716,79522,80637,84241,64323,72890,76760,92240,120913,120691,143068,140965,162825,148395,143745,168675,172319,224243,293656,433048,628450,775535,891974,1038421,1107029,1259010,1381143,1476819,1618659,1668893,1909741,2198114,2198783,2006054,1853422,2496162,3012763,3435874,3901447,3720865,4105876,4431164
"32000","Nevada","8","SA30","96","...","    Imputed rent",17503,19672,21673,24935,28234,30996,32938,35309,38143,40725,41153,51964,51691,55728,55513,53124,54493,51597,44582,27491,31464,27026,25934,29985,14945,13995,5931,-2545,-19415,-18990,9529,16042,36490,74988,148174,282881,395653,448781,560079,591574,715712,826002,886959,998493,1059355,1262899,1524914,1450910,1204883,919855,1360046,1877996,2132284,2396297,2156040,2545695,2795474
"32000","Nevada","8","SA30","97","...","    Monetary rent",7337,7118,7873,7667,8077,7995,8724,9315,9827,10384,10888,11573,14915,17477,24874,27592,25029,29040,39659,36832,41426,49734,66306,90928,105746,129073,135034,165370,167810,162735,159146,156277,187753,218668,284874,345569,379882,443193,478342,515455,543298,555141,589860,620166,609538,646842,673200,747873,801171,933567,1136116,1134767,1303590,1505150,1564825,1560181,1635690
"32000","Nevada","8","SA30","100","...","Population (persons) 3/",269000,279000,291000,315000,352000,397000,426000,444000,446000,449000,464000,480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2703493,2718586,2755245,2791494,2839099
"32000","Nevada","8","SA30","110","...","Per capita personal income 4/",2740,2894,3036,3106,3324,3317,3346,3436,3605,3801,4292,4702,5138,5445,5783,6296,6654,7225,7876,8699,9909,10809,11806,12838,13206,13711,14589,15467,16227,17006,18405,19587,20476,21206,22572,23357,24357,25346,26611,27500,28589,29726,31230,31789,31882,33347,35744,38683,39915,40939,40243,36931,36918,37745,39436,39223,40742
"32000","Nevada","8","SA30","120","...","Per capita net earnings 4/",2260,2391,2487,2523,2753,2764,2778,2821,2960,3084,3429,3746,4044,4242,4482,4865,5037,5364,5868,6537,7464,8067,8669,9177,9117,9387,9924,10388,10865,11538,12617,13246,13785,14043,14945,15533,16167,16802,17720,18428,19148,20341,21393,21877,21813,22710,24284,25965,26864,27358,26406,23764,23462,23664,24173,24091,25070
"32000","Nevada","8","SA30","130","...","Per capita personal current transfer receipts 4/",139,136,141,156,146,145,153,162,174,211,244,260,300,354,399,446,528,706,758,789,840,931,1068,1245,1333,1425,1488,1589,1719,1757,1837,2005,2137,2485,2697,2728,2692,2769,2829,2849,2888,2885,2973,3235,3518,3654,3783,3945,4110,4355,5046,5693,6228,6278,6250,6295,6654
"32000","Nevada","8","SA30","140","...","  Per capita income maintenance benefits 4/",13,13,13,14,12,12,11,11,12,13,14,16,20,19,19,18,35,48,50,43,41,47,65,70,68,70,68,72,79,78,92,108,119,142,174,190,200,226,234,219,217,215,214,223,269,298,306,340,343,383,426,541,612,660,665,671,678
"32000","Nevada","8","SA30","150","...","  Per capita unemployment insurance compensation 4/",37,25,24,33,20,20,25,27,27,27,22,18,28,43,56,45,67,127,109,80,49,49,64,80,130,129,81,74,75,67,58,55,72,119,164,136,88,85,83,90,96,100,99,141,199,174,121,98,101,131,253,670,732,538,390,275,148
"32000","Nevada","8","SA30","160","...","  Per capita retirement and other 4/",88,99,103,109,113,113,117,124,135,170,208,226,252,292,324,383,427,532,598,666,750,835,939,1094,1134,1227,1339,1444,1565,1612,1688,1841,1946,2224,2358,2402,2404,2457,2512,2539,2575,2570,2660,2871,3050,3183,3355,3508,3666,3842,4367,4483,4883,5079,5195,5349,5827
"32000","Nevada","8","SA30","170","...","Per capita dividends, interest, and rent 4/",342,367,409,427,426,408,415,453,471,507,620,696,794,849,902,985,1089,1155,1250,1373,1606,1810,2069,2416,2756,2899,3176,3489,3644,3711,3952,4337,4554,4679,4931,5096,5498,5775,6062,6224,6553,6500,6864,6677,6551,6983,7678,8773,8941,9226,8790,7473,7227,7803,9014,8837,9018
"32000","Nevada","8","SA30","171","...","  Per capita dividends 4/",49,51,62,70,69,63,65,76,76,74,121,121,126,131,140,157,172,164,196,224,264,301,304,324,344,345,366,429,493,538,663,830,892,940,1018,1079,1323,1440,1659,1707,1713,1609,1738,1655,1686,1941,2563,2778,3213,3274,2866,1802,1871,2287,2957,2778,2807
"32000","Nevada","8","SA30","172","...","  Per capita interest 4/",201,220,245,253,254,246,252,277,288,319,387,443,533,577,615,686,784,860,924,1054,1240,1410,1651,1950,2275,2396,2658,2889,3000,3033,3131,3355,3478,3512,3592,3572,3658,3771,3780,3889,4161,4176,4394,4250,4097,4194,4178,5091,4933,5239,4984,4549,4085,4081,4706,4588,4651
"32000","Nevada","8","SA30","173","...","  Per capita rent 4/",92,96,102,103,103,98,98,101,108,114,112,132,135,141,147,142,133,130,130,95,101,100,114,143,137,159,152,171,151,140,157,152,184,227,320,445,517,564,623,628,679,714,732,771,768,849,937,904,795,713,941,1122,1271,1435,1350,1471,1561
"32000","Nevada","8","SA30","180","...","Earnings by place of work",635664,699504,762506,837481,1023156,1168968,1256074,1323381,1403742,1474370,1695576,1964078,2177769,2411604,2688534,3078071,3349288,3695815,4231546,4956713,6040700,6985305,7961595,8876703,9158350,9693204,10560469,11392490,12323756,13662555,15717710,17511015,19700757,21208064,23390895,25427681,28127081,30802295,34090568,37313501,40618940,44821506,48512126,51492070,53276093,57029351,63478183,70262925,75930420,79772468,78174961,71502353,70933226,71283324,73883067,75239805,80042152
