"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"40000","Oklahoma","6","SA30","10","...","Personal income (thousands of dollars)",4218991,4401114,4619375,4779230,4982550,5151285,5517388,5912125,6341001,6924328,7580411,8439742,9303935,10137739,11121845,12610044,14034223,15692235,17268685,19196673,21786046,25286386,29132371,34025236,37993649,38869340,41684153,43419381,43625647,43450859,45332471,48329950,50948903,52474225,55898923,58123375,60728231,63398165,67140318,70867876,75390398,78356415,85672158,92129048,93531526,96553912,102194709,109855330,120480971,125613351,138461962,128545841,135151223,147813207,158595958,161685876,169227826
"40000","Oklahoma","6","SA30","45","...","Net earnings by place of residence",3309151,3411566,3552332,3645540,3798515,3910899,4198883,4498526,4819718,5245662,5729396,6346530,6900193,7411486,8192703,9252040,10107195,11121142,12287749,13746845,15665238,18261787,20640750,23717908,25973985,25869781,27683033,28442837,28594690,28508340,29714501,31388230,33133445,34045533,36292355,37897478,39284398,40248193,42764073,45829602,49135615,51428253,56385920,61236197,61984863,64144530,67895591,73022765,79168519,80225388,89267877,80097286,85151183,94429314,102014881,104765873,110381086
"40000","Oklahoma","6","SA30","50","...","Personal current transfer receipts",331223,359027,378302,416204,440810,471062,491289,525620,583503,700141,788611,855497,981410,1130720,1239968,1405941,1663592,2051820,2250549,2392975,2574704,2955171,3418891,3882103,4376392,4801407,4981670,5321796,5657499,5886106,6231162,6628757,7133266,7804139,8730227,9180371,9752703,10532899,11054563,11358558,11588646,12105036,12796821,14127523,15162918,15975202,16989983,18305490,20019901,21467209,24101967,25962088,27678443,28048818,28675447,29255110,30196097
"40000","Oklahoma","6","SA30","60","...","  Income maintenance benefits 1/",99323,106163,107873,110587,112600,119123,122951,123739,128788,137197,131856,127538,134950,139492,136894,134102,197273,222698,246216,250395,248185,302459,367029,379842,363360,404843,426507,443993,483513,512478,560731,598807,663627,758357,902906,957111,1007455,1114096,1150036,1173588,1142726,1210288,1203014,1289621,1462575,1683849,1798669,1964962,2035138,2096203,2246580,2683920,2972381,3026643,2993570,3049390,2989687
"40000","Oklahoma","6","SA30","70","...","  Unemployment insurance compensation",25337,18894,21333,29358,20917,20315,18145,15808,11951,12577,13937,13493,24265,45381,46130,37373,45012,117347,110743,79961,39185,54131,86602,76250,194449,292464,158921,178785,244492,165821,121663,108274,120008,151778,262718,216401,141549,131921,124720,103414,110455,141277,125480,197343,335127,396983,246435,179315,157884,179695,255075,885515,952058,614727,476348,339399,244478
"40000","Oklahoma","6","SA30","80","...","  Retirement and other",206563,233970,249096,276259,307293,331624,350193,386073,442764,550367,642818,714466,822195,945847,1056944,1234466,1421307,1711775,1893590,2062619,2287334,2598581,2965260,3426011,3818583,4104100,4396242,4699018,4929494,5207807,5548768,5921676,6349631,6894004,7564603,8006859,8603699,9286882,9779807,10081556,10335465,10753471,11468327,12640559,13365216,13894370,14944879,16161213,17826879,19191311,21600312,22392653,23754004,24407448,25205529,25866321,26961932
"40000","Oklahoma","6","SA30","90","...","Dividends, interest, and rent",578617,630521,688741,717486,743225,769324,827216,887979,937780,978525,1062404,1237715,1422332,1595533,1689174,1952063,2263436,2519273,2730387,3056853,3546104,4069428,5072730,6425225,7643272,8198152,9019450,9654748,9373458,9056413,9386808,10312963,10682192,10624553,10876341,11045526,11691130,12617073,13321682,13679716,14666137,14823126,16489417,16765328,16383745,16434180,17309135,18527075,21292551,23920754,25092118,22486467,22321597,25335075,27905630,27664893,28650643
"40000","Oklahoma","6","SA30","91","...","  Personal dividend income",72219,83540,90052,95224,97561,100648,116310,132555,135924,135432,163009,174854,181465,192549,211782,247602,287508,292231,361209,430635,485195,547570,607806,701533,831252,786099,780038,878150,912909,938985,1088432,1306264,1443693,1538010,1702709,1820405,2151762,2237811,2635345,2858360,3290571,3422986,4088645,4011858,4336626,4464954,5803201,6307644,8121405,9421868,9592544,7177281,6971419,8563411,10315185,9920672,10288296
"40000","Oklahoma","6","SA30","92","...","  Personal interest income",267813,300019,336956,359618,379255,402498,452812,496071,546363,590131,656221,790605,952067,1059800,1162555,1357597,1626612,1877112,2028784,2325848,2725443,3180068,4038963,5084387,6067666,6531409,7396303,7932825,8030660,7751169,7909940,8628220,8755672,8540322,8399269,8297166,8431407,9249032,9407156,9502910,9935351,9863557,10701957,10742999,10020116,9887205,9286189,10007459,11219336,12565240,12848817,12467723,11572293,11859032,12495806,12414454,12626951
"40000","Oklahoma","6","SA30","93","...","    Imputed interest receipts 2/",161621,176688,190377,207216,218721,230548,250907,268649,289881,323034,343833,406208,509609,574687,633630,709527,828858,1014640,1081015,1211897,1421178,1532040,1824499,2119792,2614175,3165331,3349277,3815258,4032345,4133455,4208158,4433010,4587593,4750649,4982020,5160395,5277002,5747157,5811449,6045918,6056222,6186171,6512662,6475801,6503671,6588223,6656724,6690118,7101428,7626240,8100802,8472344,8341586,8483674,8714068,8980221,9054224
