"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"94000","Plains","4","SA30","10","...","Personal income (thousands of dollars)",30919759,31713485,33311880,34562139,36881285,38368451,40010825,43914576,47248033,49574383,54070627,59311900,64275230,69188659,76424313,89095624,94313977,103657295,110974509,122639443,138811749,153093961,165390974,187050037,199322863,208977926,232623767,245605209,257212342,270883959,284015168,306273833,324425760,335764517,360319451,372338378,397332114,416502560,448190038,471141232,502740423,523849045,561645274,582578018,594581835,621278891,655466243,679088036,719895345,765706550,814321561,787591768,810935023,871047736,915587550,927867493,959235058
"94000","Plains","4","SA30","45","...","Net earnings by place of residence",24585322,24924229,26120458,26903124,28813133,29819882,30978250,34164996,36888966,38365354,41581276,45441306,48516484,51710841,57372604,67285471,69047738,74154657,79171887,87825693,100338805,109824668,113040765,124302091,126909323,132175257,149814925,158629275,166886467,179374148,188311802,202137974,213792739,219508038,238152659,244770002,263305632,273074643,296869732,311175582,333918788,352776981,377890408,391870557,400383728,420647506,448179987,463456216,482462457,506852431,532786592,512170395,526572237,569365036,594396797,605232265,624246622
"94000","Plains","4","SA30","50","...","Personal current transfer receipts",1956809,2097136,2217920,2464165,2559582,2695970,2788405,3021121,3262847,3893924,4504874,4940262,5791864,6652796,7252447,8450070,9850078,12122157,13193666,13942674,15177285,16995662,20320762,23157226,25796892,27744589,28906156,30609247,32089685,33011854,34658826,37603583,40654631,44791975,48529497,51483800,53777592,57036741,59694019,61613727,63565706,66511462,71169403,78267501,84141537,87277815,91385240,96973785,104939093,112745611,127495387,137688019,147302514,149785640,150255273,153540637,159199360
"94000","Plains","4","SA30","60","...","  Income maintenance benefits 1/",310314,310951,316073,313769,302493,310280,309508,319084,331691,365021,402159,444965,568397,669386,714845,709314,899798,1025107,1156088,1165213,1156827,1315067,1764503,1960501,1994782,2206221,2269011,2362369,2507797,2512429,2710804,2935841,3232413,3629278,4180937,4455323,4676141,4989719,5270952,5146209,5033858,5362538,5384885,5680340,6250150,7090868,7486416,8011109,8348101,9714069,10542237,12399020,13807180,13991490,14245762,14384143,14116926
"94000","Plains","4","SA30","70","...","  Unemployment insurance compensation",194402,145096,164795,225700,168700,154114,142878,117549,92509,108282,115969,126410,235641,330887,320065,251085,367112,947091,892401,724454,591278,620614,1242047,1110345,1593203,1534217,921496,1036110,1088260,992757,906499,938377,1021392,1336637,1753543,1615849,1157210,1072186,1112608,1054461,1012914,1103923,1225321,1844591,2867680,3066729,2181156,1896696,1831683,1980273,2852433,7188128,7297635,5468994,4051586,3060184,2176433
"94000","Plains","4","SA30","80","...","  Retirement and other",1452093,1641089,1737052,1924696,2088389,2231576,2336019,2584488,2838647,3420621,3986746,4368887,4987826,5652523,6217537,7489671,8583168,10149959,11145177,12053007,13429180,15059981,17314212,20086380,22208907,24004151,25715649,27210768,28493628,29506668,31041523,33729365,36400826,39826060,42595017,45412628,47944241,50974836,53310459,55413057,57518934,60045001,64559197,70742570,75023707,77120218,81717668,87065980,94759309,101051269,114100717,118100871,126197699,130325156,131957925,136096310,142906001
"94000","Plains","4","SA30","90","...","Dividends, interest, and rent",4377628,4692120,4973502,5194850,5508570,5852599,6244170,6728459,7096220,7315105,7984477,8930332,9966882,10825022,11799262,13360083,15416161,17380481,18608956,20871076,23295659,26273631,32029447,39590720,46616648,49058080,53902686,56366687,58236190,58497957,61044540,66532276,69978390,71464504,73637295,76084576,80248890,86391176,91626287,98351923,105255929,104560602,112585463,112439960,110056570,113353570,115901016,118658035,132493795,146108508,154039582,137733354,137060272,151897060,170935480,169094591,175789076
"94000","Plains","4","SA30","91","...","  Personal dividend income",675899,784134,834453,875193,908571,1000714,1099695,1230803,1233181,1276870,1383866,1443743,1466425,1526628,1648970,1891060,2156631,2216148,2613147,2991761,3385077,3829304,4230888,4838023,5281916,5421402,5749769,6247394,6914241,7529482,8903608,10789281,11620125,12643638,13583786,14809658,17364317,19118300,22083881,24779000,26479166,26036237,28039973,27260960,29082387,31884532,39601182,40200242,49297515,56075701,57362883,40543326,40074247,48351731,59855060,57272206,59549743
"94000","Plains","4","SA30","92","...","  Personal interest income",1936121,2132457,2329981,2460098,2644498,2867458,3217356,3558214,3879279,4172251,4735053,5627134,6622000,7318776,7994190,9164929,10922150,12930251,13953052,16143845,18079777,20634230,25656671,31967109,38357750,41240898,45707559,47651093,49656874,49428744,50349156,53949568,56157372,55966717,56009365,55628546,55896999,59519251,60959123,64535551,68765869,67713728,73413314,72541046,67991757,67527024,61676737,64966736,71561093,79682701,82267147,78721933,74006453,75027993,79947140,78808138,80575939
"94000","Plains","4","SA30","93","...","    Imputed interest receipts 2/",860945,954853,1047170,1153176,1224713,1298236,1435519,1539685,1669620,1812019,1986978,2410447,2946913,3322906,3669199,4024591,4733063,6115214,6398309,7179745,8060723,8367104,9873743,11270267,13762273,17365860,18048545,20585380,22415045,23767225,24212234,25137653,26510908,27869038,29655119,30993326,31514801,33666784,34205823,37093960,37325096,38089115,40211173,39134752,39634000,40384095,40318678,39136838,40843101,43726046,47365134,49268039,49176773,49495729,51005154,52557622,53299577
"94000","Plains","4","SA30","94","...","    Monetary interest receipts",1075176,1177604,1282811,1306922,1419785,1569222,1781837,2018529,2209659,2360232,2748075,3216687,3675087,3995870,4324991,5140338,6189087,6815037,7554743,8964100,10019054,12267126,15782928,20696842,24595477,23875038,27659014,27065713,27241829,25661519,26136922,28811915,29646464,28097679,26354246,24635220,24382198,25852467,26753300,27441591,31440773,29624613,33202141,33406294,28357757,27142929,21358059,25829898,30717992,35956655,34902013,29453894,24829680,25532264,28941986,26250516,27276362
"94000","Plains","4","SA30","95","...","  Rental income of persons",1765608,1775529,1809068,1859559,1955501,1984427,1927119,1939442,1983760,1865984,1865558,1859455,1878457,1979618,2156102,2304094,2337380,2234082,2042757,1735470,1830805,1810097,2141888,2785588,2976982,2395780,2445358,2468200,1665075,1539731,1791776,1793427,2200893,2854149,4044144,5646372,6987574,7753625,8583283,9037372,10010894,10810637,11132176,12637954,12982426,13942014,14623097,13491057,11635187,10350106,14409552,18468095,22979572,28517336,31133280,33014247,35663394
"94000","Plains","4","SA30","96","...","    Imputed rent",711661,778449,840693,878482,925583,948039,949214,965183,996104,1025357,996396,1153601,1193077,1256827,1256167,1187197,1211757,1141141,1004633,678147,684096,585723,577860,571104,298482,203369,41893,-145580,-426132,-409511,-50597,21567,238251,553366,1233465,2427869,3359371,3758476,4587060,4717705,5641011,6434497,6896758,8028164,8511199,9460294,10028353,8580754,6713263,4973992,7750747,11695656,14774392,18373079,19958620,21850691,23960517
"94000","Plains","4","SA30","97","...","    Monetary rent",1053947,997080,968375,981077,1029918,1036388,977905,974259,987656,840627,869162,705854,685380,722791,899935,1116897,1125623,1092941,1038124,1057323,1146709,1224374,1564028,2214484,2678500,2192411,2403465,2613780,2091207,1949242,1842373,1771860,1962642,2300783,2810679,3218503,3628203,3995149,3996223,4319667,4369883,4376140,4235418,4609790,4471227,4481720,4594744,4910303,4921924,5376114,6658805,6772439,8205180,10144257,11174660,11163556,11702877
"94000","Plains","4","SA30","100","...","Population (persons) 3/",14994000,15195000,15424000,15570000,15657000,15715000,15787000,15819000,15888000,15942000,16047000,16202000,16349829,16474813,16562762,16628032,16671561,16742551,16863608,16949656,17028437,17097176,17207567,17264245,17291648,17325258,17382070,17401690,17392728,17427930,17533255,17595235,17697550,17843335,18026179,18209613,18380746,18549556,18705269,18851351,18988053,19130836,19275412,19374967,19468009,19569167,19687933,19802730,19956982,20105697,20248815,20392583,20536149,20645094,20759493,20893455,21006069
"94000","Plains","4","SA30","110","...","Per capita personal income 4/",2062,2087,2160,2220,2356,2442,2534,2776,2974,3110,3370,3661,3931,4200,4614,5358,5657,6191,6581,7236,8152,8954,9612,10835,11527,12062,13383,14114,14788,15543,16199,17407,18332,18817,19989,20447,21617,22454,23961,24992,26477,27382,29138,30069,30541,31748,33293,34293,36072,38084,40216,38621,39488,42192,44105,44409,45665
"94000","Plains","4","SA30","120","...","Per capita net earnings 4/",1640,1640,1693,1728,1840,1898,1962,2160,2322,2407,2591,2805,2967,3139,3464,4047,4142,4429,4695,5182,5892,6424,6569,7200,7339,7629,8619,9116,9595,10292,10740,11488,12080,12302,13211,13442,14325,14721,15871,16507,17586,18440,19605,20226,20566,21495,22764,23404,24175,25209,26312,25116,25641,27579,28633,28968,29717
"94000","Plains","4","SA30","130","...","Per capita personal current transfer receipts 4/",131,138,144,158,163,172,177,191,205,244,281,305,354,404,438,508,591,724,782,823,891,994,1181,1341,1492,1601,1663,1759,1845,1894,1977,2137,2297,2510,2692,2827,2926,3075,3191,3268,3348,3477,3692,4040,4322,4460,4642,4897,5258,5608,6296,6752,7173,7255,7238,7349,7579
"94000","Plains","4","SA30","140","...","  Per capita income maintenance benefits 4/",21,20,20,20,19,20,20,20,21,23,25,27,35,41,43,43,54,61,69,69,68,77,103,114,115,127,131,136,144,144,155,167,183,203,232,245,254,269,282,273,265,280,279,293,321,362,380,405,418,483,521,608,672,678,686,688,672
"94000","Plains","4","SA30","150","...","  Per capita unemployment insurance compensation 4/",13,10,11,14,11,10,9,7,6,7,7,8,14,20,19,15,22,57,53,43,35,36,72,64,92,89,53,60,63,57,52,53,58,75,97,89,63,58,59,56,53,58,64,95,147,157,111,96,92,98,141,352,355,265,195,146,104
"94000","Plains","4","SA30","160","...","  Per capita retirement and other 4/",97,108,113,124,133,142,148,163,179,215,248,270,305,343,375,450,515,606,661,711,789,881,1006,1163,1284,1386,1479,1564,1638,1693,1770,1917,2057,2232,2363,2494,2608,2748,2850,2939,3029,3139,3349,3651,3854,3941,4151,4397,4748,5026,5635,5791,6145,6313,6357,6514,6803
"94000","Plains","4","SA30","170","...","Per capita dividends, interest, and rent 4/",292,309,322,334,352,372,396,425,447,459,498,551,610,657,712,803,925,1038,1103,1231,1368,1537,1861,2293,2696,2832,3101,3239,3348,3357,3482,3781,3954,4005,4085,4178,4366,4657,4898,5217,5543,5466,5841,5803,5653,5792,5887,5992,6639,7267,7607,6754,6674,7358,8234,8093,8368
"94000","Plains","4","SA30","171","...","  Per capita dividends 4/",45,52,54,56,58,64,70,78,78,80,86,89,90,93,100,114,129,132,155,177,199,224,246,280,305,313,331,359,398,432,508,613,657,709,754,813,945,1031,1181,1314,1395,1361,1455,1407,1494,1629,2011,2030,2470,2789,2833,1988,1951,2342,2883,2741,2835
"94000","Plains","4","SA30","172","...","  Per capita interest 4/",129,140,151,158,169,182,204,225,244,262,295,347,405,444,483,551,655,772,827,952,1062,1207,1491,1852,2218,2380,2630,2738,2855,2836,2872,3066,3173,3137,3107,3055,3041,3209,3259,3423,3622,3540,3809,3744,3492,3451,3133,3281,3586,3963,4063,3860,3604,3634,3851,3772,3836
"94000","Plains","4","SA30","173","...","  Per capita rent 4/",118,117,117,119,125,126,122,123,125,117,116,115,115,120,130,139,140,133,121,102,108,106,124,161,172,138,141,142,96,88,102,102,124,160,224,310,380,418,459,479,527,565,578,652,667,712,743,681,583,515,712,906,1119,1381,1500,1580,1698
"94000","Plains","4","SA30","180","...","Earnings by place of work",25404394,25916508,27269672,28108775,30123663,31309647,32528294,35793666,39086440,40921341,44434762,48997727,52195534,55742422,61937149,73060889,75647992,81161053,87187387,96732121,110736560,121993637,126181572,139491956,142879492,149228633,169072116,179403413,189144720,202962612,214451267,229975004,244124497,251361384,271924626,280246865,301339717,313169890,338763102,356022787,381606544,403142603,431073408,446697769,457322135,479676154,509426713,527664574,549674904,576606321,606823025,583763029,599076441,637378026,664826207,686497426,709167659
"94000","Plains","4","SA30","190","...","  Wages and salaries",16949212,18268140,19095160,19734217,20954205,21940058,23344965,24953560,27337887,29367684,32224236,35300352,37884438,40333593,43509128,48301899,53275647,57173687,63665829,70293914,79092024,88833404,96190039,104109296,108015263,113417784,123970934,131092247,137421852,146275635,156792894,165770676,176035226,182781625,194362400,202929501,215581543,228857097,242809881,259625392,278627435,295033309,313938351,323892371,330151581,339201484,356062752,369353233,388762364,410366145,426206972,411255402,418291793,433919886,456094090,468671705,490860919
"94000","Plains","4","SA30","200","...","  Supplements to wages and salaries",1428952,1609404,1740186,1862534,2023814,2195928,2357260,2537649,2992154,3266430,3675411,4133684,4557233,5137853,5910043,6684805,7566234,8839765,10042291,11616101,13287763,15183010,16654414,18434374,19728295,21540205,23736818,25770419,27957959,29638685,31926378,35033977,38106929,40763346,45663001,48307996,50936999,52158909,53413749,55305118,59589432,63325674,68316870,71632245,75271349,80438964,85757406,90445667,92609140,97418906,102011775,100992105,103705072,106878987,108331835,111603788,115202044
"94000","Plains","4","SA30","201","...","    Employer contributions for employee pension and insurance funds 5/",1022594,1112292,1172560,1271729,1357176,1443573,1585503,1730502,1904737,2070274,2322590,2613772,2951395,3349042,3826389,4012251,4501441,5580117,6207712,7307150,8250151,9340538,10464295,11332414,12278758,13480682,14459068,16065042,17630830,18846345,20037678,22569300,24517985,26502034,30461593,32304407,33805346,34216224,34623559,35397185,38382868,41038693,44752883,47398865,50499425,54569601,58673020,62110668,62829923,66599282,70022571,69708359,71666330,73121279,73356682,75573107,78155037
"94000","Plains","4","SA30","202","...","    Employer contributions for government social insurance",406358,497112,567626,590805,666638,752355,771757,807147,1087417,1196156,1352821,1519912,1605838,1788811,2083654,2672554,3064793,3259648,3834579,4308951,5037612,5842472,6190119,7101960,7449537,8059523,9277750,9705377,10327129,10792340,11888700,12464677,13588944,14261312,15201408,16003589,17131653,17942685,18790190,19907933,21206564,22286981,23563987,24233380,24771924,25869363,27084386,28334999,29779217,30819624,31989204,31283746,32038742,33757708,34975153,36030681,37047007
