"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"44000","Rhode Island","1","SA30","10","...","Personal income (thousands of dollars)",1883774,1983321,2015359,2109804,2268754,2364987,2518581,2720107,2972210,3222029,3520540,3738588,4085172,4325615,4709168,5025485,5263286,5700406,6224331,6808542,7472408,8304223,9335325,10402978,11168804,12049253,13280099,14283447,15348279,16479434,18173181,19796408,20307648,20434051,21390795,22307228,22867101,24111072,24982118,26452272,28276974,29511489,31732731,33378279,34855461,36571921,38214313,39076785,41225367,43023232,44193339,43285218,45004874,46596360,48509355,48607267,51026876
"44000","Rhode Island","1","SA30","45","...","Net earnings by place of residence",1463586,1555509,1582309,1637245,1752723,1804360,1931084,2082901,2290449,2456893,2676875,2795031,2998774,3130087,3418259,3590114,3650892,3800148,4239211,4666847,5152487,5713272,6221824,6670253,7037840,7655253,8456327,9230191,10008940,10889388,12010319,12741737,12998232,12754562,13523472,14010361,14511910,15190868,15705778,16586930,17994928,19101546,20655730,21522649,22655392,23834323,25036390,25639674,26880931,27409272,27559264,26725515,27769231,28841049,30080395,30384852,31775660
"44000","Rhode Island","1","SA30","50","...","Personal current transfer receipts",149109,146464,150451,166347,168905,179130,183756,197755,218175,265219,307806,347206,423015,496661,545627,624674,733593,971929,994536,1041509,1112354,1235934,1430831,1636137,1795913,1914368,1966925,2088337,2172436,2237118,2398219,2613229,2889760,3511041,3660912,3972957,3950944,4169950,4252887,4516328,4565554,4745474,4922222,5504680,5741615,5904578,6297506,6551474,6793459,7438920,8270030,8968512,9534397,9622344,9506011,9602919,10284841
"44000","Rhode Island","1","SA30","60","...","  Income maintenance benefits 1/",16699,17029,17089,18305,17766,18702,20781,21030,22691,24861,28995,33024,47192,59057,64654,67712,87951,102443,110500,111000,118669,126133,161075,181436,167411,177180,179526,188250,197311,198986,212891,230395,264680,310383,344665,371227,390160,414400,424434,404034,439563,443278,458876,471113,497526,516772,533424,575043,575413,725598,727419,865227,989956,1036762,1072378,1104711,1094103
"44000","Rhode Island","1","SA30","70","...","  Unemployment insurance compensation",28146,18135,17214,23687,17894,18425,15694,12395,12626,14819,16782,19079,38712,53066,51382,47968,65502,182643,124553,106734,88310,85048,98438,97866,138267,123176,79833,83377,74470,78167,82637,110724,178359,281198,334468,289733,225283,205524,189740,160859,149892,154419,150495,186711,257702,260939,213924,204005,201390,234279,345193,704960,705853,605371,492574,332110,193277
"44000","Rhode Island","1","SA30","80","...","  Retirement and other",104264,111300,116148,124355,133245,142003,147281,164330,182858,225539,262029,295103,337111,384538,429591,508994,580140,686843,759483,823775,905375,1024753,1171318,1356835,1490235,1614012,1707566,1816710,1900655,1959965,2102691,2272110,2446721,2919460,2981779,3311997,3335501,3550026,3638713,3951435,3976099,4147777,4312851,4846856,4986387,5126867,5550158,5772426,6016656,6479043,7197418,7398325,7838588,7980211,7941059,8166098,8997461
"44000","Rhode Island","1","SA30","90","...","Dividends, interest, and rent",271079,281348,282599,306212,347126,381497,403741,439451,463586,499917,535859,596351,663383,698867,745282,810697,878801,928329,990584,1100186,1207567,1355017,1682670,2096588,2335051,2479632,2856847,2964919,3166903,3352928,3764643,4441442,4419656,4168448,4206411,4323910,4404247,4750254,5023453,5349014,5716492,5664469,6154779,6350950,6458454,6833020,6880417,6885637,7550977,8175040,8364045,7591191,7701246,8132967,8922949,8619496,8966375
"44000","Rhode Island","1","SA30","91","...","  Personal dividend income",72633,76933,73827,77378,83641,93568,96663,108227,107096,115702,129071,131755,130781,133300,141727,154300,167754,159608,187230,212457,230915,253196,276390,312657,349595,366009,403963,427752,474360,504695,595901,712095,732464,766149,829205,887584,987811,1077185,1289176,1398320,1402657,1338192,1535934,1687042,1987803,2305604,2528283,2358187,2655374,2973756,2904562,2137610,2286977,2509949,2953776,2601548,2690027
"44000","Rhode Island","1","SA30","92","...","  Personal interest income",147320,149864,149862,167752,198711,218136,235174,256232,277927,302005,324235,381318,454368,483726,522211,570924,623347,694454,735886,836649,928964,1055308,1346145,1705310,1906029,2043727,2383284,2462583,2637492,2798175,3084893,3648988,3583813,3268128,3127279,3054660,2949526,3193021,3216354,3381498,3678748,3647985,3921385,3905323,3657417,3553136,3294413,3558075,4096941,4538225,4529825,4183088,3885648,3810082,4080149,4020995,4100833
"44000","Rhode Island","1","SA30","93","...","    Imputed interest receipts 2/",80180,86720,87317,93837,106283,109379,117997,127744,138815,148983,164450,186709,237219,252468,275913,286331,287876,345012,356974,395010,442877,467073,557011,645175,764521,939476,1021719,1148844,1277534,1418784,1533956,1703997,1721827,1679888,1724091,1769383,1734330,1874784,1875812,2016176,2060230,2111707,2216260,2177130,2203065,2203365,2212663,2189642,2360623,2507454,2632101,2650472,2616178,2565046,2652546,2725579,2754204
"44000","Rhode Island","1","SA30","94","...","    Monetary interest receipts",67140,63144,62545,73915,92428,108757,117177,128488,139112,153022,159785,194609,217149,231258,246298,284593,335471,349442,378912,441639,486087,588235,789134,1060135,1141508,1104251,1361565,1313739,1359958,1379391,1550937,1944991,1861986,1588240,1403188,1285277,1215196,1318237,1340542,1365322,1618518,1536278,1705125,1728193,1454352,1349771,1081750,1368433,1736318,2030771,1897724,1532616,1269470,1245036,1427603,1295416,1346629
"44000","Rhode Island","1","SA30","95","...","  Rental income of persons",51126,54551,58910,61082,64774,69793,71904,74992,78563,82210,82553,83278,78234,81841,81344,85473,87700,74267,67468,51080,47688,46513,60135,78621,79427,69896,69600,74584,55051,50058,83849,80359,103379,134171,249927,381666,466910,480048,517923,569196,635087,678292,697460,758585,813234,974280,1057721,969375,798662,663059,929658,1270493,1528621,1812936,1889024,1996953,2175515
"44000","Rhode Island","1","SA30","96","...","    Imputed rent",38932,42344,45513,48612,52246,54337,55119,56620,58968,60919,59863,57061,53310,56375,54308,50952,51546,47784,40333,20545,18834,12955,13135,13218,445,-4286,-16309,-34034,-66977,-74726,-44643,-51199,-40588,-14686,61320,171006,238372,260453,312257,315034,375501,424176,431517,486555,547179,671235,773663,677114,504131,345416,562103,889063,1085139,1303604,1379197,1481353,1633488
"44000","Rhode Island","1","SA30","97","...","    Monetary rent",12194,12207,13397,12470,12528,15456,16785,18372,19595,21291,22690,26217,24924,25466,27036,34521,36154,26483,27135,30535,28854,33558,47000,65403,78982,74182,85909,108618,122028,124784,128492,131558,143967,148857,188607,210660,228538,219595,205666,254162,259586,254116,265943,272030,266055,303045,284058,292261,294531,317643,367555,381430,443482,509332,509827,515600,542027
"44000","Rhode Island","1","SA30","100","...","Population (persons) 3/",858000,857000,855000,858000,871000,876000,885000,893000,899000,909000,922000,932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053078,1052020,1052637,1053354,1055173
