"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"47000","Tennessee","5","SA30","10","...","Personal income (thousands of dollars)",5410311,5799558,5956103,6304094,6689397,7094602,7627113,8311902,9153121,9794966,10911875,11816751,12843600,14182933,15960357,18114084,20047468,21881351,24475271,27121191,30914798,34460508,38000362,42287567,44963374,48000072,53410068,57236417,61284468,66008117,71769376,77069823,81934674,86089981,94249674,100336091,106695942,114573451,121011953,128174369,141011492,147279190,156871662,161865574,165838781,172239450,182791172,189888868,201366539,211376152,220580209,217353953,226301735,238810140,252635759,255422103,264965180
"47000","Tennessee","5","SA30","45","...","Net earnings by place of residence",4447477,4779862,4867937,5111914,5415966,5743510,6192085,6756484,7478276,7928738,8780881,9449829,10056848,11017373,12461816,14065501,15209195,15995191,18096186,20208264,23176123,25565380,27199980,29510853,30512620,32574539,36463873,39153661,42020475,45880162,49784209,52772554,55721408,58312990,64405849,68748180,73348104,78056970,82408043,87865810,98229998,103357534,109667422,112441284,115801764,120033427,128202422,131974177,138808338,142448706,145139982,141273419,144819238,153988039,164485100,165770553,172576269
"47000","Tennessee","5","SA30","50","...","Personal current transfer receipts",369778,386188,404335,459168,477214,502370,525139,578258,635726,762612,875013,977840,1197077,1396549,1538849,1816799,2220687,2933844,3207067,3366660,3673379,4275691,5159033,5846299,6414513,6887663,7211375,7664086,8228411,8667353,9316576,10256837,11353972,12913994,14529377,15582168,16347817,17926308,18875873,19623982,20492371,21376816,23195042,25289149,27113779,28791831,30624002,32780423,34633121,38051119,42821662,46063868,50416874,51433704,51978261,53567865,54825828
"47000","Tennessee","5","SA30","60","...","  Income maintenance benefits 1/",48295,52744,52850,52974,51790,51782,52156,60972,71049,82365,89981,97859,164278,184549,192826,200817,300972,369502,426836,425296,438223,522591,688305,757328,730616,756041,755844,769658,815474,844611,952891,1074047,1227648,1439610,1741277,1891875,1981244,2140848,2251801,2281714,2288637,2406877,2379839,2437908,2855062,3113342,3332836,3688906,3879033,4341145,4652533,5656266,6239887,6354485,6459205,6513754,6418459
"47000","Tennessee","5","SA30","70","...","  Unemployment insurance compensation",62654,41036,42056,57913,40639,36113,34661,28062,22436,33486,33582,36267,58015,80582,67772,50276,87277,302970,245428,187311,136918,182181,317641,290958,454306,372239,194619,210434,207352,197186,207996,219909,275466,387670,496953,412250,296647,295855,342077,340201,349357,351908,388489,605775,811925,775121,539205,470924,455765,489245,739455,1914004,1712005,1623374,943826,662603,379170
"47000","Tennessee","5","SA30","80","...","  Retirement and other",258829,292408,309429,348281,384785,414475,438322,489224,542241,646761,751450,843714,974784,1131418,1278251,1565706,1832438,2261372,2534803,2754053,3098238,3570919,4153087,4798013,5229591,5759383,6260912,6683994,7205585,7625556,8155689,8962881,9850858,11086714,12291147,13278043,14069926,15489605,16281995,17002067,17854377,18618031,20426714,22245466,23446792,24903368,26751961,28620593,30298323,33220729,37429674,38493598,42464982,43455845,44575230,46391508,48028199
"47000","Tennessee","5","SA30","90","...","Dividends, interest, and rent",593056,633508,683831,733012,796217,848722,909889,977160,1039119,1103616,1255981,1389082,1589675,1769011,1959692,2231784,2617586,2952316,3172018,3546267,4065296,4619437,5641349,6930415,8036241,8537870,9734820,10418670,11035582,11460602,12668591,14040432,14859294,14862997,15314448,16005743,17000021,18590173,19728037,20684577,22289123,22544840,24009198,24135141,22923238,23414192,23964748,25134268,27925080,30876327,32618565,30016666,31065623,33388397,36172398,36083685,37563083
"47000","Tennessee","5","SA30","91","...","  Personal dividend income",100036,103642,111207,125235,139411,145782,159241,174359,182102,188510,227744,235360,247650,266680,297187,337165,381360,388293,450876,514398,588681,669099,734606,838866,900620,965585,1068138,1121437,1247856,1350484,1584168,1821206,1936403,2076084,2211255,2397093,2753605,3042501,3449331,3683372,3575788,3520120,3730794,3414892,3769618,4395287,5812082,5662431,7219920,8212146,8040814,5234249,5698282,6764912,8556432,8089047,8397028
"47000","Tennessee","5","SA30","92","...","  Personal interest income",301609,332025,366535,388970,422774,454842,502846,550405,600717,651929,772740,867531,1045004,1187077,1330660,1562698,1899192,2229418,2413925,2789481,3223416,3695977,4621268,5744578,6807335,7232372,8330417,8920304,9497180,9833711,10715752,11843666,12436145,12146349,12168719,12240801,12575017,13555133,13999401,14656175,16050470,16132048,17252636,17243558,15522372,15290875,14190043,16004755,17738075,20047333,20847060,19791275,19140893,18917707,19306582,19043217,19459103
"47000","Tennessee","5","SA30","93","...","    Imputed interest receipts 2/",169807,192164,207092,224381,240704,258695,284438,307885,338134,365383,395337,438052,540310,624734,709892,798035,954457,1200262,1277065,1447817,1702988,1817762,2146752,2452202,2898106,3508004,3795905,4338621,4793019,5246687,5628555,5967093,6344153,6550363,6950963,7306984,7596473,8173414,8351730,8901785,9164669,9477518,9902911,9799941,9614951,9716992,9783271,10116716,10642509,11526888,12551677,12870590,13101804,12981045,12947383,13273375,13461709
