"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"54000","West Virginia","5","SA30","10","...","Personal income (thousands of dollars)",2940753,3042000,3089701,3131642,3267016,3409756,3636425,3887288,4124637,4369133,4629461,4937940,5498992,6033654,6678475,7301761,8092684,9145345,10188341,11393983,12680883,14145657,15557866,16961583,17969907,18449453,19840150,20661268,21170283,21701260,23149755,24528618,26120068,27204930,29317122,30399534,31692701,32740269,34072081,35498621,36911166,37817913,39953156,41985359,43701760,44707442,46315259,47989066,51763927,53766821,57780373,58073821,59526356,63461054,65665367,65177629,66856850
"54000","West Virginia","5","SA30","45","...","Net earnings by place of residence",2354812,2430190,2455824,2444932,2534914,2633563,2825413,3022474,3228377,3400551,3586699,3784056,4150348,4477228,4927040,5265008,5756856,6416697,7194240,8125134,9042830,9949211,10544170,11062269,11362138,11257917,12190855,12639673,12758192,13149693,14105764,14757189,15751355,16208405,17295994,17862751,18854233,19334033,19899228,20853419,21568475,22417728,23651778,24841671,25667520,26341891,28016614,29477082,31775642,32409418,34587804,34025654,34951386,37856808,39164208,38405612,38992762
"54000","West Virginia","5","SA30","50","...","Personal current transfer receipts",301010,302959,304157,343899,367455,378904,385109,410796,433541,492052,543854,598877,721757,870540,997482,1186307,1343742,1600555,1757968,1875239,2082893,2437915,2836210,3203081,3511957,3891418,3974554,4148507,4406392,4528329,4779118,5043207,5406589,6079307,6969648,7420360,7523803,7759368,8181530,8368313,8672792,8852913,9287379,10082007,11153900,11762698,11588367,11764813,12677925,13328048,14770155,15967367,16833052,16974674,17311294,17603163,18370830
"54000","West Virginia","5","SA30","60","...","  Income maintenance benefits 1/",34186,34734,35183,40571,52393,50665,47250,45835,47614,52169,54680,60421,97119,104747,117002,101700,139250,164863,182603,192602,216460,214277,268054,313139,310785,351947,386779,413540,432892,437448,470835,505758,544782,604514,697693,734591,772977,806652,871429,843323,828607,848477,863461,959219,1011000,1051986,1096000,1113162,1189256,1226613,1313425,1591500,1749114,1713740,1709073,1691189,1685179
"54000","West Virginia","5","SA30","70","...","  Unemployment insurance compensation",56459,43178,30589,39401,27681,22820,20308,17028,12661,14783,17188,15661,19807,37195,43888,33781,36386,85621,78450,82807,95755,119561,197130,197547,290508,433600,219988,180106,166623,143116,124760,106397,117480,194879,258956,230514,163818,154898,163171,147314,142776,137194,119769,144793,230094,257053,187524,174608,164576,183603,227370,519882,523383,409977,392372,352122,225440
"54000","West Virginia","5","SA30","80","...","  Retirement and other",210365,225047,238385,263927,287381,305419,317551,347933,373266,425100,471986,522795,604831,728598,836592,1050826,1168106,1350071,1496915,1599830,1770678,2104077,2371026,2692395,2910664,3105871,3367787,3554861,3806877,3947765,4183523,4431052,4744327,5279914,6012999,6455255,6587008,6797818,7146930,7377676,7701409,7867242,8304149,8977995,9912806,10453659,10304843,10477043,11324093,11917832,13229360,13855985,14560555,14850957,15209849,15559852,16460211
"54000","West Virginia","5","SA30","90","...","Dividends, interest, and rent",284931,308851,329720,342811,364647,397289,425903,454018,462719,476530,498908,555007,626887,685886,753953,850446,992086,1128093,1236133,1393610,1555160,1758531,2177486,2696233,3095812,3300118,3674741,3873088,4005699,4023238,4264873,4728222,4962124,4917218,5051480,5116423,5314665,5646868,5991323,6276889,6669899,6547272,7013999,7061681,6880340,6602853,6710278,6747171,7310360,8029355,8422414,8080800,7741918,8629572,9189865,9168854,9493258
"54000","West Virginia","5","SA30","91","...","  Personal dividend income",62684,73388,72289,76566,78973,91612,103408,113633,109419,110376,126109,125632,129180,135942,148169,172035,198578,206884,241538,274563,302238,334690,348678,380021,418619,440637,461525,497959,528950,552907,643448,771362,822074,877550,930175,985786,1113616,1196441,1349515,1391323,1381692,1330443,1431186,1363494,1449134,1381155,1760825,1793158,2219513,2568651,2518811,1830466,1613367,2123760,2517596,2449788,2547181
"54000","West Virginia","5","SA30","92","...","  Personal interest income",123021,130935,145952,153817,165209,183250,204457,224829,238569,251324,263028,316360,376211,423833,472864,549100,659290,788064,873764,1027937,1154479,1328012,1721768,2182964,2553941,2705890,3062962,3219328,3365389,3361077,3478572,3805324,3946787,3804521,3761888,3706295,3723335,3950657,4090019,4290385,4631565,4507155,4829188,4816098,4492973,4237074,3903401,4025197,4320023,4783462,4973023,5046183,4503076,4568916,4530573,4474610,4517405
"54000","West Virginia","5","SA30","93","...","    Imputed interest receipts 2/",66400,73125,79300,85165,88815,93571,101657,110134,119178,126340,134503,142384,174895,201970,230007,256015,302103,391330,423360,484689,549485,590154,719724,839932,1034564,1249947,1333535,1504019,1632821,1723545,1769054,1859297,1958728,2012890,2113654,2185245,2230186,2376515,2431260,2605757,2645896,2669276,2783403,2750549,2771184,2727080,2722099,2634839,2708437,2884810,3140874,3395545,3238366,3272530,3215223,3279898,3274276
"54000","West Virginia","5","SA30","94","...","    Monetary interest receipts",56621,57810,66652,68652,76394,89679,102800,114695,119391,124984,128525,173976,201316,221863,242857,293085,357187,396734,450404,543248,604994,737858,1002044,1343032,1519377,1455943,1729427,1715309,1732568,1637532,1709518,1946027,1988059,1791631,1648234,1521050,1493149,1574142,1658759,1684628,1985669,1837879,2045785,2065549,1721789,1509994,1181302,1390358,1611586,1898652,1832149,1650638,1264710,1296386,1315350,1194712,1243129
"54000","West Virginia","5","SA30","95","...","  Rental income of persons",99226,104528,111479,112428,120465,122427,118038,115556,114731,114830,109771,113015,121496,126111,132920,129311,134218,133145,120831,91110,98443,95829,107040,133248,123252,153591,150254,155801,111360,109254,142853,151536,193263,235147,359417,424342,477714,499770,551789,595181,656642,709674,753625,882089,938233,984624,1046052,928816,770824,677242,930580,1204151,1625475,1936896,2141696,2244456,2428672
"54000","West Virginia","5","SA30","96","...","    Imputed rent",67191,73200,78765,82059,86168,88117,88191,89796,92896,95586,93448,97283,102140,109460,109232,104196,106920,99837,86837,54161,60361,53852,50979,56909,30393,28057,16376,7924,-6563,161,36607,51201,82253,121497,175962,247011,298874,310396,363028,371246,430369,485081,526638,648832,710711,758928,807189,685593,525508,398661,584209,871960,1174894,1348587,1543560,1648443,1803843
"54000","West Virginia","5","SA30","97","...","    Monetary rent",32035,31328,32714,30369,34297,34310,29847,25760,21835,19244,16323,15732,19356,16651,23688,25115,27298,33308,33994,36949,38082,41977,56061,76339,92859,125534,133878,147877,117923,109093,106246,100335,111010,113650,183455,177331,178840,189374,188761,223935,226273,224593,226987,233257,227522,225696,238863,243223,245316,278581,346371,332191,450581,588309,598136,596013,624829
