"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"10000","Delaware","2","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",252196,264454,282408,289831,310226,334618,357012,375430,365077,379013,393002,418817,447966,470293,498024,534885,597086,609288,664270,739704,813829,902723,1096006,1332941,1471582,1567132,1774423,1971448,2100146,2239126,2443125,2962515,3051161,3188443,3237908,3378942,3424696,3743469,4078421,4267438,4683524,4566487,5109222,5017220,5136326,5198281,5603922,5771401,6539638,6902541,7028883,6338448,6142233,6668800,7085063,6965505,7254888
"10000","Delaware","2","SA40","91","...","  Personal dividend income",145158,151558,159724,160736,173766,186909,200266,201917,184455,173107,197655,195351,185430,181285,185172,188233,191549,158471,192791,224034,237978,255761,269340,294497,313391,328576,364684,392611,416880,432410,482438,605024,659131,711303,726931,772239,842444,876758,1066527,1169072,1230768,1148075,1322039,1251033,1494043,1601537,2039006,1980167,2243116,2341994,2204043,1461622,1391559,1656738,1938660,1770623,1834003
"10000","Delaware","2","SA40","92","...","  Personal interest income",69174,72120,79681,83956,89581,98453,107093,120800,128951,149310,142990,174063,209904,233442,258318,297113,354956,402645,428944,485511,544412,617956,794225,999258,1124578,1197056,1368249,1528326,1653041,1779081,1913070,2310742,2329498,2370318,2351236,2369562,2282579,2530331,2621907,2699470,2997465,2916783,3263265,3197119,3008048,2917584,2797636,3090730,3688670,4054947,4093616,3862872,3443788,3457441,3476655,3436089,3503378
"10000","Delaware","2","SA40","93","...","    Imputed interest receipts 1/",37424,41209,46105,50439,53196,54804,59900,60719,63827,68977,74576,82385,104136,117042,130978,144206,169094,208216,217314,239503,270745,285125,341537,391710,468824,572383,616771,724032,809819,912449,972038,1100382,1139745,1212479,1274541,1346232,1327682,1463551,1502576,1592306,1655902,1676776,1817138,1769015,1803869,1805543,1871825,1896112,2119149,2247530,2383976,2447112,2341117,2346418,2321924,2388922,2415472
"10000","Delaware","2","SA40","94","...","    Monetary interest receipts",31750,30911,33576,33517,36385,43649,47193,60081,65124,80333,68414,91678,105768,116400,127340,152907,185862,194429,211630,246008,273667,332831,452688,607548,655754,624673,751478,804294,843222,866632,941032,1210360,1189753,1157839,1076695,1023330,954897,1066780,1119331,1107164,1341563,1240007,1446127,1428104,1204179,1112041,925811,1194618,1569521,1807417,1709640,1415760,1102671,1111023,1154731,1047167,1087906
"10000","Delaware","2","SA40","95","...","  Rental income of persons 2/",37864,40776,43003,45139,46879,49256,49653,52713,51671,56596,52357,49403,52632,55566,54534,49539,50581,48172,42535,30159,31439,29006,32441,39186,33613,41500,41490,50511,30225,27635,47617,46749,62532,106822,159741,237141,299673,336380,389987,398896,455291,501629,523918,569068,634235,679160,767280,700504,607852,505600,731224,1013954,1306886,1554621,1669748,1758793,1917507
"10000","Delaware","2","SA40","96","...","    Imputed rent",28231,31044,33724,35836,38360,39828,40360,41471,43233,44990,43912,40906,39767,42037,40820,38323,38769,36236,30686,17436,17865,14154,13716,15129,5764,4108,-2614,-10841,-26373,-28269,-8942,-8207,2817,23306,69554,141026,191988,211285,255683,263632,314995,359019,378696,430246,477843,551535,621167,545546,449284,328513,539788,792494,1057510,1257115,1353441,1443045,1586493
"10000","Delaware","2","SA40","97","...","    Monetary rent",9633,9732,9279,9303,8519,9428,9293,11242,8438,11606,8445,8497,12865,13529,13714,11216,11812,11936,11849,12723,13574,14852,18725,24057,27849,37392,44104,61352,56598,55904,56559,54956,59715,83516,90187,96115,107685,125095,134304,135264,140296,142610,145222,138822,156392,127625,146113,154958,158568,177087,191436,221460,249376,297506,316307,315748,331014
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
