"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"17000","Illinois","3","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",3223264,3473049,3770491,4027394,4387691,4719329,5157856,5641575,5993356,6304177,6617572,6937163,7613051,8108199,8735649,9794781,11178068,12200938,12882368,14189041,15792179,17725984,21365131,26198582,30969339,32944459,36868032,38192171,39505153,40254306,42979630,46248915,48337429,48979730,51178861,52092777,55386839,61345862,65863720,69748424,75180108,73867275,81213432,80230673,77003810,76735902,80091742,85270933,97488884,105835742,108519960,93567289,91861069,101757309,111824611,109309826,113222027
"17000","Illinois","3","SA40","91","...","  Personal dividend income",735252,797103,867382,921418,1000348,1064884,1202696,1344497,1382450,1407358,1522447,1502688,1489316,1517042,1607085,1803829,2015497,1958041,2293167,2607454,2926176,3277123,3588983,4080738,4323985,4657770,5004574,5258018,5717564,6068232,7133393,8893904,9512283,10041029,10415363,11144506,12740407,14192815,16845434,18628488,19685977,19040690,20863258,19469003,20739203,21463920,27391748,27343608,34348960,38480577,38231357,26182072,26229121,32125882,39203699,36635548,37703919
"17000","Illinois","3","SA40","92","...","  Personal interest income",1439450,1585009,1776613,1908291,2133905,2346743,2669974,2950226,3274983,3546467,3783412,4186321,4842056,5280323,5721162,6494448,7701803,8821228,9309386,10559213,11822033,13425176,16630839,20724210,25243248,26891170,30386427,31484385,32802875,33280473,34738503,36306741,37481171,37161647,37980168,36819089,37529818,41242368,42612164,44054123,47691051,46414010,51668361,51392732,46454259,44754925,41632959,47426917,53738188,59330109,59646550,53653044,49072866,50239754,52082887,51114068,52123012
"17000","Illinois","3","SA40","93","...","    Imputed interest receipts 1/",693329,759186,827161,890908,937665,974389,1076435,1157598,1283089,1385188,1510512,1808949,2168280,2400637,2627425,2859107,3353528,4258195,4361955,4817671,5401202,5578553,6570529,7549977,9057044,11318744,11954369,13520537,14770654,15876228,16462945,16735440,17570441,18351271,19777707,20280687,20788749,22723679,23242901,24764438,25179627,25484829,27521988,26830501,26382408,26125076,26521977,27280517,29047981,30857637,32766273,32413977,31716321,32113307,32309599,33193670,33516724
"17000","Illinois","3","SA40","94","...","    Monetary interest receipts",746121,825823,949452,1017383,1196240,1372354,1593539,1792628,1991894,2161279,2272900,2377372,2673776,2879686,3093737,3635341,4348275,4563033,4947431,5741542,6420831,7846623,10060310,13174233,16186204,15572426,18432058,17963848,18032221,17404245,18275558,19571301,19910730,18810376,18202461,16538402,16741069,18518689,19369263,19289685,22511424,20929181,24146373,24562231,20071851,18629849,15110982,20146400,24690207,28472472,26880277,21239067,17356545,18126447,19773288,17920398,18606288
"17000","Illinois","3","SA40","95","...","  Rental income of persons 2/",1048562,1090937,1126496,1197685,1253438,1307702,1285186,1346852,1335923,1350352,1311713,1248154,1281679,1310834,1407402,1496504,1460768,1421669,1279815,1022374,1043970,1023685,1145309,1393634,1402106,1395519,1477031,1449768,984714,905601,1107734,1048270,1343975,1777054,2783330,4129182,5116614,5910679,6406122,7065813,7803080,8412575,8681813,9368938,9810348,10517057,11067035,10500408,9401736,8025056,10642053,13732173,16559082,19391673,20538025,21560210,23395096
"17000","Illinois","3","SA40","96","...","    Imputed rent",589354,648844,705099,738378,780708,800120,801119,813508,838107,862756,835440,787057,811407,854691,833515,775867,780025,721667,618962,362828,348013,253856,240132,232990,62623,11085,-105351,-254514,-510401,-535752,-262454,-272755,-155777,58322,671091,1729960,2515834,2865898,3547029,3680482,4472644,5143253,5358526,5919353,6371129,7143988,7547906,6466028,4981524,3585511,5974301,8973939,11122047,13088353,13987526,15030135,16549125
"17000","Illinois","3","SA40","97","...","    Monetary rent",459208,442093,421397,459307,472730,507582,484067,533344,497816,487596,476273,461097,470272,456143,573887,720637,680743,700002,660853,659546,695957,769829,905177,1160644,1339483,1384434,1582382,1704282,1495115,1441353,1370188,1321025,1499752,1718732,2112239,2399222,2600780,3044781,2859093,3385331,3330436,3269322,3323287,3449585,3439219,3373069,3519129,4034380,4420212,4439545,4667752,4758234,5437035,6303320,6550499,6530075,6845971
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
