"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"18000","Indiana","3","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",1035224,1118944,1234682,1302617,1407971,1518109,1638634,1764780,1886054,2000827,2121432,2394126,2655751,2910187,3129301,3556727,4098073,4582997,4939765,5533505,6133995,6879637,8382688,10325931,11473966,12064266,13290429,14010888,14649126,14931265,15992642,18113310,19129942,18716287,19258921,20091700,21522276,23450252,24853589,26285303,28804588,28117778,30447006,30308672,29463873,29234869,29659286,29333449,32743835,35243648,36294488,32873898,31985856,35428035,38160973,37920165,39363800
"18000","Indiana","3","SA40","91","...","  Personal dividend income",174293,193785,216607,229212,250112,272397,308722,338328,353032,362429,380211,399076,412865,437911,481777,561684,645764,648170,784875,919430,1028538,1150696,1203238,1322119,1327652,1441473,1522269,1725790,1910794,2114601,2603217,3189359,3573151,3762123,4078230,4480825,5349475,5866094,6780592,7402211,8317912,7992844,8448599,7775085,8398721,8704695,10423481,10293875,12263812,13480298,13498009,9872618,9796387,11657832,13777671,13336010,13832205
"18000","Indiana","3","SA40","92","...","  Personal interest income",486256,545358,614419,652061,715058,784491,882221,967645,1080244,1204848,1307007,1543078,1779573,1958794,2134957,2437326,2897551,3371283,3638466,4209223,4679401,5331029,6735399,8470852,9640277,10177934,11314726,11814167,12409618,12507752,12974975,14503717,14996268,14260332,14144607,14072870,14312871,15458974,15738704,16367323,17623876,17028284,18805570,18963213,17468127,16803901,15359514,15631299,17626237,19332105,19333057,18436878,16533018,16834902,16858492,16534202,16787214
"18000","Indiana","3","SA40","93","...","    Imputed interest receipts 1/",232806,257848,284386,309292,333238,354467,395396,433143,478181,522256,563039,630989,746197,841539,931095,1019893,1201478,1538129,1611272,1811130,2026456,2109695,2529919,2925255,3519456,4377645,4609261,5229104,5745466,6166402,6384229,6832772,7190579,7313248,7704788,8020580,8221242,8832552,8906818,9470067,9601921,9632104,10315543,10211862,10193821,10079497,10060527,9490523,10050743,10625865,11313497,11700948,11204961,11308701,11103608,11309542,11353297
"18000","Indiana","3","SA40","94","...","    Monetary interest receipts",253450,287510,330033,342769,381820,430024,486825,534502,602063,682592,743968,912089,1033376,1117255,1203862,1417433,1696073,1833154,2027194,2398093,2652945,3221334,4205480,5545597,6120821,5800289,6705465,6585063,6664152,6341350,6590746,7670945,7805689,6947084,6439819,6052290,6091629,6626422,6831886,6897256,8021955,7396180,8490027,8751351,7274306,6724404,5298987,6140776,7575494,8706240,8019560,6735930,5328057,5526201,5754884,5224660,5433917
"18000","Indiana","3","SA40","95","...","  Rental income of persons 2/",374675,379801,403656,421344,442801,461221,447691,458807,452778,433550,434214,451972,463313,513482,512567,557717,554758,563544,516424,404852,426056,397912,444051,532960,506037,444859,453434,470931,328714,308912,414450,420234,560523,693832,1036084,1538005,1859930,2125184,2334293,2515769,2862800,3096650,3192837,3570374,3597025,3726273,3876291,3408275,2853786,2431245,3463422,4564402,5656451,6935301,7524810,8049953,8744381
"18000","Indiana","3","SA40","96","...","    Imputed rent",233385,255785,276684,289338,304914,312530,313096,318494,328783,338330,328931,356844,367798,394361,389421,366276,365113,341877,299227,196627,198794,152862,145185,145462,64123,43849,630,-47407,-124380,-117605,-9991,11286,75489,166239,366508,730309,1022858,1153830,1421871,1480126,1787133,2051731,2181880,2490876,2580693,2724338,2848378,2341310,1778543,1304717,2106134,3211945,4078470,5051342,5554748,6086691,6686300
"18000","Indiana","3","SA40","97","...","    Monetary rent",141290,124016,126972,132006,137887,148691,134595,140313,123995,95220,105283,95128,95515,119121,123146,191441,189645,221667,217197,208225,227262,245050,298866,387498,441914,401010,452804,518338,453094,426517,424441,408948,485034,527593,669576,807696,837072,971354,912422,1035643,1075667,1044919,1010957,1079498,1016332,1001935,1027913,1066965,1075243,1126528,1357288,1352457,1577981,1883959,1970062,1963262,2058081
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
