"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"25000","Massachusetts","1","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",1712888,1843268,1961500,2062540,2268257,2452869,2744867,2982226,3200805,3463619,3657093,3873029,4155518,4402696,4661796,5025810,5585624,5863378,6202834,6837174,7484335,8307492,10042849,12291218,14884738,15855014,18454327,19639817,21047679,22346317,24913816,26456578,27439566,27539361,28112546,29418207,30628298,32896613,35214250,37570624,40681011,40848468,45842157,47284728,45381618,46544419,47811900,52029950,60917574,64560246,65144977,58380309,57832803,64806087,72436724,71196676,74156061
"25000","Massachusetts","1","SA40","91","...","  Personal dividend income",580826,631798,639469,641390,676044,721853,810828,879884,912487,972700,908681,948055,939272,955762,1013792,1110141,1212699,1139374,1320725,1484963,1646270,1833465,2049781,2359049,2704673,2745842,3040815,3117420,3318405,3473510,3946561,4702047,4774793,5047442,5250732,5777062,6487030,7239475,8526665,9821468,10203594,10142655,11433423,11334373,11871208,12499830,15241220,15525084,20481349,21921198,21928688,15350056,15405181,19131876,23318662,21846105,22500702
"25000","Massachusetts","1","SA40","92","...","  Personal interest income",826923,883675,964126,1032105,1169268,1288922,1452851,1573661,1706557,1851112,2075860,2272432,2611775,2841546,3065860,3357628,3834669,4237301,4437322,5008766,5510896,6169748,7587473,9408103,11620449,12548225,14839631,15888365,17189091,18334400,20233895,21086670,21898401,21499035,21030333,20832710,20621419,21685062,22078915,23075078,25342971,25126546,28818053,29622314,26853629,26683705,24883901,29691565,34800417,37919854,36535024,34123387,31486670,32048818,34336311,33747022,34676777
"25000","Massachusetts","1","SA40","93","...","    Imputed interest receipts 1/",391852,428431,467847,508901,549144,562698,618280,653285,698730,758341,844225,1013461,1208102,1344654,1471193,1565186,1763252,2143573,2189445,2419474,2683294,2771541,3255696,3713473,4450715,5590171,6153341,7116739,8001876,8954328,9698497,9833778,10278505,10554649,10969691,11443370,11461919,12100444,12229276,13108169,13479372,13866205,15398380,15472599,15181785,15360899,15664885,16718918,18332665,19289860,19811866,20129414,19873589,20061226,20701995,21392273,21851150
"25000","Massachusetts","1","SA40","94","...","    Monetary interest receipts",435071,455244,496279,523204,620124,726224,834571,920376,1007827,1092771,1231635,1258971,1403673,1496892,1594667,1792442,2071417,2093728,2247877,2589292,2827602,3398207,4331777,5694630,7169734,6958054,8686290,8771626,9187215,9380072,10535398,11252892,11619896,10944386,10060642,9389340,9159500,9584618,9849639,9966909,11863599,11260341,13419673,14149715,11671844,11322806,9219016,12972647,16467752,18629994,16723158,13993973,11613081,11987592,13634316,12354749,12825627
"25000","Massachusetts","1","SA40","95","...","  Rental income of persons 2/",305139,327795,357905,389045,422945,442094,481188,528681,581761,639807,672552,652542,604471,605388,582144,558041,538256,486703,444787,343445,327169,304279,405595,524066,559616,560947,573881,634032,540183,538407,733360,667861,766372,992884,1831481,2808435,3519849,3972076,4608670,4674078,5134446,5579267,5590681,6328041,6656781,7360884,7686779,6813301,5635808,4719194,6681265,8906866,10940952,13625393,14781751,15603549,16978582
"25000","Massachusetts","1","SA40","96","...","    Imputed rent",263699,288938,312779,333229,357766,371420,376175,385947,401290,416056,406620,365146,338878,356485,342045,319328,320958,295631,248207,126328,115097,79765,80723,82254,4113,-26013,-104640,-221831,-441176,-496935,-301297,-348366,-280219,-104183,433303,1273407,1832867,2050291,2504257,2565394,3095966,3533461,3626801,4115575,4449992,5226857,5500972,4558879,3359821,2293072,3834112,5951615,7520566,9556437,10537614,11371692,12541855
"25000","Massachusetts","1","SA40","97","...","    Monetary rent",41440,38857,45126,55816,65179,70674,105013,142734,180471,223751,265932,287396,265593,248903,240099,238713,217298,191072,196580,217117,212072,224514,324872,441812,555503,586960,678521,855863,981359,1035342,1034657,1016227,1046591,1097067,1398178,1535028,1686982,1921785,2104413,2108684,2038480,2045806,1963880,2212466,2206789,2134027,2185807,2254422,2275987,2426122,2847153,2955251,3420386,4068956,4244137,4231857,4436727
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
